date	precipitation	temperature	discharge_spec
19960930	21.67	11.35	0.36
19961001	0.0	11.15	0.36
19961002	0.0	14.02	0.36
19961003	1.99	11.84	0.36
19961004	0.56	10.97	0.36
19961005	0.25	10.81	0.36
19961006	0.14	12.1	0.36
19961007	0.0	13.62	0.36
19961008	5.34	12.11	0.36
19961009	0.0	12.09	0.36
19961010	0.0	11.21	0.36
19961011	0.0	13.61	0.36
19961012	0.0	14.15	0.36
19961013	0.0	15.86	0.36
19961014	5.31	13.89	0.36
19961015	3.17	11.22	0.36
19961016	4.6	9.21	0.36
19961017	8.15	10.96	0.36
19961018	4.08	12.42	0.36
19961019	0.19	14.12	0.36
19961020	1.85	13.02	0.36
19961021	0.01	12.45	0.36
19961022	0.0	14.52	0.36
19961023	0.0	14.81	0.36
19961024	1.92	15.28	0.36
19961025	4.37	12.59	0.36
19961026	10.76	13.22	0.36
19961027	7.44	14.14	0.36
19961028	2.48	12.29	0.36
19961029	0.02	8.93	0.36
19961030	4.41	11.22	0.36
19961031	2.31	12.63	0.36
19961101	0.07	14.16	0.36
19961102	3.34	14.64	0.36
19961103	17.24	14.08	0.36
19961104	0.88	11.58	0.36
19961105	3.92	12.18	0.36
19961106	6.81	10.92	0.36
19961107	0.06	6.48	0.36
19961108	2.32	8.39	0.36
19961109	20.14	7.8	0.36
19961110	0.1	3.74	0.36
19961111	0.0	4.55	0.36
19961112	0.24	4.95	0.36
19961113	0.0	3.87	0.36
19961114	0.0	5.5	0.36
19961115	0.0	4.17	0.36
19961116	0.91	5.36	0.36
19961117	5.12	5.16	0.36
19961118	17.72	2.79	0.36
19961119	16.92	5.79	0.36
19961120	1.07	2.68	0.36
19961121	0.08	2.03	0.36
19961122	18.55	4.08	0.36
19961123	1.65	3.3	0.36
19961124	24.75	7.17	0.36
19961125	3.1	5.59	0.36
19961126	1.51	3.84	0.36
19961127	2.08	2.08	0.36
19961128	12.2	5.14	0.36
19961129	3.08	8.95	0.36
19961130	0.35	6.88	0.36
19961201	0.02	9.01	0.36
19961202	18.6	8.26	0.36
19961203	1.81	7.06	0.36
19961204	2.2	5.45	0.36
19961205	0.57	4.57	0.36
19961206	0.02	3.31	0.36
19961207	0.5	5.14	0.36
19961208	0.11	4.35	0.36
19961209	0.0	4.03	0.36
19961210	0.0	3.23	0.36
19961211	0.0	3.25	0.36
19961212	0.63	2.35	0.36
19961213	0.11	1.18	0.36
19961214	0.0	3.29	0.36
19961215	1.32	7.09	0.36
19961216	5.83	5.61	0.36
19961217	3.27	8.12	0.36
19961218	2.71	8.76	0.36
19961219	1.27	7.46	0.36
19961220	5.47	5.53	0.36
19961221	0.0	2.47	0.36
19961222	0.0	3.12	0.36
19961223	0.0	1.33	0.36
19961224	0.0	-0.3	0.36
19961225	0.0	0.99	0.36
19961226	0.06	0.14	0.36
19961227	0.16	0.8	0.36
19961228	0.0	-1.32	0.36
19961229	0.67	0.34	0.36
19961230	0.01	0.06	0.36
19961231	0.0	-2.84	0.36
19970101	0.0	-4.63	0.36
19970102	0.0	-4.0	0.36
