date	precipitation	temperature	discharge_spec
20051005	0.0	11.3	0.19
20051006	0.17	13.03	0.18
20051007	6.12	13.37	0.18
20051008	0.27	10.64	0.24
20051009	0.0	13.18	0.24
20051010	23.15	14.67	0.27
20051011	49.7	11.67	14.02
20051012	0.01	10.29	8.43
20051013	0.0	8.85	3.15
20051014	0.0	11.96	1.69
20051015	0.0	15.41	1.14
20051016	1.29	14.58	0.94
20051017	0.1	14.97	0.82
20051018	32.78	11.35	1.71
20051019	7.46	11.13	11.1
20051020	8.05	11.66	5.72
20051021	6.34	11.69	4.56
20051022	0.75	10.46	3.5
20051023	35.54	12.62	4.36
20051024	17.72	12.85	23.44
20051025	4.47	12.38	18.67
20051026	7.0	15.45	8.43
20051027	2.45	17.12	4.98
20051028	3.2	13.8	3.89
20051029	7.54	15.55	3.38
20051030	1.47	13.64	4.32
20051031	7.79	11.4	3.96
20051101	17.35	11.4	4.56
20051102	8.87	14.37	10.4
20051103	29.8	11.56	18.38
20051104	2.55	9.05	14.89
20051105	14.66	11.77	7.24
20051106	1.73	10.4	10.49
20051107	44.13	10.53	8.68
20051108	2.79	8.14	44.41
20051109	9.24	10.18	7.77
20051110	4.63	13.32	8.59
20051111	2.88	9.95	7.03
20051112	2.78	7.3	4.56
20051113	0.0	6.04	3.76
20051114	2.05	9.91	3.2
20051115	0.23	7.84	3.03
20051116	0.0	3.44	2.59
20051117	0.01	3.57	2.31
20051118	0.09	2.67	2.04
20051119	0.01	3.23	1.75
20051120	0.0	4.37	1.58
20051121	0.09	3.47	1.4
20051122	0.11	4.02	1.29
20051123	0.07	6.69	1.18
20051124	6.9	5.27	1.29
20051125	7.07	4.86	2.29
20051126	1.17	5.81	2.57
20051127	0.14	4.05	1.9
20051128	1.98	2.93	1.43
20051129	6.35	4.87	1.8
20051130	1.73	8.46	2.52
20051201	7.91	7.68	3.78
20051202	8.02	6.66	3.99
20051203	6.96	6.81	4.81
20051204	2.06	7.2	3.44
20051205	3.59	5.48	2.78
20051206	0.15	3.88	2.66
20051207	10.32	4.75	2.99
20051208	0.0	6.27	4.1
20051209	0.89	8.54	2.57
20051210	0.14	9.01	2.43
20051211	0.11	7.12	2.17
20051212	0.0	3.29	1.85
20051213	0.02	5.81	1.63
20051214	0.0	8.95	1.48
20051215	0.16	10.25	1.34
20051216	4.48	6.54	1.28
20051217	0.01	3.4	1.54
20051218	6.47	6.29	1.71
20051219	0.74	6.62	1.95
20051220	2.68	9.04	1.53
20051221	0.87	8.81	1.73
20051222	0.21	9.75	1.62
20051223	3.04	8.42	1.35
20051224	0.24	4.93	1.68
20051225	0.01	3.31	1.29
20051226	0.11	2.03	1.18
20051227	0.0	-0.23	1.08
20051228	0.0	-1.23	0.97
20051229	4.65	2.98	0.91
20051230	1.15	8.25	1.72
20051231	5.95	6.96	1.49
20060101	3.2	5.83	3.84
20060102	6.71	7.23	2.86
20060103	0.03	4.69	3.8
20060104	0.09	2.92	2.48
20060105	0.01	0.89	2.05
20060106	0.0	1.71	1.67
20060107	0.0	0.74	1.41
20060108	0.09	0.54	1.22
20060109	20.23	5.09	1.37
20060110	15.39	8.77	12.09
20060111	0.09	6.23	7.61
20060112	0.0	8.61	3.28
20060113	11.03	7.25	3.41
20060114	0.05	5.74	4.44
20060115	7.71	7.54	2.87
20060116	12.18	6.86	7.9
20060117	4.77	8.66	5.55
20060118	0.35	10.26	4.24
20060119	7.28	8.21	3.29
20060120	0.0	6.25	4.11
20060121	0.1	5.65	2.68
20060122	0.01	4.74	2.33
20060123	0.0	4.14	2.08
20060124	0.0	3.02	1.84
20060125	0.0	3.08	1.58
20060126	0.0	2.54	1.32
20060127	0.37	4.05	1.22
20060128	0.0	2.64	1.12
20060129	0.01	1.36	1.02
20060130	0.01	1.14	0.99
20060131	0.01	1.44	0.98
20060201	0.0	2.32	0.93
20060202	0.0	3.06	0.87
20060203	0.0	3.63	0.82
20060204	0.0	5.18	0.78
20060205	0.0	6.08	0.74
20060206	0.0	8.23	0.72
20060207	3.73	7.45	0.74
20060208	0.0	5.37	0.8
20060209	0.0	1.37	0.67
20060210	0.12	2.43	0.62
20060211	12.64	6.63	0.64
20060212	7.33	8.87	2.98
20060213	5.72	8.06	2.29
20060214	14.3	8.35	4.44
20060215	0.02	7.39	5.43
20060216	1.16	6.02	2.46
20060217	0.43	4.69	1.98
20060218	0.11	3.7	1.53
20060219	0.0	4.89	1.25
20060220	0.0	5.44	1.08
20060221	0.11	5.02	0.97
20060222	0.0	2.75	0.88
20060223	14.89	3.88	1.59
20060224	0.11	3.12	2.66
20060225	0.06	5.19	1.48
20060226	0.04	4.44	1.13
20060227	3.97	4.1	1.09
20060228	3.98	1.94	1.4
20060301	1.94	1.18	1.23
20060302	3.92	-1.58	1.18
20060303	3.26	-0.06	1.12
20060304	0.27	2.55	1.33
20060305	0.72	3.78	1.28
20060306	4.8	4.8	1.1
20060307	11.23	7.81	2.71
20060308	6.88	7.39	6.33
20060309	6.86	7.11	4.19
20060310	0.85	5.63	3.08
20060311	10.97	4.31	2.89
20060312	1.01	4.34	4.52
20060313	3.37	5.07	2.92
20060314	2.51	7.47	2.78
20060315	0.1	4.28	2.59
20060316	0.06	2.25	1.98
20060317	0.0	2.76	1.64
20060318	0.0	4.18	1.34
20060319	0.0	6.15	1.21
20060320	0.0	4.47	1.1
20060321	0.0	1.46	1.0
20060322	0.0	2.09	0.91
20060323	5.74	5.96	0.88
20060324	15.22	8.75	3.14
20060325	11.06	10.31	6.21
20060326	13.36	10.95	6.7
20060327	15.15	9.39	7.57
20060328	5.05	5.93	8.27
20060329	11.81	8.6	5.14
20060330	4.33	9.57	6.87
20060331	8.16	9.08	4.61
20060401	0.6	9.37	4.65
20060402	6.36	6.94	4.07
20060403	0.05	5.67	3.15
20060404	0.0	2.6	2.43
20060405	0.0	6.3	2.1
20060406	3.29	6.74	2.04
20060407	9.66	6.09	2.55
20060408	1.47	6.08	2.94
20060409	2.37	3.29	2.13
20060410	10.69	6.44	1.8
20060411	3.04	9.01	4.04
20060412	1.24	9.59	2.52
20060413	0.06	9.49	2.04
20060414	0.09	8.75	1.5
20060415	0.1	10.57	1.28
20060416	0.0	9.92	1.13
20060417	2.48	9.42	1.06
20060418	15.13	9.1	1.3
20060419	0.05	8.93	2.9
20060420	0.01	9.88	1.54
20060421	0.0	10.55	1.13
20060422	4.41	10.65	1.02
20060423	0.0	8.42	1.09
20060424	3.9	11.56	0.95
20060425	0.01	11.27	1.02
20060426	0.2	10.14	0.84
20060427	0.0	10.03	0.74
20060428	0.0	9.34	0.67
20060429	0.0	9.6	0.63
20060430	9.68	8.53	0.67
20060501	0.17	8.8	0.87
20060502	2.89	10.71	0.7
20060503	1.67	11.51	0.65
20060504	2.49	14.78	0.6
20060505	0.0	9.9	0.57
20060506	1.09	12.12	0.51
20060507	0.34	11.76	0.48
20060508	7.45	11.03	0.6
20060509	0.0	11.66	0.61
20060510	0.0	15.14	0.5
20060511	0.01	15.1	0.44
20060512	2.08	13.85	0.42
20060513	0.45	9.89	0.42
20060514	4.45	12.39	0.44
20060515	7.93	11.7	0.6
20060516	0.0	13.04	0.68
20060517	13.1	13.32	1.09
20060518	6.09	12.36	1.33
20060519	27.95	11.41	1.5
20060520	0.84	9.32	7.85
20060521	27.81	11.48	5.51
20060522	9.52	6.99	14.43
20060523	4.83	8.88	3.89
20060524	0.0	7.97	2.95
20060525	10.68	11.71	2.29
20060526	0.56	13.71	3.34
20060527	2.68	12.63	2.58
20060528	0.42	10.75	1.99
20060529	0.6	9.96	1.46
20060530	0.0	8.71	1.16
20060531	0.0	10.6	1.02
20060601	0.0	11.96	0.91
20060602	0.0	12.81	0.81
20060603	0.0	14.19	0.74
20060604	0.0	14.85	0.68
20060605	0.0	14.99	0.63
20060606	0.0	16.45	0.58
20060607	0.0	15.63	0.54
20060608	0.0	18.91	0.5
20060609	0.0	21.22	0.46
20060610	0.0	21.69	0.42
20060611	7.27	16.88	0.41
20060612	0.0	15.57	0.47
20060613	0.0	12.66	0.42
20060614	0.0	13.25	0.37
20060615	0.0	15.5	0.35
20060616	0.0	16.49	0.33
20060617	0.49	17.5	0.32
20060618	3.62	14.53	0.33
20060619	1.79	13.54	0.34
20060620	5.22	13.4	0.34
20060621	0.92	12.87	0.35
20060622	0.0	12.66	0.3
20060623	0.48	14.57	0.28
20060624	9.28	13.94	0.32
20060625	0.71	15.21	0.43
20060626	1.56	13.94	0.33
20060627	0.31	13.51	0.31
20060628	0.0	15.64	0.3
20060629	0.0	16.63	0.27
20060630	0.23	15.37	0.25
20060701	0.0	18.17	0.23
20060702	0.03	20.79	0.21
20060703	0.01	19.42	0.21
20060704	0.01	20.74	0.2
20060705	0.01	20.26	0.18
20060706	0.0	18.37	0.17
20060707	0.0	15.17	0.17
20060708	11.73	14.67	0.2
20060709	0.06	15.45	0.26
20060710	0.14	15.19	0.22
20060711	0.0	15.64	0.19
20060712	0.52	14.2	0.17
20060713	0.1	13.69	0.15
20060714	0.0	16.43	0.14
20060715	0.0	17.01	0.14
