date	precipitation	temperature	discharge_spec
19701001	5.28	7.76	0.77
19701002	1.75	6.85	0.79
19701003	7.22	7.65	0.79
19701004	1.33	11.28	0.9
19701005	0.23	8.23	0.99
19701006	0.14	6.99	0.83
19701007	2.37	8.44	0.77
19701008	0.21	6.33	0.76
19701009	0.06	9.2	0.77
19701010	0.0	7.18	0.72
19701011	0.42	7.89	0.69
19701012	0.52	9.13	0.68
19701013	0.06	9.06	0.68
19701014	0.02	8.87	0.67
19701015	0.0	10.4	0.66
19701016	0.02	10.44	0.65
19701017	0.44	11.08	0.64
19701018	8.66	8.55	0.64
19701019	6.95	3.18	0.72
19701020	11.22	2.29	1.02
19701021	2.38	5.3	1.18
19701022	0.71	5.94	1.61
19701023	1.38	7.84	1.51
19701024	0.06	7.24	1.13
19701025	0.68	4.29	0.95
19701026	1.24	2.21	0.85
19701027	0.07	2.49	0.79
19701028	10.77	2.62	0.76
19701029	2.4	7.04	0.93
19701030	0.36	6.99	1.44
19701031	1.14	7.27	1.08
19701101	6.06	6.08	0.94
19701102	11.26	5.63	1.29
19701103	0.2	3.53	2.08
19701104	2.21	4.52	1.59
19701105	3.56	4.18	1.21
19701106	2.12	2.3	1.47
19701107	5.15	2.81	1.23
19701108	3.36	6.96	1.36
19701109	5.21	3.46	1.47
19701110	0.33	4.7	1.88
19701111	0.23	2.77	1.41
19701112	0.13	1.03	1.21
19701113	0.01	-0.61	1.1
19701114	2.5	0.35	1.03
19701115	3.28	-0.58	1.03
19701116	0.14	1.98	1.08
19701117	1.05	2.79	1.06
19701118	2.51	1.14	1.07
19701119	1.53	0.81	1.26
19701120	11.0	1.4	1.17
19701121	3.81	2.63	2.24
19701122	0.01	2.28	1.74
19701123	14.62	5.16	1.95
19701124	0.55	8.38	3.02
19701125	1.11	6.59	2.07
19701126	7.13	4.91	1.76
19701127	1.24	6.12	2.22
19701128	3.28	5.54	2.05
19701129	10.74	4.4	2.17
19701130	2.48	2.74	3.5
19701201	0.28	3.86	2.74
19701202	3.05	0.95	2.22
19701203	0.92	1.2	2.03
19701204	1.72	3.43	1.94
19701205	0.48	4.02	1.94
19701206	3.69	3.23	1.92
19701207	0.47	0.12	1.85
19701208	0.04	3.84	1.71
19701209	0.01	3.28	1.59
19701210	0.0	1.57	1.52
19701211	0.01	1.42	1.46
19701212	0.18	3.56	1.41
19701213	0.19	2.63	1.35
19701214	0.08	1.13	1.3
19701215	0.02	3.17	1.27
19701216	0.13	5.63	1.24
19701217	0.33	5.29	1.22
19701218	0.19	8.69	1.18
19701219	1.14	5.36	1.16
19701220	2.15	0.78	1.14
19701221	0.52	0.15	1.12
19701222	6.46	2.71	1.09
19701223	5.66	2.48	1.43
19701224	1.3	0.6	1.77
19701225	4.34	1.66	1.43
19701226	1.3	1.09	1.45
19701227	3.22	0.02	1.51
19701228	1.54	-0.08	1.41
19701229	2.86	-0.51	1.34
19701230	3.78	-1.1	1.37
19701231	0.2	-0.63	1.27
19710101	0.61	1.07	1.19
19710102	0.0	-0.24	1.18
19710103	0.0	-2.32	1.14
19710104	0.0	-1.83	1.08
19710105	1.52	-1.21	1.06
19710106	1.54	5.06	1.15
19710107	1.97	7.49	2.42
19710108	0.73	8.55	2.45
19710109	0.45	10.37	1.72
19710110	0.01	8.25	1.56
19710111	0.0	3.78	1.31
19710112	0.0	2.48	1.2
19710113	0.22	3.74	1.14
19710114	0.04	2.53	1.12
19710115	0.0	0.67	1.1
19710116	0.19	0.9	1.08
19710117	0.59	4.82	1.06
19710118	1.76	3.6	1.06
19710119	0.17	3.49	1.08
19710120	6.11	1.78	1.03
19710121	21.15	2.57	2.74
19710122	1.71	2.72	3.04
19710123	1.58	1.84	2.05
19710124	3.79	1.94	1.73
19710125	0.91	3.58	1.81
19710126	5.04	3.49	1.82
19710127	4.83	2.63	2.0
19710128	2.63	1.5	2.17
19710129	8.87	-0.14	2.37
19710130	4.72	-0.67	2.48
19710131	0.63	-2.09	2.16
19710201	0.11	-0.01	1.82
19710202	0.08	5.9	1.65
19710203	0.0	6.28	3.35
19710204	0.0	6.07	2.22
19710205	0.0	3.64	1.77
19710206	0.0	5.01	1.62
19710207	0.0	6.37	1.54
19710208	0.0	3.34	1.49
19710209	0.0	4.17	1.42
19710210	0.02	3.75	1.37
19710211	0.04	3.98	1.32
19710212	0.76	5.04	1.29
19710213	0.18	1.65	1.26
19710214	0.53	1.82	1.2
19710215	0.0	-2.68	1.18
19710216	0.0	-2.5	1.1
19710217	3.77	-0.14	1.07
19710218	1.76	-0.86	1.21
19710219	2.21	1.77	1.14
19710220	0.16	5.09	1.19
19710221	0.12	3.77	1.13
19710222	0.03	4.57	1.06
19710223	0.22	7.09	1.03
19710224	0.0	3.45	1.01
19710225	0.1	2.6	0.99
19710226	0.0	1.72	0.96
19710227	3.95	1.85	0.95
19710228	0.27	0.59	0.98
19710301	11.06	0.7	1.04
19710302	1.29	1.87	1.29
19710303	0.06	-0.23	1.35
19710304	2.23	1.88	1.18
19710305	1.37	4.7	1.21
19710306	0.62	5.21	1.5
19710307	0.15	5.74	1.3
19710308	0.35	6.37	1.23
19710309	2.58	1.35	1.13
19710310	3.12	1.55	1.07
19710311	3.14	3.93	1.1
19710312	0.55	6.15	1.3
19710313	0.03	3.74	1.18
19710314	3.71	2.69	1.06
19710315	0.5	1.23	1.07
19710316	0.45	0.15	1.07
19710317	0.01	1.61	1.02
19710318	17.01	1.65	1.02
19710319	25.49	0.75	3.27
19710320	5.53	2.17	3.61
19710321	0.7	0.28	2.64
19710322	0.05	2.6	2.07
19710323	0.17	6.44	1.78
19710324	0.26	6.72	3.15
19710325	0.49	3.22	2.82
19710326	0.52	2.31	1.83
19710327	3.14	5.49	1.67
19710328	0.15	7.56	1.77
19710329	2.7	6.62	1.82
19710330	1.8	3.34	1.75
19710331	0.02	2.64	1.61
19710401	1.1	3.34	1.43
19710402	1.13	4.0	1.34
19710403	3.04	3.74	1.29
19710404	3.1	3.71	1.34
19710405	0.39	3.11	1.41
19710406	0.22	4.86	1.29
19710407	0.02	3.42	1.19
19710408	0.02	6.27	1.12
19710409	0.12	4.85	1.06
19710410	0.0	7.19	1.03
19710411	0.0	9.0	1.0
19710412	0.0	7.73	0.98
19710413	0.0	5.31	0.96
19710414	0.0	7.05	0.93
19710415	0.28	9.3	0.92
19710416	1.95	2.52	0.9
19710417	0.17	5.61	0.9
19710418	0.0	6.88	0.87
19710419	0.12	6.46	0.84
19710420	0.01	5.68	0.82
19710421	0.01	8.76	0.81
19710422	5.56	8.21	0.81
19710423	28.77	6.37	1.52
19710424	0.02	3.76	2.46
19710425	0.94	2.45	1.24
19710426	2.3	3.45	1.04
19710427	0.47	2.72	0.97
19710428	2.61	5.27	0.93
19710429	0.57	5.14	0.9
19710430	0.46	5.31	0.87
19710501	0.0	7.83	0.84
19710502	0.01	10.43	0.82
19710503	0.0	9.38	0.79
19710504	0.0	7.94	0.76
19710505	0.0	8.67	0.74
19710506	3.69	10.16	0.74
19710507	0.21	10.7	0.77
19710508	0.06	11.53	0.71
19710509	0.0	11.54	0.68
19710510	0.0	11.28	0.67
19710511	0.0	10.33	0.64
19710512	0.0	7.94	0.63
19710513	0.0	8.83	0.63
19710514	3.06	10.02	0.63
19710515	1.21	7.58	0.65
19710516	3.23	6.13	0.65
19710517	1.15	6.79	0.67
19710518	0.88	7.66	0.65
19710519	5.37	9.94	0.64
19710520	0.07	9.06	0.63
19710521	0.0	10.42	0.6
19710522	0.46	8.59	0.57
19710523	16.94	8.43	0.64
19710524	0.33	7.07	0.92
19710525	0.03	8.6	0.79
19710526	6.97	5.06	0.72
19710527	0.31	6.83	0.73
19710528	0.46	5.88	0.66
19710529	0.16	9.57	0.62
19710530	2.85	9.46	0.61
19710531	3.43	10.29	0.63
19710601	0.0	11.1	0.66
19710602	0.0	10.01	0.61
19710603	0.02	9.13	0.56
19710604	0.29	8.78	0.54
19710605	0.18	8.49	0.54
19710606	0.09	8.58	0.53
19710607	0.77	8.1	0.53
19710608	2.98	6.75	0.52
