date	precipitation	temperature	discharge_spec
20020920	0.05	8.22	0.86
20020921	1.05	8.0	0.83
20020922	0.03	4.58	0.81
20020923	0.01	5.9	0.77
20020924	0.0	8.07	0.73
20020925	4.89	6.58	0.94
20020926	0.08	7.99	0.88
20020927	0.01	7.88	0.76
20020928	0.02	7.61	0.71
20020929	0.48	10.57	0.69
20020930	1.47	11.19	0.67
20021001	0.11	10.77	0.66
20021002	2.39	9.08	0.74
20021003	3.1	6.41	0.8
20021004	2.62	8.48	0.9
20021005	0.67	6.74	1.07
20021006	0.02	6.26	0.84
20021007	1.57	6.67	0.74
20021008	1.15	6.75	0.81
20021009	2.42	6.19	0.78
20021010	1.86	5.96	1.01
20021011	16.26	4.78	1.82
20021012	16.63	3.86	7.52
20021013	10.64	4.47	4.07
20021014	2.78	2.69	3.1
20021015	2.04	1.24	2.12
20021016	2.62	1.5	1.7
20021017	12.79	0.78	2.12
20021018	3.43	-0.64	1.89
20021019	0.32	-2.12	1.44
20021020	3.8	-1.07	1.23
20021021	45.86	0.26	3.2
20021022	33.72	0.0	12.16
20021023	1.62	-1.06	4.13
20021024	8.22	0.52	2.56
20021025	17.69	-0.08	5.22
20021026	17.88	1.2	3.34
20021027	4.86	0.36	5.05
20021028	0.08	0.58	2.7
20021029	0.0	-0.6	2.09
20021030	0.16	1.72	1.84
20021031	1.93	3.66	2.39
20021101	8.12	5.29	7.92
20021102	17.36	5.23	19.66
20021103	0.59	4.16	10.41
20021104	0.54	5.8	6.02
20021105	2.65	6.57	5.64
20021106	2.3	1.96	5.36
20021107	0.7	1.59	3.48
20021108	2.04	1.08	3.0
20021109	7.08	0.18	2.47
20021110	0.38	3.47	3.9
20021111	5.95	1.61	3.28
20021112	1.39	0.33	3.22
20021113	9.59	1.9	5.38
20021114	28.38	1.79	10.8
20021115	11.33	0.5	6.94
20021116	1.42	-0.81	4.57
20021117	0.21	-1.2	2.9
20021118	0.19	0.98	2.48
20021119	3.86	2.17	3.07
20021120	30.96	2.95	10.69
20021121	41.73	4.04	25.38
20021122	20.18	3.7	14.31
20021123	3.14	3.16	9.24
20021124	0.12	1.84	5.63
20021125	2.24	2.05	4.18
20021126	13.56	4.06	6.21
20021127	28.44	4.18	19.64
20021128	2.97	2.97	9.36
20021129	0.8	2.64	5.67
20021130	7.01	2.82	5.86
20021201	11.34	2.26	9.26
20021202	6.5	2.44	6.0
20021203	8.6	2.91	5.7
20021204	0.48	1.4	7.21
20021205	4.04	2.64	4.07
20021206	1.71	0.86	4.03
20021207	2.73	-0.55	3.31
20021208	0.91	-0.43	2.81
20021209	0.49	-1.08	2.39
20021210	0.6	-2.16	2.05
20021211	0.9	-1.6	1.83
20021212	0.4	-1.46	1.66
20021213	2.96	-0.27	1.6
20021214	0.53	-1.05	1.81
20021215	1.17	-1.5	1.5
20021216	0.08	-3.44	1.33
20021217	0.02	-2.79	1.06
20021218	0.01	-1.94	1.11
20021219	0.0	-2.76	0.7
20021220	0.15	-1.26	1.1
20021221	2.36	0.07	1.17
20021222	0.69	2.77	1.67
20021223	24.57	4.69	11.27
20021224	5.39	5.39	8.0
20021225	1.87	3.19	5.09
20021226	3.59	3.15	4.0
20021227	2.85	2.63	3.31
20021228	1.0	2.13	3.25
20021229	3.14	0.73	2.77
20021230	0.12	-1.42	2.37
20021231	0.38	-2.36	1.85
20030101	7.17	-1.66	1.79
20030102	5.76	-4.74	1.49
20030103	6.21	-4.69	1.38
20030104	0.32	-3.68	1.35
20030105	0.19	-5.01	1.21
20030106	0.0	-7.39	1.01
20030107	0.11	-7.14	0.92
20030108	0.37	-3.02	1.16
20030109	0.1	-2.19	1.2
20030110	0.26	-2.79	1.02
20030111	0.5	-1.52	1.0
20030112	3.45	4.24	5.34
20030113	1.29	5.67	6.36
20030114	8.4	3.75	4.84
20030115	13.65	2.23	6.42
20030116	16.54	3.97	11.69
20030117	12.41	0.55	9.76
20030118	2.35	1.29	5.49
20030119	0.16	-0.57	4.16
20030120	7.26	0.52	4.57
