date	precipitation	temperature	discharge_spec
19850101	0.84	0.8	2.71
19850102	0.55	-0.28	2.48
19850103	1.22	0.91	2.31
19850104	2.5	1.26	2.22
19850105	2.1	0.41	2.17
19850106	9.22	0.44	2.07
19850107	0.87	-0.47	2.0
19850108	0.15	0.35	1.83
19850109	0.23	0.08	1.72
19850110	0.0	-2.26	1.61
19850111	0.0	-4.91	1.46
19850112	0.11	-4.47	1.95
19850113	5.05	-1.77	1.55
19850114	0.52	-2.22	1.4
19850115	3.49	-2.27	1.33
19850116	23.47	-0.85	1.36
19850117	33.31	-0.96	1.57
19850118	0.31	-2.75	1.48
19850119	0.11	-2.89	1.35
19850120	0.78	-2.83	1.3
19850121	25.36	-0.57	1.41
19850122	4.84	-2.77	1.13
19850123	0.15	-3.97	1.24
19850124	0.0	-6.44	1.26
19850125	0.05	-7.75	1.8
19850126	0.1	-8.44	2.23
19850127	6.71	-4.88	1.93
19850128	0.43	1.39	1.28
19850129	0.02	3.11	1.34
19850130	2.25	3.62	2.24
19850131	1.3	3.39	4.46
19850201	4.51	3.25	4.46
19850202	1.13	0.93	5.98
19850203	0.63	3.54	4.73
19850204	0.17	3.91	4.18
19850205	0.56	3.62	5.18
19850206	1.5	0.21	3.88
19850207	5.06	-0.53	3.46
19850208	1.5	-2.58	1.98
19850209	1.27	-4.28	2.54
19850210	0.63	-4.18	2.36
19850211	0.67	-4.91	2.17
19850212	0.0	-4.45	2.02
19850213	0.2	-3.24	1.9
19850214	0.0	-6.52	1.75
19850215	0.0	-4.92	1.52
19850216	0.0	-3.01	1.62
19850217	0.53	-1.85	1.61
19850218	7.93	0.02	1.54
19850219	0.55	1.25	1.38
19850220	0.0	2.1	1.42
19850221	0.01	2.92	1.41
19850222	2.28	4.57	1.4
19850223	0.83	7.37	1.81
19850224	0.0	4.03	6.21
19850225	0.0	3.32	3.84
19850226	0.0	2.75	2.38
19850227	0.14	3.44	2.21
19850228	0.79	2.39	2.15
19850301	3.33	0.23	2.1
19850302	0.36	0.61	2.21
19850303	15.89	2.69	2.14
19850304	2.5	2.51	2.86
19850305	0.03	3.46	3.6
19850306	3.67	4.26	2.27
19850307	0.14	2.84	2.34
19850308	0.1	5.07	2.69
19850309	1.7	6.41	2.19
19850310	0.01	2.31	2.5
19850311	0.34	3.68	2.46
19850312	0.71	4.16	2.04
19850313	0.02	1.59	2.01
19850314	0.22	-1.41	1.88
19850315	3.27	-2.25	1.74
19850316	0.8	-1.87	1.68
19850317	0.0	-2.75	1.62
19850318	0.18	-0.62	1.57
19850319	0.55	-3.08	1.49
19850320	7.7	-2.09	1.43
19850321	1.49	-1.42	1.41
19850322	4.37	1.07	1.4
19850323	7.65	1.47	1.54
19850324	5.42	1.46	1.75
19850325	1.59	1.24	2.22
19850326	1.73	1.23	1.87
19850327	1.89	0.36	1.59
19850328	0.77	-1.08	1.46
19850329	12.31	-2.57	1.41
19850330	3.73	1.34	1.39
19850331	5.97	4.09	1.47
19850401	9.96	5.07	3.48
19850402	9.66	5.68	4.95
19850403	0.62	8.39	3.9
19850404	16.82	7.4	4.5
19850405	10.79	7.15	5.39
19850406	4.09	3.39	5.93
19850407	5.0	5.54	5.68
19850408	5.42	2.35	4.37
19850409	1.81	2.76	4.08
19850410	6.88	2.57	3.65
19850411	1.02	2.1	3.7
19850412	2.92	4.09	3.65
19850413	2.97	3.85	3.19
19850414	0.25	3.79	3.0
19850415	2.11	6.27	2.67
19850416	0.05	7.18	2.55
19850417	0.01	5.94	2.39
19850418	1.21	9.05	2.18
19850419	2.06	3.86	2.08
19850420	2.19	3.28	2.06
19850421	0.0	1.7	1.94
19850422	0.39	4.94	1.77
19850423	0.01	2.54	1.68
19850424	0.59	4.18	1.58
19850425	0.02	0.67	1.51
19850426	1.82	2.71	1.43
19850427	2.15	-0.54	1.4
19850428	4.95	0.69	1.37
19850429	2.12	5.89	1.38
19850430	2.67	6.39	1.44
19850501	1.6	4.66	1.43
19850502	0.01	4.46	1.3
19850503	0.04	3.93	1.2
19850504	0.0	4.19	1.13
19850505	0.27	3.84	1.1
19850506	0.02	5.33	1.07
19850507	0.01	8.25	1.06
19850508	0.78	9.4	1.0
19850509	1.48	5.91	0.97
19850510	0.04	3.44	0.96
19850511	0.0	4.78	0.93
19850512	0.0	6.13	0.88
19850513	0.04	9.43	0.85
19850514	3.92	7.79	0.82
19850515	0.4	7.79	0.81
19850516	0.51	9.02	0.85
19850517	2.4	10.53	0.82
19850518	16.05	8.19	0.83
19850519	0.19	5.96	1.04
19850520	0.01	7.08	1.05
19850521	0.11	6.96	0.86
19850522	4.31	5.91	0.81
19850523	26.03	6.0	0.83
19850524	8.17	6.98	1.49
19850525	11.36	9.15	4.81
19850526	1.24	12.48	2.33
19850527	10.65	9.57	3.17
19850528	1.15	7.2	1.93
19850529	0.1	7.27	2.05
19850530	0.0	9.36	1.54
19850531	0.0	10.83	1.37
19850601	0.0	11.49	1.29
19850602	0.0	10.52	1.21
19850603	0.0	11.13	1.14
19850604	0.02	10.83	1.06
19850605	0.5	5.73	1.01
19850606	0.48	4.15	0.99
19850607	0.15	4.47	0.98
19850608	2.24	7.39	0.95
19850609	9.25	7.42	0.91
19850610	1.32	8.33	1.06
19850611	5.63	7.88	0.98
19850612	10.82	5.92	1.08
19850613	1.06	5.15	1.24
19850614	0.91	4.97	1.05
19850615	1.04	6.95	0.92
19850616	0.01	7.32	0.87
19850617	4.22	9.17	0.82
19850618	4.92	8.95	0.88
19850619	1.36	8.85	1.15
19850620	0.04	11.68	1.22
19850621	42.46	9.49	0.95
19850622	12.59	9.54	5.73
19850623	0.1	9.64	10.11
19850624	17.49	9.43	4.27
19850625	2.66	10.69	5.37
19850626	9.92	9.69	3.99
19850627	1.17	9.67	4.4
19850628	1.51	8.28	3.42
19850629	0.27	9.79	3.03
19850630	1.27	11.43	2.67
19850701	4.59	11.78	2.39
19850702	0.23	15.17	2.38
19850703	2.51	14.13	2.13
19850704	0.8	15.65	2.07
19850705	8.96	12.1	1.87
19850706	0.82	10.56	1.98
19850707	0.05	11.65	1.84
19850708	2.31	12.83	1.6
19850709	0.12	10.54	1.53
19850710	2.25	12.68	1.38
19850711	2.78	13.78	1.32
19850712	5.83	10.56	1.36
19850713	4.64	12.22	1.56
19850714	2.32	9.12	1.3
19850715	3.73	10.07	1.4
19850716	1.08	12.11	1.34
19850717	6.72	10.31	1.37
19850718	1.91	10.07	1.75
19850719	0.14	8.77	1.66
19850720	0.67	9.13	1.35
19850721	0.52	8.81	1.2
19850722	7.55	9.62	1.1
19850723	5.58	11.18	1.31
19850724	0.68	14.48	1.31
19850725	0.3	15.5	1.47
19850726	26.0	11.84	1.23
19850727	1.01	10.99	3.35
19850728	12.68	13.0	2.85
19850729	9.26	10.41	2.15
19850730	0.0	11.67	3.04
19850731	0.69	10.96	2.12
19850801	12.3	11.06	1.85
19850802	4.39	11.14	1.91
19850803	0.2	9.54	3.34
19850804	3.46	10.73	2.05
19850805	1.96	10.16	1.98
19850806	0.46	9.34	1.9
19850807	5.11	9.8	1.75
19850808	6.83	8.18	1.88
19850809	2.37	8.97	2.19
19850810	1.01	10.81	2.11
19850811	14.47	9.76	1.83
19850812	2.26	8.54	2.45
19850813	9.57	9.73	2.76
19850814	29.06	10.08	3.15
19850815	22.06	10.28	9.04
19850816	5.39	11.22	10.29
19850817	0.07	12.74	7.41
19850818	10.09	12.23	5.43
19850819	1.56	12.25	5.87
19850820	20.69	11.61	4.83
19850821	2.21	11.74	8.37
19850822	0.17	9.55	5.19
19850823	40.09	10.42	4.56
19850824	7.66	10.56	12.91
19850825	0.54	9.12	10.24
19850826	4.39	9.87	7.74
19850827	13.85	11.97	6.02
19850828	0.04	8.09	8.94
19850829	12.66	10.47	5.66
19850830	1.1	11.47	4.93
19850831	15.47	9.46	6.08
19850901	1.88	8.63	7.65
19850902	14.35	8.0	6.36
19850903	0.28	4.86	8.53
19850904	12.48	6.97	6.16
19850905	0.75	5.74	6.32
19850906	0.1	6.23	5.59
19850907	2.36	6.55	4.46
19850908	2.46	6.99	4.07
19850909	2.52	11.5	3.89
19850910	0.02	10.84	3.94
19850911	0.02	11.52	3.17
19850912	3.48	11.57	2.79
19850913	1.24	10.43	2.81
19850914	1.78	9.29	2.47
19850915	0.63	8.68	2.28
19850916	5.11	8.76	2.03
19850917	0.58	7.4	2.51
19850918	18.36	8.15	2.14
19850919	0.39	7.4	2.48
19850920	22.22	6.53	3.04
19850921	10.98	5.32	2.58
19850922	26.8	6.83	6.28
19850923	1.95	10.39	6.5
19850924	0.82	10.96	8.28
19850925	5.18	12.18	5.35
19850926	0.27	12.36	5.1
19850927	0.22	14.22	4.49
19850928	0.0	12.33	3.8
19850929	0.06	15.04	3.47
19850930	15.81	14.85	3.16
19851001	2.27	14.27	3.77
19851002	9.13	11.88	3.89
19851003	11.48	10.36	4.58
19851004	10.09	9.19	5.86
19851005	4.27	9.34	6.13
19851006	7.67	7.5	4.52
19851007	2.31	6.29	6.44
19851008	0.64	6.16	4.67
19851009	1.3	6.36	4.31
19851010	1.45	9.27	3.93
19851011	0.0	5.06	3.59
19851012	0.0	7.18	3.06
19851013	0.0	9.33	2.79
19851014	0.0	13.85	2.58
19851015	0.0	7.0	2.43
19851016	0.0	8.03	2.29
19851017	0.65	7.61	2.1
19851018	0.01	4.77	1.96
19851019	0.0	5.95	1.86
19851020	0.02	7.87	1.72
19851021	0.0	5.19	1.63
19851022	0.0	5.35	1.64
19851023	0.01	5.85	1.59
19851024	0.0	5.62	1.53
19851025	0.05	4.88	1.47
19851026	0.0	4.12	1.42
19851027	0.0	5.02	1.33
19851028	0.14	5.38	1.28
19851029	0.01	4.44	1.22
19851030	0.32	4.58	1.18
19851031	0.24	1.12	1.15
19851101	1.67	1.41	1.1
19851102	0.19	-1.32	1.03
19851103	0.02	2.5	1.02
19851104	10.73	4.79	1.01
19851105	2.89	0.02	1.39
19851106	4.58	1.07	1.56
19851107	3.07	1.4	1.3
19851108	21.8	5.14	1.27
19851109	3.67	0.25	4.45
19851110	0.45	-1.77	2.38
19851111	0.57	-1.16	1.55
19851112	0.04	-2.31	1.34
19851113	0.0	-1.21	1.29
19851114	10.06	1.68	1.22
19851115	6.03	1.9	1.63
19851116	4.28	0.2	1.66
19851117	0.13	1.73	2.15
