date	precipitation	temperature	discharge_spec
20031116	1.25	3.42	1.33
20031117	1.66	7.85	1.17
20031118	7.74	8.2	1.26
20031119	0.99	4.57	1.41
20031120	1.25	2.88	1.21
20031121	0.11	1.71	1.01
20031122	0.22	0.51	0.92
20031123	0.01	-1.28	0.86
20031124	7.88	2.37	0.84
20031125	13.04	2.15	1.98
20031126	4.5	2.13	3.05
20031127	0.05	1.91	1.68
20031128	17.92	3.79	2.29
20031129	35.51	3.9	15.94
20031130	0.71	1.16	3.91
20031201	0.91	3.08	2.8
20031202	0.45	5.41	2.29
20031203	0.01	3.03	1.93
20031204	0.03	5.7	1.7
20031205	0.04	6.28	1.55
20031206	0.0	0.12	1.41
20031207	0.0	-2.19	1.31
20031208	0.01	-3.37	1.2
20031209	0.54	3.36	1.22
20031210	1.15	2.96	1.25
20031211	0.01	-0.4	1.16
20031212	7.65	3.31	1.23
20031213	0.4	3.9	1.37
20031214	1.12	0.91	1.12
20031215	0.29	0.0	1.0
20031216	2.38	4.33	1.1
20031217	0.04	4.57	1.1
20031218	0.13	3.25	1.0
20031219	2.88	0.6	0.95
20031220	30.75	0.39	1.4
20031221	6.62	-1.73	1.55
20031222	1.83	0.78	1.28
20031223	2.17	4.97	3.85
20031224	2.9	6.89	6.31
20031225	5.71	3.81	3.19
20031226	6.43	2.27	3.4
20031227	3.66	-0.27	2.39
20031228	3.91	-1.86	2.14
20031229	0.0	-5.04	1.78
20031230	0.01	-5.01	1.54
20031231	29.02	-0.87	1.7
20040101	0.4	0.13	1.98
20040102	5.25	0.01	1.75
20040103	0.23	1.22	1.96
20040104	3.81	1.45	2.1
20040105	2.12	4.39	6.88
20040106	3.13	2.66	5.52
20040107	13.14	4.52	9.65
20040108	33.08	3.55	22.58
20040109	0.82	2.05	9.13
20040110	15.14	3.05	7.06
20040111	3.0	0.69	6.99
20040112	4.55	0.29	4.97
20040113	0.27	0.01	4.29
20040114	0.76	0.19	3.61
20040115	10.63	-0.34	3.39
20040116	1.73	0.16	3.27
20040117	0.16	-0.66	2.69
20040118	2.89	4.3	3.12
20040119	1.4	7.26	3.74
20040120	4.19	4.16	3.1
20040121	1.18	3.52	2.6
20040122	0.39	4.42	2.45
20040123	3.92	3.37	2.49
20040124	0.03	1.07	2.22
20040125	0.29	0.16	2.0
20040126	0.39	-1.56	1.85
20040127	2.97	-2.91	1.73
20040128	4.32	-3.77	1.66
20040129	1.09	0.01	1.73
20040130	3.63	0.2	2.08
20040131	4.65	-1.92	1.84
20040201	2.44	1.75	1.82
20040202	7.99	6.53	5.79
20040203	3.93	8.55	5.34
20040204	5.08	6.69	3.1
20040205	6.42	5.11	2.88
20040206	1.1	2.2	3.25
20040207	9.15	-1.27	2.55
20040208	0.52	-2.32	2.21
20040209	0.5	2.49	2.13
20040210	0.07	6.44	3.19
20040211	0.02	5.04	2.24
20040212	0.08	3.54	2.0
20040213	4.02	3.24	2.0
20040214	0.06	2.85	1.84
20040215	0.02	1.86	1.74
20040216	0.19	2.02	1.65
20040217	0.0	1.04	1.55
20040218	0.0	0.49	1.48
20040219	0.01	0.04	1.42
20040220	0.52	-0.6	1.4
20040221	0.41	-0.87	1.36
20040222	0.33	-1.68	1.28
20040223	0.54	1.42	1.28
20040224	0.14	-2.44	1.21
20040225	0.28	-3.26	1.1
20040226	2.74	-2.71	1.12
20040227	6.36	-2.89	1.1
20040228	0.26	-3.72	1.14
20040229	0.01	-2.41	1.12
20040301	0.03	-0.55	1.17
20040302	0.01	0.6	1.11
20040303	8.46	2.07	1.81
20040304	0.63	3.01	1.82
20040305	0.83	3.17	1.53
20040306	2.22	3.06	1.33
20040307	0.06	1.06	1.28
20040308	0.0	0.79	1.13
20040309	0.65	0.46	1.05
20040310	5.44	-0.31	1.04
20040311	5.2	-0.03	1.08
20040312	3.18	0.83	1.13
20040313	1.46	2.07	1.48
20040314	11.01	5.3	5.71
20040315	2.24	7.19	3.06
20040316	2.46	7.42	2.62
20040317	0.61	5.4	2.03
20040318	11.6	3.26	2.54
20040319	10.61	1.85	2.85
20040320	10.64	2.56	4.58
20040321	0.54	2.8	2.79
20040322	0.51	2.81	2.28
20040323	1.84	2.07	2.11
20040324	0.67	2.61	1.95
20040325	2.88	3.38	1.95
20040326	0.02	7.25	2.02
20040327	1.91	6.28	1.98
20040328	0.07	4.99	1.96
20040329	0.02	6.92	1.69
20040330	0.0	5.48	1.59
20040331	0.01	4.51	1.52
20040401	17.17	5.43	2.59
20040402	22.38	4.93	9.27
20040403	15.68	3.76	7.11
20040404	1.11	3.93	3.84
20040405	1.0	3.12	3.28
20040406	3.09	3.88	2.99
20040407	0.64	2.65	2.66
20040408	1.97	5.94	2.45
20040409	0.25	6.93	2.28
20040410	0.66	5.19	2.14
20040411	1.19	7.54	2.0
20040412	6.61	5.59	2.05
20040413	0.33	8.57	1.89
20040414	0.33	8.02	1.79
20040415	8.57	3.16	2.71
20040416	4.66	2.95	2.43
20040417	12.61	5.07	2.82
20040418	19.98	4.1	6.74
20040419	1.47	5.09	5.03
20040420	10.13	6.77	3.73
20040421	0.88	7.39	4.03
20040422	0.82	6.01	2.86
20040423	0.6	9.01	2.73
20040424	0.01	9.87	2.5
20040425	0.01	9.46	2.26
