date	precipitation	temperature	discharge_spec
19701001	17.44	6.56	3.33
19701002	1.94	5.68	4.61
19701003	9.22	7.61	3.81
19701004	15.81	8.97	4.5
19701005	22.2	6.33	5.63
19701006	4.47	6.23	8.29
19701007	0.98	7.09	6.47
19701008	0.07	6.06	5.61
19701009	1.62	8.04	4.75
19701010	0.21	7.74	4.28
19701011	1.88	9.04	3.94
19701012	0.82	9.94	3.81
19701013	0.11	9.46	3.63
19701014	0.03	8.97	3.39
19701015	0.06	9.61	3.23
19701016	0.09	9.85	3.08
19701017	0.81	10.39	2.25
19701018	20.86	6.93	2.74
19701019	1.46	3.1	4.18
19701020	0.55	1.78	3.45
19701021	0.14	4.43	3.04
19701022	0.13	6.94	2.84
19701023	3.05	7.48	2.7
19701024	1.45	6.71	2.57
19701025	4.63	3.86	2.47
19701026	2.81	1.65	2.55
19701027	1.04	1.5	2.53
19701028	14.46	1.95	2.52
19701029	20.15	5.89	3.22
19701030	2.89	6.42	4.57
19701031	15.32	6.72	5.06
19701101	11.54	6.06	5.61
19701102	26.94	5.2	6.67
19701103	2.84	3.55	9.28
19701104	20.87	4.12	6.84
19701105	1.45	2.86	8.29
19701106	0.5	1.46	5.97
19701107	2.89	4.12	5.23
19701108	8.97	6.09	5.08
19701109	1.4	3.42	5.17
19701110	5.27	4.45	4.56
19701111	13.02	1.51	4.47
19701112	8.83	-0.25	4.68
19701113	1.46	-1.48	4.39
19701114	0.38	-1.47	4.17
19701115	5.18	-1.04	4.0
19701116	2.79	1.7	3.92
19701117	4.24	1.9	4.18
19701118	0.33	0.19	4.75
19701119	0.39	0.6	3.96
19701120	8.89	0.5	3.71
19701121	1.96	1.85	4.3
19701122	1.57	2.41	3.74
19701123	28.09	5.3	5.77
19701124	3.66	8.06	8.71
19701125	3.65	5.75	6.58
19701126	7.21	4.93	5.59
19701127	8.45	6.41	5.77
19701128	5.32	4.89	6.56
19701129	1.6	3.8	5.47
19701130	0.15	1.63	4.89
19701201	1.29	3.56	4.52
19701202	14.95	-0.15	4.93
19701203	2.81	-0.24	4.86
19701204	14.41	2.64	4.44
19701205	10.79	3.21	6.05
19701206	1.82	2.75	5.89
19701207	0.05	-0.04	5.17
19701208	0.07	4.27	4.64
19701209	0.02	4.06	4.54
19701210	0.0	0.65	4.25
19701211	0.1	1.17	3.86
19701212	2.69	2.81	3.42
19701213	0.1	2.52	3.04
19701214	0.23	2.54	3.43
19701215	1.48	4.12	3.02
19701216	7.0	5.84	2.91
19701217	2.41	5.18	3.02
19701218	6.89	7.95	2.7
19701219	3.03	4.94	3.11
19701220	0.89	-0.25	3.05
19701221	0.2	-1.45	2.79
19701222	1.13	1.54	2.6
19701223	0.77	2.39	2.75
19701224	0.26	-0.33	2.5
19701225	0.69	0.85	2.25
19701226	0.86	0.44	2.09
19701227	1.32	-0.64	1.91
19701228	0.46	-0.69	1.92
19701229	0.42	-1.14	2.08
19701230	0.2	-1.87	2.13
19701231	0.17	-2.46	2.28
19710101	0.17	0.28	1.49
19710102	0.02	-1.06	1.47
19710103	0.01	-3.05	1.67
19710104	0.01	-2.64	1.57
19710105	3.62	-1.81	1.91
19710106	20.76	4.2	1.92
19710107	15.25	6.95	7.63
19710108	10.53	8.03	5.89
19710109	23.58	8.89	9.23
19710110	0.05	6.1	7.68
19710111	0.01	3.26	5.85
19710112	0.04	3.06	5.0
19710113	0.51	3.16	4.25
19710114	1.34	3.06	3.77
19710115	0.12	1.21	3.48
19710116	0.69	1.1	3.19
19710117	7.1	4.35	2.93
19710118	12.0	3.22	3.35
19710119	11.48	2.28	4.5
19710120	11.1	1.1	4.09
19710121	10.97	1.55	6.58
19710122	7.43	1.62	5.42
19710123	12.03	1.62	5.53
19710124	13.97	2.22	6.43
19710125	3.58	2.85	7.54
19710126	1.68	2.53	6.43
19710127	16.39	1.95	6.69
19710128	1.59	0.96	6.73
19710129	7.74	-1.3	5.91
19710130	0.62	-1.98	5.08
19710131	0.46	-3.66	4.18
19710201	0.48	-1.55	4.15
19710202	2.06	4.63	4.13
19710203	0.13	5.96	5.21
19710204	0.06	5.54	3.8
19710205	0.02	3.04	3.46
19710206	0.14	4.42	3.22
19710207	0.04	6.51	3.01
19710208	0.89	3.06	3.04
19710209	1.37	3.83	3.06
19710210	1.31	2.35	3.06
19710211	10.13	2.37	3.06
19710212	22.27	3.07	4.37
19710213	10.41	0.53	5.32
19710214	12.08	0.2	4.56
19710215	0.99	-3.61	4.64
19710216	1.07	-2.75	3.77
19710217	1.65	-0.23	3.51
19710218	0.34	-0.21	3.42
19710219	5.93	1.93	3.3
19710220	3.65	4.09	4.5
19710221	0.41	2.99	4.49
19710222	0.28	4.08	3.86
19710223	1.98	5.29	3.78
19710224	0.07	3.21	3.83
19710225	0.07	2.26	3.83
19710226	0.09	1.93	3.75
19710227	9.69	0.98	3.25
19710228	1.66	-0.3	3.22
19710301	12.67	-0.23	3.43
19710302	0.28	0.96	3.39
19710303	0.06	-0.71	3.38
19710304	0.86	0.99	3.0
19710305	0.3	4.96	3.45
19710306	0.09	4.45	3.68
19710307	0.05	3.28	3.42
19710308	0.28	5.55	3.0
19710309	1.03	0.52	2.57
19710310	3.27	2.51	2.55
19710311	4.24	3.85	2.58
19710312	2.1	4.64	2.8
19710313	1.13	2.5	2.97
19710314	0.54	0.36	2.47
19710315	0.29	0.49	2.58
19710316	0.02	-0.25	2.47
19710317	0.05	1.0	2.36
19710318	2.34	1.37	2.24
19710319	2.21	0.83	2.31
19710320	0.34	1.7	2.33
19710321	0.06	-0.9	1.94
19710322	0.55	2.33	1.95
19710323	2.39	5.06	1.94
19710324	6.0	4.93	2.31
19710325	3.16	2.51	2.31
19710326	0.21	2.7	2.08
19710327	4.01	4.9	1.87
19710328	3.08	6.24	1.84
19710329	3.36	5.32	2.28
19710330	1.9	3.4	2.58
19710331	0.09	2.2	2.55
19710401	0.49	2.09	2.19
19710402	0.42	2.88	2.08
19710403	0.47	2.85	1.61
19710404	2.37	3.1	1.61
19710405	2.21	2.55	1.94
19710406	0.29	3.67	1.83
19710407	0.41	3.03	1.75
19710408	0.02	5.14	1.61
19710409	0.12	6.16	1.42
19710410	0.0	7.57	1.31
19710411	0.0	8.05	1.19
19710412	0.01	7.24	1.16
19710413	0.0	4.74	1.11
19710414	0.0	7.56	1.08
19710415	1.87	9.13	1.09
19710416	0.48	2.27	1.07
19710417	5.31	4.22	1.0
19710418	1.85	5.75	1.32
19710419	0.58	4.46	1.34
19710420	0.27	5.11	1.41
19710421	0.27	8.88	1.36
19710422	5.26	8.1	1.28
19710423	43.73	5.41	4.14
19710424	0.25	1.9	5.49
19710425	0.22	2.3	3.08
19710426	0.63	3.27	2.75
19710427	0.04	2.01	1.94
19710428	0.81	4.6	1.82
19710429	3.83	4.51	1.74
19710430	0.25	4.48	1.65
19710501	0.01	6.62	1.37
19710502	0.0	8.58	1.25
19710503	0.0	8.52	1.19
19710504	0.0	7.99	1.12
19710505	0.0	9.05	1.14
19710506	12.16	10.59	1.11
19710507	4.92	10.34	1.4
19710508	0.32	10.36	1.4
19710509	0.86	10.08	1.24
19710510	0.27	10.07	1.14
19710511	0.15	8.82	1.06
19710512	0.02	8.21	1.0
19710513	0.01	7.98	0.92
19710514	2.93	9.57	0.88
19710515	2.7	6.15	0.87
19710516	3.16	6.52	0.87
19710517	4.5	6.54	0.9
19710518	0.49	6.73	0.94
19710519	2.43	8.86	0.89
19710520	0.08	7.83	0.88
19710521	0.07	10.54	0.95
19710522	3.42	8.43	0.9
19710523	21.17	7.82	1.49
19710524	0.36	6.56	2.55
19710525	0.08	7.1	1.64
19710526	5.15	4.4	1.35
19710527	3.91	6.15	1.48
19710528	2.06	6.03	1.45
19710529	4.02	8.65	1.38
19710530	12.6	9.19	1.87
19710531	5.0	8.94	2.98
19710601	0.12	11.14	2.38
19710602	0.0	9.91	1.63
19710603	0.0	9.75	1.43
19710604	0.01	9.01	1.41
19710605	0.02	8.62	1.37
19710606	0.0	8.65	1.3
