date	precipitation	temperature	discharge_spec
19701001	29.87	5.52	2.99
19701002	3.51	4.24	8.75
19701003	11.38	7.01	3.15
19701004	25.31	7.65	7.03
19701005	36.31	5.15	6.02
19701006	7.67	5.17	14.53
19701007	0.69	6.31	5.52
19701008	0.04	5.99	2.27
19701009	2.97	7.54	1.91
19701010	0.33	7.27	1.36
19701011	2.26	8.76	1.3
19701012	0.27	9.66	1.11
19701013	0.02	9.44	0.96
19701014	0.0	9.17	0.89
19701015	0.06	9.36	0.82
19701016	0.06	9.93	1.36
19701017	1.44	9.92	0.96
19701018	31.97	5.77	2.27
19701019	1.83	1.8	3.68
19701020	0.57	0.67	1.55
19701021	0.19	3.51	1.36
19701022	0.15	6.46	3.68
19701023	4.86	7.02	1.48
19701024	2.73	5.76	1.3
19701025	10.18	2.93	1.36
19701026	3.33	0.96	1.55
19701027	1.38	0.95	1.72
19701028	17.61	1.52	2.15
19701029	33.77	5.83	7.52
19701030	5.66	5.65	12.48
19701031	21.37	6.03	2.84
19701101	11.59	5.26	4.32
19701102	37.39	4.5	7.32
19701103	4.86	3.11	11.65
19701104	31.08	3.42	2.84
19701105	2.58	1.96	12.48
19701106	0.37	0.57	3.68
19701107	4.19	4.31	2.41
19701108	18.04	5.28	2.41
19701109	2.48	2.7	6.2
19701110	9.1	4.02	2.99
19701111	20.19	0.63	3.68
19701112	15.72	-0.94	3.44
19701113	2.9	-2.16	2.59
19701114	0.26	-2.23	2.41
19701115	7.0	-1.48	2.41
19701116	5.55	1.74	2.15
19701117	5.03	1.45	2.59
19701118	0.04	-0.75	3.5
19701119	0.77	0.3	2.15
19701120	9.81	-0.08	1.83
19701121	3.38	1.48	1.94
19701122	2.59	2.24	2.41
19701123	32.75	4.62	3.32
19701124	4.86	7.84	18.24
19701125	3.88	5.76	2.69
19701126	7.55	4.93	3.32
19701127	9.65	6.27	3.5
19701128	6.58	4.57	2.41
19701129	0.47	2.98	4.46
19701130	0.04	0.84	8.15
19701201	1.96	2.85	2.27
19701202	19.51	-0.83	2.41
19701203	3.35	-0.45	2.99
19701204	19.71	2.14	2.41
19701205	20.27	2.24	2.84
19701206	3.12	2.12	7.62
19701207	0.04	-0.53	2.99
19701208	0.06	4.68	0.7
19701209	0.02	4.53	1.3
19701210	0.0	0.13	1.91
19701211	0.03	0.82	1.76
19701212	3.09	2.56	1.55
19701213	0.21	2.54	1.65
