date	precipitation	temperature	discharge_spec
19701001	23.08	8.52	6.84
19701002	1.46	7.11	6.6
19701003	4.33	9.36	2.65
19701004	14.77	10.38	5.49
19701005	11.23	7.82	6.72
19701006	6.21	6.83	8.05
19701007	0.34	7.35	4.55
19701008	0.01	7.06	2.62
19701009	0.91	9.13	2.16
19701010	0.03	9.02	1.33
19701011	0.69	10.21	0.89
19701012	0.02	11.2	1.0
19701013	0.1	11.59	1.06
19701014	0.0	10.35	1.15
19701015	0.0	9.77	1.22
19701016	0.0	10.18	1.05
19701017	0.55	10.23	1.27
19701018	10.37	8.11	2.96
19701019	0.24	5.38	1.23
19701020	0.01	3.57	0.99
19701021	0.0	5.57	0.93
19701022	0.01	8.58	0.87
19701023	6.1	9.01	1.34
19701024	6.34	8.44	2.11
19701025	6.64	5.88	1.6
19701026	4.61	3.63	2.26
19701027	3.53	3.77	2.17
19701028	13.69	3.3	2.6
19701029	28.14	7.95	9.51
19701030	4.51	8.33	9.6
19701031	31.9	8.96	16.75
19701101	8.45	7.09	8.47
19701102	28.9	7.51	14.66
19701103	18.17	5.8	29.01
19701104	19.94	5.75	12.75
19701105	0.15	4.29	7.79
19701106	0.36	2.72	3.88
19701107	4.2	4.87	2.49
19701108	6.49	7.23	5.97
19701109	0.23	5.03	3.24
19701110	8.34	7.01	2.88
19701111	18.4	3.31	5.03
19701112	18.02	1.28	6.89
19701113	4.28	0.18	6.0
19701114	0.02	0.14	3.17
19701115	7.84	0.52	2.18
19701116	5.16	3.72	4.44
19701117	7.48	3.38	10.38
19701118	1.28	1.98	6.15
19701119	0.41	2.29	3.5
19701120	6.93	2.37	3.02
19701121	2.55	3.02	4.08
19701122	3.39	3.08	2.46
19701123	32.53	6.98	11.24
19701124	2.08	9.03	13.15
19701125	3.46	6.65	5.25
19701126	12.73	5.88	3.89
19701127	13.45	7.02	5.88
19701128	4.53	5.79	10.33
19701129	3.6	4.55	4.57
19701130	0.16	2.75	3.75
19701201	2.85	4.79	3.02
19701202	27.02	2.4	9.22
19701203	3.66	1.87	6.06
19701204	9.94	4.6	8.19
19701205	10.73	4.96	7.3
19701206	4.03	3.08	6.65
19701207	0.01	1.39	3.32
19701208	0.06	4.35	2.45
19701209	0.02	3.96	2.06
19701210	0.0	1.73	1.85
19701211	0.13	2.35	1.71
19701212	5.73	4.16	1.98
19701213	0.05	3.31	1.87
19701214	0.2	3.95	1.37
19701215	1.08	5.68	1.23
19701216	13.23	6.81	2.86
19701217	4.19	6.59	3.33
19701218	9.92	9.27	6.14
19701219	2.68	5.89	4.81
19701220	0.18	1.4	2.76
19701221	0.0	-0.63	1.71
19701222	0.08	2.0	1.38
19701223	0.57	3.77	1.27
19701224	0.26	1.2	1.12
19701225	0.11	1.81	1.03
19701226	0.98	1.59	0.97
19701227	0.34	0.14	0.89
19701228	0.21	0.57	0.76
19701229	0.05	0.21	0.66
19701230	0.0	-1.77	0.61
19701231	0.0	-2.31	0.69
19710101	0.0	0.01	1.01
19710102	0.0	-1.07	0.95
19710103	0.0	-2.31	0.86
19710104	0.0	-0.94	0.74
19710105	4.9	-1.63	0.66
19710106	21.05	4.85	4.4
