date	precipitation	temperature	discharge_spec
19971031	0.07	9.64	0.42
19971101	0.39	10.69	0.39
19971102	0.05	8.67	0.41
19971103	0.07	8.36	0.42
19971104	2.63	7.86	0.41
19971105	10.2	8.49	0.55
19971106	0.42	6.45	0.61
19971107	1.23	5.21	0.54
19971108	7.92	3.22	1.15
19971109	0.66	3.78	0.94
19971110	2.15	7.04	0.76
19971111	0.13	6.5	0.72
19971112	0.05	5.51	0.65
19971113	0.57	4.02	0.61
19971114	1.1	6.63	0.59
19971115	0.09	10.45	0.57
19971116	2.18	12.87	0.59
19971117	3.02	12.47	0.56
19971118	0.58	10.65	0.58
19971119	1.51	9.74	0.57
19971120	6.76	6.93	0.62
19971121	0.08	5.3	0.65
19971122	0.0	4.44	0.59
19971123	6.54	6.01	0.64
19971124	6.66	7.14	1.68
19971125	2.27	7.08	1.89
19971126	7.03	7.95	1.61
19971127	2.73	7.01	2.67
19971128	8.0	7.27	1.69
19971129	3.22	4.69	2.59
19971130	0.01	1.2	1.73
19971201	0.22	-0.17	1.26
19971202	0.44	0.89	1.03
19971203	0.08	2.36	0.85
19971204	0.1	3.53	0.74
19971205	1.67	8.24	0.74
19971206	0.77	10.36	0.73
19971207	5.44	9.19	0.79
19971208	3.04	7.76	1.37
19971209	8.77	6.95	1.26
19971210	17.31	4.94	4.11
19971211	8.69	2.63	8.21
19971212	0.94	3.19	3.98
19971213	0.63	4.57	2.7
19971214	0.24	4.35	2.0
19971215	0.54	4.13	1.57
19971216	0.18	4.21	1.33
19971217	1.05	3.97	1.14
19971218	22.76	5.88	3.89
19971219	16.56	5.47	6.1
19971220	0.81	5.54	6.48
19971221	0.75	5.01	3.98
19971222	1.76	4.05	2.88
19971223	7.08	6.85	2.83
19971224	12.09	6.06	4.81
19971225	11.44	4.53	7.68
19971226	0.1	3.87	5.55
19971227	0.31	4.02	3.83
19971228	0.03	1.63	2.73
19971229	0.76	2.41	2.06
19971230	3.43	7.34	2.04
19971231	0.25	3.11	1.78
19980101	1.21	5.32	1.51
19980102	3.45	5.68	1.33
19980103	11.84	4.09	2.0
19980104	16.06	1.3	4.48
19980105	0.07	0.84	4.87
19980106	2.64	1.7	3.4
19980107	0.94	2.61	3.0
19980108	8.17	5.95	2.86
19980109	0.43	11.22	3.7
19980110	0.33	10.0	2.58
19980111	1.33	8.58	2.27
19980112	0.12	6.4	2.02
19980113	14.34	4.16	2.93
19980114	1.23	4.61	3.51
19980115	0.63	3.6	2.68
19980116	1.28	3.42	2.03
19980117	19.13	3.03	5.43
19980118	6.38	2.11	7.55
19980119	0.38	-0.91	5.11
19980120	0.48	0.1	3.4
19980121	0.44	5.36	2.6
19980122	6.0	7.72	2.21
19980123	1.64	4.06	2.4
19980124	0.19	2.67	2.0
19980125	0.02	0.44	1.74
19980126	0.01	-0.38	1.49
19980127	0.02	0.96	1.37
19980128	0.04	2.18	1.49
19980129	0.06	2.72	1.76
19980130	0.62	3.59	1.61
19980131	0.45	2.75	1.38
19980201	0.11	3.54	1.18
19980202	0.01	2.05	1.05
19980203	1.55	4.03	1.02
19980204	0.46	5.25	0.99
19980205	0.37	7.11	0.97
19980206	5.36	4.69	0.89
19980207	0.87	4.79	0.81
19980208	2.25	8.87	0.86
19980209	5.0	8.3	1.08
19980210	12.15	8.38	1.18
19980211	5.96	11.21	3.48
19980212	1.74	11.91	2.18
19980213	2.0	11.63	2.22
19980214	5.82	11.4	3.48
19980215	1.07	9.87	3.51
19980216	0.17	7.0	2.49
19980217	0.03	9.65	2.0
19980218	0.08	8.73	1.9
19980219	1.18	10.04	1.81
19980220	0.78	8.21	1.57
19980221	1.16	4.43	1.35
19980222	1.35	6.57	1.22
19980223	0.22	10.23	1.09
19980224	0.0	9.01	0.96
19980225	0.02	7.24	0.89
19980226	7.88	6.63	0.8
19980227	2.87	2.16	1.4
19980228	0.2	0.2	1.06
19980301	7.26	1.22	1.19
19980302	5.71	4.73	1.93
19980303	0.33	3.66	2.44
19980304	0.71	2.22	1.83
19980305	1.1	0.7	1.64
19980306	16.4	2.37	2.45
19980307	3.96	3.84	5.1
19980308	0.02	1.78	3.33
19980309	0.6	3.83	2.46
19980310	8.12	4.53	2.88
19980311	0.49	2.57	2.53
19980312	0.97	5.84	2.22
19980313	0.0	7.99	1.81
19980314	0.01	10.58	1.51
19980315	0.12	10.76	1.26
19980316	0.31	7.65	1.14
19980317	0.21	8.53	1.07
19980318	0.01	5.5	0.96
19980319	0.0	7.54	0.87
19980320	0.0	9.3	0.81
