date	precipitation	temperature	discharge_spec
19731101	2.09	5.32	1.19
19731102	4.28	8.08	1.15
19731103	3.24	9.91	1.22
19731104	22.8	4.25	2.82
19731105	3.0	1.19	4.88
19731106	1.35	3.27	4.4
19731107	15.36	8.13	4.17
19731108	28.29	8.37	8.59
19731109	0.54	2.48	14.22
19731110	8.62	2.29	10.25
19731111	35.5	5.02	7.69
19731112	19.71	4.52	15.38
19731113	4.97	2.22	16.97
19731114	7.79	2.0	12.08
19731115	2.78	0.12	8.21
19731116	0.28	-1.31	5.64
19731117	38.16	2.58	4.54
19731118	19.42	4.53	15.42
19731119	0.03	1.88	20.05
19731120	0.52	2.53	12.09
19731121	7.6	7.27	7.05
19731122	1.82	5.52	5.85
19731123	33.37	5.01	6.36
19731124	0.67	1.41	12.68
19731125	0.06	-1.85	9.86
19731126	0.0	-2.93	6.21
19731127	0.01	-3.06	4.14
19731128	5.11	-3.73	3.07
19731129	0.0	-4.17	2.29
19731130	0.0	-4.07	1.74
19731201	0.01	-4.1	1.39
19731202	0.98	4.1	1.24
19731203	2.64	7.85	1.64
19731204	1.49	7.31	2.2
19731205	10.74	4.39	2.55
19731206	0.36	-0.76	3.28
19731207	7.93	-1.12	3.13
19731208	0.3	-1.39	2.56
19731209	13.38	4.73	2.62
19731210	22.88	3.89	8.18
19731211	10.56	2.02	10.86
19731212	30.21	4.28	14.2
19731213	5.22	0.89	16.09
19731214	2.37	-2.51	10.59
19731215	21.83	2.08	7.97
19731216	6.3	0.42	8.74
19731217	1.38	-2.52	6.63
19731218	15.35	-0.85	4.85
19731219	36.67	-0.06	4.81
19731220	4.04	1.1	5.51
19731221	3.97	2.12	5.1
19731222	13.93	1.78	6.73
19731223	1.27	1.87	8.34
19731224	1.35	2.15	7.33
19731225	4.88	5.54	7.44
19731226	2.15	7.27	12.63
19731227	5.57	5.07	14.05
19731228	4.46	5.5	10.67
19731229	15.03	3.69	8.96
19731230	2.06	1.39	8.9
19731231	0.5	2.88	6.71
19740101	12.21	3.57	5.93
19740102	0.68	-0.41	6.82
19740103	2.51	0.78	5.54
19740104	54.46	5.85	8.12
19740105	15.06	5.59	20.2
19740106	14.07	3.41	20.37
19740107	10.58	2.37	16.55
19740108	36.95	1.66	16.19
19740109	4.0	1.07	14.48
19740110	36.2	2.18	12.29
19740111	30.92	3.99	13.93
19740112	16.9	2.64	19.84
19740113	15.98	2.56	18.47
19740114	19.81	3.27	16.9
19740115	7.78	0.87	14.36
19740116	13.92	0.18	9.96
19740117	70.49	4.78	15.89
19740118	16.32	7.28	42.06
19740119	1.18	5.93	32.7
19740120	0.37	4.38	18.5
19740121	0.2	2.45	9.92
19740122	19.22	4.05	6.68
19740123	12.22	2.98	9.05
19740124	9.86	4.31	10.06
19740125	24.84	4.87	9.7
19740126	18.98	2.77	13.61
19740127	11.1	2.45	14.74
19740128	39.08	1.13	12.93
19740129	55.3	2.63	12.56
19740130	29.5	3.11	33.75
19740131	3.99	2.18	31.89
19740201	15.1	3.03	18.67
19740202	30.9	3.25	15.08
19740203	2.82	2.7	17.2
19740204	4.23	0.39	14.31
19740205	1.5	0.44	9.56
19740206	0.01	0.07	6.62
19740207	4.28	-0.69	4.75
19740208	35.12	2.12	6.0
19740209	25.25	4.26	13.43
19740210	16.78	4.2	19.7
19740211	9.52	1.81	20.4
19740212	3.63	-0.65	14.23
19740213	0.67	-2.27	9.12
19740214	28.51	0.29	6.55
19740215	20.3	3.67	9.91
19740216	0.43	3.45	15.07
19740217	0.01	4.59	11.74
19740218	0.58	3.03	8.03
19740219	0.64	1.95	5.93
19740220	1.62	5.52	4.72
19740221	7.75	3.98	4.67
19740222	2.98	2.59	5.26
19740223	0.38	5.21	4.93
19740224	1.36	5.69	4.41
19740225	1.12	6.33	3.97
19740226	0.44	5.75	3.69
19740227	2.14	1.21	3.3
19740228	12.89	-1.22	3.03
19740301	2.58	-1.94	2.76
19740302	0.05	-1.32	2.38
19740303	0.33	1.28	2.19
19740304	3.06	0.86	1.93
19740305	0.02	0.13	1.88
19740306	11.52	2.16	1.92
19740307	0.51	4.76	3.2
19740308	0.19	1.93	4.38
19740309	0.68	0.25	4.1
19740310	0.11	0.88	3.37
19740311	1.21	0.84	2.72
19740312	2.27	1.68	2.17
19740313	3.69	1.15	1.93
19740314	13.94	1.73	1.87
19740315	6.71	2.97	2.41
19740316	11.5	3.09	3.56
19740317	16.68	1.31	6.63
19740318	8.87	0.86	7.61
19740319	11.25	0.83	6.7
19740320	0.03	1.22	5.77
19740321	20.13	2.39	5.47
19740322	0.04	5.47	8.35
19740323	0.0	3.1	7.38
19740324	0.07	3.86	5.67
19740325	2.63	3.55	4.41
19740326	0.03	4.48	3.78
19740327	0.01	5.05	3.33
