date	precipitation	temperature	discharge_spec
19701001	8.3	8.98	0.46
19701002	0.25	7.34	1.0
19701003	1.25	10.09	0.59
19701004	5.1	11.06	0.68
19701005	2.45	8.59	1.3
19701006	2.04	7.49	1.06
19701007	0.52	7.9	0.82
19701008	0.0	7.55	0.58
19701009	0.12	9.33	0.56
19701010	0.0	9.11	0.52
19701011	1.39	11.62	0.37
19701012	0.05	11.51	0.33
19701013	0.0	10.64	0.37
19701014	0.0	10.55	0.34
19701015	0.0	10.1	0.32
19701016	0.0	9.85	0.31
19701017	0.06	10.42	0.32
19701018	5.29	8.69	0.49
19701019	0.36	6.01	0.43
19701020	0.0	4.21	0.33
19701021	0.0	5.69	0.33
19701022	0.0	8.85	0.35
19701023	2.03	9.32	0.36
19701024	3.38	9.13	0.37
19701025	2.15	6.37	0.37
19701026	0.8	3.9	0.37
19701027	1.64	4.49	0.39
19701028	7.78	4.59	0.56
19701029	14.8	9.4	1.38
19701030	1.09	8.95	4.48
19701031	23.98	9.71	9.08
19701101	2.3	7.39	2.88
19701102	8.84	8.37	1.59
19701103	7.49	6.57	5.5
19701104	9.44	6.09	3.11
19701105	0.09	4.48	3.04
19701106	0.95	2.93	1.55
19701107	1.13	4.83	1.22
19701108	0.92	7.29	1.2
19701109	0.03	5.26	0.88
19701110	4.43	7.63	0.66
19701111	6.02	3.78	1.16
19701112	5.59	1.69	2.52
19701113	4.23	0.83	3.06
19701114	0.1	0.5	2.06
19701115	3.7	0.28	1.2
19701116	2.58	4.25	2.13
19701117	2.14	3.53	2.98
19701118	5.77	2.27	2.29
19701119	0.2	2.0	2.76
19701120	4.35	2.41	2.0
19701121	0.38	2.6	1.99
19701122	0.26	3.56	1.34
19701123	18.47	7.23	5.48
19701124	0.27	8.9	4.29
19701125	0.71	5.75	2.06
19701126	9.59	5.12	1.57
19701127	2.15	6.97	3.35
19701128	1.77	5.37	2.49
19701129	5.54	3.79	1.93
19701130	1.19	2.32	2.96
19701201	2.35	4.65	1.74
19701202	16.34	2.18	5.87
19701203	0.72	1.83	4.65
19701204	1.17	4.63	2.45
19701205	2.83	4.92	1.79
19701206	1.3	3.56	1.67
19701207	0.03	0.96	1.33
19701208	0.07	4.0	1.08
19701209	0.02	3.66	0.92
19701210	0.0	1.81	0.9
19701211	0.07	1.84	0.88
19701212	0.49	4.21	0.87
19701213	0.02	3.38	0.81
19701214	0.0	3.61	0.72
19701215	0.02	4.35	0.76
19701216	3.42	5.93	0.8
19701217	0.83	6.76	0.93
19701218	0.98	9.26	0.95
19701219	0.68	6.21	0.95
19701220	0.06	1.69	0.95
19701221	0.01	-0.1	0.9
19701222	0.11	2.16	0.83
19701223	7.28	3.91	0.85
19701224	6.97	1.11	2.32
19701225	2.56	2.02	1.77
19701226	2.13	1.1	1.87
19701227	0.32	0.73	1.49
19701228	8.3	0.79	1.32
19701229	5.85	0.48	2.39
19701230	0.31	-1.8	1.95
19701231	0.0	-2.55	1.34
19710101	0.13	0.33	1.14
19710102	0.0	-1.42	1.05
19710103	0.0	-2.3	0.95
19710104	0.0	-1.04	0.91
19710105	0.86	-1.28	0.88
19710106	3.04	5.4	2.13
19710107	0.74	8.72	2.52
19710108	0.43	9.46	1.5
19710109	0.39	10.2	1.39
19710110	0.0	6.68	1.03
19710111	0.01	3.49	0.91
19710112	0.11	2.86	0.88
19710113	0.11	3.59	0.89
19710114	0.27	3.9	0.91
19710115	0.09	2.1	0.87
19710116	0.28	2.45	0.85
19710117	0.06	6.17	0.78
19710118	0.97	5.66	0.73
19710119	0.64	4.47	0.81
19710120	3.37	2.63	0.79
19710121	0.8	3.04	0.82
19710122	4.06	3.47	0.81
19710123	4.87	4.09	1.84
19710124	4.54	4.89	1.84
19710125	2.67	3.83	2.17
19710126	1.21	3.65	1.83
19710127	0.27	3.89	1.38
19710128	12.76	3.12	2.52
19710129	3.39	0.99	3.17
19710130	0.1	-0.53	2.07
19710131	0.0	-1.73	1.55
19710201	0.12	-0.9	1.15
19710202	0.11	4.98	0.99
19710203	0.0	7.08	0.96
19710204	0.0	5.75	0.92
19710205	0.01	3.77	0.89
19710206	0.01	4.8	0.89
19710207	0.0	6.92	0.89
19710208	1.04	5.53	0.88
19710209	0.29	6.21	0.86
19710210	1.23	4.97	0.84
19710211	6.18	4.13	0.88
19710212	9.62	4.88	1.82
19710213	8.89	2.0	3.66
19710214	8.3	1.32	4.74
19710215	1.2	-1.92	3.78
19710216	1.83	-1.05	1.84
19710217	5.87	1.63	3.15
19710218	0.15	1.64	2.86
19710219	1.82	3.97	1.95
19710220	2.11	5.84	2.37
19710221	0.03	3.98	1.85
19710222	0.0	5.19	1.33
19710223	0.24	6.64	1.12
19710224	0.32	6.54	1.0
19710225	0.12	4.08	0.96
19710226	0.0	3.33	0.94
19710227	5.45	2.2	0.98
19710228	0.45	1.15	1.15
19710301	7.49	1.64	1.88
19710302	0.07	2.82	1.72
19710303	0.0	0.51	1.26
19710304	0.37	1.14	1.02
19710305	1.49	4.76	0.95
19710306	0.4	4.74	0.95
19710307	0.01	3.76	0.94
19710308	0.02	5.85	0.85
19710309	0.05	2.88	0.83
19710310	1.34	4.92	0.69
19710311	0.35	5.89	0.61
19710312	0.35	6.02	0.58
19710313	1.16	5.15	0.57
19710314	0.24	2.19	0.6
19710315	0.41	2.2	0.56
19710316	0.24	1.74	0.55
19710317	1.55	3.05	0.53
19710318	33.98	1.76	5.11
19710319	51.2	1.71	11.04
19710320	0.3	3.18	6.24
19710321	0.09	2.33	3.97
19710322	0.0	3.4	2.77
19710323	0.35	6.43	6.89
19710324	0.65	6.76	12.2
19710325	0.43	4.49	5.36
19710326	0.12	5.6	2.39
19710327	1.91	6.99	1.64
19710328	0.03	8.4	1.62
19710329	4.15	7.75	1.33
19710330	1.05	3.6	1.27
19710331	0.01	3.61	0.99
19710401	0.02	3.69	0.77
19710402	0.38	4.65	0.63
19710403	0.59	4.25	0.6
