date	precipitation	temperature	discharge_spec
20040517	0.0	11.53	0.26
20040518	0.47	13.02	0.25
20040519	0.0	10.92	0.23
20040520	4.13	10.54	0.27
20040521	0.51	7.03	0.27
20040522	0.0	9.65	0.2
20040523	0.0	12.09	0.19
20040524	0.01	11.63	0.19
20040525	0.0	10.27	0.18
20040526	0.0	8.56	0.17
20040527	0.0	11.2	0.17
20040528	0.9	14.43	0.17
20040529	0.92	12.04	0.18
20040530	2.43	12.68	0.27
20040531	6.52	14.39	0.3
20040601	9.7	11.71	0.62
20040602	4.18	14.66	0.32
20040603	0.19	14.33	0.26
20040604	0.0	13.14	0.2
20040605	0.02	16.74	0.18
20040606	0.0	16.22	0.17
20040607	0.0	14.1	0.15
20040608	0.0	15.47	0.15
20040609	2.71	17.0	0.18
20040610	5.44	15.88	0.22
20040611	0.11	13.57	0.18
20040612	0.0	14.07	0.14
20040613	0.0	16.52	0.12
20040614	0.02	15.59	0.12
20040615	0.0	15.4	0.12
20040616	2.25	14.03	0.14
20040617	7.55	12.66	0.26
20040618	3.23	10.08	0.21
20040619	3.33	9.25	0.24
20040620	0.93	11.12	0.23
20040621	0.41	10.93	0.17
20040622	13.25	14.77	0.23
20040623	52.75	9.89	8.16
20040624	10.25	10.34	10.2
20040625	0.0	12.34	1.46
20040626	8.85	13.98	1.21
20040627	3.71	13.58	1.21
20040628	0.8	13.56	0.66
20040629	3.61	15.03	0.51
20040630	7.41	13.0	1.47
20040701	2.03	12.69	0.69
20040702	7.0	12.35	0.92
20040703	14.79	13.35	3.78
20040704	3.28	12.08	1.73
20040705	1.91	13.07	1.02
20040706	0.19	13.76	0.61
20040707	0.03	11.91	0.45
20040708	0.05	10.12	0.38
20040709	2.01	12.47	0.35
20040710	0.12	12.88	0.32
20040711	0.06	12.76	0.29
20040712	0.0	13.6	0.27
20040713	1.14	14.98	0.25
20040714	0.0	14.67	0.24
20040715	1.68	14.34	0.23
20040716	1.24	14.69	0.22
20040717	1.02	13.52	0.22
20040718	0.0	13.67	0.19
20040719	0.59	14.84	0.18
20040720	1.6	17.25	0.19
20040721	0.0	15.29	0.17
20040722	0.03	15.22	0.15
20040723	0.0	14.89	0.14
20040724	2.38	12.71	0.15
20040725	0.16	14.17	0.16
20040726	0.0	15.21	0.13
20040727	0.55	17.97	0.13
20040728	2.44	16.82	0.16
20040729	1.54	18.1	0.18
20040730	0.0	17.77	0.15
20040731	0.07	16.87	0.14
20040801	0.0	15.77	0.14
20040802	0.16	16.4	0.12
20040803	17.32	18.24	0.49
20040804	0.3	16.56	0.37
20040805	3.28	18.02	0.22
20040806	0.0	16.71	0.19
20040807	0.0	17.58	0.15
20040808	3.92	20.76	0.15
20040809	34.88	17.25	5.01
20040810	14.59	16.61	4.27
20040811	5.56	17.68	5.59
20040812	13.81	15.53	6.42
20040813	0.67	15.12	2.98
20040814	0.05	16.65	1.26
20040815	1.98	17.37	0.83
20040816	2.46	15.14	0.73
20040817	9.82	16.51	2.1
20040818	17.89	16.63	6.37
20040819	1.51	15.02	3.29
20040820	0.15	12.62	1.36
20040821	0.0	10.66	0.81
20040822	0.0	15.06	0.6
20040823	8.83	14.82	0.61
20040824	3.88	15.36	0.78
20040825	0.0	12.43	0.66
20040826	6.48	14.03	0.83
20040827	0.05	13.25	0.81
20040828	0.25	14.14	0.52
20040829	1.67	13.58	0.45
20040830	0.06	12.12	0.35
20040831	0.0	11.83	0.32
20040901	0.0	15.5	0.31
20040902	0.0	15.91	0.28
20040903	0.12	17.09	0.27
20040904	0.03	19.05	0.25
20040905	5.61	15.49	0.3
20040906	0.14	11.61	0.29
20040907	0.01	10.84	0.23
20040908	0.06	12.04	0.21
20040909	0.07	14.42	0.22
20040910	2.87	15.26	0.25
