date	precipitation	temperature	discharge_spec
19701001	10.44	7.96	2.29
19701002	1.69	5.77	2.9
19701003	2.36	8.96	2.13
19701004	8.34	9.72	1.99
19701005	0.7	7.51	3.19
19701006	4.28	6.2	2.83
19701007	1.83	6.38	2.56
19701008	0.0	6.2	2.18
19701009	0.38	8.23	1.79
19701010	0.02	8.03	1.49
19701011	2.4	10.16	1.36
19701012	0.16	10.39	1.3
19701013	0.0	10.44	1.18
19701014	0.0	9.5	1.08
19701015	0.0	8.72	1.0
19701016	0.0	9.01	0.93
19701017	0.21	9.52	0.88
19701018	5.71	7.34	0.97
19701019	0.15	4.06	0.61
19701020	0.0	2.37	0.57
19701021	0.0	4.07	0.58
19701022	0.0	7.45	0.6
19701023	2.39	7.99	0.64
19701024	9.46	7.93	0.69
19701025	2.65	4.9	1.06
19701026	3.38	2.86	1.41
19701027	4.12	4.44	1.42
19701028	10.35	4.36	1.59
19701029	16.69	9.2	2.7
19701030	3.61	7.67	6.48
19701031	27.29	8.46	10.87
19701101	0.99	6.41	7.98
19701102	11.9	7.31	5.43
19701103	10.19	5.34	8.17
19701104	13.5	5.06	7.24
19701105	0.22	3.5	7.1
19701106	0.23	1.79	5.01
19701107	1.69	3.7	3.59
19701108	3.03	6.28	3.2
19701109	0.06	4.18	2.49
19701110	5.65	6.69	2.14
19701111	2.71	3.04	2.65
19701112	7.34	1.33	2.64
19701113	1.12	-0.31	2.43
19701114	0.05	-0.82	2.04
19701115	4.92	-0.92	1.76
19701116	0.85	2.87	1.84
19701117	5.35	2.28	2.49
19701118	6.8	1.7	3.0
19701119	0.07	0.84	2.79
19701120	8.57	1.22	2.95
19701121	0.78	1.75	3.09
19701122	5.45	2.39	2.71
19701123	43.21	6.21	11.06
19701124	3.91	7.7	14.61
19701125	0.16	4.96	8.75
19701126	11.13	4.52	6.24
19701127	6.0	6.77	5.61
19701128	5.3	4.65	6.38
19701129	6.48	2.99	5.95
19701130	0.51	1.73	5.31
19701201	0.94	3.96	4.11
19701202	13.71	1.38	4.63
19701203	1.26	1.17	5.19
19701204	3.77	3.77	4.24
19701205	9.75	3.75	3.86
19701206	2.95	2.36	4.94
19701207	0.0	-0.29	4.14
19701208	0.01	3.89	3.31
19701209	0.04	3.05	2.72
19701210	0.0	0.38	2.31
19701211	0.14	1.66	2.01
19701212	2.82	3.44	1.89
19701213	0.09	2.75	1.75
19701214	0.12	2.37	1.56
19701215	0.3	3.64	1.41
19701216	8.05	5.8	1.59
19701217	1.35	5.67	2.06
19701218	2.13	8.0	1.91
19701219	3.61	5.15	2.33
19701220	0.06	0.67	2.36
19701221	0.01	-1.23	1.98
19701222	0.32	1.25	1.68
19701223	8.27	2.23	1.61
19701224	2.25	0.52	1.87
19701225	8.56	0.73	1.86
19701226	1.54	-0.52	2.23
19701227	1.17	-0.55	1.9
19701228	3.13	-0.1	1.74
19701229	3.24	-0.76	1.63
19701230	1.23	-3.46	1.45
19701231	0.01	-4.5	1.29
19710101	0.6	-0.74	1.23
19710102	0.0	-2.23	1.18
19710103	0.0	-3.58	1.07
19710104	0.04	-2.41	1.03
19710105	0.1	-2.3	0.95
19710106	15.3	4.18	2.2
19710107	7.47	7.26	8.67
19710108	14.99	7.77	9.07
19710109	3.11	8.83	9.18
19710110	0.01	6.44	5.91
19710111	0.0	2.58	3.82
19710112	0.01	2.28	2.76
19710113	0.23	2.61	2.19
19710114	0.52	3.06	1.85
19710115	0.04	1.14	1.6
19710116	0.94	1.85	1.46
19710117	3.35	4.33	1.37
19710118	7.56	3.89	1.75
19710119	0.39	2.91	2.46
19710120	14.51	1.66	2.14
19710121	3.28	1.62	4.28
19710122	7.02	2.09	3.25
19710123	6.33	2.78	4.45
19710124	14.78	4.08	6.2
19710125	2.54	2.21	8.15
19710126	0.45	2.48	5.82
19710127	0.8	2.5	3.95
19710128	15.92	1.63	4.57
19710129	3.25	0.03	4.15
19710130	1.37	-1.37	3.31
19710131	0.03	-2.71	2.66
19710201	0.14	-2.11	2.18
19710202	1.81	3.7	2.24
19710203	0.04	6.33	2.51
19710204	0.0	3.57	2.14
19710205	0.0	1.39	1.84
19710206	0.02	3.88	1.62
19710207	0.02	5.6	1.46
19710208	0.81	4.55	1.37
19710209	0.7	4.18	1.29
19710210	1.76	3.43	1.23
19710211	19.21	2.79	1.64
19710212	25.16	3.46	8.83
19710213	14.38	0.96	10.54
19710214	25.34	0.58	9.34
19710215	0.05	-2.87	8.73
19710216	2.56	-1.48	5.56
19710217	6.58	0.55	4.07
19710218	0.08	0.5	3.4
19710219	3.39	2.82	3.29
19710220	2.19	4.87	6.53
19710221	0.21	3.0	5.23
19710222	0.0	4.29	3.58
19710223	0.04	5.85	2.72
19710224	0.35	5.59	2.39
19710225	0.15	3.36	2.16
19710226	0.07	2.07	1.9
19710227	8.58	0.62	1.74
19710228	0.35	-0.86	1.62
19710301	8.73	0.05	1.6
19710302	0.03	0.65	1.86
19710303	0.0	-1.72	1.67
19710304	1.03	-0.64	1.49
19710305	0.81	2.24	1.58
19710306	0.17	2.38	1.64
19710307	0.02	2.56	1.56
19710308	0.01	3.57	1.46
19710309	2.43	0.84	1.39
19710310	2.75	3.25	1.35
19710311	0.47	4.59	1.36
19710312	0.66	4.8	1.35
19710313	3.21	4.25	1.27
19710314	1.46	0.42	1.31
19710315	0.04	0.37	1.23
19710316	0.83	1.14	1.13
19710317	2.12	1.66	1.06
19710318	20.85	0.27	2.07
19710319	25.4	0.22	4.3
19710320	0.77	1.17	3.78
19710321	0.15	1.07	2.77
19710322	0.01	2.4	2.33
19710323	1.49	4.83	3.25
19710324	2.96	5.13	6.02
19710325	1.38	3.12	4.59
19710326	0.58	3.35	3.18
19710327	2.09	5.58	2.49
19710328	0.65	6.25	2.24
19710329	8.46	6.35	2.48
19710330	0.99	2.72	2.9
19710331	0.0	2.26	2.43
19710401	0.06	2.81	1.98
19710402	0.58	3.6	1.68
19710403	0.84	2.78	1.48
19710404	1.48	3.13	1.39
19710405	1.35	3.22	1.37
19710406	0.03	2.59	1.28
19710407	0.04	3.89	1.18
19710408	0.0	2.61	1.08
19710409	0.0	6.21	1.0
19710410	0.0	7.18	0.94
19710411	0.0	7.91	0.87
19710412	0.0	6.91	0.82
19710413	0.0	4.15	0.79
19710414	0.0	6.79	0.75
19710415	1.83	10.33	0.73
19710416	1.94	2.31	0.75
19710417	0.7	4.23	0.79
19710418	0.13	6.88	0.66
19710419	0.12	4.18	0.46
19710420	0.0	5.62	0.46
19710421	0.0	9.91	0.49
19710422	1.19	9.87	0.5
