date	precipitation	temperature	discharge_spec
19701001	3.68	8.92	0.29
19701002	0.06	7.25	0.29
19701003	1.76	9.89	0.27
19701004	2.8	10.86	0.28
19701005	0.28	8.96	0.29
19701006	0.15	7.03	0.27
19701007	0.93	7.19	0.27
19701008	0.0	6.98	0.25
19701009	0.0	8.26	0.24
19701010	0.01	8.69	0.24
19701011	1.2	10.1	0.24
19701012	0.25	10.78	0.25
19701013	0.03	10.4	0.24
19701014	0.0	9.0	0.24
19701015	0.0	8.85	0.24
19701016	0.0	8.72	0.23
19701017	0.03	9.66	0.23
19701018	4.78	8.03	0.24
19701019	0.16	5.39	0.27
19701020	0.01	4.24	0.25
19701021	0.0	5.12	0.23
19701022	0.0	7.74	0.23
19701023	0.4	7.66	0.23
19701024	4.16	8.8	0.25
19701025	2.33	5.8	0.28
19701026	1.4	3.1	0.27
19701027	2.74	3.33	0.27
19701028	10.34	4.19	0.32
19701029	9.09	9.67	0.75
19701030	2.79	8.71	1.13
19701031	24.98	9.13	6.48
19701101	1.7	6.84	2.07
19701102	5.49	7.81	1.44
19701103	7.29	5.92	2.95
19701104	7.61	5.89	2.13
19701105	0.08	4.01	2.12
19701106	0.58	2.49	1.48
19701107	2.52	3.99	1.34
19701108	0.58	6.76	1.27
19701109	0.03	5.03	1.03
19701110	0.78	7.04	0.91
19701111	1.23	3.63	0.87
19701112	3.16	2.09	0.84
19701113	1.47	0.57	0.9
19701114	0.02	-0.27	0.81
19701115	1.65	-0.47	0.69
19701116	0.64	2.63	0.73
19701117	2.59	2.67	0.95
19701118	6.71	2.45	1.2
19701119	0.08	1.06	2.04
19701120	8.46	1.46	1.41
19701121	0.72	1.74	1.64
19701122	4.89	2.61	1.13
19701123	13.94	5.99	4.7
19701124	1.88	7.96	3.21
19701125	0.11	5.0	2.14
19701126	6.97	4.98	1.97
19701127	3.05	6.08	2.72
19701128	1.85	4.29	2.5
19701129	6.35	3.94	2.21
19701130	6.58	2.91	5.27
19701201	0.35	4.54	3.06
19701202	13.09	2.18	4.3
19701203	0.93	1.56	3.5
19701204	1.35	3.47	2.69
19701205	3.64	4.21	2.2
19701206	0.37	3.39	2.26
19701207	0.0	0.48	1.73
19701208	0.05	3.65	1.49
19701209	0.03	2.84	1.35
19701210	0.0	1.62	1.24
19701211	0.04	2.75	1.15
19701212	0.13	3.28	1.08
19701213	0.02	3.17	0.98
19701214	0.0	2.88	0.9
19701215	0.02	3.12	0.85
19701216	1.21	5.56	0.82
19701217	1.46	6.34	0.81
19701218	0.87	8.91	0.8
19701219	2.0	5.19	0.79
19701220	0.48	1.4	0.76
19701221	0.03	-0.11	0.68
19701222	0.94	2.59	0.64
19701223	9.07	2.58	1.02
19701224	2.5	1.07	2.11
19701225	13.03	1.26	2.05
19701226	2.15	0.46	4.87
19701227	0.82	0.42	2.2
19701228	5.13	0.63	1.89
19701229	6.51	0.43	1.87
19701230	3.26	-2.24	1.66
19701231	0.04	-2.95	1.4
19710101	0.01	0.66	1.25
19710102	0.0	-0.8	1.16
19710103	0.0	-1.97	1.04
19710104	0.06	-1.82	0.99
19710105	0.35	-2.71	0.89
19710106	3.47	4.21	2.83
19710107	1.17	8.34	6.93
19710108	7.35	8.7	4.14
19710109	0.14	9.47	3.44
19710110	0.0	6.1	2.18
19710111	0.0	1.47	1.83
19710112	0.02	1.92	1.56
19710113	0.26	2.87	1.39
19710114	1.04	3.26	1.33
19710115	0.06	1.48	1.27
19710116	0.74	1.63	1.16
19710117	0.2	3.35	1.1
19710118	1.46	4.72	1.06
19710119	0.08	3.26	1.01
19710120	6.55	2.35	0.92
19710121	3.16	2.54	2.11
19710122	3.91	1.92	1.4
19710123	2.63	2.8	2.03
19710124	5.36	4.12	1.67
19710125	0.84	2.05	2.16
19710126	1.66	2.23	1.72
19710127	1.05	3.14	1.54
19710128	21.3	2.21	6.58
19710129	2.02	0.23	4.94
19710130	2.97	-0.98	3.1
19710131	0.15	-1.12	2.52
19710201	0.18	-0.62	1.98
19710202	0.72	4.56	2.26
19710203	0.01	6.75	2.06
19710204	0.02	5.25	1.53
19710205	0.0	3.05	1.37
19710206	0.0	5.02	1.25
19710207	0.03	5.57	1.16
19710208	0.09	5.04	1.08
19710209	0.14	5.27	1.01
19710210	0.4	4.54	0.95
19710211	7.23	3.43	1.07
19710212	10.38	3.79	1.66
19710213	5.74	1.76	2.21
19710214	4.15	0.91	2.49
19710215	0.08	-2.04	2.43
19710216	2.36	-0.7	1.57
19710217	6.28	1.17	1.59
19710218	0.43	1.18	1.91
19710219	3.36	4.5	2.25
19710220	0.52	5.05	2.89
19710221	0.01	4.19	1.73
19710222	0.03	5.12	1.45
19710223	0.0	5.79	1.32
19710224	0.06	5.74	1.21
19710225	0.01	3.59	1.12
19710226	0.0	2.3	1.03
19710227	7.04	1.3	1.01
19710228	0.35	-1.2	0.99
19710301	10.32	0.12	1.02
