date	precipitation	temperature	discharge_spec
19970301	14.87	6.0	8.04
19970302	0.41	3.29	6.19
19970303	0.08	2.4	2.61
19970304	0.01	5.18	2.02
19970305	2.28	3.22	1.95
19970306	0.66	4.61	1.67
19970307	1.19	4.34	1.53
19970308	0.01	4.01	1.37
19970309	0.01	7.47	1.25
19970310	0.01	3.65	1.15
19970311	0.03	8.35	1.07
19970312	0.07	7.49	1.01
19970313	0.5	7.8	0.98
19970314	0.93	9.39	0.95
19970315	2.13	9.66	0.94
19970316	0.08	8.3	0.96
19970317	1.96	8.54	0.9
19970318	1.69	6.5	1.04
19970319	0.05	5.31	0.94
19970320	0.0	3.51	0.83
19970321	0.01	4.76	0.76
19970322	4.19	6.89	0.78
19970323	4.2	6.11	0.91
19970324	0.68	6.49	1.06
19970325	1.96	8.25	0.91
19970326	1.79	7.36	1.81
19970327	1.52	4.96	1.32
19970328	0.02	5.7	1.05
19970329	0.01	7.49	0.83
19970330	0.01	7.24	0.75
19970331	0.01	7.85	0.7
19970401	0.0	8.33	0.67
19970402	1.31	6.99	0.65
19970403	0.44	2.64	0.65
19970404	1.82	5.91	0.63
19970405	1.34	8.15	0.65
19970406	0.1	7.86	0.62
19970407	0.01	9.8	0.56
19970408	0.0	8.03	0.54
19970409	0.0	7.36	0.52
19970410	0.0	10.2	0.5
19970411	0.01	3.37	0.49
19970412	0.0	7.31	0.49
19970413	0.0	8.82	0.48
19970414	0.04	6.86	0.48
19970415	0.01	6.39	0.46
19970416	0.0	8.13	0.45
19970417	0.04	7.62	0.46
19970418	0.43	6.7	0.45
19970419	0.01	3.43	0.43
19970420	1.38	5.93	0.42
19970421	1.33	4.45	0.44
19970422	0.19	3.93	0.43
19970423	1.0	8.57	0.41
19970424	0.02	6.76	0.41
19970425	0.0	5.75	0.4
19970426	0.03	6.85	0.4
19970427	1.98	11.08	0.41
19970428	1.03	10.76	0.42
19970429	0.0	8.18	0.39
19970430	0.0	12.86	0.38
19970501	0.0	13.02	0.37
19970502	0.0	12.41	0.36
19970503	7.49	10.44	0.39
19970504	22.54	8.46	1.46
19970505	3.15	1.53	2.62
19970506	2.44	2.97	0.98
19970507	10.32	4.53	1.13
19970508	0.92	3.08	1.57
19970509	0.42	4.97	0.93
19970510	5.04	6.02	0.76
