date	precipitation	temperature	discharge_spec
19701001	1.81	9.71	0.17
19701002	0.18	7.48	0.16
19701003	1.53	10.15	0.16
19701004	4.58	11.71	0.16
19701005	0.22	8.85	0.17
19701006	4.21	7.54	0.21
19701007	0.58	6.73	0.35
19701008	0.09	6.76	0.29
19701009	0.26	8.64	0.21
19701010	0.29	9.08	0.19
19701011	0.8	10.79	0.17
19701012	0.07	11.49	0.18
19701013	0.08	11.32	0.17
19701014	0.02	9.37	0.17
19701015	0.0	8.77	0.17
19701016	0.0	8.67	0.16
19701017	0.09	9.76	0.16
19701018	2.84	8.15	0.16
19701019	0.96	5.64	0.16
19701020	0.15	3.91	0.17
19701021	0.04	5.38	0.15
19701022	0.08	7.1	0.15
19701023	0.92	9.06	0.15
19701024	9.49	9.9	0.15
19701025	7.25	6.61	0.53
19701026	0.71	3.74	0.84
19701027	5.24	5.89	0.47
19701028	11.63	5.0	0.57
19701029	4.31	9.96	1.57
19701030	1.21	9.19	1.34
19701031	16.29	10.17	2.6
19701101	1.21	7.36	2.3
19701102	6.93	8.38	1.16
19701103	2.0	6.8	1.55
19701104	6.38	6.14	1.36
19701105	0.17	4.57	1.58
19701106	0.2	3.22	1.11
19701107	3.08	3.99	0.9
19701108	0.8	7.18	0.89
19701109	0.0	4.39	0.82
19701110	0.9	7.42	0.65
19701111	0.27	4.6	0.6
19701112	0.08	2.8	0.58
19701113	0.35	1.11	0.51
19701114	0.6	0.4	0.46
19701115	1.34	-0.29	0.41
19701116	0.55	3.19	0.37
19701117	8.09	3.14	0.42
19701118	5.56	2.81	0.86
19701119	0.05	1.56	1.14
19701120	4.54	2.2	0.89
19701121	0.14	2.44	1.0
19701122	4.26	2.3	0.73
19701123	13.68	7.53	3.12
19701124	0.12	9.01	2.93
19701125	0.03	6.13	1.47
19701126	7.35	5.71	1.08
19701127	1.98	6.95	1.87
19701128	3.74	5.28	2.14
19701129	9.44	4.78	2.39
19701130	7.12	3.19	4.57
19701201	0.06	4.54	2.47
19701202	6.98	3.43	1.75
19701203	1.48	2.69	2.51
19701204	2.21	5.05	1.9
19701205	1.13	5.1	1.67
19701206	0.82	3.19	1.34
19701207	0.01	1.33	1.1
19701208	0.02	2.46	0.94
19701209	0.03	2.99	0.85
19701210	0.0	2.88	0.78
19701211	0.0	2.65	0.73
19701212	0.21	3.93	0.68
19701213	0.0	3.4	0.62
19701214	0.0	2.45	0.57
19701215	0.03	3.54	0.54
19701216	1.31	6.4	0.52
19701217	1.13	6.31	0.56
19701218	0.67	8.77	0.59
19701219	2.96	5.6	0.59
19701220	0.18	1.96	0.84
19701221	0.67	0.19	0.67
19701222	4.53	2.89	0.55
19701223	8.42	2.9	1.0
19701224	2.47	1.97	2.45
19701225	6.62	1.87	1.58
19701226	2.95	0.2	2.69
19701227	5.18	0.69	1.94
19701228	9.44	1.45	3.66
19701229	3.82	0.74	3.72
19701230	4.62	-1.3	2.33
19701231	1.67	-2.85	1.6
19710101	0.03	-0.25	1.28
19710102	0.0	-1.12	1.15
19710103	0.0	-1.67	1.01
19710104	0.0	-2.15	0.91
19710105	0.62	-2.94	0.84
19710106	5.09	4.2	0.84
19710107	0.65	8.54	8.52
19710108	0.5	8.83	3.33
19710109	0.02	10.48	2.03
19710110	0.02	7.61	1.44
19710111	0.0	1.73	1.13
19710112	0.01	1.31	0.98
19710113	0.34	3.26	0.89
19710114	4.3	3.89	0.93
19710115	0.03	2.01	1.11
19710116	0.05	1.72	0.93
19710117	0.18	3.76	0.84
19710118	5.35	4.94	0.8
19710119	0.15	3.99	1.25
19710120	8.92	2.79	0.96
19710121	6.85	3.22	4.45
19710122	5.2	2.7	2.38
19710123	1.0	4.44	2.56
19710124	5.39	5.22	1.84
19710125	0.39	2.99	2.47
19710126	1.92	2.78	1.69
19710127	3.93	3.65	1.67
19710128	37.41	2.82	13.55
19710129	1.68	1.95	9.19
19710130	2.75	0.96	3.68
19710131	0.73	0.1	2.85
19710201	0.06	-0.62	2.09
19710202	2.77	4.7	1.76
19710203	0.0	5.99	3.12
19710204	0.01	5.34	1.75
19710205	0.0	3.73	1.4
19710206	0.0	4.11	1.22
19710207	0.0	5.76	1.1
19710208	0.08	5.6	1.01
19710209	0.09	4.87	0.94
19710210	0.01	4.17	0.89
19710211	1.25	4.63	0.82
19710212	4.63	5.08	0.84
19710213	2.79	2.52	1.32
19710214	2.79	2.15	1.24
19710215	0.0	-1.12	1.52
19710216	0.96	-0.12	1.03
19710217	5.57	1.23	0.95
19710218	0.1	0.68	1.24
19710219	1.86	3.67	1.17
19710220	1.16	6.2	1.49
19710221	0.0	3.69	1.24
19710222	0.0	4.81	0.94
19710223	0.0	6.2	0.84
19710224	0.0	6.23	0.78
19710225	0.0	4.02	0.72
19710226	0.0	2.1	0.68
19710227	4.25	0.63	0.64
19710228	0.11	-0.41	0.64
19710301	8.6	0.05	0.67
19710302	0.88	1.95	1.07
19710303	0.23	-0.79	1.24
19710304	1.99	-0.31	0.97
19710305	2.52	1.74	1.0
19710306	0.92	2.22	1.54
19710307	0.9	4.4	1.49
19710308	0.02	4.49	1.48
19710309	0.48	2.08	1.05
19710310	3.34	3.45	0.91
19710311	2.33	4.32	0.94
19710312	0.41	5.26	1.15
19710313	1.95	5.51	0.97
19710314	3.45	2.64	1.01
19710315	0.12	1.06	1.36
19710316	4.43	2.4	1.0
19710317	6.58	2.43	1.69
19710318	35.25	2.52	11.62
19710319	20.6	2.99	12.69
19710320	8.77	2.54	14.36
19710321	0.93	2.56	5.02
19710322	0.01	2.69	2.99
19710323	3.3	6.07	2.53
19710324	0.2	6.1	2.93
19710325	0.28	4.31	1.93
19710326	0.06	4.09	1.46
19710327	1.34	5.95	1.23
19710328	0.19	8.06	1.16
19710329	1.15	7.78	1.07
19710330	0.39	4.65	1.01
19710331	0.67	2.71	0.96
19710401	0.37	3.7	0.9
19710402	0.2	4.52	0.83
19710403	1.7	3.7	0.77
19710404	4.47	4.08	0.78
19710405	1.04	4.19	1.1
19710406	0.12	4.76	1.01
19710407	0.52	4.75	0.87
19710408	0.02	2.86	0.8
19710409	0.01	6.03	0.7
19710410	0.0	7.61	0.62
19710411	0.0	8.04	0.58
19710412	0.0	7.04	0.54
19710413	0.0	5.56	0.52
19710414	0.09	6.42	0.5
19710415	0.4	9.67	0.47
19710416	2.9	3.84	0.48
19710417	0.13	6.04	0.48
19710418	0.03	8.24	0.43
19710419	0.01	6.79	0.39
19710420	0.0	7.32	0.35
19710421	0.03	10.48	0.46
19710422	6.21	9.9	0.24
19710423	35.51	7.5	4.62
19710424	0.65	2.91	6.83
19710425	0.26	3.81	1.87
19710426	0.0	2.66	1.2
19710427	0.29	2.27	0.95
19710428	0.46	7.08	0.82
19710429	0.3	5.9	0.71
19710430	1.17	5.86	0.66
19710501	0.0	5.22	0.64
19710502	0.0	7.79	0.57
19710503	0.0	8.74	0.53
19710504	0.0	8.91	0.5
19710505	0.0	9.09	0.47
19710506	9.08	11.71	0.45
19710507	0.42	10.49	0.61
19710508	0.01	10.96	0.56
19710509	1.59	12.59	0.48
19710510	0.31	11.96	0.43
19710511	1.14	12.68	0.48
19710512	0.02	9.87	0.41
19710513	0.01	8.1	0.37
19710514	0.11	10.33	0.35
19710515	0.39	7.59	0.34
19710516	1.16	6.47	0.33
19710517	1.68	8.22	0.33
19710518	0.04	7.58	0.33
19710519	0.0	9.98	0.31
19710520	0.0	8.96	0.29
19710521	0.0	11.43	0.28
19710522	7.89	9.99	0.28
19710523	24.78	9.17	0.56
19710524	0.98	7.83	2.81
19710525	0.01	6.26	1.3
19710526	2.09	8.32	0.8
19710527	0.33	7.38	0.62
19710528	1.59	6.81	0.52
19710529	3.49	11.24	0.49
19710530	3.37	11.0	0.49
19710531	4.59	10.5	0.58
19710601	0.0	12.72	1.1
19710602	0.0	11.86	0.62
19710603	0.0	9.18	0.48
19710604	0.21	9.08	0.41
19710605	0.78	9.02	0.37
19710606	2.14	8.25	0.36
19710607	0.96	7.73	0.39
19710608	0.66	6.11	0.37
19710609	0.3	6.42	0.34
19710610	2.18	9.89	0.31
19710611	13.36	10.19	0.56
19710612	0.14	10.87	1.37
19710613	0.19	7.31	0.7
19710614	0.11	6.94	0.52
19710615	3.44	8.51	0.44
19710616	2.77	8.46	0.5
19710617	0.67	7.8	0.48
19710618	4.76	9.58	0.42
19710619	18.99	11.4	0.44
19710620	4.36	8.3	3.56
19710621	1.61	9.71	1.96
19710622	0.15	11.57	1.3
19710623	0.08	12.67	0.91
19710624	0.07	13.85	0.73
19710625	4.46	12.62	0.64
19710626	1.76	11.65	0.64
19710627	0.37	10.48	0.63
19710628	0.22	9.62	0.51
19710629	0.28	10.82	0.44
19710630	0.33	14.49	0.4
19710701	0.0	17.64	0.35
19710702	0.04	17.91	0.3
19710703	2.3	16.54	0.28
19710704	1.45	14.98	0.91
19710705	0.21	13.67	0.54
19710706	0.0	17.14	0.38
19710707	0.0	18.45	0.29
19710708	0.0	18.24	0.26
19710709	0.0	12.23	0.24
19710710	0.0	15.69	0.23
19710711	0.09	16.43	0.22
19710712	0.0	11.14	0.2
19710713	0.0	15.42	0.2
19710714	0.01	14.26	0.19
19710715	0.0	11.41	0.18
19710716	0.06	11.39	0.17
19710717	0.0	10.04	0.17
19710718	0.0	11.33	0.17
19710719	0.99	11.3	0.18
19710720	0.46	13.5	0.19
19710721	15.7	13.63	0.22
19710722	9.1	10.64	0.4
19710723	14.95	12.67	0.53
19710724	21.52	13.97	1.54
19710725	6.09	14.9	2.69
19710726	1.31	14.58	1.38
19710727	0.13	13.49	0.98
19710728	0.0	13.34	0.71
19710729	0.0	14.3	0.55
19710730	2.92	17.27	0.45
19710731	1.34	14.31	0.4
19710801	2.62	15.02	0.38
19710802	0.3	12.63	0.34
19710803	12.9	14.53	0.33
19710804	2.61	13.56	0.58
19710805	2.33	14.73	0.8
19710806	11.98	13.56	0.56
19710807	2.45	10.94	1.73
19710808	1.55	14.5	1.07
19710809	0.12	12.34	0.72
19710810	0.08	12.09	0.55
19710811	0.34	13.1	0.43
19710812	11.5	13.23	0.41
19710813	34.1	10.3	4.93
19710814	16.19	9.59	12.83
19710815	0.01	11.39	4.5
19710816	0.0	12.58	1.9
19710817	0.0	10.74	1.31
19710818	0.0	11.58	1.02
19710819	0.11	13.86	0.88
19710820	0.0	13.18	0.76
19710821	1.7	13.38	0.64
19710822	2.96	13.36	0.61
19710823	1.12	14.63	0.6
19710824	0.0	15.37	0.58
19710825	0.08	14.61	0.54
19710826	0.0	13.39	0.49
19710827	1.53	13.46	0.43
19710828	11.03	12.21	0.41
19710829	6.46	11.62	1.19
19710830	1.5	10.9	1.17
19710831	0.42	13.43	0.79
19710901	0.02	11.2	0.6
19710902	0.48	12.95	0.51
19710903	0.13	11.4	0.47
19710904	0.01	11.08	0.43
19710905	0.0	12.5	0.38
19710906	0.0	14.83	0.35
19710907	0.0	14.59	0.33
19710908	0.0	14.14	0.32
19710909	0.0	13.14	0.31
19710910	0.96	11.47	0.3
19710911	0.0	10.16	0.3
19710912	0.0	13.04	0.29
19710913	0.0	12.78	0.28
19710914	1.16	10.87	0.28
19710915	0.48	12.74	0.3
19710916	0.01	15.01	0.31
19710917	0.05	12.95	0.29
19710918	0.0	14.18	0.29
19710919	0.01	13.22	0.27
19710920	0.0	13.32	0.26
19710921	0.02	13.87	0.25
19710922	1.85	14.22	0.25
19710923	1.35	9.05	0.26
19710924	0.11	7.45	0.28
19710925	0.04	6.98	0.27
19710926	2.99	8.99	0.27
19710927	0.84	11.37	0.27
19710928	3.08	11.19	0.27
19710929	1.73	13.57	0.29
19710930	0.0	15.93	0.29
19711001	0.0	13.58	0.27
19711002	0.0	12.95	0.25
19711003	0.32	12.89	0.24
19711004	0.01	8.61	0.23
19711005	0.03	11.61	0.23
19711006	0.01	14.15	0.23
19711007	0.03	14.63	0.22
19711008	0.58	11.5	0.22
19711009	0.08	12.27	0.22
19711010	1.48	12.2	0.22
19711011	0.09	10.83	0.22
19711012	0.03	3.61	0.23
19711013	0.0	1.88	0.22
19711014	0.0	3.32	0.21
19711015	4.8	6.34	0.21
19711016	2.82	9.73	0.24
19711017	8.64	9.11	0.31
19711018	4.91	9.75	0.47
19711019	3.41	8.24	0.58
19711020	3.08	6.54	0.58
19711021	2.0	10.75	0.55
19711022	0.24	13.68	0.69
19711023	0.11	11.06	0.54
19711024	0.18	7.14	0.41
19711025	0.0	5.55	0.35
19711026	0.0	5.23	0.32
19711027	0.0	6.18	0.29
19711028	0.0	6.81	0.28
19711029	0.01	6.56	0.27
19711030	1.6	8.53	0.26
19711031	0.05	10.43	0.28
19711101	0.05	12.67	0.31
19711102	1.13	9.28	0.28
19711103	0.25	9.82	0.27
19711104	26.04	10.94	0.94
19711105	7.15	6.27	2.93
19711106	0.33	3.33	2.26
19711107	3.0	5.39	1.18
19711108	1.72	2.43	1.08
19711109	1.15	-0.15	1.06
19711110	0.01	3.39	0.78
19711111	0.49	6.79	0.67
19711112	0.23	5.82	0.61
19711113	0.03	4.13	0.58
19711114	0.22	6.43	0.54
19711115	0.38	8.11	0.49
19711116	0.03	2.78	0.45
19711117	13.65	-0.17	0.55
19711118	6.57	-1.59	0.92
19711119	3.09	-2.5	0.63
19711120	14.79	0.72	0.55
19711121	7.86	0.43	3.75
19711122	4.56	-0.1	2.42
19711123	1.21	0.39	1.6
19711124	0.45	4.29	1.78
19711125	0.19	9.66	8.28
19711126	0.33	8.19	3.44
