date	precipitation	temperature	discharge_spec
19720601	2.21	8.25	0.72
19720602	6.09	6.84	0.79
19720603	3.5	8.24	1.22
19720604	11.27	9.05	0.82
19720605	0.02	8.87	2.33
19720606	0.27	9.33	1.03
19720607	2.12	8.33	0.81
19720608	7.87	7.56	1.15
19720609	0.83	9.18	1.1
19720610	0.19	8.08	0.78
19720611	0.3	8.33	0.69
19720612	0.3	9.05	0.64
19720613	0.16	9.68	0.6
19720614	2.92	12.11	0.57
19720615	0.01	10.86	0.55
19720616	0.01	13.9	0.51
19720617	4.91	12.13	0.49
19720618	0.4	9.87	0.63
19720619	6.96	7.84	0.58
19720620	0.75	10.26	0.59
19720621	0.28	9.54	0.51
19720622	0.15	8.86	0.47
19720623	0.56	10.17	0.44
19720624	0.09	12.04	0.43
19720625	0.37	11.68	0.42
19720626	0.68	9.76	0.4
19720627	3.71	8.57	0.41
19720628	0.16	8.49	0.42
19720629	1.06	9.47	0.39
19720630	0.03	13.08	0.37
19720701	0.01	11.29	0.35
19720702	0.0	10.82	0.34
19720703	5.82	10.67	0.34
19720704	3.96	10.95	0.38
19720705	0.02	9.71	0.47
19720706	0.93	11.8	0.37
19720707	0.01	9.86	0.36
19720708	0.01	10.24	0.34
19720709	0.1	10.04	0.32
19720710	4.1	11.07	0.32
19720711	0.41	9.17	0.32
19720712	0.8	14.06	0.3
19720713	0.01	14.7	0.3
19720714	0.0	16.43	0.29
19720715	0.0	15.32	0.29
19720716	0.0	15.68	0.28
19720717	0.0	14.38	0.26
19720718	0.0	14.38	0.25
19720719	0.01	15.98	0.25
19720720	0.0	18.34	0.25
19720721	3.85	14.87	0.25
19720722	11.58	13.03	0.32
19720723	12.03	14.15	0.44
19720724	9.18	14.42	1.52
19720725	0.18	10.67	0.93
19720726	0.0	13.5	0.55
19720727	0.0	9.83	0.4
19720728	0.0	13.1	0.35
19720729	0.01	14.79	0.32
19720730	1.54	14.19	0.31
19720731	11.1	13.11	0.36
19720801	2.71	11.51	0.49
19720802	0.03	10.22	0.42
19720803	2.62	12.26	0.37
19720804	1.2	12.57	0.35
19720805	1.44	13.09	0.37
19720806	2.81	14.51	0.37
19720807	10.82	13.39	0.37
19720808	6.73	13.96	1.39
19720809	0.04	9.61	0.93
19720810	0.58	9.18	0.5
19720811	0.28	11.93	0.4
19720812	0.0	12.99	0.35
19720813	0.0	13.22	0.33
19720814	0.01	13.2	0.31
19720815	0.0	11.75	0.3
19720816	0.99	13.14	0.29
19720817	0.0	10.32	0.28
19720818	0.0	9.39	0.27
19720819	0.07	14.17	0.27
19720820	0.0	10.74	0.26
19720821	0.0	13.0	0.25
19720822	0.0	14.23	0.25
19720823	0.01	14.18	0.25
19720824	0.0	13.75	0.24
19720825	0.08	11.69	0.25
19720826	0.0	10.27	0.25
19720827	0.0	9.55	0.25
19720828	0.0	11.54	0.24
19720829	0.0	11.43	0.24
19720830	0.01	11.16	0.23
19720831	0.0	13.03	0.23
19720901	0.0	13.98	0.22
19720902	0.0	12.48	0.22
19720903	0.37	12.03	0.22
19720904	0.0	7.74	0.22
19720905	0.0	12.34	0.22
19720906	3.09	10.73	0.22
19720907	0.88	6.39	0.24
19720908	8.44	8.26	0.25
19720909	1.19	5.28	0.27
19720910	0.5	7.6	0.27
19720911	0.11	8.01	0.23
19720912	9.19	9.44	0.24
19720913	0.47	9.52	0.28
19720914	0.0	7.73	0.28
19720915	0.11	9.63	0.25
19720916	0.03	9.35	0.24
19720917	0.09	9.75	0.23
19720918	0.84	8.52	0.23
19720919	0.23	9.0	0.23
19720920	0.04	10.8	0.23
19720921	1.2	10.46	0.22
19720922	0.02	12.64	0.23
19720923	0.05	10.12	0.23
19720924	0.0	6.78	0.22
19720925	0.0	5.18	0.22
19720926	0.0	8.26	0.21
19720927	0.0	8.44	0.21
19720928	0.0	7.24	0.21
19720929	0.0	8.71	0.23
19720930	0.0	10.37	0.22
19721001	0.0	10.28	0.21
19721002	0.0	7.32	0.21
19721003	0.0	11.09	0.21
19721004	0.0	10.23	0.2
19721005	0.0	9.09	0.2
19721006	0.0	8.36	0.2
19721007	0.0	11.48	0.21
19721008	1.66	12.93	0.2
19721009	8.96	12.57	0.22
19721010	1.3	11.52	0.27
19721011	0.1	5.72	0.26
19721012	0.0	5.31	0.24
19721013	0.0	8.33	0.22
19721014	0.0	8.71	0.22
19721015	0.01	8.35	0.22
19721016	0.0	6.38	0.21
19721017	0.18	8.07	0.21
19721018	0.17	5.4	0.21
19721019	1.04	4.87	0.21
19721020	0.42	2.82	0.22
19721021	0.5	6.07	0.22
19721022	0.1	9.26	0.21
19721023	0.3	7.53	0.2
19721024	0.89	7.62	0.21
19721025	0.0	8.88	0.21
19721026	0.01	8.86	0.21
19721027	0.61	7.68	0.21
19721028	1.69	6.77	0.22
19721029	4.3	9.3	0.23
19721030	0.6	7.18	0.24
19721031	0.08	6.11	0.24
19721101	0.16	9.61	0.22
19721102	0.11	11.35	0.22
19721103	0.45	5.16	0.22
19721104	0.55	5.6	0.22
19721105	0.11	9.46	0.22
19721106	0.27	10.04	0.22
19721107	0.0	4.61	0.22
19721108	0.53	6.36	0.22
19721109	10.45	6.03	0.28
19721110	2.13	2.41	0.44
19721111	0.14	2.74	0.3
19721112	8.78	1.84	0.28
19721113	0.02	-1.07	0.31
19721114	1.35	-0.95	0.26
19721115	0.86	-0.14	0.26
19721116	0.02	-1.57	0.26
19721117	0.5	-1.49	0.22
19721118	12.86	-0.44	0.26
19721119	13.7	1.86	0.51
19721120	2.17	3.01	1.77
19721121	0.95	2.01	2.0
19721122	0.01	2.24	1.31
19721123	4.3	0.67	0.73
19721124	0.29	-0.61	0.6
19721125	0.61	2.73	0.49
19721126	0.07	3.87	0.53
19721127	2.56	4.72	0.59
19721128	0.29	4.04	0.6
19721129	5.01	5.46	0.47
19721130	5.16	4.75	0.66
19721201	1.97	4.69	1.04
19721202	0.01	1.3	0.84
19721203	6.24	2.61	0.58
19721204	9.71	3.53	1.75
19721205	7.58	4.35	2.23
19721206	5.35	2.1	1.85
19721207	0.26	0.56	1.7
19721208	0.06	-0.79	1.27
19721209	2.23	2.02	0.96
19721210	4.66	1.43	1.1
19721211	16.89	2.98	3.09
19721212	4.94	6.33	3.53
19721213	4.03	7.6	2.47
19721214	0.18	8.37	2.04
19721215	0.0	3.66	1.48
19721216	0.03	3.05	1.22
19721217	0.02	4.03	1.03
19721218	0.01	3.56	0.88
19721219	0.0	3.5	0.77
19721220	0.02	2.48	0.69
19721221	0.09	3.97	0.65
19721222	0.02	1.83	0.61
19721223	0.11	-0.18	0.58
19721224	0.02	-1.0	0.51
19721225	0.02	1.86	0.53
19721226	0.08	3.33	0.51
19721227	0.04	5.63	0.49
19721228	0.12	5.2	0.48
19721229	0.04	4.55	0.46
19721230	0.03	6.11	0.44
19721231	0.21	6.67	0.42
19730101	0.32	7.24	0.4
19730102	3.86	4.7	0.42
19730103	0.09	2.98	0.59
19730104	0.0	2.03	0.5
19730105	0.02	1.05	0.44
19730106	0.02	0.9	0.42
19730107	0.03	-0.91	0.4
19730108	0.22	0.9	0.4
19730109	0.57	3.67	0.4
19730110	1.0	2.85	0.4
19730111	0.0	0.25	0.4
19730112	0.41	-1.59	0.39
19730113	1.73	0.18	0.39
19730114	3.15	2.86	0.4
19730115	5.51	2.6	0.84
19730116	0.0	-1.11	0.94
19730117	0.0	-2.22	0.52
19730118	0.01	-2.36	0.38
19730119	3.8	-0.0	0.5
19730120	18.83	0.24	0.65
19730121	5.98	1.04	1.27
19730122	1.95	2.2	1.44
19730123	1.54	5.29	4.0
19730124	0.04	6.79	5.96
19730125	2.27	4.89	2.58
19730126	0.24	4.33	1.8
19730127	0.01	2.69	1.4
19730128	0.0	6.8	1.19
19730129	0.9	6.59	1.06
19730130	0.51	3.11	1.0
19730131	0.01	2.66	0.89
19730201	0.0	5.54	0.8
19730202	0.0	8.02	0.73
19730203	0.01	6.6	0.7
19730204	0.04	5.01	0.65
19730205	0.24	5.57	0.62
19730206	0.16	6.15	0.59
19730207	0.06	4.58	0.56
19730208	1.89	2.38	0.55
19730209	0.07	1.17	0.57
19730210	0.18	1.44	0.54
19730211	3.38	3.93	0.52
19730212	2.14	-0.43	0.6
19730213	1.72	-2.61	0.56
19730214	0.17	-5.52	0.43
19730215	5.27	-2.18	0.48
19730216	0.46	-1.37	0.5
19730217	0.07	0.6	0.52
19730218	0.07	3.98	0.62
19730219	0.07	6.87	1.46
19730220	0.08	7.83	1.01
19730221	0.14	4.39	0.69
19730222	0.22	1.44	0.57
19730223	0.01	-1.12	0.49
19730224	1.07	-0.54	0.49
19730225	0.01	-2.13	0.46
19730226	0.5	-1.12	0.41
19730227	0.11	1.47	0.46
19730228	0.84	3.28	0.45
19730301	3.75	3.2	0.61
19730302	1.06	4.5	0.68
19730303	0.03	5.69	0.62
19730304	0.06	3.43	0.54
19730305	7.8	2.07	0.51
19730306	0.16	1.77	0.61
19730307	0.01	4.12	0.87
19730308	0.0	3.09	0.83
19730309	0.0	4.09	0.6
19730310	0.0	3.73	0.53
19730311	0.0	5.38	0.49
19730312	0.0	3.74	0.47
19730313	0.0	2.31	0.44
19730314	0.0	1.16	0.42
19730315	0.0	2.87	0.41
19730316	0.0	5.19	0.4
19730317	0.0	8.72	0.39
19730318	0.01	6.33	0.38
19730319	0.05	4.23	0.37
19730320	0.0	3.48	0.36
19730321	0.0	7.09	0.36
19730322	0.0	7.4	0.34
19730323	0.0	8.64	0.33
19730324	1.38	6.75	0.34
19730325	0.39	5.09	0.34
19730326	0.07	1.89	0.33
19730327	2.07	6.05	0.32
19730328	0.01	5.26	0.33
19730329	3.89	6.82	0.31
19730330	0.11	3.95	0.33
19730331	3.59	3.58	0.34
19730401	10.5	2.71	0.37
19730402	3.09	-0.37	0.5
19730403	2.62	3.95	0.51
19730404	0.75	6.1	1.17
19730405	3.81	3.11	0.84
19730406	2.27	2.77	0.82
19730407	3.47	1.91	0.75
19730408	8.38	-1.02	0.63
19730409	0.25	0.13	0.74
19730410	1.21	3.85	1.29
19730411	0.01	2.82	1.35
19730412	0.11	3.57	0.85
19730413	0.59	7.14	0.68
