date	precipitation	temperature	discharge_spec
19980130	1.92	4.36	0.34
19980131	0.8	1.76	0.4
19980201	0.03	2.23	0.41
19980202	0.0	1.38	0.34
19980203	0.0	2.67	0.29
19980204	0.0	6.11	0.26
19980205	0.0	7.02	0.25
19980206	0.88	5.14	0.25
19980207	0.0	4.61	0.23
19980208	0.0	7.68	0.21
19980209	0.0	9.06	0.22
19980210	0.02	9.1	0.2
19980211	0.04	11.3	0.19
19980212	0.0	11.2	0.19
19980213	0.04	12.07	0.18
19980214	0.01	12.45	0.18
19980215	0.0	11.38	0.18
19980216	0.04	5.8	0.18
19980217	0.03	7.89	0.18
19980218	0.0	6.95	0.18
19980219	0.0	9.39	0.16
19980220	0.13	8.96	0.16
19980221	1.52	5.2	0.16
19980222	0.04	7.09	0.14
19980223	0.0	10.19	0.14
19980224	0.04	7.47	0.12
19980225	0.0	7.78	0.12
19980226	0.0	7.45	0.13
19980227	0.7	4.19	0.14
19980228	2.22	0.76	0.13
19980301	1.36	2.11	0.14
19980302	2.32	7.53	0.16
19980303	23.16	5.61	0.54
19980304	5.79	4.08	2.34
19980305	2.65	2.65	1.23
19980306	11.0	4.4	1.95
19980307	3.09	6.14	1.93
19980308	0.14	0.85	1.23
19980309	0.05	3.99	0.68
19980310	8.95	4.84	0.74
19980311	0.54	3.59	1.39
19980312	3.17	5.02	0.82
19980313	0.0	7.21	0.68
19980314	0.0	9.63	0.47
19980315	0.0	9.67	0.35
19980316	0.0	9.85	0.3
19980317	0.0	9.09	0.29
19980318	0.0	5.42	0.26
19980319	0.0	8.16	0.22
19980320	0.0	8.76	0.2
19980321	0.0	5.16	0.19
19980322	0.0	8.23	0.19
19980323	4.16	5.45	0.18
19980324	1.67	6.44	0.22
19980325	0.79	9.5	0.2
19980326	0.19	9.25	0.2
19980327	0.04	10.63	0.18
19980328	0.0	10.86	0.17
19980329	5.56	11.04	0.18
19980330	0.0	10.62	0.19
19980331	0.91	8.84	0.19
19980401	1.34	5.53	0.16
19980402	18.29	6.19	0.44
19980403	5.73	8.12	2.31
19980404	9.83	8.46	2.43
19980405	1.24	7.97	1.78
19980406	1.9	8.04	0.9
19980407	4.5	6.9	0.63
19980408	14.93	5.93	2.69
19980409	1.74	3.91	1.85
19980410	15.67	3.52	3.01
19980411	1.04	2.58	4.21
19980412	0.63	2.81	1.44
19980413	0.01	1.61	0.83
19980414	0.07	2.02	0.62
19980415	0.29	2.99	0.54
19980416	16.2	4.73	1.44
19980417	8.27	5.02	2.77
19980418	0.06	6.44	2.07
19980419	3.08	8.22	0.99
19980420	1.21	8.12	0.73
19980421	2.28	10.01	0.58
19980422	13.33	11.82	0.92
19980423	1.39	10.77	1.78
19980424	0.91	10.58	0.83
19980425	0.01	10.0	0.54
19980426	4.37	7.66	0.48
19980427	1.74	8.61	0.4
19980428	4.82	7.27	0.39
19980429	0.01	9.88	0.34
19980430	0.03	6.99	0.39
19980501	0.0	6.91	0.36
19980502	0.46	8.78	0.25
19980503	0.0	7.41	0.23
19980504	0.0	11.3	0.21
19980505	2.55	9.57	0.23
19980506	0.76	11.28	0.23
19980507	0.09	12.32	0.2
19980508	1.77	13.18	0.22
19980509	0.0	12.9	0.19
19980510	3.04	10.23	0.17
19980511	1.93	8.78	0.18
19980512	0.48	11.33	0.15
19980513	0.0	12.47	0.05
19980514	0.0	13.27	0.17
19980515	0.0	12.62	0.14
19980516	0.0	12.17	0.13
19980517	0.0	13.57	0.12
19980518	0.0	14.78	0.14
19980519	0.0	14.22	0.16
19980520	0.93	12.07	0.17
19980521	0.0	9.91	0.15
19980522	0.0	12.44	0.13
19980523	1.73	13.15	0.13
19980524	0.36	14.15	0.17
19980525	0.16	12.33	0.1
19980526	1.23	8.25	0.12
19980527	0.34	8.37	0.12
19980528	27.9	10.92	0.24
19980529	6.84	11.16	1.39
19980530	10.42	11.24	0.55
19980531	0.19	12.4	0.95
19980601	0.2	9.59	0.44
19980602	32.3	7.52	2.37
19980603	0.13	7.54	5.07
19980604	0.0	10.28	1.5
19980605	3.56	12.17	0.6
19980606	15.38	13.2	1.7
19980607	0.15	13.7	2.19
19980608	7.11	13.26	1.59
19980609	0.78	13.81	1.23
19980610	9.48	11.07	0.64
19980611	2.6	8.29	0.72
19980612	0.09	8.56	0.47
19980613	9.31	10.88	0.37
19980614	7.39	10.9	2.09
19980615	1.44	11.18	2.52
19980616	3.54	9.8	1.23
19980617	0.09	12.69	0.68
19980618	0.17	15.37	0.43
19980619	0.03	18.67	0.33
19980620	0.38	20.4	0.28
19980621	0.0	16.14	0.24
19980622	3.62	14.5	0.23
19980623	0.06	17.41	0.22
19980624	0.11	14.69	0.21
19980625	0.3	14.27	0.19
19980626	6.34	13.18	0.21
19980627	5.48	13.14	0.33
19980628	0.01	13.76	0.25
19980629	0.03	13.46	0.2
19980630	0.46	12.11	0.19
19980701	1.29	11.65	0.17
19980702	0.04	12.6	0.17
19980703	0.0	16.26	0.14
19980704	1.59	17.4	0.14
19980705	0.03	14.74	0.14
19980706	0.04	11.17	0.14
19980707	0.0	13.03	0.14
19980708	4.64	15.44	0.15
19980709	0.77	12.88	0.15
19980710	1.65	14.69	0.14
19980711	3.23	13.47	0.14
19980712	1.18	13.63	0.18
19980713	0.02	13.46	0.15
19980714	0.54	13.56	0.15
19980715	0.4	13.94	0.15
19980716	0.63	14.57	0.14
19980717	5.04	12.72	0.17
19980718	0.22	13.15	0.14
19980719	2.81	14.97	0.14
19980720	5.15	16.86	0.18
19980721	0.02	15.38	0.17
19980722	2.17	16.19	0.15
19980723	0.03	13.57	0.14
19980724	0.01	12.87	0.14
19980725	0.0	14.69	0.14
19980726	2.69	14.88	0.14
19980727	7.24	15.99	2.73
19980728	4.33	15.75	1.63
19980729	1.88	14.22	0.89
19980730	4.18	14.17	0.97
19980731	0.21	14.52	0.79
19980801	0.06	11.93	0.39
19980802	3.63	15.66	0.27
19980803	1.02	14.95	0.25
19980804	0.0	15.8	0.21
19980805	0.08	15.94	0.18
19980806	0.22	16.7	0.17
19980807	0.53	16.2	0.17
19980808	0.0	16.16	0.16
19980809	0.0	16.6	0.17
19980810	0.0	16.4	0.16
19980811	0.05	19.02	0.15
19980812	1.48	14.67	0.16
19980813	0.62	15.97	0.15
19980814	0.04	14.75	0.15
19980815	0.0	15.26	0.14
19980816	4.67	15.73	0.14
19980817	0.0	13.73	0.15
19980818	0.0	13.33	0.14
19980819	0.0	16.05	0.14
19980820	4.64	13.9	0.16
19980821	0.01	12.7	0.15
19980822	2.12	12.51	0.14
19980823	3.74	11.83	0.15
19980824	0.0	10.92	0.15
19980825	9.72	12.28	0.17
19980826	0.0	8.95	0.18
19980827	0.0	11.87	0.17
19980828	0.0	14.91	0.17
19980829	0.0	13.79	0.14
19980830	0.0	14.99	0.14
19980831	7.71	14.44	0.14
19980901	10.23	12.85	0.34
19980902	0.0	14.69	0.37
19980903	0.11	12.95	0.21
19980904	0.0	15.39	0.18
19980905	0.36	13.32	0.15
19980906	1.95	15.12	0.15
19980907	0.54	17.78	0.14
19980908	1.43	16.29	0.13
19980909	1.11	15.77	0.14
19980910	4.77	13.66	0.15
19980911	3.62	9.79	0.13
19980912	3.5	9.24	0.15
19980913	0.0	9.85	0.15
19980914	0.0	12.51	0.14
19980915	0.0	10.69	0.13
19980916	0.17	11.14	0.14
19980917	0.02	12.1	0.13
19980918	0.0	14.47	0.12
19980919	0.0	15.1	0.12
19980920	0.0	16.01	0.12
19980921	0.0	14.39	0.12
19980922	0.0	12.98	0.12
19980923	0.0	12.7	0.12
19980924	0.0	12.51	0.12
19980925	0.0	12.97	0.12
19980926	0.19	12.33	0.12
19980927	5.3	12.43	0.13
19980928	0.56	12.42	0.14
19980929	3.66	13.04	0.13
19980930	7.08	12.86	0.16
19981001	2.13	12.2	0.31
19981002	1.36	8.91	0.23
19981003	2.2	9.63	0.15
19981004	6.33	8.79	0.22
19981005	8.66	10.3	0.41
19981006	0.53	9.58	0.66
19981007	0.31	9.16	0.4
19981008	0.0	7.22	0.25
19981009	0.48	11.13	0.19
19981010	2.92	10.26	0.17
19981011	0.21	9.92	0.16
19981012	2.87	10.15	0.15
19981013	4.31	12.84	0.17
19981014	0.02	9.84	0.28
19981015	0.03	8.32	0.23
19981016	10.56	11.08	0.81
19981017	8.79	4.78	2.29
19981018	0.01	5.97	1.35
19981019	0.01	4.34	0.56
19981020	5.21	8.47	0.41
19981021	0.95	14.49	0.49
19981022	12.47	13.03	1.44
19981023	0.25	8.01	2.86
19981024	27.57	8.56	4.04
19981025	0.02	6.69	4.5
19981026	2.63	8.06	1.65
19981027	5.22	8.71	1.28
19981028	1.6	7.58	1.23
19981029	0.05	6.06	0.75
19981030	0.0	5.58	0.55
19981031	0.0	4.78	0.49
19981101	0.0	3.57	0.41
19981102	34.83	3.85	2.17
19981103	3.89	3.98	6.14
19981104	0.03	2.67	2.98
19981105	0.83	4.97	1.55
19981106	0.0	5.0	0.94
19981107	5.56	7.75	0.77
19981108	2.14	11.4	1.12
19981109	0.87	8.43	1.01
19981110	0.03	6.0	0.65
19981111	0.74	7.19	0.49
19981112	3.38	6.8	0.47
