date	precipitation	temperature	discharge_spec
19980510	3.83	8.97	1.4
19980511	1.57	8.32	1.31
19980512	0.01	11.18	1.2
19980513	0.0	15.25	0.98
19980514	0.0	15.1	0.86
19980515	0.0	13.62	0.83
19980516	0.0	12.96	0.88
19980517	0.0	12.5	0.69
19980518	0.0	14.35	0.67
19980519	0.0	15.19	0.63
19980520	0.13	13.31	0.61
19980521	0.0	10.27	0.62
19980522	0.0	11.31	0.61
19980523	0.05	10.91	0.59
19980524	0.07	11.98	0.58
19980525	1.63	9.72	0.56
19980526	0.5	6.69	0.57
19980527	2.75	7.19	0.56
19980528	19.09	9.61	0.67
19980529	0.5	12.0	1.17
19980530	0.72	11.71	0.73
19980531	0.29	11.98	0.63
19980601	3.29	10.52	0.61
19980602	31.33	6.11	3.34
19980603	0.77	7.09	3.36
19980604	0.0	10.01	1.32
19980605	3.5	10.81	0.89
19980606	17.89	12.61	2.59
19980607	3.02	11.49	3.82
19980608	24.03	12.01	8.24
19980609	6.55	12.24	6.25
19980610	17.91	8.73	5.77
19980611	1.7	6.71	7.86
19980612	0.36	7.69	2.67
19980613	7.04	9.21	2.05
19980614	3.54	9.69	2.53
19980615	1.19	10.64	2.39
19980616	2.02	9.13	1.69
19980617	7.65	12.14	1.42
19980618	3.79	13.94	2.09
19980619	0.05	17.62	2.13
19980620	0.98	17.93	1.4
19980621	0.98	13.77	1.15
19980622	3.68	12.83	0.92
19980623	1.52	16.06	1.23
19980624	3.19	12.76	1.18
19980625	2.99	12.7	1.17
19980626	19.16	11.17	2.17
19980627	2.73	11.68	4.88
19980628	3.28	12.22	1.91
19980629	1.31	11.3	1.33
19980630	0.35	11.04	1.16
19980701	0.09	11.39	0.89
19980702	0.03	12.95	0.9
19980703	0.0	13.9	0.78
19980704	0.44	14.49	0.71
19980705	0.01	12.28	0.67
19980706	0.03	11.59	0.63
19980707	0.15	11.92	0.61
19980708	2.36	13.24	0.63
19980709	0.0	12.06	0.58
19980710	2.42	13.1	0.58
19980711	5.85	12.57	0.55
19980712	9.7	11.59	1.63
19980713	4.01	10.93	1.56
19980714	3.23	11.78	1.03
19980715	0.28	12.02	0.97
19980716	3.88	13.34	0.77
19980717	11.73	11.22	1.29
19980718	0.77	11.44	1.43
19980719	8.44	13.71	1.45
19980720	12.24	14.28	2.31
19980721	8.36	13.46	6.45
19980722	8.18	14.37	4.92
19980723	0.42	11.33	3.46
19980724	0.15	10.96	1.77
19980725	0.01	13.17	1.15
19980726	2.0	13.23	0.97
19980727	2.73	14.47	0.89
19980728	4.57	14.05	0.97
19980729	11.06	12.66	2.91
19980730	9.15	13.03	4.16
19980731	6.22	12.93	2.43
19980801	0.17	10.7	1.88
19980802	4.78	14.34	1.33
19980803	17.01	12.51	11.75
19980804	0.31	13.69	3.68
19980805	0.12	13.37	1.87
19980806	6.95	14.21	2.13
19980807	0.9	14.78	3.07
19980808	0.64	15.38	1.97
19980809	0.02	16.18	1.55
19980810	0.03	15.47	1.23
19980811	0.53	16.89	1.05
19980812	2.9	12.21	0.99
19980813	3.87	13.59	0.98
19980814	3.29	12.81	2.05
19980815	0.01	13.25	1.67
19980816	9.12	14.09	1.06
19980817	0.38	11.66	3.68
19980818	0.0	12.23	1.17
19980819	0.46	14.26	0.89
19980820	13.21	12.42	1.9
19980821	1.28	11.03	3.11
19980822	0.9	11.34	1.24
19980823	6.6	11.37	0.93
19980824	0.05	10.44	1.19
19980825	10.15	10.94	1.14
19980826	0.26	8.5	2.73
19980827	0.0	10.86	1.25
19980828	0.0	12.85	0.9
19980829	0.02	13.53	0.84
19980830	0.0	13.98	0.79
19980831	11.2	12.95	0.73
19980901	8.84	12.45	3.11
19980902	0.03	13.55	1.72
19980903	0.0	13.78	0.96
19980904	0.06	14.99	0.89
19980905	0.03	12.91	0.79
19980906	1.78	14.47	0.9
19980907	8.8	15.37	0.77
19980908	5.15	14.73	2.07
19980909	15.67	13.76	5.14
19980910	4.12	11.1	7.01
19980911	6.65	8.83	2.71
19980912	2.04	7.15	2.29
19980913	0.01	7.7	1.67
19980914	0.02	10.06	1.2
19980915	0.61	9.51	0.99
19980916	0.39	8.84	0.91
19980917	0.7	11.3	0.83
19980918	1.28	12.6	0.95
19980919	0.01	15.04	0.93
19980920	0.0	15.32	0.77
19980921	0.0	13.38	0.7
19980922	0.0	12.88	0.73
19980923	0.0	11.91	0.67
19980924	0.01	11.8	0.66
19980925	0.01	11.89	0.64
19980926	0.06	12.39	0.62
19980927	1.41	11.86	0.61
19980928	0.76	11.91	0.62
19980929	3.1	11.47	0.59
19980930	22.95	11.6	2.55
19981001	6.38	11.17	3.19
19981002	0.47	7.33	2.27
19981003	0.74	8.18	1.2
19981004	4.33	7.14	0.94
19981005	6.95	8.69	2.43
19981006	0.23	8.02	2.27
19981007	0.16	8.14	1.26
19981008	0.0	6.42	0.93
19981009	7.4	9.65	1.44
19981010	3.28	9.42	1.46
19981011	6.39	8.29	1.99
19981012	0.89	9.03	2.79
19981013	25.68	11.45	9.99
19981014	0.34	8.86	7.43
19981015	1.24	7.32	2.53
19981016	35.37	9.54	17.8
19981017	10.04	2.9	11.73
19981018	1.41	4.84	4.92
19981019	3.53	3.81	3.03
19981020	21.81	7.6	5.08
19981021	6.69	12.4	11.35
19981022	25.16	11.46	12.08
19981023	1.51	6.73	12.06
19981024	35.42	7.43	21.9
19981025	7.32	5.42	9.38
19981026	25.94	7.24	6.77
19981027	24.37	7.84	26.32
19981028	15.49	5.85	16.58
19981029	9.34	4.42	10.09
19981030	1.61	4.83	6.61
19981031	0.05	2.72	4.1
19981101	0.76	2.79	2.77
19981102	21.53	3.58	6.43
19981103	8.13	2.15	11.33
19981104	4.75	1.66	5.06
19981105	6.02	3.75	5.71
19981106	0.12	4.56	3.7
19981107	15.81	7.2	2.89
19981108	11.21	10.32	9.48
19981109	3.24	7.03	7.55
19981110	0.96	4.86	5.12
19981111	5.03	5.94	3.07
19981112	17.29	5.58	11.25
19981113	0.86	3.03	6.53
