date	precipitation	temperature	discharge_spec
19720121	0.43	3.54	1.67
19720122	0.28	6.68	1.6
19720123	5.73	6.47	1.54
19720124	0.0	1.29	2.54
19720125	1.2	3.03	1.36
19720126	13.53	4.37	6.91
19720127	1.79	3.18	3.36
19720128	1.06	0.43	2.13
19720129	0.37	-2.92	1.52
19720130	1.09	-6.91	1.14
19720131	0.57	-6.03	0.87
19720201	11.95	-0.82	0.76
19720202	1.18	2.09	1.71
19720203	11.86	3.53	14.17
19720204	0.28	2.76	3.9
19720205	2.06	3.31	2.62
19720206	1.24	2.97	2.1
19720207	0.26	3.33	1.65
19720208	3.02	3.49	1.51
19720209	0.02	2.22	1.48
19720210	3.25	1.76	1.7
19720211	4.62	0.05	2.15
19720212	0.15	2.2	1.71
19720213	0.0	4.27	1.29
19720214	0.0	2.44	0.95
19720215	15.91	2.94	4.2
19720216	1.47	4.96	2.75
19720217	2.48	4.15	2.48
19720218	0.0	1.73	1.61
19720219	0.0	1.79	1.19
19720220	1.11	1.93	0.97
19720221	2.41	2.14	1.14
19720222	0.99	2.81	1.65
19720223	0.0	3.14	1.23
19720224	0.0	3.33	0.93
19720225	5.02	2.94	1.04
19720226	0.02	3.04	1.72
19720227	0.0	4.37	1.14
19720228	0.43	4.43	0.9
19720229	3.61	5.8	0.87
19720301	4.84	2.64	2.69
19720302	1.8	4.33	1.58
19720303	1.62	2.26	1.59
19720304	7.59	2.22	2.69
19720305	0.17	2.46	2.41
19720306	7.45	2.39	3.23
19720307	7.81	3.57	3.83
19720308	3.38	3.44	3.81
19720309	1.76	2.42	2.88
19720310	0.7	1.64	1.94
19720311	0.0	1.29	1.35
19720312	0.0	2.11	1.0
19720313	0.0	0.73	0.85
19720314	3.73	5.96	0.76
19720315	0.0	7.75	0.97
19720316	0.26	6.32	0.8
19720317	0.13	6.63	0.71
19720318	0.0	7.29	0.65
19720319	0.0	9.07	0.58
19720320	0.0	5.8	0.5
19720321	0.0	6.61	0.43
19720322	0.0	7.21	0.41
19720323	0.0	7.58	0.39
19720324	0.0	5.7	0.33
19720325	6.36	7.98	0.62
19720326	10.84	4.06	1.6
19720327	3.51	2.72	2.62
19720328	0.39	3.85	1.18
19720329	4.67	5.49	0.78
19720330	12.21	7.3	7.38
19720331	5.08	7.87	2.51
19720401	3.83	10.51	3.97
19720402	2.66	8.4	2.87
19720403	0.01	7.49	1.58
19720404	6.54	7.97	1.58
19720405	7.74	5.44	2.7
19720406	2.69	7.52	2.76
19720407	2.97	6.83	2.5
19720408	2.95	6.53	1.43
19720409	4.81	5.29	1.53
19720410	6.87	5.05	3.55
19720411	0.04	6.05	2.42
19720412	0.44	7.21	1.28
19720413	0.0	7.69	0.92
19720414	0.99	6.61	0.71
19720415	0.0	7.42	0.59
19720416	0.0	8.95	0.54
19720417	0.02	9.71	0.47
