date	precipitation	temperature	discharge_spec
19970527	0.0	11.01	0.18
19970528	0.0	10.71	0.16
19970529	0.0	14.63	0.16
19970530	0.0	15.93	0.14
19970531	0.0	15.02	0.14
19970601	0.0	12.09	0.12
19970602	0.0	11.34	0.1
19970603	0.0	12.09	0.08
19970604	0.0	13.01	0.08
19970605	4.46	15.36	0.14
19970606	4.67	16.55	0.16
19970607	1.52	16.5	0.11
19970608	1.85	13.97	0.08
19970609	0.14	13.74	0.07
19970610	10.43	15.54	0.07
19970611	27.7	13.1	2.26
19970612	5.72	14.04	1.57
19970613	0.67	13.29	0.54
19970614	1.37	9.47	0.32
19970615	1.44	9.43	0.31
19970616	0.0	10.95	0.24
19970617	0.15	11.34	0.19
19970618	0.81	14.47	0.17
19970619	3.97	10.0	0.21
19970620	8.59	12.09	0.31
19970621	6.16	10.92	0.41
19970622	4.88	13.09	1.21
19970623	3.92	11.54	0.55
19970624	1.86	11.49	0.4
19970625	38.82	9.67	12.8
19970626	9.6	9.07	8.3
19970627	8.65	10.78	3.56
19970628	7.63	11.22	7.54
19970629	0.07	10.73	2.27
19970630	7.12	10.08	2.61
19970701	0.39	11.08	2.08
19970702	7.61	12.53	1.96
19970703	1.32	11.77	2.51
19970704	1.48	13.52	1.43
19970705	0.0	15.74	0.82
19970706	0.0	17.87	0.56
19970707	0.0	16.61	0.42
19970708	0.12	17.76	0.36
19970709	0.22	18.25	0.32
19970710	0.0	15.15	0.3
19970711	0.03	16.04	0.25
19970712	1.68	17.16	0.24
19970713	6.54	16.51	0.32
19970714	2.01	16.29	0.21
19970715	0.62	17.46	0.2
19970716	9.26	15.72	0.33
19970717	0.67	14.79	0.3
19970718	0.0	14.94	0.19
19970719	0.0	16.66	0.15
19970720	0.0	15.85	0.13
19970721	0.0	17.08	0.12
19970722	0.0	15.13	0.13
19970723	2.16	18.59	0.12
19970724	4.16	16.23	0.16
19970725	0.0	16.03	0.11
19970726	10.2	14.88	0.26
19970727	0.14	15.76	0.14
19970728	0.0	14.64	0.11
19970729	4.1	18.36	0.11
19970730	0.55	15.47	0.11
19970731	2.99	14.76	0.12
19970801	0.02	14.05	0.12
19970802	0.0	14.33	0.08
19970803	0.0	13.7	0.08
19970804	0.0	14.83	0.07
19970805	0.0	16.39	0.07
19970806	0.0	19.45	0.06
19970807	0.0	17.94	0.06
19970808	0.0	21.02	0.06
19970809	0.0	18.18	0.05
19970810	0.0	20.34	0.05
19970811	0.04	21.02	0.06
19970812	0.04	22.21	0.05
19970813	10.27	18.48	0.21
19970814	0.0	16.79	0.1
19970815	0.0	18.43	0.06
