date	precipitation	temperature	discharge_spec
19791019	0.27	10.98	0.32
19791020	0.03	7.94	0.31
19791021	0.01	8.24	0.32
19791022	0.0	8.12	0.31
19791023	0.0	8.24	0.31
19791024	0.68	9.48	0.3
19791025	18.75	10.26	0.48
19791026	0.23	7.46	0.9
19791027	0.0	5.81	0.44
19791028	0.14	7.04	0.37
19791029	0.64	6.91	0.36
19791030	0.62	10.12	0.35
19791031	1.21	9.43	0.35
19791101	0.87	7.37	0.34
19791102	6.86	8.42	0.33
19791103	0.79	12.73	0.56
19791104	0.97	8.57	0.38
19791105	2.28	8.66	0.35
19791106	0.11	6.22	0.34
19791107	12.98	5.73	0.59
19791108	2.63	5.14	0.62
19791109	0.78	3.08	0.54
19791110	0.28	4.63	0.41
19791111	7.55	5.5	0.47
19791112	0.0	0.59	0.74
19791113	0.71	1.41	0.46
19791114	7.28	2.83	0.53
19791115	11.0	4.26	1.54
19791116	2.5	3.45	2.23
19791117	2.15	5.13	1.02
19791118	0.19	6.15	0.82
19791119	0.0	4.39	0.63
19791120	0.0	3.05	0.5
19791121	0.2	4.96	0.46
19791122	0.03	10.78	0.43
19791123	0.27	6.51	0.41
19791124	0.92	5.99	0.39
19791125	1.25	9.79	0.39
19791126	2.23	9.75	0.38
19791127	0.41	8.63	0.39
19791128	0.01	12.04	0.37
19791129	0.01	12.61	0.36
19791130	0.29	11.22	0.36
19791201	0.05	10.72	0.35
19791202	3.86	10.01	0.38
19791203	6.96	8.62	0.63
19791204	9.68	10.07	0.7
19791205	2.92	5.49	3.22
19791206	2.26	7.32	1.29
19791207	0.57	10.35	1.09
19791208	2.84	8.97	0.9
19791209	6.04	9.88	2.01
19791210	8.87	6.99	2.61
19791211	1.12	4.13	2.92
19791212	8.75	5.71	2.71
19791213	17.2	5.68	3.35
19791214	3.4	4.72	7.6
19791215	1.14	4.96	4.64
19791216	0.82	5.53	2.4
19791217	3.87	5.02	1.73
19791218	0.43	3.2	1.44
19791219	0.18	2.8	1.1
19791220	0.14	2.31	0.94
19791221	0.06	1.56	0.87
