date	precipitation	temperature	discharge_spec
19701001	2.94	10.93	0.48
19701002	1.04	8.47	0.55
19701003	1.82	10.91	0.61
19701004	2.53	12.91	0.39
19701005	3.36	9.2	0.99
19701006	2.38	7.71	1.64
19701007	1.06	6.73	1.43
19701008	0.01	6.49	3.45
19701009	0.0	7.59	1.91
19701010	0.01	10.11	1.35
19701011	0.7	12.41	1.07
19701012	0.0	12.18	0.87
19701013	0.03	12.55	0.8
19701014	0.2	10.5	0.81
19701015	0.0	9.32	0.8
19701016	0.0	8.21	0.79
19701017	0.02	9.91	0.78
19701018	2.02	8.96	0.78
19701019	0.24	6.37	0.8
19701020	0.8	4.46	1.05
19701021	0.28	5.62	0.8
19701022	0.05	6.61	0.79
19701023	1.99	8.78	0.79
19701024	2.51	11.18	0.79
19701025	3.83	8.63	5.43
19701026	0.33	5.78	5.28
19701027	5.35	7.91	1.93
19701028	5.87	7.65	2.84
19701029	2.92	12.38	3.14
19701030	4.83	11.25	7.74
19701031	6.79	11.02	8.43
19701101	10.29	8.64	2.8
19701102	4.97	10.07	1.76
19701103	4.49	7.73	2.7
19701104	6.01	7.2	2.24
19701105	0.59	5.46	2.12
19701106	0.03	4.61	1.17
19701107	0.1	4.12	0.8
19701108	1.44	7.72	0.64
19701109	0.02	5.54	0.69
19701110	1.42	8.1	0.57
19701111	1.9	6.05	0.68
19701112	3.35	3.44	1.18
19701113	0.37	1.89	0.83
19701114	0.13	0.71	0.8
19701115	2.15	0.6	0.61
19701116	1.59	3.26	0.49
19701117	21.18	3.46	0.68
19701118	8.92	4.28	2.03
19701119	2.75	1.91	3.61
19701120	7.31	3.1	2.16
19701121	0.72	3.3	2.81
19701122	8.95	2.87	1.71
19701123	8.75	8.52	2.92
19701124	0.15	8.81	4.41
19701125	1.52	6.17	1.54
19701126	1.45	5.56	1.11
19701127	2.83	7.6	0.99
19701128	5.43	7.09	1.19
19701129	11.8	5.65	2.58
19701130	2.49	4.6	3.47
19701201	0.23	5.11	1.76
19701202	3.48	5.48	1.19
19701203	1.2	4.5	1.65
19701204	1.96	5.92	1.23
19701205	3.93	6.13	1.15
19701206	1.03	3.95	1.42
19701207	0.24	1.99	1.42
19701208	0.0	1.79	0.92
19701209	0.03	2.41	0.77
19701210	0.0	3.63	0.71
19701211	0.01	4.38	0.66
19701212	0.3	5.69	0.63
19701213	0.0	3.39	0.59
19701214	0.02	2.87	0.54
19701215	0.44	4.06	0.51
19701216	1.33	6.74	0.49
19701217	0.8	6.32	0.55
19701218	0.56	8.46	0.66
19701219	1.42	6.14	0.74
19701220	0.04	3.37	0.86
19701221	0.44	0.28	0.7
19701222	1.81	2.94	0.53
19701223	2.62	2.36	0.51
19701224	4.35	0.31	0.59
19701225	7.05	1.48	0.63
19701226	3.89	-0.76	0.89
19701227	6.31	0.73	0.97
19701228	5.96	1.78	1.19
19701229	6.99	1.53	1.75
19701230	3.07	-0.44	1.81
19701231	0.82	-2.21	1.2
19710101	0.02	-0.88	0.92
19710102	0.0	-2.09	0.78
19710103	0.0	-2.21	0.68
19710104	0.0	-2.83	0.61
19710105	0.01	-2.84	0.56
19710106	3.74	4.31	0.54
19710107	2.93	8.24	5.4
19710108	0.73	8.71	6.02
19710109	0.01	9.72	2.45
19710110	0.01	6.65	1.48
19710111	0.0	2.09	1.02
19710112	0.01	1.04	0.83
19710113	0.6	2.87	0.75
19710114	4.09	3.8	0.74
19710115	0.17	2.46	0.85
19710116	0.08	2.16	0.78
19710117	0.01	3.85	0.7
19710118	4.35	5.69	0.68
19710119	2.19	4.54	0.83
19710120	13.27	3.63	1.14
19710121	1.7	4.61	3.53
19710122	6.66	3.41	2.69
19710123	4.87	4.69	2.22
19710124	5.17	5.98	3.15
19710125	0.05	3.82	3.45
19710126	0.56	3.54	1.94
19710127	4.2	4.27	1.36
19710128	2.37	3.48	1.39
19710129	1.85	2.88	1.44
19710130	5.49	1.88	1.56
19710131	2.13	1.91	2.28
19710201	0.01	-0.18	1.79
19710202	2.02	4.1	1.26
19710203	0.04	5.07	1.24
19710204	0.01	4.38	1.22
19710205	0.0	2.49	0.97
19710206	0.02	3.75	0.87
19710207	0.0	5.3	0.81
19710208	0.02	4.59	0.76
19710209	0.09	4.65	0.72
19710210	0.0	3.66	0.69
19710211	3.41	4.29	0.64
19710212	13.17	5.65	1.56
19710213	4.25	3.29	5.27
19710214	5.51	2.99	2.01
19710215	0.34	-1.07	2.18
19710216	0.05	-0.3	1.37
19710217	5.01	1.08	1.03
19710218	0.08	2.12	1.24
19710219	0.85	4.23	1.44
19710220	1.87	6.64	1.7
19710221	0.02	4.45	1.74
19710222	0.0	4.37	1.04
19710223	0.01	5.37	0.83
19710224	0.21	6.11	0.75
19710225	0.01	4.62	0.7
19710226	0.0	2.2	0.66
19710227	4.1	1.04	0.62
19710228	0.22	0.12	0.61
19710301	7.66	0.59	0.6
19710302	0.56	2.59	0.72
19710303	0.1	-0.68	1.02
19710304	1.46	-1.14	0.84
19710305	1.65	-0.11	0.73
19710306	0.26	0.71	0.7
19710307	2.51	3.28	0.77
19710308	0.03	4.22	1.11
19710309	1.29	2.92	1.41
19710310	1.07	3.63	1.13
19710311	0.13	5.62	0.91
19710312	0.1	6.98	0.88
19710313	0.11	5.8	0.76
19710314	0.63	4.39	0.69
19710315	0.03	1.43	0.64
19710316	1.63	3.51	0.6
19710317	11.04	3.38	0.56
19710318	13.51	5.26	1.96
19710319	12.53	5.59	6.08
19710320	5.96	4.01	6.46
19710321	0.34	3.42	5.05
19710322	0.01	3.29	2.48
19710323	3.99	6.47	1.93
19710324	2.17	7.36	2.09
19710325	0.64	4.61	1.96
19710326	2.63	4.47	1.41
19710327	0.21	6.23	1.38
19710328	0.12	7.81	1.1
19710329	0.89	7.41	0.98
19710330	0.04	5.43	0.89
19710331	0.03	3.42	0.83
19710401	0.62	3.81	0.78
19710402	0.42	4.57	0.73
19710403	0.47	4.53	0.68
19710404	1.18	4.84	0.65
19710405	0.14	5.25	0.65
19710406	0.09	5.75	0.66
19710407	0.43	5.43	0.61
19710408	0.02	4.78	0.58
19710409	0.01	4.51	0.57
19710410	0.0	5.15	0.53
19710411	0.0	8.3	0.5
19710412	0.0	7.88	0.48
19710413	0.0	6.18	0.46
19710414	0.01	6.37	0.45
19710415	0.63	7.99	0.44
19710416	2.34	4.11	0.44
19710417	0.06	6.88	0.44
19710418	0.0	8.89	0.44
19710419	0.02	9.69	0.44
19710420	0.0	8.62	0.43
19710421	0.0	9.81	0.39
19710422	3.81	12.12	0.38
19710423	43.29	8.96	0.55
19710424	11.97	4.42	8.5
19710425	0.26	3.55	7.55
19710426	0.21	2.77	2.51
19710427	1.04	2.96	1.6
19710428	0.02	6.73	1.27
19710429	0.7	7.07	1.06
19710430	1.45	5.38	0.97
19710501	0.0	4.82	0.88
19710502	0.0	7.16	0.84
19710503	0.0	8.81	0.79
19710504	0.0	9.3	0.74
19710505	0.0	10.27	0.65
19710506	10.38	13.5	0.62
19710507	5.19	10.79	0.74
19710508	0.01	11.78	0.78
19710509	0.51	13.61	0.67
19710510	0.53	13.21	0.6
19710511	3.6	14.2	0.62
19710512	0.05	11.47	0.63
19710513	0.01	9.22	0.59
19710514	0.6	10.53	0.54
19710515	0.04	7.11	0.53
19710516	0.68	7.57	0.51
19710517	0.5	9.42	0.5
19710518	0.02	8.48	0.48
19710519	0.0	9.37	0.46
19710520	0.0	9.37	0.46
19710521	0.0	11.79	0.46
19710522	6.21	11.19	0.47
19710523	5.31	11.42	0.52
19710524	1.96	9.02	0.59
19710525	0.11	8.43	0.72
19710526	5.0	9.35	0.6
19710527	0.13	7.79	0.56
19710528	0.16	8.22	0.51
19710529	1.34	12.05	0.48
19710530	1.64	12.25	0.47
19710531	0.38	10.38	0.47
19710601	0.04	13.45	0.47
19710602	0.0	13.22	0.45
19710603	0.0	10.0	0.42
19710604	0.12	10.29	0.42
19710605	0.6	9.29	0.43
19710606	1.94	8.77	0.43
19710607	0.22	8.85	0.43
19710608	0.19	6.97	0.42
19710609	0.59	6.32	0.41
19710610	3.14	10.23	0.4
19710611	11.99	10.57	0.43
19710612	1.63	11.89	1.16
19710613	1.15	8.03	0.68
19710614	0.12	7.06	0.52
19710615	0.76	8.48	0.53
19710616	3.13	8.4	0.46
19710617	0.56	8.89	0.42
19710618	12.13	9.82	0.43
19710619	10.0	11.66	0.82
19710620	2.63	10.11	1.58
19710621	1.82	10.45	1.14
19710622	0.0	11.96	1.15
19710623	0.02	12.75	0.72
19710624	0.36	15.1	0.53
19710625	7.03	13.53	0.47
19710626	1.8	12.5	0.54
19710627	1.83	11.38	0.64
19710628	0.89	9.99	0.58
19710629	2.34	11.52	0.63
19710630	0.63	15.12	0.47
19710701	0.02	16.76	0.42
19710702	0.01	19.31	0.37
19710703	0.04	17.64	0.32
19710704	0.59	15.62	0.3
19710705	0.0	15.15	0.29
19710706	0.0	16.81	0.27
19710707	0.0	17.08	0.27
19710708	0.0	19.43	0.26
19710709	0.0	14.61	0.25
19710710	0.0	15.1	0.25
19710711	0.0	17.98	0.26
19710712	0.0	11.19	0.24
19710713	0.0	15.39	0.23
19710714	0.01	15.02	0.22
19710715	0.0	13.19	0.21
19710716	0.0	11.28	0.21
19710717	0.0	10.44	0.21
19710718	0.0	12.3	0.21
19710719	0.47	13.55	0.21
19710720	0.19	14.04	0.2
19710721	1.91	13.31	0.21
19710722	6.97	14.17	0.22
19710723	18.21	15.41	0.35
19710724	12.9	15.49	0.69
19710725	9.31	16.23	0.97
19710726	2.03	16.09	1.01
19710727	0.37	15.56	0.66
19710728	0.0	14.62	0.48
19710729	0.0	15.87	0.36
19710730	5.75	18.41	0.31
19710731	2.75	13.97	0.3
19710801	0.91	15.36	0.36
19710802	0.03	14.21	0.43
19710803	19.63	14.49	0.35
19710804	6.38	14.89	1.23
19710805	0.5	14.42	1.26
19710806	2.35	13.85	0.69
19710807	4.56	11.69	0.62
19710808	0.76	16.06	0.83
19710809	0.39	14.04	0.54
19710810	28.21	11.94	0.58
19710811	0.48	13.44	3.21
19710812	10.28	14.7	1.6
19710813	43.84	13.32	3.02
19710814	12.04	10.95	10.72
