date	precipitation	temperature	discharge_spec
20011207	0.02	6.28	3.78
20011208	0.02	3.34	3.71
20011209	0.5	1.05	3.74
20011210	0.08	1.26	3.64
20011211	0.01	3.63	3.57
20011212	0.04	6.32	3.51
20011213	0.2	4.76	3.55
20011214	0.06	3.16	3.52
20011215	1.51	4.68	3.47
20011216	0.57	4.25	3.46
20011217	1.41	5.68	3.42
20011218	1.26	3.9	3.39
20011219	3.3	2.9	3.39
20011220	2.74	3.82	3.42
20011221	10.75	3.63	3.45
20011222	4.67	-0.69	3.49
20011223	4.89	2.45	3.6
20011224	1.38	4.81	4.03
20011225	0.07	0.83	4.48
20011226	0.29	0.97	4.96
20011227	2.84	5.52	5.18
20011228	0.01	1.93	5.24
20011229	0.0	-0.81	5.25
20011230	2.57	-1.55	5.18
20011231	0.21	-1.87	5.06
20020101	0.0	-3.11	4.93
20020102	0.0	-1.61	4.8
20020103	0.0	0.42	4.68
20020104	0.03	0.1	4.6
20020105	0.24	1.72	4.48
20020106	0.12	1.99	4.39
20020107	0.03	4.0	4.31
20020108	0.02	2.92	4.28
20020109	0.06	2.14	4.18
20020110	0.06	1.68	4.14
20020111	5.94	3.94	4.16
20020112	0.1	6.24	4.08
20020113	0.04	7.87	4.02
20020114	0.24	6.71	4.02
20020115	0.0	3.93	3.96
20020116	1.05	6.24	3.93
20020117	1.83	4.52	3.93
20020118	2.03	4.46	3.89
20020119	0.1	6.47	3.87
20020120	0.45	9.69	3.87
20020121	0.15	9.9	3.79
20020122	3.46	6.88	3.78
20020123	2.19	7.48	3.73
20020124	0.1	2.43	3.61
20020125	9.65	5.47	3.63
20020126	0.62	7.47	3.63
20020127	3.82	8.92	3.58
20020128	0.59	8.98	3.67
20020129	0.01	8.28	3.54
20020130	1.03	7.73	3.54
20020131	2.94	7.02	3.57
20020201	2.19	11.45	3.64
20020202	5.32	10.86	3.67
20020203	0.05	6.61	3.62
20020204	4.99	7.57	3.71
20020205	0.21	7.73	3.72
20020206	1.88	4.45	3.69
20020207	2.48	6.56	3.78
20020208	3.42	8.89	3.85
20020209	3.08	6.68	3.96
20020210	3.59	8.82	3.98
20020211	3.65	10.44	4.11
20020212	2.34	7.16	4.14
20020213	2.5	4.29	4.21
20020214	0.15	3.84	4.33
20020215	0.0	4.93	4.43
20020216	0.0	4.28	4.49
20020217	1.13	5.72	4.56
20020218	1.09	6.13	4.63
20020219	7.25	6.73	4.71
20020220	4.12	3.02	4.73
20020221	0.71	5.91	4.9
20020222	3.53	4.42	4.65
20020223	2.68	1.6	4.53
20020224	2.82	2.68	4.57
20020225	11.76	6.72	4.92
20020226	3.39	5.36	5.35
20020227	0.23	4.36	5.83
20020228	2.56	3.14	6.45
20020301	0.74	2.93	6.83
20020302	0.61	4.21	7.02
20020303	0.01	7.14	7.05
20020304	0.0	5.61	7.01
20020305	0.36	8.03	7.07
20020306	0.01	9.37	7.01
20020307	0.0	6.73	6.87
20020308	0.02	7.2	6.83
20020309	5.75	3.19	6.67
20020310	0.88	6.06	6.48
20020311	0.72	4.93	6.26
20020312	0.01	5.6	6.06
20020313	0.0	3.89	5.83
20020314	3.98	4.48	5.65
20020315	8.37	5.55	5.4
20020316	2.44	9.7	5.2
20020317	0.26	8.09	4.94
20020318	5.48	6.54	4.92
20020319	2.16	8.48	4.79
20020320	3.06	9.67	4.75
20020321	0.12	10.99	4.74
20020322	0.0	7.15	4.62
20020323	0.0	5.99	4.56
20020324	0.33	7.24	4.56
20020325	0.12	6.84	4.58
20020326	0.0	5.8	4.43
20020327	0.0	7.38	4.37
20020328	0.0	5.69	4.31
20020329	0.0	6.79	4.07
20020330	0.0	10.81	4.02
20020331	0.0	10.72	3.97
20020401	0.08	7.93	3.88
20020402	0.04	9.86	3.81
20020403	0.0	8.86	3.81
20020404	0.0	7.71	3.78
20020405	0.0	7.03	3.64
20020406	0.0	4.32	3.58
20020407	0.0	4.39	3.54
20020408	0.0	5.52	3.54
20020409	0.0	6.45	3.51
20020410	0.0	4.68	3.47
20020411	0.0	6.38	3.45
20020412	0.97	5.72	3.4
20020413	0.1	4.47	3.37
20020414	0.02	7.63	3.35
20020415	0.0	5.51	3.31
20020416	0.0	7.78	3.32
20020417	0.02	8.98	3.28
20020418	0.0	6.82	3.27
20020419	0.0	7.78	3.25
20020420	0.0	12.08	3.18
20020421	0.0	13.85	3.19
20020422	0.0	12.84	3.2
20020423	0.0	13.37	3.11
20020424	0.0	13.7	3.11
20020425	5.76	11.45	3.11
20020426	1.06	7.47	3.13
20020427	8.78	8.55	3.09
20020428	9.12	7.23	3.1
20020429	8.87	8.09	3.16
20020430	2.95	8.69	3.12
20020501	0.84	7.1	3.05
20020502	0.29	7.88	3.0
20020503	0.01	6.46	2.97
20020504	0.01	6.32	2.97
20020505	2.83	8.64	2.93
20020506	0.39	8.81	2.96
20020507	0.02	9.38	2.95
20020508	0.0	7.95	2.66
20020509	0.0	8.89	2.67
20020510	0.0	11.52	2.63
20020511	0.0	8.95	2.65
20020512	1.59	10.75	2.81
20020513	6.68	10.77	2.78
20020514	1.09	11.05	2.71
20020515	0.05	12.25	2.4
20020516	0.0	16.06	2.29
20020517	3.18	11.41	2.34
20020518	0.46	11.22	2.37
20020519	0.13	15.02	2.33
20020520	5.61	14.4	2.32
20020521	7.22	14.8	2.27
20020522	0.01	13.7	2.36
20020523	5.74	13.44	2.33
20020524	1.16	12.18	2.35
20020525	3.79	11.91	2.25
20020526	3.86	9.68	2.23
20020527	1.88	11.36	1.9
20020528	3.5	11.81	1.93
20020529	0.06	10.92	1.9
20020530	3.73	11.08	1.89
20020531	0.0	11.59	1.79
20020601	0.0	14.51	1.77
20020602	0.0	15.58	1.76
20020603	1.59	11.68	1.79
20020604	0.78	12.67	1.78
20020605	5.12	12.94	1.8
20020606	0.0	13.53	1.73
20020607	0.29	12.5	1.75
20020608	0.02	14.11	1.69
20020609	3.17	12.11	1.66
20020610	3.95	11.3	1.79
20020611	0.7	11.19	1.6
20020612	0.23	12.47	1.7
20020613	1.4	12.82	1.62
20020614	8.87	15.12	1.74
20020615	0.03	14.46	1.68
20020616	0.42	18.15	1.72
20020617	0.0	18.07	1.73
20020618	0.0	14.5	1.68
20020619	0.0	15.02	1.65
20020620	0.0	14.35	1.59
20020621	0.01	15.53	1.63
20020622	0.02	14.43	1.49
20020623	0.0	12.61	1.44
20020624	0.0	13.9	1.62
20020625	0.0	14.04	1.72
20020626	2.31	12.44	1.65
20020627	3.2	11.92	1.79
20020628	0.0	11.04	1.73
20020629	0.0	14.95	1.75
20020630	6.8	12.95	1.74
20020701	2.89	11.69	1.8
20020702	2.58	12.66	1.8
20020703	0.71	12.68	1.8
20020704	12.16	13.02	1.77
20020705	1.25	10.68	1.84
20020706	0.03	13.79	1.77
20020707	1.74	15.95	1.8
20020708	0.36	15.35	1.79
20020709	6.33	12.73	1.83
20020710	2.07	14.13	1.8
20020711	0.61	12.87	1.68
20020712	2.86	13.02	1.68
20020713	0.0	13.74	1.68
20020714	0.0	16.57	1.68
20020715	1.24	18.59	1.68
20020716	0.05	17.01	1.68
20020717	0.55	14.99	1.68
20020718	0.01	15.26	1.68
20020719	20.43	14.62	1.68
20020720	9.2	13.03	1.68
20020721	1.59	12.04	1.68
20020722	2.31	16.26	1.68
20020723	1.79	14.64	1.68
20020724	0.0	13.43	1.68
20020725	0.04	17.41	1.68
20020726	0.0	17.29	1.68
20020727	0.0	19.07	1.68
20020728	0.0	19.07	1.68
20020729	1.45	19.98	1.68
20020730	1.97	19.64	1.68
20020731	0.8	17.42	1.68
20020801	61.04	16.76	1.68
20020802	1.01	15.99	1.68
20020803	2.34	17.95	1.68
20020804	7.03	16.29	1.68
20020805	0.15	17.89	1.37
20020806	0.0	17.48	1.35
20020807	12.48	17.49	1.65
20020808	2.72	14.15	1.55
20020809	51.51	14.36	1.74
20020810	2.64	15.07	2.4
20020811	0.2	15.79	3.59
20020812	0.0	16.27	4.07
20020813	0.0	19.59	3.99
20020814	0.01	19.54	3.85
20020815	0.0	16.79	3.74
20020816	0.0	17.78	3.43
20020817	0.0	22.34	3.33
20020818	3.18	19.02	3.31
20020819	0.5	17.13	3.18
20020820	0.0	14.51	3.17
20020821	0.01	15.27	3.04
20020822	0.87	16.41	2.96
20020823	4.92	14.88	2.99
20020824	0.11	16.45	2.86
20020825	0.0	13.74	2.82
20020826	0.0	13.7	2.78
20020827	0.0	15.27	2.71
20020828	0.96	17.98	2.63
20020829	0.0	17.69	2.58
20020830	0.0	16.29	2.52
20020831	0.0	11.93	2.47
20020901	0.0	13.75	2.32
20020902	0.0	15.47	2.26
20020903	0.0	15.7	2.25
20020904	0.0	15.36	2.27
20020905	0.11	16.18	2.05
20020906	1.51	13.2	2.02
20020907	1.01	12.8	1.98
20020908	0.0	13.84	2.0
20020909	17.41	14.62	2.15
20020910	0.0	14.75	1.98
20020911	0.0	17.33	1.98
20020912	0.01	16.5	1.97
20020913	0.0	15.48	1.88
20020914	0.01	13.28	1.89
20020915	0.02	13.81	1.95
20020916	0.03	13.75	1.91
20020917	0.27	12.91	1.89
20020918	0.11	12.74	1.83
20020919	0.0	13.82	1.83
20020920	0.0	12.39	1.82
20020921	0.82	13.98	1.84
20020922	0.95	12.31	1.82
20020923	0.06	11.33	1.79
20020924	0.0	11.07	1.8
20020925	3.02	12.08	1.81
20020926	0.0	12.43	1.82
20020927	0.0	14.05	1.7
20020928	0.0	13.27	1.72
20020929	0.0	12.72	1.69
20020930	0.0	14.81	1.69
20021001	0.26	15.68	1.68
20021002	0.21	14.84	1.66
20021003	0.0	12.21	1.65
20021004	0.11	13.76	1.66
20021005	1.14	13.92	1.64
20021006	0.23	11.89	1.66
20021007	0.0	12.05	1.91
20021008	0.0	10.87	1.54
20021009	0.0	11.86	1.46
20021010	0.0	11.38	1.47
20021011	9.93	10.05	1.5
20021012	10.05	5.97	1.55
20021013	11.74	8.43	1.58
20021014	2.17	8.12	1.43
20021015	1.49	8.51	1.46
20021016	9.01	7.01	1.46
20021017	3.67	6.04	1.47
20021018	0.5	4.26	1.53
20021019	0.09	4.26	1.53
20021020	32.06	5.36	1.56
20021021	17.54	9.97	1.79
20021022	4.13	8.96	2.22
20021023	0.34	4.34	2.67
20021024	2.94	7.61	2.62
20021025	16.62	9.27	2.7
20021026	12.42	9.17	2.78
20021027	1.94	7.58	2.89
20021028	3.54	8.1	3.14
20021029	7.99	6.77	3.42
20021030	0.01	6.61	3.56
20021031	0.03	7.65	3.68
20021101	17.63	10.89	4.04
20021102	19.97	10.64	4.45
20021103	0.32	9.15	5.11
20021104	0.71	8.78	6.17
20021105	6.49	11.59	6.78
20021106	1.3	7.67	7.13
20021107	3.36	5.72	7.21
20021108	13.07	6.74	7.59
20021109	2.46	5.93	7.69
20021110	2.79	7.38	7.95
20021111	0.72	7.79	8.19
20021112	4.35	6.32	8.26
20021113	12.37	6.93	8.26
20021114	5.32	7.1	8.52
20021115	0.11	6.92	8.14
20021116	13.38	7.18	8.81
20021117	1.27	5.14	8.78
20021118	0.23	5.44	8.77
20021119	0.15	6.55	8.8
20021120	7.94	8.91	8.98
20021121	5.52	8.44	9.12
