date	precipitation	temperature	discharge_spec
19701001	10.97	10.37	1.1
19701002	15.44	7.46	1.57
19701003	3.99	10.12	1.45
19701004	2.18	12.5	1.37
19701005	3.41	8.13	1.33
19701006	0.47	7.25	1.24
19701007	1.92	7.01	1.2
19701008	0.26	5.52	1.16
19701009	0.0	5.97	1.12
19701010	0.55	9.86	1.1
19701011	0.31	11.76	1.08
19701012	0.01	12.31	1.05
19701013	0.01	11.73	1.02
19701014	0.14	10.65	0.99
19701015	0.0	7.45	0.98
19701016	0.0	6.89	0.94
19701017	0.0	9.73	0.93
19701018	2.6	8.54	0.92
19701019	8.04	4.51	1.04
19701020	0.0	3.19	0.99
19701021	0.0	3.91	0.9
19701022	0.27	7.37	0.88
19701023	1.44	8.31	0.87
19701024	3.77	10.56	0.87
19701025	8.46	8.29	1.12
19701026	2.33	5.66	1.04
19701027	25.66	8.05	1.5
19701028	3.72	10.41	2.2
19701029	1.17	12.21	1.87
19701030	11.26	11.33	1.79
19701031	1.28	10.84	1.98
19701101	16.56	8.92	1.96
19701102	5.87	10.28	2.73
19701103	7.45	7.36	2.79
19701104	9.72	6.65	2.94
19701105	1.7	6.28	3.19
19701106	6.7	5.48	3.04
19701107	0.44	3.58	2.96
19701108	2.62	7.28	2.82
19701109	2.34	6.19	2.62
19701110	5.81	8.36	2.45
19701111	20.05	6.73	3.53
19701112	0.66	2.83	4.05
19701113	8.61	1.82	3.66
19701114	0.03	0.54	3.37
19701115	7.03	0.24	3.01
19701116	4.51	3.53	3.3
19701117	23.99	4.48	4.35
19701118	12.31	4.64	5.84
19701119	7.2	2.58	6.63
19701120	11.93	3.71	5.88
19701121	0.98	2.91	5.88
19701122	6.85	3.43	4.93
19701123	3.26	8.42	4.78
19701124	0.06	9.04	4.21
19701125	3.96	8.26	3.84
19701126	0.53	6.74	3.46
19701127	1.95	7.61	3.11
19701128	5.72	7.45	2.95
19701129	16.18	5.59	3.11
19701130	5.1	4.57	4.2
19701201	0.75	4.4	4.02
19701202	8.86	6.3	3.81
19701203	6.46	6.0	3.83
19701204	1.34	5.09	3.77
19701205	9.82	4.85	3.51
19701206	6.97	3.44	4.05
19701207	0.01	1.81	3.89
19701208	0.0	1.72	3.57
19701209	0.29	2.09	3.22
19701210	0.01	2.79	2.93
19701211	0.52	4.0	2.7
19701212	5.78	4.8	2.56
19701213	0.06	2.81	2.39
19701214	0.02	2.06	2.24
19701215	2.18	3.55	2.1
19701216	1.5	5.8	2.05
19701217	0.04	5.66	1.95
19701218	0.27	7.64	1.86
19701219	0.81	5.85	1.8
19701220	0.09	3.01	1.73
19701221	0.02	-0.56	1.58
19701222	0.73	0.87	1.59
19701223	1.57	-0.05	1.56
19701224	1.97	-2.64	1.5
19701225	2.72	-1.36	1.45
19701226	5.61	-2.85	1.42
19701227	0.88	-1.52	1.37
19701228	1.75	0.46	1.33
19701229	2.54	-0.09	1.32
19701230	0.55	-1.48	1.28
19701231	0.0	-2.52	1.24
19710101	0.01	-1.82	1.12
19710102	0.0	-2.92	1.07
19710103	0.0	-4.07	1.05
19710104	0.0	-4.26	1.05
19710105	0.03	-3.54	1.05
19710106	5.84	3.69	1.09
19710107	5.61	7.55	1.88
19710108	0.33	8.23	1.58
19710109	0.0	8.21	1.48
19710110	0.01	6.2	1.41
19710111	0.01	1.06	1.27
19710112	0.04	3.27	1.23
19710113	0.27	3.0	1.18
19710114	0.13	2.74	1.17
19710115	0.66	2.63	1.13
19710116	0.69	2.52	1.1
19710117	0.09	4.21	1.07
19710118	11.05	4.77	1.12
19710119	4.44	3.15	1.28
19710120	12.5	2.89	1.28
19710121	1.17	4.33	1.85
19710122	10.45	3.59	1.64
19710123	10.92	3.96	2.37
19710124	2.1	5.44	2.63
19710125	0.48	4.05	2.44
19710126	10.11	4.16	2.39
19710127	2.35	3.55	2.36
19710128	3.1	3.11	2.28
19710129	0.99	2.38	2.18
19710130	5.79	1.47	2.09
19710131	1.71	1.25	1.99
19710201	0.03	-1.06	1.53
19710202	1.54	2.71	1.47
19710203	0.48	4.95	1.44
19710204	0.04	3.3	1.36
19710205	0.03	2.31	1.27
19710206	0.04	3.03	1.21
19710207	0.05	5.1	1.13
19710208	0.01	4.69	1.07
19710209	0.0	3.75	1.02
19710210	0.0	2.64	0.97
19710211	2.87	4.11	0.99
19710212	18.39	4.93	1.49
19710213	2.74	2.19	1.49
