date	precipitation	temperature	discharge_spec
19960930	0.02	9.64	0.08
19961001	0.06	8.52	0.08
19961002	0.0	11.7	0.08
19961003	3.74	10.7	0.08
19961004	1.55	8.95	0.08
19961005	0.16	9.15	0.08
19961006	0.04	11.93	0.08
19961007	0.33	13.02	0.07
19961008	6.14	9.84	0.08
19961009	0.0	9.17	0.1
19961010	0.0	9.55	0.08
19961011	0.01	11.77	0.08
19961012	0.0	12.36	0.07
19961013	0.03	13.77	0.06
19961014	0.3	13.62	0.07
19961015	0.05	9.18	0.08
19961016	0.0	7.31	0.07
19961017	8.89	9.39	0.08
19961018	0.35	11.11	0.1
19961019	0.93	12.68	0.09
19961020	5.94	11.7	0.08
19961021	0.02	10.75	0.1
19961022	0.0	11.77	0.08
19961023	0.0	12.62	0.07
19961024	1.41	13.79	0.07
19961025	0.96	10.64	0.07
19961026	8.06	10.54	0.08
19961027	3.4	13.19	0.16
19961028	7.33	10.23	0.13
19961029	0.0	6.42	0.15
19961030	1.78	9.05	0.09
19961031	1.94	9.77	0.09
19961101	0.38	12.02	0.09
19961102	0.21	14.73	0.07
19961103	4.86	13.08	0.07
19961104	0.51	10.29	0.09
19961105	1.97	10.4	0.08
19961106	2.56	9.04	0.1
19961107	3.47	4.38	0.11
19961108	0.02	5.47	0.11
19961109	0.0	3.89	0.08
19961110	0.04	1.13	0.08
19961111	10.33	4.23	0.08
19961112	0.62	2.99	0.18
19961113	0.01	2.65	0.13
19961114	0.94	4.62	0.1
19961115	0.0	5.45	0.09
19961116	5.09	6.44	0.09
19961117	3.73	3.19	0.14
19961118	2.17	0.38	0.14
19961119	21.1	1.73	0.19
19961120	0.03	0.69	0.51
19961121	0.02	1.65	0.35
19961122	0.0	0.75	0.27
19961123	0.78	1.25	0.2
19961124	13.58	2.97	0.26
19961125	2.43	4.24	0.43
19961126	0.0	1.87	0.36
19961127	0.04	0.68	0.31
19961128	4.75	2.83	0.22
19961129	2.25	4.81	0.22
19961130	0.47	4.72	0.22
19961201	0.24	7.42	0.21
19961202	12.6	5.55	0.2
19961203	0.79	6.46	0.42
19961204	0.05	1.94	0.49
19961205	0.12	1.12	0.33
19961206	0.02	0.4	0.22
19961207	0.1	-0.07	0.18
19961208	0.15	1.85	0.15
19961209	0.09	1.73	0.13
19961210	0.43	2.74	0.12
19961211	0.0	3.25	0.12
19961212	0.4	2.64	0.11
19961213	0.0	-0.09	0.12
19961214	0.02	2.85	0.12
19961215	0.02	6.94	0.11
19961216	0.62	3.24	0.1
19961217	0.99	3.63	0.1
19961218	8.38	7.45	0.11
19961219	19.28	4.95	0.67
19961220	0.04	1.81	1.6
19961221	0.0	0.65	0.79
19961222	0.02	1.52	0.43
19961223	0.05	0.86	0.3
19961224	0.0	-0.04	0.24
19961225	0.0	-1.14	0.19
19961226	0.2	-1.54	0.17
19961227	0.84	1.33	0.16
19961228	0.0	-2.02	0.15
19961229	0.51	0.48	0.15
19961230	3.4	-1.72	0.15
19961231	1.49	-4.0	0.14
19970101	0.62	-4.73	0.13
19970102	0.69	-4.82	0.13
19970103	0.02	-1.43	0.13
19970104	0.01	-0.6	0.13
19970105	0.46	0.62	0.14
19970106	0.03	-1.42	0.15
19970107	0.0	-2.79	0.14
19970108	0.11	-1.83	0.13
19970109	0.06	-0.35	0.13
19970110	0.08	-1.22	0.13
19970111	0.28	3.27	0.12
19970112	0.01	6.72	0.22
19970113	0.0	4.69	0.51
19970114	0.0	2.52	0.4
19970115	0.02	0.48	0.28
19970116	0.01	0.4	0.22
19970117	0.12	4.33	0.21
19970118	1.68	4.67	0.19
19970119	4.93	2.61	0.29
19970120	0.09	2.06	0.7
19970121	5.73	1.34	0.57
19970122	1.68	2.65	0.93
19970123	0.8	3.01	1.12
19970124	0.01	3.04	0.76
19970125	0.01	4.01	0.56
19970126	0.02	3.68	0.44
19970127	0.07	3.07	0.37
19970128	0.08	3.16	0.31
19970129	0.04	4.01	0.27
19970130	0.01	3.08	0.25
19970131	0.0	3.28	0.24
19970201	0.5	2.8	0.23
19970202	0.04	2.14	0.22
19970203	1.51	3.65	0.21
19970204	0.97	5.04	0.22
19970205	0.08	5.16	0.21
19970206	0.27	8.94	0.19
19970207	0.36	3.84	0.19
19970208	0.08	4.64	0.17
19970209	0.62	8.23	0.17
19970210	1.72	6.41	0.2
19970211	6.99	7.88	0.22
19970212	3.2	7.48	0.37
19970213	0.57	2.71	0.54
19970214	0.01	3.22	0.46
19970215	0.03	4.83	0.35
19970216	3.69	5.4	0.31
19970217	7.89	7.59	0.38
19970218	1.96	4.13	1.04
19970219	5.46	6.77	1.6
19970220	3.66	8.77	1.98
19970221	0.0	8.97	1.29
19970222	0.01	8.78	0.93
19970223	5.42	8.3	0.8
19970224	5.94	7.33	1.1
19970225	4.02	7.27	1.91
19970226	2.23	5.53	1.67
19970227	0.15	7.07	1.26
19970228	0.03	7.71	0.95
19970301	3.3	8.36	0.72
19970302	0.02	5.15	0.66
19970303	0.39	4.92	0.5
19970304	0.95	5.81	0.45
19970305	2.44	5.17	0.44
19970306	0.02	6.5	0.39
19970307	0.01	7.94	0.36
19970308	0.0	6.69	0.33
19970309	0.01	7.82	0.3
19970310	0.0	7.11	0.28
19970311	0.03	9.44	0.26
19970312	0.0	9.37	0.24
19970313	0.4	10.19	0.23
19970314	0.19	10.09	0.22
19970315	0.0	11.33	0.2
19970316	0.0	10.1	0.19
19970317	0.0	11.5	0.18
19970318	4.86	8.59	0.23
19970319	0.28	5.9	0.23
19970320	0.34	5.82	0.2
19970321	0.02	4.9	0.18
19970322	0.2	8.96	0.17
19970323	0.42	7.5	0.17
19970324	0.68	5.89	0.17
19970325	0.04	9.72	0.17
19970326	0.02	9.48	0.17
19970327	0.83	9.04	0.16
19970328	0.0	6.2	0.15
19970329	0.0	6.32	0.14
19970330	0.01	5.57	0.14
19970331	0.0	8.12	0.13
19970401	0.0	11.16	0.11
19970402	0.0	9.09	0.12
19970403	0.01	5.01	0.13
19970404	0.0	8.22	0.12
19970405	0.17	8.62	0.11
19970406	0.0	8.14	0.1
19970407	0.0	6.76	0.1
19970408	0.0	8.21	0.09
19970409	0.0	10.16	0.09
19970410	0.0	10.95	0.1
19970411	0.01	5.0	0.11
19970412	0.0	6.89	0.1
19970413	0.0	9.77	0.1
19970414	0.0	8.29	0.1
19970415	0.0	4.74	0.1
19970416	0.0	9.71	0.09
19970417	0.0	6.75	0.1
19970418	0.17	6.73	0.1
19970419	0.03	4.53	0.11
19970420	0.0	2.16	0.11
