date	precipitation	temperature	discharge_spec
19720301	5.87	2.41	0.33
19720302	1.68	4.29	0.26
19720303	3.71	3.26	0.29
19720304	10.67	3.77	0.39
19720305	0.52	2.63	0.5
19720306	10.75	3.31	0.59
19720307	7.48	4.93	0.73
19720308	1.74	5.11	0.61
19720309	3.45	3.33	0.56
19720310	1.23	3.07	0.42
19720311	0.01	1.84	0.36
19720312	0.0	2.0	0.33
19720313	0.03	2.26	0.33
19720314	6.68	8.23	0.34
19720315	2.72	10.65	0.38
19720316	0.0	8.33	0.35
19720317	0.07	6.53	0.32
19720318	0.02	8.81	0.32
19720319	0.02	10.95	0.31
19720320	0.15	9.73	0.31
19720321	0.0	6.92	0.29
19720322	0.0	8.06	0.28
19720323	0.0	8.98	0.28
19720324	0.0	6.38	0.27
19720325	1.68	9.5	0.28
19720326	3.13	5.89	0.29
19720327	10.09	4.22	0.37
19720328	3.46	4.57	0.45
19720329	3.38	6.17	0.32
19720330	3.29	8.6	0.36
19720331	5.26	9.86	0.32
19720401	3.29	11.99	0.48
19720402	0.01	9.17	0.35
19720403	0.0	8.81	0.31
19720404	2.22	9.51	0.31
19720405	2.28	7.71	0.29
19720406	5.27	10.05	0.3
19720407	3.82	8.52	0.32
19720408	0.4	5.68	0.28
19720409	9.16	7.58	0.3
19720410	1.71	6.48	0.42
19720411	1.44	7.36	0.31
19720412	0.06	7.67	0.28
19720413	0.45	9.2	0.26
19720414	0.44	8.04	0.26
19720415	0.88	8.16	0.24
19720416	0.04	8.04	0.24
19720417	0.74	11.08	0.23
19720418	0.24	6.96	0.23
19720419	0.03	6.22	0.22
19720420	0.01	6.63	0.21
19720421	0.01	8.42	0.21
19720422	0.0	6.98	0.21
19720423	0.0	5.71	0.2
19720424	0.0	4.47	0.2
19720425	0.05	8.11	0.19
19720426	0.28	9.03	0.19
19720427	0.11	6.27	0.19
19720428	3.39	8.91	0.2
19720429	3.82	7.25	0.23
19720430	0.25	8.99	0.2
19720501	0.06	9.93	0.19
19720502	0.87	12.0	0.18
19720503	0.05	11.29	0.17
19720504	1.38	10.34	0.17
19720505	1.53	9.93	0.18
19720506	1.19	11.04	0.17
19720507	1.14	9.58	0.17
19720508	3.35	12.38	0.17
19720509	1.8	9.98	0.16
19720510	1.35	8.06	0.16
19720511	8.56	8.42	0.18
19720512	1.97	9.67	0.16
19720513	0.0	7.88	0.15
19720514	0.08	8.42	0.14
19720515	0.54	8.36	0.14
19720516	0.05	6.51	0.14
19720517	0.0	9.23	0.14
19720518	0.0	9.52	0.14
19720519	0.0	10.68	0.13
19720520	1.12	11.25	0.14
19720521	1.21	12.51	0.15
19720522	0.0	12.03	0.13
19720523	2.58	13.89	0.13
19720524	0.12	12.07	0.15
19720525	0.25	12.23	0.16
19720526	8.23	10.52	0.22
19720527	1.14	9.82	0.2
19720528	0.66	11.41	0.18
19720529	3.21	11.01	0.24
19720530	10.19	10.93	0.28
19720531	3.32	9.73	0.27
19720601	0.81	8.81	0.25
19720602	1.82	10.07	0.21
19720603	2.06	10.67	0.18
19720604	7.55	11.45	0.25
19720605	0.02	11.11	0.17
19720606	2.79	12.35	0.15
19720607	2.59	12.15	0.17
19720608	3.77	11.73	0.19
19720609	1.99	11.55	0.18
19720610	21.85	9.63	0.61
19720611	4.87	10.92	0.24
19720612	6.39	11.0	0.2
19720613	0.09	11.16	0.15
19720614	0.02	12.47	0.13
19720615	0.08	10.36	0.12
19720616	0.0	13.26	0.12
19720617	0.82	14.43	0.12
19720618	2.23	10.17	0.12
19720619	2.0	8.87	0.12
19720620	0.07	12.62	0.11
19720621	0.06	12.38	0.11
19720622	5.56	11.12	0.12
19720623	0.52	12.54	0.11
19720624	0.0	14.45	0.11
19720625	0.06	15.18	0.11
19720626	0.59	13.71	0.11
19720627	7.45	10.53	0.13
19720628	0.07	11.09	0.11
19720629	0.0	11.0	0.1
19720630	0.3	14.14	0.1
19720701	0.15	13.99	0.1
19720702	0.42	11.83	0.1
19720703	3.3	15.08	0.12
19720704	0.14	14.54	0.11
19720705	0.0	13.98	0.11
19720706	2.16	13.83	0.11
19720707	0.85	12.4	0.11
19720708	3.35	12.69	0.12
19720709	0.0	11.76	0.11
19720710	0.0	13.12	0.1
19720711	0.49	10.14	0.1
19720712	0.01	14.5	0.1
19720713	0.0	16.42	0.1
19720714	0.0	16.54	0.1
19720715	0.0	16.98	0.1
19720716	0.0	15.97	0.1
19720717	0.0	17.32	0.1
19720718	0.0	18.41	0.09
19720719	0.0	17.06	0.1
19720720	0.02	18.48	0.09
19720721	14.86	14.99	0.12
19720722	10.27	15.18	0.2
19720723	22.72	17.02	0.52
19720724	3.78	14.8	0.2
19720725	0.68	15.16	0.14
19720726	0.03	14.07	0.12
19720727	0.0	12.35	0.11
19720728	0.04	14.12	0.11
19720729	0.0	15.88	0.11
19720730	0.21	16.79	0.11
19720731	8.46	16.09	0.13
19720801	3.46	14.59	0.12
19720802	0.01	12.83	0.1
19720803	1.9	13.26	0.1
19720804	3.32	14.75	0.12
19720805	0.46	16.32	0.1
19720806	5.67	16.07	0.13
19720807	3.64	17.24	0.12
19720808	0.59	15.51	0.11
19720809	1.52	11.89	0.1
19720810	1.61	12.15	0.1
19720811	0.02	13.22	0.09
19720812	0.0	15.64	0.1
19720813	0.0	16.17	0.1
19720814	0.02	17.08	0.1
19720815	0.0	13.17	0.09
19720816	0.0	15.16	0.09
19720817	0.05	14.16	0.09
19720818	0.0	11.13	0.08
19720819	0.0	15.45	0.09
19720820	0.03	14.22	0.08
19720821	0.0	14.76	0.09
19720822	0.0	13.68	0.09
19720823	0.0	16.8	0.08
19720824	0.03	14.77	0.08
19720825	0.0	16.34	0.09
19720826	0.0	13.7	0.08
19720827	0.07	13.17	0.08
19720828	0.03	15.73	0.08
19720829	0.0	14.25	0.08
19720830	0.0	15.79	0.09
19720831	0.0	15.76	0.08
19720901	0.0	15.15	0.07
19720902	0.0	14.91	0.07
19720903	1.81	14.59	0.08
19720904	0.0	11.68	0.08
19720905	0.0	12.1	0.08
19720906	0.0	12.52	0.08
19720907	2.14	10.42	0.08
19720908	46.24	9.87	0.43
19720909	0.04	7.62	0.19
19720910	0.15	9.53	0.11
19720911	0.26	11.17	0.1
19720912	3.59	11.13	0.09
19720913	7.6	10.72	0.13
19720914	0.05	9.49	0.11
19720915	0.0	10.66	0.11
19720916	0.0	11.75	0.11
19720917	0.02	11.34	0.09
19720918	0.03	10.75	0.09
19720919	0.0	10.85	0.09
19720920	0.0	9.94	0.08
19720921	0.0	11.79	0.08
19720922	0.0	13.3	0.08
19720923	0.0	13.02	0.08
19720924	0.0	10.24	0.08
19720925	0.0	8.21	0.08
19720926	0.0	9.32	0.08
19720927	0.0	10.49	0.08
19720928	0.0	9.73	0.08
19720929	0.0	9.7	0.08
19720930	0.0	9.34	0.08
19721001	0.0	11.12	0.08
19721002	0.0	11.56	0.08
19721003	0.0	7.93	0.07
19721004	0.02	8.23	0.07
19721005	0.0	9.94	0.07
19721006	0.0	9.39	0.08
19721007	0.0	11.54	0.08
19721008	0.32	11.54	0.1
19721009	8.07	13.79	0.17
19721010	1.14	13.34	0.1
19721011	0.13	9.34	0.09
19721012	0.0	9.45	0.09
19721013	0.0	9.86	0.07
19721014	0.0	9.59	0.07
19721015	0.0	11.33	0.07
19721016	0.0	10.58	0.08
19721017	0.0	8.91	0.07
19721018	0.0	8.21	0.07
19721019	0.07	5.93	0.07
19721020	0.0	5.01	0.07
19721021	0.7	7.75	0.07
19721022	0.22	11.37	0.07
19721023	0.06	8.98	0.08
19721024	0.0	8.76	0.08
19721025	0.04	10.55	0.08
19721026	0.0	11.12	0.08
19721027	0.8	9.46	0.1
19721028	0.43	8.99	0.12
19721029	2.95	12.12	0.14
19721030	3.6	11.12	0.08
19721031	1.61	10.05	0.09
19721101	0.0	9.49	0.08
19721102	0.0	10.76	0.07
19721103	1.87	11.32	0.07
19721104	1.41	11.19	0.07
19721105	0.07	11.21	0.08
19721106	0.55	13.61	0.08
19721107	3.67	7.33	0.08
19721108	0.03	6.87	0.07
19721109	7.5	8.28	0.1
19721110	0.18	5.31	0.09
19721111	2.98	5.02	0.08
19721112	19.01	6.47	0.26
19721113	1.85	2.38	0.15
19721114	0.0	2.02	0.1
19721115	0.12	2.62	0.1
19721116	0.0	1.85	0.09
19721117	0.0	0.81	0.09
19721118	9.73	2.01	0.1
19721119	4.54	5.1	0.16
19721120	0.95	7.28	0.14
19721121	0.17	6.6	0.11
19721122	0.04	4.75	0.1
19721123	0.11	3.35	0.09
19721124	0.0	1.83	0.09
19721125	1.27	3.31	0.09
19721126	0.08	4.36	0.09
19721127	0.88	6.79	0.1
19721128	0.0	5.07	0.09
19721129	1.05	7.45	0.09
19721130	0.92	5.69	0.09
19721201	14.58	8.54	0.14
19721202	3.83	3.89	0.28
19721203	0.25	5.22	0.15
19721204	4.87	5.66	0.16
19721205	14.32	8.02	0.39
19721206	8.66	6.52	1.1
19721207	0.09	4.32	0.41
19721208	4.01	1.96	0.25
19721209	1.36	3.98	0.23
19721210	5.0	3.25	0.28
19721211	5.66	4.96	0.33
19721212	2.25	8.97	0.37
19721213	0.17	10.25	0.28
19721214	0.0	8.92	0.23
19721215	0.27	4.94	0.21
19721216	0.15	7.27	0.19
19721217	0.09	4.99	0.19
19721218	0.17	2.37	0.18
19721219	0.02	3.24	0.18
19721220	0.0	1.81	0.17
19721221	0.0	1.39	0.17
19721222	0.0	0.02	0.17
19721223	0.0	1.55	0.17
19721224	1.78	2.41	0.18
19721225	0.0	3.14	0.16
19721226	0.16	5.02	0.17
19721227	0.03	7.59	0.2
19721228	0.12	6.32	0.17
19721229	0.09	3.66	0.16
19721230	0.0	1.94	0.17
19721231	0.41	2.93	0.17
19730101	0.0	4.45	0.16
19730102	0.05	5.97	0.16
19730103	1.03	8.15	0.16
19730104	0.08	7.55	0.16
19730105	0.1	3.69	0.16
19730106	0.59	2.34	0.16
19730107	0.21	2.89	0.16
19730108	0.02	1.62	0.16
19730109	0.03	3.67	0.14
19730110	0.13	3.72	0.13
19730111	0.0	2.15	0.13
19730112	0.01	0.39	0.13
19730113	3.86	3.53	0.14
19730114	1.9	6.38	0.14
19730115	0.63	3.19	0.15
19730116	0.01	0.57	0.13
19730117	0.29	-0.16	0.13
19730118	0.01	0.0	0.12
19730119	2.24	0.82	0.13
19730120	13.4	0.93	0.27
19730121	0.02	1.98	0.22
19730122	1.97	3.71	0.19
19730123	0.06	6.75	0.19
19730124	0.01	7.68	0.17
19730125	0.07	7.36	0.16
19730126	3.78	6.72	0.17
19730127	0.0	4.77	0.15
19730128	0.0	7.15	0.15
19730129	0.0	7.94	0.14
19730130	0.03	4.35	0.14
19730131	0.27	4.36	0.13
19730201	0.02	6.63	0.13
19730202	0.24	5.82	0.12
19730203	0.03	6.05	0.13
19730204	0.0	4.09	0.13
19730205	0.0	5.46	0.12
19730206	0.0	8.98	0.13
19730207	2.01	8.55	0.13
19730208	1.73	4.83	0.13
19730209	1.7	4.15	0.13
19730210	0.1	3.05	0.12
19730211	5.14	6.02	0.13
19730212	7.02	3.12	0.25
19730213	1.07	0.6	0.19
19730214	0.0	-1.89	0.16
19730215	0.55	-0.41	0.15
19730216	0.11	0.7	0.14
19730217	0.01	2.16	0.13
19730218	0.74	5.22	0.13
19730219	0.05	8.24	0.13
19730220	0.0	8.56	0.13
19730221	0.21	7.34	0.13
19730222	6.39	3.94	0.14
19730223	3.52	2.02	0.18
19730224	0.01	1.89	0.15
19730225	0.0	0.75	0.14
19730226	0.0	0.22	0.14
19730227	0.05	2.56	0.13
19730228	1.59	5.72	0.13
19730301	1.06	3.95	0.13
19730302	0.02	6.37	0.12
19730303	1.45	9.01	0.13
19730304	3.04	7.92	0.13
19730305	6.35	3.72	0.18
19730306	0.71	3.35	0.17
19730307	0.0	4.71	0.15
19730308	0.0	4.73	0.14
19730309	0.0	4.66	0.13
19730310	0.0	1.21	0.13
19730311	0.01	2.52	0.14
19730312	0.0	4.52	0.13
19730313	0.04	4.0	0.13
19730314	0.01	5.09	0.12
19730315	0.0	4.39	0.12
19730316	0.0	5.85	0.12
19730317	0.0	8.27	0.13
19730318	0.01	7.7	0.12
19730319	0.0	7.37	0.12
19730320	0.0	5.02	0.12
19730321	0.0	6.22	0.12
19730322	0.0	8.98	0.12
19730323	0.0	10.74	0.12
19730324	0.04	7.27	0.12
19730325	1.97	6.23	0.12
19730326	0.0	3.99	0.11
19730327	0.33	6.75	0.11
19730328	0.04	5.88	0.11
19730329	0.12	7.87	0.11
19730330	0.31	5.29	0.11
19730331	0.14	7.2	0.11
19730401	14.53	6.58	0.16
19730402	2.33	3.05	0.15
19730403	4.11	5.25	0.12
19730404	0.72	9.07	0.13
19730405	0.04	7.54	0.11
19730406	1.24	5.43	0.11
19730407	0.27	4.83	0.1
19730408	1.37	0.31	0.1
19730409	0.17	1.92	0.1
19730410	0.79	6.83	0.1
19730411	0.03	5.48	0.1
19730412	0.0	5.67	0.1
19730413	0.0	8.22	0.1
19730414	0.04	8.45	0.1
19730415	0.0	10.42	0.1
19730416	0.02	10.01	0.1
19730417	0.0	10.88	0.09
19730418	1.04	7.8	0.09
19730419	0.26	5.78	0.09
19730420	0.02	5.65	0.09
19730421	5.72	5.5	0.09
19730422	3.96	6.55	0.1
19730423	6.19	5.56	0.11
19730424	0.0	7.81	0.09
19730425	0.0	7.8	0.09
19730426	0.0	8.76	0.09
19730427	0.0	7.57	0.09
19730428	0.07	6.73	0.09
19730429	0.1	6.79	0.09
19730430	13.15	7.84	0.13
19730501	0.0	6.03	0.09
19730502	0.0	8.0	0.09
19730503	9.75	8.21	0.1
19730504	0.68	11.53	0.12
19730505	1.02	9.09	0.09
19730506	2.16	8.48	0.09
19730507	0.56	10.5	0.09
19730508	0.08	10.14	0.08
19730509	3.85	9.2	0.09
19730510	2.96	7.46	0.09
19730511	0.0	8.56	0.08
19730512	0.0	10.09	0.08
19730513	0.04	7.13	0.08
19730514	0.0	7.46	0.08
19730515	0.0	8.19	0.07
19730516	0.0	9.27	0.07
19730517	0.89	12.38	0.07
19730518	0.0	10.66	0.07
19730519	13.05	12.91	0.1
19730520	0.2	14.32	0.09
19730521	11.4	13.62	0.16
19730522	2.25	14.34	0.1
19730523	5.89	10.86	0.13
19730524	0.76	11.96	0.1
19730525	0.0	14.68	0.08
19730526	0.0	15.93	0.08
19730527	0.07	17.03	0.08
19730528	1.87	15.72	0.08
19730529	15.91	12.19	0.13
19730530	2.59	12.64	0.12
19730531	0.16	8.7	0.1
19730601	0.0	9.33	0.09
19730602	1.73	10.3	0.09
19730603	0.98	10.66	0.09
19730604	0.0	10.51	0.08
19730605	0.0	12.9	0.08
19730606	0.0	14.66	0.08
19730607	0.0	15.84	0.07
19730608	0.0	17.66	0.07
19730609	0.04	15.22	0.08
19730610	0.0	13.74	0.08
19730611	0.0	14.83	0.08
19730612	0.0	14.86	0.07
19730613	0.0	9.35	0.07
19730614	0.0	13.5	0.07
19730615	0.0	16.19	0.08
19730616	0.97	19.49	0.07
19730617	0.0	15.09	0.07
19730618	0.0	19.48	0.07
19730619	37.04	15.38	0.28
19730620	4.16	12.93	0.16
19730621	0.0	15.47	0.1
19730622	0.0	15.77	0.09
19730623	0.01	17.96	0.08
19730624	2.74	16.96	0.09
19730625	0.12	16.25	0.09
19730626	14.07	14.9	0.15
19730627	26.53	16.43	0.31
19730628	0.48	14.81	0.29
19730629	0.0	15.61	0.13
19730630	0.0	16.55	0.1
19730701	0.01	19.13	0.1
19730702	0.0	15.93	0.1
19730703	0.0	17.19	0.09
19730704	0.0	16.59	0.09
19730705	0.01	19.38	0.09
19730706	16.64	14.69	0.17
19730707	0.01	11.9	0.11
19730708	0.0	13.47	0.1
19730709	1.07	16.59	0.1
19730710	0.74	17.62	0.09
19730711	0.0	15.85	0.09
19730712	0.0	16.15	0.09
19730713	0.01	17.92	0.09
19730714	1.41	16.73	0.09
19730715	38.2	14.99	0.53
19730716	24.46	15.52	1.2
19730717	0.66	14.28	1.29
19730718	3.66	14.36	0.28
19730719	0.87	14.98	0.22
19730720	2.73	14.16	0.17
19730721	28.36	14.49	1.25
19730722	0.19	11.64	1.23
19730723	1.03	10.46	0.34
19730724	0.13	14.38	0.25
19730725	3.79	15.0	0.23
19730726	0.0	13.88	0.21
19730727	0.0	14.84	0.19
19730728	0.0	14.21	0.19
19730729	0.0	15.34	0.19
19730730	1.35	16.34	0.24
19730731	0.0	17.06	0.2
19730801	0.0	18.36	0.18
19730802	0.1	18.95	0.18
19730803	5.25	15.21	0.19
19730804	5.89	14.12	0.2
19730805	21.46	16.35	0.33
19730806	1.04	13.95	0.7
19730807	0.77	12.69	0.25
