date	precipitation	temperature	discharge_spec
19970616	0.25	12.74	0.08
19970617	1.14	13.39	0.07
19970618	0.4	15.53	0.08
19970619	3.44	11.19	0.09
19970620	6.98	12.14	0.1
19970621	11.5	11.19	0.14
19970622	8.15	13.59	0.12
19970623	1.32	12.46	0.1
19970624	2.66	13.07	0.08
19970625	25.9	11.08	0.26
19970626	14.83	10.33	0.45
19970627	3.11	11.91	0.22
19970628	2.78	13.71	0.18
19970629	0.04	12.33	0.12
19970630	7.95	11.52	0.17
19970701	0.96	12.56	0.13
19970702	1.97	13.59	0.1
19970703	6.99	13.06	0.15
19970704	0.25	14.19	0.12
19970705	0.0	16.06	0.1
19970706	0.0	17.66	0.09
19970707	0.06	18.48	0.09
19970708	0.11	18.85	0.09
19970709	0.33	18.54	0.09
19970710	0.0	14.38	0.09
19970711	0.0	16.09	0.09
19970712	1.94	18.59	0.09
19970713	0.29	17.49	0.09
19970714	1.81	17.23	0.08
19970715	3.58	18.51	0.08
19970716	11.73	16.1	0.1
19970717	1.52	14.89	0.11
19970718	0.18	15.33	0.07
19970719	0.0	16.43	0.06
19970720	0.0	15.91	0.06
19970721	0.0	16.17	0.07
19970722	0.03	17.25	0.07
19970723	1.56	19.62	0.07
19970724	7.82	17.32	0.1
19970725	0.12	16.26	0.07
19970726	5.7	16.28	0.18
19970727	0.0	16.67	0.09
19970728	0.0	16.89	0.08
19970729	2.79	19.56	0.08
19970730	1.45	16.64	0.06
19970731	10.05	14.91	0.09
19970801	0.2	15.26	0.07
19970802	0.0	16.05	0.07
19970803	0.0	15.04	0.07
19970804	0.01	16.53	0.07
19970805	0.0	17.4	0.07
19970806	0.0	20.25	0.07
19970807	0.0	20.03	0.07
19970808	0.0	22.25	0.06
19970809	0.0	21.39	0.07
19970810	0.0	23.0	0.07
19970811	0.01	22.96	0.07
19970812	2.23	23.38	0.06
19970813	6.34	18.04	0.17
19970814	0.0	18.85	0.07
19970815	0.0	19.95	0.07
19970816	0.23	21.89	0.07
19970817	3.46	20.63	0.07
19970818	0.12	21.38	0.06
19970819	0.39	21.94	0.06
19970820	0.04	21.62	0.06
19970821	1.39	19.02	0.06
19970822	2.67	19.62	0.07
19970823	11.29	20.13	0.13
19970824	9.01	15.87	0.15
19970825	2.3	14.88	0.11
19970826	1.71	16.22	0.08
19970827	3.05	13.76	0.07
19970828	3.13	16.15	0.07
19970829	12.0	15.5	0.1
19970830	2.07	15.07	0.13
19970831	9.39	16.81	0.11
19970901	0.01	14.19	0.08
19970902	1.95	16.96	0.07
19970903	3.5	13.44	0.08
19970904	0.0	14.91	0.06
19970905	0.05	13.85	0.06
19970906	0.88	15.2	0.06
19970907	0.01	15.0	0.06
19970908	0.01	14.0	0.06
19970909	0.0	12.5	0.06
19970910	0.0	14.84	0.06
19970911	3.7	14.74	0.1
19970912	0.8	11.03	0.08
19970913	0.53	10.64	0.06
19970914	0.02	13.28	0.06
19970915	0.0	14.75	0.06
19970916	0.0	14.35	0.06
19970917	0.0	15.44	0.06
19970918	4.58	14.57	0.06
19970919	1.97	11.74	0.07
19970920	0.0	10.76	0.06
19970921	0.0	11.15	0.06
19970922	0.01	11.34	0.06
19970923	0.0	11.15	0.06
19970924	0.0	14.04	0.06
19970925	0.0	13.57	0.06
19970926	0.0	12.89	0.06
19970927	0.0	12.54	0.06
19970928	0.01	14.79	0.06
19970929	0.72	14.7	0.06
19970930	1.02	15.76	0.06
19971001	0.01	14.42	0.06
19971002	0.02	11.09	0.06
19971003	0.0	13.99	0.06
19971004	0.0	14.39	0.06
19971005	0.0	13.88	0.06
19971006	3.79	13.45	0.06
19971007	2.43	11.22	0.07
19971008	20.78	12.93	0.16
19971009	1.82	13.25	0.12
19971010	0.33	11.2	0.08
19971011	3.46	8.64	0.1
19971012	0.4	6.82	0.08
19971013	0.03	5.9	0.07
19971014	7.08	7.4	0.1
19971015	2.31	9.72	0.08
19971016	0.72	13.11	0.09
19971017	0.02	12.35	0.08
19971018	0.06	13.64	0.08
19971019	0.73	12.31	0.07
19971020	0.01	8.38	0.07
19971021	0.01	6.07	0.08
19971022	0.0	6.93	0.08
19971023	0.0	5.88	0.08
19971024	0.0	4.45	0.08
19971025	0.01	5.48	0.09
19971026	0.0	6.02	0.09
19971027	0.0	5.36	0.09
19971028	0.0	2.18	0.09
19971029	0.0	3.95	0.09
19971030	0.21	4.77	0.08
19971031	0.0	7.82	0.08
19971101	0.15	9.59	0.09
19971102	0.44	9.02	0.09
19971103	0.01	8.42	0.09
19971104	6.79	9.68	0.11
19971105	0.48	11.32	0.11
19971106	0.0	9.33	0.09
19971107	8.34	7.92	0.12
19971108	4.2	7.89	0.13
