date	precipitation	temperature	discharge_spec
19781201	0.22	-2.15	0.25
19781202	0.69	1.87	0.25
19781203	8.19	3.52	0.28
19781204	0.43	1.38	0.59
19781205	0.08	0.66	0.39
19781206	0.01	0.5	0.29
19781207	15.37	3.12	0.39
19781208	6.72	7.56	1.69
19781209	5.97	8.35	1.59
19781210	6.89	11.04	1.34
19781211	3.73	9.62	2.13
19781212	6.89	7.67	1.94
19781213	6.22	4.68	2.1
19781214	10.54	4.18	2.61
19781215	4.61	4.15	3.47
19781216	0.01	2.39	3.03
19781217	0.01	1.07	1.68
19781218	0.0	-0.97	1.04
19781219	0.0	-2.69	0.87
19781220	3.46	-0.48	0.78
19781221	3.94	0.37	0.76
19781222	0.06	-0.49	0.84
19781223	7.93	0.6	0.98
19781224	7.1	5.15	2.87
19781225	1.99	5.15	3.69
19781226	2.81	7.32	2.94
19781227	15.11	7.58	2.76
19781228	20.32	6.97	4.11
19781229	3.53	2.17	4.92
19781230	2.89	-2.16	4.95
19781231	0.5	-5.97	4.34
19790101	3.98	-4.34	2.15
19790102	0.2	-4.08	1.59
19790103	0.08	-5.23	1.28
19790104	0.0	-3.42	1.12
19790105	0.01	-4.59	0.94
19790106	1.23	0.12	0.87
19790107	0.32	5.1	2.18
19790108	1.04	2.54	2.74
19790109	6.4	1.55	1.93
19790110	0.03	1.5	2.6
19790111	0.1	0.28	2.19
19790112	0.01	-2.36	1.26
19790113	0.01	-2.92	0.92
19790114	0.58	0.4	0.8
19790115	0.66	2.77	0.78
19790116	1.09	2.77	0.84
19790117	2.36	1.1	0.96
19790118	0.35	-1.0	1.13
19790119	10.65	-0.6	1.01
19790120	3.37	-0.23	1.38
19790121	0.25	-0.81	1.62
19790122	3.56	-1.75	1.29
19790123	3.54	-3.07	1.27
19790124	1.83	-1.46	0.82
19790125	3.16	-1.49	0.8
19790126	0.13	-5.98	0.8
19790127	0.07	-6.43	0.6
19790128	1.45	-3.34	0.58
19790129	4.26	0.26	0.62
19790130	0.06	-0.5	0.7
19790131	4.07	2.38	1.17
19790201	13.54	1.4	4.07
19790202	0.01	-0.39	4.43
19790203	0.01	1.1	4.39
19790204	0.0	0.14	3.16
19790205	0.0	-0.39	1.97
19790206	4.24	-0.44	1.39
19790207	1.43	-1.01	1.58
19790208	0.04	0.45	1.51
19790209	0.0	0.48	1.21
19790210	0.01	0.27	1.08
19790211	2.76	0.13	0.94
19790212	5.56	-0.19	1.06
19790213	1.26	0.08	1.28
19790214	3.16	-4.01	2.14
19790215	5.31	-3.44	1.26
19790216	0.37	-1.53	1.08
19790217	0.07	-1.62	1.08
19790218	0.24	-1.27	0.98
19790219	0.23	-0.22	0.92
19790220	0.05	0.08	0.91
19790221	3.17	0.77	1.02
19790222	0.39	3.24	1.99
19790223	0.0	3.06	2.98
19790224	0.0	0.06	2.64
19790225	0.0	0.68	1.93
19790226	0.0	3.16	1.52
19790227	11.23	3.48	1.65
19790228	3.67	1.32	3.66
19790301	0.15	5.08	4.13
19790302	0.01	9.46	3.1
19790303	5.86	6.85	2.66
19790304	0.0	4.68	2.56
19790305	0.0	5.88	1.7
19790306	5.15	3.62	1.47
19790307	0.01	3.57	1.6
19790308	6.44	5.7	1.28
19790309	2.37	3.14	2.27
19790310	1.24	5.57	2.01
19790311	0.29	7.77	1.87
19790312	0.07	5.85	1.31
19790313	1.24	3.57	1.07
19790314	0.1	2.45	0.92
19790315	2.08	0.6	0.85
19790316	14.28	-0.27	0.91
19790317	2.76	0.01	1.28
19790318	3.89	2.67	2.17
19790319	0.14	1.65	3.86
19790320	1.87	3.93	3.93
19790321	1.14	2.43	3.17
19790322	3.54	1.36	2.29
19790323	0.01	2.19	1.82
19790324	8.4	6.4	1.46
19790325	1.76	7.47	2.75
19790326	4.61	3.81	2.78
19790327	5.19	4.68	2.71
19790328	14.43	3.05	3.0
19790329	2.83	3.97	4.03
19790330	0.4	4.14	4.62
19790331	0.05	6.57	3.25
19790401	1.73	4.74	1.91
19790402	2.27	3.21	1.61
19790403	0.6	2.21	1.44
19790404	0.1	2.67	1.28
19790405	0.22	3.03	1.12
19790406	0.88	3.0	1.03
19790407	17.62	5.21	0.97
19790408	6.22	5.48	3.39
19790409	3.07	8.32	4.53
19790410	5.49	11.74	4.31
19790411	3.56	10.44	3.59
19790412	4.01	8.22	3.59
19790413	0.11	10.08	2.55
19790414	0.0	12.2	1.69
19790415	0.0	11.55	1.23
19790416	0.0	8.32	1.04
19790417	0.0	4.49	0.9
19790418	0.0	9.61	0.84
19790419	0.21	9.64	0.78
19790420	0.04	8.58	0.76
19790421	0.01	8.94	0.71
19790422	2.73	8.92	0.7
19790423	6.72	7.77	0.86
19790424	0.88	6.6	0.8
19790425	2.91	6.07	0.78
19790426	0.69	6.93	0.7
19790427	3.24	8.99	0.63
19790428	0.18	6.81	0.65
19790429	3.95	6.03	0.77
19790430	0.04	5.27	0.72
19790501	4.04	2.94	0.7
19790502	0.27	3.58	0.71
19790503	2.42	2.96	0.64
19790504	0.02	3.42	0.63
19790505	0.45	3.76	0.55
19790506	1.57	7.46	0.5
19790507	1.98	9.18	0.55
19790508	0.01	9.62	0.55
19790509	0.13	7.95	0.49
19790510	10.42	9.42	0.67
19790511	0.86	12.64	1.04
19790512	0.0	14.66	0.78
19790513	0.0	16.25	0.62
19790514	0.0	17.0	0.55
19790515	0.0	17.85	0.51
19790516	2.07	12.55	0.51
19790517	3.08	10.14	0.52
19790518	1.47	8.9	0.53
19790519	0.03	9.04	0.44
19790520	22.27	9.53	0.92
19790521	2.88	9.31	2.37
19790522	4.84	10.73	1.57
19790523	1.08	8.59	1.4
19790524	4.68	8.1	1.39
19790525	0.3	9.12	1.2
19790526	12.9	8.57	1.89
19790527	0.2	10.5	2.45
19790528	3.51	12.56	1.44
19790529	0.09	13.16	1.12
19790530	15.06	11.17	2.05
19790531	0.05	9.59	3.16
19790601	0.74	14.0	1.77
19790602	0.29	12.56	0.99
19790603	0.12	14.05	0.87
19790604	0.02	17.4	0.78
19790605	0.0	13.4	0.65
19790606	0.56	11.76	0.58
19790607	1.4	10.64	0.56
19790608	0.25	13.15	0.55
19790609	0.0	13.77	0.48
19790610	0.0	13.1	0.41
19790611	0.0	11.66	0.43
19790612	0.03	14.6	0.41
19790613	1.74	14.33	0.43
19790614	3.27	10.77	0.44
19790615	3.69	12.2	0.59
19790616	0.0	14.1	0.45
19790617	0.0	13.67	0.38
19790618	0.0	17.05	0.37
19790619	0.0	18.58	0.39
19790620	0.0	18.58	0.35
19790621	1.36	13.48	0.37
19790622	0.01	13.45	0.33
19790623	0.67	13.05	0.32
19790624	4.77	10.95	0.46
19790625	0.09	10.47	0.38
