date	precipitation	temperature	discharge_spec
19710801	7.47	15.76	0.27
19710802	0.13	16.47	0.34
19710803	11.63	14.95	0.43
19710804	3.73	15.95	0.46
19710805	3.61	15.46	0.37
19710806	1.08	15.43	0.3
19710807	0.06	12.4	0.24
19710808	0.0	17.25	0.22
19710809	23.52	18.08	0.3
19710810	18.91	14.62	3.21
19710811	0.03	13.93	3.94
19710812	2.25	15.09	0.74
19710813	13.41	16.13	0.63
19710814	11.21	14.85	3.67
19710815	0.02	10.19	2.63
19710816	0.0	12.52	0.76
19710817	0.0	15.35	0.5
19710818	5.99	16.11	0.41
19710819	0.03	17.5	0.5
19710820	0.98	17.08	0.39
19710821	0.08	14.84	0.35
19710822	0.01	15.49	0.34
19710823	1.18	16.9	0.32
19710824	0.0	14.08	0.31
19710825	0.0	14.93	0.29
19710826	1.0	16.58	0.28
19710827	0.18	15.76	0.27
19710828	2.04	18.6	0.25
19710829	3.98	14.07	0.32
19710830	1.12	13.32	0.33
19710831	0.16	15.61	0.31
19710901	0.0	13.74	0.27
19710902	0.0	17.88	0.26
19710903	0.15	14.99	0.25
19710904	0.0	12.96	0.26
19710905	0.0	14.16	0.24
19710906	0.0	15.06	0.24
19710907	0.0	15.5	0.23
19710908	0.0	17.17	0.22
19710909	0.0	14.89	0.22
19710910	0.56	12.29	0.22
19710911	0.0	12.04	0.24
19710912	0.0	12.53	0.23
19710913	0.01	12.97	0.23
19710914	0.03	13.33	0.24
19710915	0.06	12.07	0.24
19710916	0.0	14.33	0.23
19710917	0.0	11.57	0.22
19710918	0.0	11.3	0.21
19710919	0.0	13.1	0.21
19710920	0.0	14.07	0.22
19710921	0.0	14.44	0.21
19710922	0.0	14.71	0.21
19710923	1.82	14.8	0.21
19710924	4.5	11.22	0.23
19710925	2.96	10.52	0.27
19710926	12.32	12.72	0.37
19710927	2.33	11.36	0.57
19710928	0.3	12.09	0.34
19710929	0.13	15.15	0.28
19710930	0.08	16.42	0.26
19711001	0.0	13.42	0.25
19711002	0.0	14.98	0.24
19711003	0.19	14.14	0.25
19711004	0.01	8.95	0.24
19711005	0.0	8.46	0.23
19711006	0.0	11.1	0.22
19711007	0.01	11.01	0.22
19711008	0.01	10.75	0.23
19711009	0.15	12.75	0.24
19711010	0.04	15.46	0.24
19711011	1.52	14.36	0.24
19711012	1.04	10.69	0.26
19711013	25.74	4.79	0.86
19711014	0.01	4.5	1.06
19711015	6.89	8.37	0.54
19711016	1.83	9.56	0.68
19711017	0.32	11.76	0.61
19711018	5.79	13.87	0.5
19711019	6.28	11.03	1.13
19711020	0.61	10.2	0.99
19711021	0.0	13.66	0.62
19711022	0.0	14.36	0.5
19711023	0.0	12.2	0.42
19711024	0.05	12.83	0.39
19711025	0.01	6.92	0.35
19711026	0.0	8.04	0.33
19711027	0.0	7.95	0.31
19711028	0.02	7.05	0.3
19711029	0.31	6.77	0.3
19711030	0.01	8.11	0.3
19711031	0.06	9.64	0.3
19711101	0.0	11.38	0.29
19711102	0.0	11.92	0.28
19711103	0.02	10.67	0.29
19711104	0.0	11.72	0.28
19711105	5.09	7.02	0.38
19711106	0.03	2.97	0.32
19711107	5.93	6.04	0.37
19711108	0.1	4.29	0.42
19711109	0.0	1.54	0.33
19711110	0.01	0.81	0.32
19711111	0.06	3.41	0.3
19711112	0.66	7.75	0.31
19711113	0.02	5.1	0.31
19711114	0.0	5.79	0.28
19711115	0.0	8.9	0.28
19711116	2.2	8.12	0.3
19711117	5.67	8.18	0.32
19711118	3.89	1.5	0.72
19711119	0.0	-0.83	0.64
19711120	15.21	5.0	1.08
19711121	1.43	4.39	2.82
19711122	3.68	1.36	1.43
19711123	0.56	0.85	1.19
19711124	0.01	2.48	1.01
19711125	2.03	7.43	0.86
19711126	1.31	8.88	0.88
19711127	14.14	7.59	1.76
19711128	0.11	1.24	3.9
19711129	0.04	0.56	1.79
19711130	0.0	0.44	1.24
19711201	0.17	1.02	0.96
19711202	0.09	2.15	0.84
19711203	0.0	2.25	0.72
19711204	0.0	4.7	0.66
19711205	0.0	6.81	0.64
19711206	0.0	3.36	0.61
19711207	0.0	2.53	0.55
19711208	0.0	5.41	0.53
19711209	0.0	7.7	0.52
19711210	0.0	7.64	0.49
19711211	0.01	7.72	0.47
19711212	0.02	8.05	0.45
19711213	0.0	7.83	0.44
19711214	0.0	7.91	0.42
19711215	0.01	9.31	0.4
19711216	0.0	7.68	0.38
19711217	0.0	7.0	0.39
19711218	2.17	8.13	0.39
19711219	16.52	7.98	2.64
19711220	0.05	10.86	2.26
19711221	2.91	9.93	1.31
19711222	8.08	6.46	1.71
19711223	0.01	4.52	2.71
19711224	0.0	7.58	1.7
19711225	0.04	6.68	1.27
19711226	2.01	5.83	1.04
19711227	0.73	4.35	1.02
19711228	0.65	1.77	0.93
19711229	0.71	1.47	0.83
19711230	2.19	2.56	0.88
19711231	0.02	3.52	0.99
19720101	1.06	2.71	0.92
19720102	5.47	2.29	1.01
19720103	1.3	2.1	1.92
19720104	0.67	2.65	1.63
19720105	0.12	0.97	1.25
19720106	0.01	0.38	1.04
19720107	6.83	1.17	1.19
19720108	1.64	3.73	2.03
19720109	0.67	5.45	1.87
19720110	7.43	6.88	1.75
19720111	3.51	5.56	3.94
19720112	3.96	5.68	2.62
19720113	0.5	6.46	2.27
19720114	0.01	6.09	1.96
19720115	0.74	4.86	1.57
19720116	0.33	5.04	1.32
19720117	1.35	1.42	1.11
19720118	5.77	3.75	1.16
19720119	0.01	2.46	1.98
19720120	0.01	1.48	1.57
19720121	0.07	2.39	1.17
19720122	0.26	5.96	1.06
19720123	4.41	7.23	1.03
