date	precipitation	temperature	discharge_spec
19860801	1.48	15.47	0.29
19860802	0.0	13.95	0.24
19860803	10.77	12.43	0.39
19860804	1.14	13.5	0.37
19860805	0.07	15.28	0.29
19860806	0.19	16.19	0.25
19860807	0.57	14.8	0.24
19860808	0.0	12.81	0.24
19860809	0.07	15.67	0.21
19860810	30.27	15.48	0.38
19860811	0.71	12.97	1.18
19860812	0.61	14.57	0.47
19860813	0.8	16.71	0.31
19860814	0.68	15.08	0.32
19860815	0.05	12.35	0.28
19860816	0.0	14.02	0.24
19860817	0.01	14.06	0.22
19860818	14.1	12.8	0.37
19860819	0.01	11.47	0.45
19860820	0.0	11.71	0.32
19860821	3.17	13.5	0.3
19860822	1.57	12.53	0.34
19860823	0.01	12.03	0.29
19860824	0.01	12.44	0.24
19860825	41.68	12.25	1.01
19860826	6.14	11.7	2.36
19860827	0.58	11.11	1.46
19860828	0.39	10.49	0.67
19860829	0.04	12.05	0.43
19860830	0.04	9.14	0.35
19860831	1.42	13.26	0.32
19860901	0.06	14.18	0.33
19860902	5.56	14.29	0.33
19860903	0.42	9.07	0.38
19860904	0.03	10.98	0.31
19860905	0.01	11.72	0.28
19860906	0.01	10.64	0.26
19860907	0.0	10.97	0.25
19860908	0.0	7.83	0.26
19860909	0.0	9.62	0.25
19860910	0.0	10.09	0.24
19860911	0.03	10.01	0.24
19860912	0.0	8.21	0.24
19860913	11.17	10.81	0.38
19860914	0.01	9.08	0.42
19860915	0.01	6.88	0.31
19860916	0.0	6.95	0.27
19860917	0.04	8.87	0.26
19860918	0.0	6.94	0.24
19860919	0.0	9.15	0.24
19860920	0.0	12.66	0.22
19860921	0.0	12.83	0.22
19860922	0.0	12.81	0.24
19860923	0.0	13.93	0.24
19860924	0.0	8.93	0.23
19860925	0.01	8.07	0.22
19860926	0.0	11.42	0.22
19860927	0.0	13.37	0.21
19860928	0.0	14.97	0.21
19860929	0.0	13.92	0.23
19860930	0.02	11.68	0.23
19861001	0.0	11.73	0.22
19861002	0.0	10.33	0.22
19861003	0.0	11.48	0.22
19861004	0.17	12.97	0.21
19861005	0.03	14.37	0.21
19861006	0.0	15.54	0.21
19861007	0.02	13.89	0.23
19861008	0.08	14.64	0.22
19861009	1.65	15.57	0.22
19861010	0.22	8.93	0.23
19861011	0.01	8.83	0.23
19861012	0.16	10.88	0.2
19861013	0.13	12.61	0.21
19861014	0.11	11.81	0.23
19861015	0.0	6.45	0.22
19861016	0.0	6.79	0.21
19861017	0.07	9.22	0.2
19861018	3.22	7.87	0.23
19861019	15.6	6.79	0.3
19861020	2.31	6.93	0.78
19861021	6.64	8.95	0.53
19861022	0.7	6.87	0.46
19861023	0.51	5.71	0.36
19861024	2.38	8.45	0.3
19861025	0.9	8.13	0.32
19861026	2.13	9.37	0.26
19861027	4.76	13.12	0.47
19861028	1.1	10.18	0.41
19861029	0.11	8.95	0.33
19861030	0.84	8.26	0.32
19861031	11.55	8.59	0.36
19861101	1.36	3.86	0.8
19861102	0.11	5.08	0.58
19861103	0.64	5.29	0.44
19861104	0.04	7.54	0.38
19861105	0.48	6.54	0.37
19861106	0.05	6.54	0.31
19861107	7.83	8.93	0.33
19861108	0.01	6.52	0.6
19861109	2.02	10.4	0.51
19861110	2.99	10.99	0.46
19861111	0.46	6.7	0.48
19861112	0.15	8.16	0.42
19861113	4.65	9.22	0.45
19861114	7.68	8.38	0.66
19861115	0.09	8.19	1.11
19861116	1.13	6.51	0.8
19861117	8.44	5.55	0.69
19861118	3.6	9.4	1.2
19861119	0.12	5.77	1.5
19861120	14.83	4.5	1.33
19861121	0.48	5.48	3.04
19861122	2.96	5.24	2.09
19861123	0.55	7.39	1.3
19861124	0.84	11.23	1.05
19861125	8.77	9.36	1.12
19861126	0.38	6.02	2.18
19861127	0.01	7.4	1.48
19861128	0.04	4.2	0.96
19861129	0.01	2.51	0.74
19861130	0.05	5.4	0.66
19861201	0.04	6.84	0.62
19861202	0.03	9.39	0.56
19861203	0.01	11.38	0.54
19861204	0.06	12.52	0.49
19861205	5.88	6.09	0.64
19861206	0.02	3.63	0.59
19861207	4.57	7.48	0.54
19861208	3.26	7.44	0.54
19861209	0.62	3.04	0.54
19861210	2.47	2.77	0.8
19861211	4.01	3.32	0.8
19861212	6.75	3.71	1.55
19861213	0.84	2.59	2.24
19861214	1.53	1.84	2.06
19861215	6.62	4.74	2.06
19861216	0.05	3.56	2.06
19861217	3.17	6.89	1.73
19861218	4.46	4.43	1.71
19861219	0.21	3.3	1.78
19861220	1.01	2.88	1.78
19861221	3.65	1.73	1.78
19861222	0.2	1.06	1.3
19861223	0.0	2.0	1.02
19861224	2.52	4.59	0.87
19861225	0.11	4.5	0.95
19861226	0.25	3.26	0.88
19861227	0.03	4.95	0.75
19861228	0.03	8.7	0.68
19861229	12.1	9.59	0.68
19861230	5.5	8.46	3.16
19861231	12.26	6.74	3.65
19870101	2.14	5.96	4.13
19870102	0.2	0.86	4.17
19870103	0.41	0.72	2.15
19870104	2.35	6.23	1.57
19870105	2.12	4.11	1.56
19870106	0.02	0.94	1.28
19870107	0.0	-0.98	0.98
19870108	0.01	-1.59	0.89
19870109	0.02	-0.68	0.82
19870110	0.26	-4.52	0.71
19870111	1.47	-7.47	0.58
19870112	2.88	-9.94	0.56
19870113	11.04	-5.95	0.58
19870114	4.11	-3.59	0.5
19870115	0.91	-0.69	0.48
19870116	0.13	-2.22	0.61
19870117	0.0	-3.02	0.53
19870118	0.0	-2.96	0.5
19870119	0.27	-1.48	0.5
19870120	0.3	1.76	0.58
19870121	0.19	3.49	1.04
19870122	0.17	3.29	2.36
19870123	0.12	4.16	2.9
19870124	0.03	3.5	3.54
19870125	0.01	2.84	3.01
19870126	0.1	2.02	1.9
19870127	0.0	0.59	1.41
19870128	0.03	0.42	1.05
19870129	0.0	-1.33	0.87
19870130	0.0	-4.14	0.73
19870131	0.07	-2.43	0.62
19870201	2.0	-0.82	0.6
19870202	2.05	2.87	0.71
19870203	0.04	4.64	0.81
19870204	0.03	5.44	0.95
19870205	0.29	8.92	1.12
19870206	0.01	6.43	0.97
19870207	1.38	6.49	0.71
19870208	5.92	7.94	0.7
19870209	0.64	7.19	1.33
19870210	0.3	4.15	1.29
19870211	13.85	2.79	1.84
19870212	0.98	1.34	3.64
19870213	1.16	2.51	3.07
19870214	0.25	0.59	1.7
19870215	0.05	0.72	1.26
19870216	0.31	0.3	1.07
19870217	0.22	0.59	0.95
19870218	0.06	-0.39	0.84
19870219	0.01	0.25	0.73
19870220	0.0	0.4	0.7
19870221	0.29	2.73	0.64
19870222	0.06	3.96	0.6
19870223	0.0	0.5	0.58
19870224	0.01	-0.9	0.56
19870225	0.0	0.62	0.55
19870226	8.19	5.05	0.78
19870227	1.89	10.04	1.16
19870228	3.06	8.26	1.06
19870301	6.28	8.58	1.66
19870302	0.05	3.86	2.35
19870303	0.41	-0.95	1.34
19870304	0.12	0.87	1.01
19870305	6.31	3.64	0.9
19870306	9.47	0.54	2.01
19870307	2.44	0.61	2.68
19870308	0.16	0.18	2.08
19870309	0.01	-0.48	1.88
19870310	0.01	0.36	1.31
19870311	0.0	-0.25	1.15
19870312	0.0	1.0	1.03
19870313	0.0	-0.37	0.94
19870314	0.01	2.88	0.8
19870315	0.09	3.94	0.76
19870316	2.29	5.49	0.75
19870317	4.56	6.25	0.83
19870318	0.57	1.57	1.0
19870319	0.15	2.31	0.82
19870320	0.44	1.35	0.7
19870321	0.05	2.05	0.63
19870322	2.6	5.64	0.62
19870323	2.34	7.84	0.7
19870324	5.35	7.41	0.75
19870325	1.03	4.85	1.24
19870326	8.61	8.81	1.31
19870327	1.66	7.15	2.69
19870328	2.15	3.67	1.93
19870329	0.15	4.44	1.36
19870330	0.08	7.15	1.01
19870331	2.97	9.29	0.91
19870401	9.39	5.22	1.61
19870402	0.04	4.94	2.62
19870403	0.51	7.44	1.57
19870404	16.91	6.14	1.84
19870405	0.02	8.07	4.45
19870406	2.52	8.04	3.25
19870407	15.29	7.52	3.53
19870408	1.35	8.85	5.15
19870409	3.42	6.95	3.38
19870410	3.56	7.1	2.42
19870411	0.01	5.32	1.76
19870412	0.01	7.19	1.2
19870413	0.25	9.13	1.03
19870414	0.0	10.3	0.94
19870415	0.0	10.31	0.84
19870416	0.0	10.13	0.78
19870417	0.05	13.23	0.71
19870418	0.59	14.23	0.68
19870419	0.52	11.44	0.65
