date	precipitation	temperature	discharge_spec
19970101	1.63	-2.65	0.33
19970102	1.14	-3.16	0.36
19970103	0.01	-1.59	0.34
19970104	0.01	0.36	0.33
19970105	0.16	1.26	0.33
19970106	0.02	-0.19	0.35
19970107	0.01	-1.96	0.34
19970108	0.02	-0.96	0.33
19970109	0.01	0.88	0.33
19970110	0.1	-0.61	0.33
19970111	0.24	3.9	0.33
19970112	0.11	8.12	0.35
19970113	0.0	5.47	0.34
19970114	0.01	3.43	0.33
19970115	0.06	2.15	0.32
19970116	0.04	0.63	0.32
19970117	0.02	4.68	0.33
19970118	0.1	5.03	0.32
19970119	0.75	2.94	0.32
19970120	0.02	1.87	0.32
19970121	9.02	0.72	0.32
19970122	1.0	1.81	0.57
19970123	0.37	2.41	0.4
19970124	0.07	4.09	0.34
19970125	0.03	4.26	0.34
19970126	0.02	4.04	0.33
19970127	0.31	3.82	0.31
19970128	0.04	3.79	0.31
19970129	0.09	4.01	0.29
19970130	0.01	3.17	0.3
19970131	0.01	3.54	0.31
19970201	0.44	3.14	0.29
19970202	0.02	2.86	0.3
19970203	1.62	4.07	0.32
19970204	0.58	5.53	0.39
19970205	0.01	5.03	0.32
19970206	1.74	8.8	0.32
19970207	0.32	4.43	0.35
19970208	0.03	4.89	0.31
19970209	1.09	9.17	0.31
19970210	3.1	6.45	0.39
19970211	4.67	8.16	0.43
19970212	2.15	8.24	0.42
19970213	0.48	3.38	0.38
19970214	0.01	3.99	0.34
19970215	0.0	5.41	0.32
19970216	2.12	5.67	0.35
19970217	6.78	7.19	0.5
19970218	2.76	4.29	0.51
19970219	8.01	6.75	0.71
19970220	1.65	9.05	0.57
19970221	0.01	8.87	0.47
19970222	0.0	9.3	0.39
19970223	5.9	8.82	0.49
19970224	8.76	6.35	0.8
19970225	1.47	7.47	0.64
19970226	1.97	5.73	0.53
19970227	1.5	7.39	0.47
19970228	0.19	8.36	0.42
19970301	5.52	8.59	0.4
19970302	0.02	5.27	0.55
19970303	0.02	4.16	0.43
19970304	0.26	5.36	0.37
19970305	0.9	5.18	0.39
19970306	0.01	6.92	0.36
19970307	0.0	8.67	0.34
19970308	0.0	7.37	0.33
