date	precipitation	temperature	discharge_spec
20000915	4.13	13.13	0.23
20000916	0.01	13.84	0.13
20000917	2.08	15.05	0.08
20000918	6.86	10.92	0.13
20000919	17.53	11.49	0.65
20000920	0.15	10.95	0.3
20000921	2.16	14.77	0.11
20000922	0.34	15.85	0.08
20000923	0.0	17.83	0.06
20000924	8.6	12.6	0.09
20000925	19.99	14.28	0.74
20000926	0.66	15.23	1.12
20000927	10.17	12.36	0.58
20000928	0.15	12.51	0.78
20000929	0.16	14.07	0.26
20000930	2.98	12.6	0.17
20001001	3.51	12.36	0.16
20001002	0.06	10.05	0.17
20001003	0.07	13.03	0.12
20001004	0.12	12.0	0.09
20001005	0.64	8.28	0.09
20001006	3.05	10.53	0.08
20001007	10.85	9.75	0.47
20001008	0.06	8.08	0.42
20001009	19.21	7.95	3.94
20001010	17.7	7.8	3.1
20001011	2.32	7.67	5.84
20001012	0.03	8.69	1.38
20001013	0.0	10.28	0.69
20001014	0.01	10.92	0.46
20001015	1.9	11.16	0.36
20001016	1.18	8.13	0.34
20001017	3.3	10.76	0.27
20001018	0.02	10.1	0.33
20001019	0.0	8.57	0.26
20001020	11.45	10.03	0.49
20001021	0.23	6.82	1.53
20001022	0.44	9.52	0.72
20001023	0.23	11.41	0.5
20001024	1.33	10.54	0.38
20001025	0.01	9.16	0.32
20001026	6.15	9.71	0.26
20001027	1.81	11.04	0.48
20001028	7.25	10.15	1.7
20001029	25.5	7.97	7.15
20001030	3.38	7.06	8.46
20001031	0.19	7.84	2.35
20001101	0.02	6.73	1.16
20001102	12.62	6.08	3.72
20001103	0.02	6.25	2.02
20001104	0.01	5.8	1.07
20001105	43.1	6.16	19.48
20001106	3.4	8.38	11.64
20001107	5.27	7.11	4.23
20001108	0.04	6.09	3.17
20001109	0.51	5.86	1.58
20001110	2.62	7.86	1.16
20001111	6.15	8.05	3.12
20001112	0.0	5.87	1.89
20001113	0.04	4.25	1.07
20001114	0.0	3.49	0.77
20001115	8.4	4.32	0.69
20001116	0.21	4.55	3.31
20001117	0.53	4.34	1.39
20001118	1.81	7.68	1.02
20001119	0.01	4.22	1.01
20001120	0.04	2.78	0.77
