date	precipitation	temperature	discharge_spec
19960930	0.01	10.01	0.08
19961001	0.06	8.7	0.06
19961002	0.0	11.81	0.06
19961003	2.75	10.84	0.06
19961004	0.45	9.61	0.07
19961005	0.04	9.26	0.05
19961006	0.0	12.0	0.05
19961007	0.0	13.22	0.05
19961008	5.43	10.91	0.08
19961009	0.01	9.84	0.1
19961010	0.0	9.34	0.06
19961011	0.0	11.81	0.06
19961012	0.0	12.59	0.06
19961013	0.0	13.86	0.05
19961014	0.88	13.87	0.05
19961015	1.07	9.52	0.06
19961016	0.0	7.22	0.06
19961017	8.81	9.42	0.05
19961018	0.33	11.2	0.31
19961019	1.31	12.9	0.1
19961020	4.02	11.77	0.07
19961021	0.02	11.0	0.07
19961022	0.0	12.17	0.05
19961023	0.0	12.73	0.06
19961024	0.89	14.33	0.06
19961025	1.36	11.05	0.07
19961026	10.91	11.02	0.08
19961027	5.57	13.6	0.38
19961028	4.97	10.9	0.31
19961029	0.0	6.73	0.28
19961030	1.14	9.21	0.21
19961031	2.48	9.81	0.19
19961101	0.33	12.4	0.09
19961102	0.06	14.97	0.1
19961103	6.71	13.37	0.1
19961104	0.24	10.74	0.21
19961105	2.47	10.75	0.11
19961106	3.21	9.71	0.13
19961107	1.71	5.01	0.14
19961108	0.01	6.02	0.12
19961109	0.08	4.93	0.11
19961110	0.25	1.59	0.1
19961111	6.66	4.22	0.11
19961112	1.24	3.38	0.33
19961113	0.0	2.55	0.15
19961114	0.08	4.11	0.12
19961115	0.0	4.89	0.11
19961116	5.68	5.79	0.12
19961117	3.72	3.74	0.2
19961118	1.95	0.71	0.16
19961119	14.35	2.26	0.28
19961120	0.08	1.18	0.42
19961121	0.01	1.67	0.3
19961122	0.0	1.32	0.28
19961123	0.2	1.6	0.22
19961124	12.37	3.66	0.37
19961125	1.01	4.52	0.36
19961126	0.0	2.29	0.31
19961127	0.16	1.09	0.27
19961128	4.87	3.35	0.25
19961129	0.35	5.36	0.26
19961130	0.73	5.06	0.21
19961201	1.02	7.47	0.21
19961202	12.51	6.05	0.21
19961203	1.08	6.59	0.63
19961204	0.05	2.23	0.48
19961205	0.04	1.42	0.4
19961206	0.01	1.06	0.3
19961207	0.24	1.07	0.25
19961208	0.39	2.31	0.22
19961209	0.18	1.82	0.21
19961210	0.66	2.56	0.21
19961211	0.01	3.24	0.2
19961212	0.58	2.67	0.19
19961213	0.0	-0.03	0.19
19961214	0.01	2.86	0.18
19961215	0.01	6.89	0.18
19961216	1.29	3.72	0.18
19961217	0.74	4.37	0.18
19961218	6.87	7.67	0.22
19961219	14.37	5.61	0.74
19961220	0.27	2.45	0.86
19961221	0.0	0.62	0.62
19961222	0.0	1.37	0.41
19961223	0.0	0.64	0.34
19961224	0.0	-0.25	0.28
19961225	0.01	-1.3	0.25
19961226	0.39	-1.31	0.23
19961227	0.84	1.22	0.23
19961228	0.0	-2.07	0.22
19961229	0.51	0.19	0.21
19961230	4.64	-1.88	0.22
19961231	0.13	-4.28	0.29
19970101	0.18	-4.66	0.17
19970102	0.14	-4.66	0.16
19970103	0.03	-1.57	0.17
19970104	0.01	-0.6	0.16
19970105	1.2	0.61	0.18
19970106	0.13	-1.72	0.18
19970107	0.0	-2.56	0.17
19970108	0.01	-2.17	0.17
19970109	0.44	-0.69	0.16
19970110	0.1	-0.98	0.15
19970111	0.41	3.07	0.16
19970112	0.04	6.35	0.18
19970113	0.0	4.13	0.21
19970114	0.0	2.23	0.23
19970115	0.03	-0.55	0.22
19970116	0.02	0.7	0.2
19970117	0.73	4.68	0.19
19970118	2.43	4.83	0.19
19970119	2.32	2.92	0.23
19970120	0.11	2.49	0.23
19970121	5.5	2.04	0.28
19970122	1.79	3.38	0.39
19970123	0.58	3.44	0.56
19970124	0.01	2.61	0.44
19970125	0.0	3.83	0.35
19970126	0.0	3.8	0.3
19970127	0.08	3.22	0.27
19970128	0.06	3.22	0.24
19970129	0.41	4.07	0.23
19970130	0.01	3.39	0.22
19970131	0.01	3.58	0.22
19970201	0.25	3.22	0.21
19970202	0.05	2.08	0.21
19970203	0.79	3.4	0.2
19970204	1.5	5.39	0.22
19970205	0.02	5.53	0.19
19970206	0.23	9.27	0.12
19970207	0.8	4.02	0.12
19970208	0.31	4.74	0.15
19970209	4.14	8.39	0.19
19970210	2.02	6.56	0.38
19970211	6.65	8.17	0.66
19970212	4.26	7.58	0.79
19970213	0.4	3.06	1.04
19970214	0.0	2.98	0.67
19970215	0.02	4.99	0.46
19970216	2.91	5.74	0.43
19970217	13.47	7.65	0.6
19970218	1.34	4.53	1.8
19970219	3.9	7.18	1.31
19970220	0.5	8.98	1.05
19970221	0.0	9.45	0.82
19970222	0.0	8.98	0.64
19970223	6.32	8.6	0.66
19970224	7.18	7.97	1.03
19970225	2.79	7.49	1.31
19970226	1.67	5.81	0.95
19970227	0.02	7.18	0.78
19970228	0.02	7.93	0.79
19970301	1.67	8.93	0.62
19970302	0.02	5.99	0.57
19970303	0.18	5.64	0.46
19970304	1.01	6.53	0.43
19970305	2.24	5.53	0.43
19970306	0.0	6.87	0.38
19970307	0.0	8.42	0.29
19970308	0.01	6.88	0.29
19970309	0.0	8.37	0.32
19970310	0.0	7.03	0.31
19970311	0.0	9.56	0.3
19970312	0.0	9.2	0.29
19970313	0.27	9.93	0.29
19970314	0.2	10.21	0.28
19970315	0.0	11.88	0.26
19970316	0.0	9.84	0.25
19970317	0.0	11.53	0.24
19970318	2.87	9.19	0.27
19970319	0.65	6.01	0.18
19970320	0.2	6.35	0.14
19970321	0.0	4.92	0.14
19970322	0.59	9.15	0.14
19970323	0.15	7.59	0.14
19970324	0.35	6.09	0.13
19970325	0.12	9.91	0.18
19970326	0.01	9.3	0.22
19970327	0.22	9.52	0.24
19970328	0.0	6.55	0.2
19970329	0.0	6.32	0.21
19970330	0.0	6.28	0.21
19970331	0.0	8.34	0.21
19970401	0.0	11.17	0.2
19970402	0.0	9.66	0.19
19970403	0.0	5.62	0.16
19970404	0.02	8.55	0.16
19970405	0.37	9.34	0.16
19970406	0.0	8.03	0.15
19970407	0.0	6.59	0.14
19970408	0.0	8.21	0.14
19970409	0.0	10.45	0.13
19970410	0.0	11.45	0.13
19970411	0.0	5.3	0.12
19970412	0.0	7.3	0.13
19970413	0.0	10.19	0.12
19970414	0.06	8.54	0.12
19970415	0.0	4.94	0.12
19970416	0.0	9.86	0.12
19970417	0.0	6.04	0.12
19970418	0.14	6.76	0.12
19970419	0.05	5.12	0.12
19970420	0.0	2.04	0.12
19970421	0.86	6.39	0.11
19970422	0.01	7.21	0.12
19970423	0.0	9.76	0.11
19970424	2.25	9.95	0.11
19970425	12.75	7.93	0.27
19970426	2.67	9.91	0.25
19970427	0.07	13.72	0.18
19970428	0.59	12.9	0.17
19970429	0.0	9.26	0.14
19970430	0.0	12.13	0.12
19970501	0.0	14.23	0.12
19970502	0.0	15.23	0.12
19970503	0.86	17.58	0.12
19970504	2.63	13.59	0.14
19970505	20.57	9.04	0.52
19970506	0.09	3.9	0.27
19970507	5.14	6.29	0.23
19970508	11.16	6.94	0.34
19970509	0.12	8.37	0.32
19970510	6.51	9.45	0.38
19970511	3.75	9.48	0.32
19970512	0.72	10.26	0.3
19970513	2.36	9.55	0.25
19970514	0.01	10.93	0.2
19970515	0.01	13.32	0.17
19970516	1.71	13.62	0.18
19970517	9.37	15.3	0.47
19970518	0.05	14.84	0.24
19970519	4.36	12.95	0.2
19970520	5.22	13.4	0.19
19970521	0.01	8.12	0.18
19970522	0.61	8.7	0.16
19970523	0.0	6.71	0.14
19970524	0.0	7.13	0.13
19970525	0.0	9.48	0.12
19970526	0.0	14.58	0.11
19970527	0.0	10.31	0.11
19970528	0.0	8.54	0.1
19970529	0.0	13.35	0.1
19970530	0.0	14.71	0.09
19970531	0.0	14.46	0.09
19970601	0.0	13.1	0.08
19970602	0.0	13.6	0.07
19970603	0.0	12.6	0.07
19970604	0.0	14.27	0.07
19970605	0.4	18.77	0.07
19970606	7.76	19.39	0.14
19970607	0.55	17.16	0.12
19970608	0.35	14.0	0.13
19970609	0.0	16.13	0.07
19970610	7.1	18.29	0.05
19970611	16.65	17.59	0.35
19970612	0.04	16.38	0.24
19970613	2.4	14.94	0.14
19970614	4.86	11.5	0.13
19970615	4.6	11.83	0.23
19970616	0.29	11.94	0.15
19970617	1.03	13.79	0.14
19970618	1.3	15.05	0.13
19970619	2.64	10.63	0.13
19970620	4.77	12.33	0.14
19970621	3.57	12.35	0.15
19970622	4.92	13.06	0.14
19970623	0.67	12.23	0.13
19970624	2.96	13.19	0.11
19970625	16.73	11.76	0.21
19970626	14.05	10.51	0.52
19970627	4.5	11.49	0.78
19970628	4.14	13.9	1.36
19970629	0.02	12.65	0.54
19970630	3.86	11.37	0.45
19970701	1.41	12.68	0.31
19970702	2.06	13.42	0.27
19970703	3.7	13.39	0.24
19970704	0.82	13.61	0.21
19970705	0.0	15.35	0.19
19970706	0.0	17.49	0.16
19970707	0.01	18.61	0.17
19970708	4.83	19.32	0.2
19970709	0.01	18.42	0.16
19970710	0.0	15.37	0.13
19970711	0.0	16.32	0.12
19970712	8.13	18.14	0.11
19970713	0.3	17.67	0.32
19970714	1.58	17.42	0.15
19970715	0.02	18.2	0.12
19970716	7.74	16.6	0.11
19970717	1.45	14.21	0.24
19970718	0.65	15.77	0.15
19970719	0.0	15.78	0.12
19970720	0.0	15.9	0.11
19970721	0.0	16.14	0.1
19970722	0.0	16.89	0.09
19970723	0.18	19.91	0.09
19970724	5.44	17.45	0.14
19970725	0.17	15.61	0.13
19970726	0.4	16.99	0.11
19970727	0.0	16.34	0.1
19970728	0.0	16.9	0.09
19970729	0.94	19.56	0.08
19970730	0.63	17.39	0.08
19970731	11.53	15.18	0.13
19970801	0.38	16.25	0.17
19970802	0.01	15.9	0.1
19970803	0.0	15.67	0.09
19970804	0.04	16.88	0.1
19970805	0.0	18.22	0.09
19970806	0.0	20.96	0.08
19970807	0.0	20.94	0.07
19970808	0.0	22.65	0.07
19970809	0.0	22.06	0.1
19970810	0.0	23.95	0.07
19970811	0.0	23.31	0.07
19970812	1.11	23.39	0.07
19970813	3.71	19.02	0.08
19970814	0.05	18.83	0.07
19970815	0.0	20.49	0.06
19970816	0.64	22.28	0.08
19970817	0.03	20.74	0.09
19970818	0.84	22.01	0.07
19970819	6.45	21.85	0.17
19970820	0.08	21.65	0.16
19970821	1.76	20.2	0.14
19970822	5.08	21.3	0.16
19970823	4.53	21.09	0.16
19970824	20.34	17.95	0.23
19970825	6.05	14.85	0.49
19970826	2.58	16.42	0.63
19970827	6.2	13.93	0.55
19970828	1.44	16.43	0.32
19970829	12.27	16.2	0.35
19970830	0.76	15.29	0.43
19970831	1.69	17.72	0.48
19970901	0.0	14.36	0.35
19970902	0.48	17.28	0.23
19970903	2.91	13.82	0.21
19970904	0.0	15.15	0.17
19970905	0.04	13.85	0.15
