date	precipitation	temperature	discharge_spec
19701001	0.01	13.75	0.15
19701002	2.17	10.27	0.15
19701003	0.05	12.12	0.15
19701004	0.01	14.85	0.15
19701005	0.75	10.32	0.15
19701006	0.13	7.96	0.15
19701007	0.08	6.51	0.16
19701008	0.0	6.73	0.15
19701009	0.0	7.33	0.15
19701010	0.3	10.2	0.15
19701011	0.12	14.47	0.16
19701012	0.03	12.62	0.16
19701013	0.0	12.9	0.16
19701014	0.06	11.77	0.16
19701015	0.0	7.47	0.16
19701016	0.0	7.39	0.16
19701017	0.0	9.81	0.15
19701018	3.02	10.94	0.15
19701019	2.81	6.82	0.16
19701020	0.01	4.9	0.15
19701021	0.0	4.44	0.15
19701022	0.0	8.17	0.15
19701023	0.08	8.87	0.15
19701024	0.02	11.48	0.15
19701025	1.2	10.23	0.15
19701026	0.17	7.07	0.15
19701027	8.96	9.66	0.19
19701028	0.03	12.21	0.18
19701029	0.0	12.66	0.16
19701030	2.57	14.14	0.16
19701031	0.37	12.48	0.16
19701101	21.39	11.72	0.23
19701102	8.52	12.35	0.43
19701103	0.04	9.88	0.33
19701104	0.92	8.77	0.23
19701105	0.02	7.61	0.19
19701106	16.25	7.23	0.23
19701107	1.97	3.68	0.59
19701108	0.26	6.47	0.32
19701109	0.03	7.54	0.24
19701110	1.05	9.55	0.22
19701111	7.22	8.88	0.22
19701112	0.15	4.06	0.28
19701113	1.17	4.95	0.25
19701114	3.06	2.63	0.25
19701115	1.61	1.17	0.24
19701116	7.12	3.64	0.4
19701117	10.41	6.56	0.64
19701118	26.79	7.75	2.25
19701119	0.72	4.23	3.88
19701120	4.44	6.59	1.67
19701121	0.0	3.68	1.15
19701122	8.7	5.4	0.76
19701123	1.21	10.39	1.62
19701124	0.0	10.21	1.15
19701125	0.0	9.06	0.77
19701126	0.01	8.14	0.57
19701127	1.39	8.48	0.5
19701128	12.67	10.01	0.77
19701129	12.68	8.29	4.11
19701130	2.18	6.46	2.68
19701201	0.63	4.88	1.56
