date	precipitation	temperature	discharge_spec
19960930	0.02	10.83	0.01
19961001	0.04	9.42	0.01
19961002	0.0	12.02	0.0
19961003	2.06	11.04	0.01
19961004	0.1	10.2	0.0
19961005	0.11	9.49	0.0
19961006	0.03	12.65	0.0
19961007	0.0	14.21	0.0
19961008	4.02	12.34	0.01
19961009	0.0	10.73	0.01
19961010	0.0	9.17	0.01
19961011	0.0	12.58	0.01
19961012	0.01	13.19	0.01
19961013	0.0	14.75	0.01
19961014	1.73	15.09	0.01
19961015	0.92	10.08	0.01
19961016	0.0	8.04	0.01
19961017	8.82	9.9	0.01
19961018	0.54	11.7	0.01
19961019	1.09	13.53	0.02
19961020	3.25	12.77	0.02
19961021	0.0	11.16	0.02
19961022	0.0	12.47	0.02
19961023	0.0	13.6	0.01
19961024	0.58	14.79	0.01
19961025	1.11	11.84	0.01
19961026	8.6	11.43	0.01
19961027	5.09	14.07	0.02
19961028	2.77	11.62	0.04
19961029	0.0	7.04	0.03
19961030	0.92	9.69	0.02
19961031	2.14	10.42	0.02
19961101	0.04	12.9	0.02
19961102	0.01	15.66	0.01
19961103	6.98	14.22	0.01
19961104	0.04	11.48	0.01
19961105	2.77	11.18	0.02
19961106	1.38	10.16	0.02
19961107	1.65	5.53	0.02
19961108	0.03	6.64	0.02
19961109	0.7	5.91	0.01
19961110	0.54	2.15	0.01
19961111	10.68	4.44	0.01
19961112	1.54	4.36	0.03
19961113	0.0	2.66	0.04
19961114	0.0	4.6	0.04
19961115	0.0	4.93	0.03
19961116	7.42	5.67	0.02
19961117	4.77	4.26	0.04
19961118	0.57	0.93	0.01
19961119	13.15	3.03	0.01
19961120	0.14	2.03	0.02
19961121	0.0	2.16	0.01
19961122	0.02	1.8	0.01
19961123	0.1	1.9	0.01
19961124	12.87	4.17	0.01
19961125	1.35	5.03	0.19
19961126	0.01	2.29	0.18
19961127	0.05	1.24	0.13
19961128	3.83	3.74	0.09
19961129	0.14	5.45	0.09
19961130	0.46	5.5	0.08
19961201	0.62	7.72	0.08
19961202	10.62	6.44	0.07
19961203	0.98	6.99	0.16
19961204	0.01	2.99	0.26
19961205	0.03	2.2	0.18
19961206	0.14	1.39	0.11
19961207	0.16	1.18	0.08
19961208	0.32	3.13	0.07
19961209	0.12	2.61	0.06
19961210	0.21	2.97	0.05
19961211	0.0	3.42	0.05
19961212	0.26	3.17	0.04
19961213	0.01	0.49	0.04
19961214	0.01	2.86	0.04
19961215	0.0	7.16	0.03
19961216	0.62	4.28	0.03
19961217	0.76	4.42	0.03
19961218	5.72	8.21	0.03
19961219	12.85	6.17	0.17
19961220	0.01	2.54	0.6
19961221	0.0	0.35	0.31
19961222	0.0	1.15	0.18
19961223	0.0	0.83	0.12
19961224	0.05	-0.35	0.1
19961225	0.01	-0.78	0.08
19961226	0.9	-1.26	0.06
19961227	0.69	1.15	0.05
19961228	0.0	-2.24	0.05
19961229	0.54	0.72	0.05
19961230	2.39	-1.87	0.04
19961231	0.02	-4.54	0.04
19970101	0.0	-4.54	0.03
19970102	0.01	-4.71	0.03
19970103	0.0	-0.98	0.03
19970104	0.0	-0.47	0.03
19970105	0.51	0.75	0.03
19970106	0.01	-1.74	0.03
19970107	0.0	-2.26	0.03
19970108	0.11	-2.13	0.03
19970109	0.55	-0.38	0.03
19970110	0.0	-0.99	0.03
19970111	0.33	3.01	0.03
19970112	0.04	6.51	0.03
19970113	0.0	4.73	0.04
19970114	0.0	2.03	0.04
19970115	0.13	-1.24	0.05
19970116	0.09	0.67	0.05
19970117	0.72	4.68	0.05
19970118	1.62	5.28	0.04
19970119	2.04	3.16	0.05
19970120	0.16	2.68	0.06
19970121	4.18	2.09	0.06
19970122	1.87	4.06	0.11
19970123	0.26	3.72	0.2
19970124	0.0	3.25	0.18
19970125	0.0	3.75	0.14
19970126	0.0	2.79	0.11
19970127	0.47	3.27	0.09
