date	precipitation	temperature	discharge_spec
19701001	0.0	14.72	0.13
19701002	0.12	11.23	0.13
19701003	1.17	11.4	0.13
19701004	0.21	15.06	0.13
19701005	3.34	13.36	0.13
19701006	0.06	8.36	0.14
19701007	0.0	8.27	0.14
19701008	0.0	8.35	0.14
19701009	0.0	10.38	0.14
19701010	0.0	13.43	0.14
19701011	0.01	16.92	0.14
19701012	0.0	16.07	0.14
19701013	0.0	16.23	0.14
19701014	0.06	12.88	0.14
19701015	0.03	9.4	0.14
19701016	0.0	8.59	0.13
19701017	0.01	10.9	0.13
19701018	0.97	12.06	0.12
19701019	0.88	7.66	0.12
19701020	1.57	5.95	0.12
19701021	2.28	5.77	0.12
19701022	0.08	7.68	0.13
19701023	0.15	9.82	0.13
19701024	0.25	11.64	0.13
19701025	1.32	11.5	0.13
19701026	0.34	7.32	0.13
19701027	5.88	9.51	0.13
19701028	0.1	11.84	0.13
19701029	0.0	12.95	0.13
19701030	1.8	14.7	0.13
19701031	1.81	13.03	0.13
19701101	17.74	12.24	0.13
19701102	11.8	12.7	0.3
19701103	0.0	10.22	0.29
19701104	4.53	9.63	0.18
19701105	0.04	7.64	0.18
19701106	4.85	7.77	0.18
19701107	0.39	4.42	0.17
19701108	0.09	6.62	0.16
19701109	0.0	6.61	0.16
19701110	0.07	8.95	0.16
19701111	7.74	9.81	0.18
19701112	0.2	4.12	0.2
19701113	14.76	5.9	0.23
19701114	42.56	4.57	0.91
19701115	0.01	1.54	1.03
19701116	5.74	3.85	0.42
19701117	4.68	7.18	0.35
19701118	7.63	9.7	0.4
19701119	1.56	5.65	0.53
19701120	7.27	6.59	0.58
19701121	0.04	4.53	0.53
19701122	4.52	5.58	0.36
19701123	0.28	8.81	0.34
19701124	0.0	8.77	0.35
19701125	0.0	8.16	0.31
19701126	0.16	7.91	0.27
19701127	0.19	8.24	0.23
19701128	9.6	9.75	0.26
19701129	8.19	8.28	0.94
19701130	4.83	7.41	0.92
19701201	0.28	5.38	0.82
19701202	1.48	8.27	0.57
19701203	12.28	8.7	0.5
19701204	1.43	8.03	1.93
19701205	0.09	7.33	0.94
19701206	2.14	5.32	0.67
19701207	0.86	5.55	0.49
19701208	0.03	2.85	0.42
19701209	0.06	2.98	0.37
19701210	0.0	6.54	0.35
19701211	0.02	5.01	0.35
19701212	0.41	4.59	0.32
19701213	0.0	3.34	0.3
19701214	0.0	1.23	0.28
19701215	0.0	2.34	0.27
19701216	0.04	3.81	0.26
19701217	0.02	5.7	0.27
19701218	0.11	8.02	0.26
19701219	0.0	6.73	0.26
19701220	0.13	4.1	0.26
19701221	0.65	1.93	0.25
19701222	2.43	2.2	0.23
19701223	6.27	1.46	0.3
19701224	1.24	-0.52	0.35
19701225	2.91	-1.1	0.35
19701226	1.72	-2.18	0.34
19701227	0.15	-0.51	0.33
19701228	6.45	1.37	0.35
19701229	6.95	1.28	1.26
19701230	0.55	0.14	1.57
19701231	0.72	-0.65	0.99
19710101	0.08	-1.92	0.66
19710102	0.0	-2.06	0.51
19710103	0.0	-1.99	0.43
19710104	0.0	-2.9	0.39
19710105	0.0	-2.39	0.35
19710106	0.62	3.08	0.34
19710107	4.04	8.46	0.71
19710108	0.39	8.29	1.01
19710109	0.08	7.71	0.8
19710110	0.0	5.44	0.63
19710111	0.0	2.82	0.58
19710112	0.26	3.66	0.46
19710113	0.31	3.82	0.42
19710114	0.06	3.59	0.41
19710115	0.19	5.26	0.39
19710116	1.62	4.81	0.38
19710117	0.3	5.49	0.37
19710118	0.62	6.46	0.37
19710119	4.56	5.42	0.41
19710120	6.2	5.26	0.5
19710121	3.75	6.73	1.1
19710122	6.29	4.79	1.22
19710123	10.43	7.76	3.88
19710124	1.54	6.99	2.62
19710125	7.27	6.27	1.66
19710126	6.36	5.85	2.47
19710127	3.6	4.66	2.41
19710128	1.26	5.16	1.72
19710129	1.31	4.36	1.23
19710130	4.7	3.7	1.37
19710131	4.12	3.65	1.58
19710201	0.04	0.6	1.54
19710202	0.01	3.19	1.0
19710203	0.0	5.91	0.8
19710204	0.0	5.83	0.64
19710205	0.19	5.3	0.57
19710206	0.2	3.59	0.53
19710207	0.01	5.47	0.5
19710208	0.0	5.93	0.47
19710209	0.0	4.18	0.44
19710210	0.0	4.76	0.44
19710211	0.0	5.01	0.41
19710212	1.67	7.08	0.39
19710213	0.05	4.54	0.38
19710214	0.83	5.28	0.35
19710215	0.78	1.41	0.38
19710216	2.77	1.64	0.35
19710217	5.13	2.87	0.37
19710218	0.36	3.96	0.4
19710219	1.35	4.51	0.35
19710220	0.7	7.19	0.35
19710221	0.0	5.32	0.35
19710222	0.0	4.16	0.34
19710223	0.0	4.69	0.33
19710224	0.02	7.0	0.33
19710225	0.0	6.33	0.33
19710226	0.0	2.51	0.33
19710227	0.03	2.1	0.34
19710228	0.67	0.74	0.34
19710301	5.69	2.1	0.34
19710302	0.22	3.48	0.38
19710303	0.41	-0.89	0.36
19710304	0.19	-1.39	0.33
19710305	0.84	-1.04	0.33
19710306	0.08	-2.2	0.33
19710307	0.53	1.95	0.32
19710308	0.49	5.14	0.32
19710309	1.14	5.39	0.31
19710310	0.2	4.8	0.3
19710311	0.0	5.88	0.3
19710312	0.0	8.03	0.3
19710313	0.0	6.17	0.3
19710314	3.84	6.84	0.31
19710315	1.55	3.31	0.32
19710316	0.98	4.53	0.31
19710317	8.25	7.53	0.33
