date	precipitation	temperature	discharge_spec
19960930	3.81	10.95	0.0
19961001	0.01	9.93	0.0
19961002	0.0	11.45	0.0
19961003	2.6	11.25	0.0
19961004	0.02	9.67	0.0
19961005	0.36	8.41	0.0
19961006	0.0	11.09	0.0
19961007	0.0	13.65	0.0
19961008	1.43	13.39	0.0
19961009	0.04	10.67	0.0
19961010	0.0	9.45	0.0
19961011	0.0	11.85	0.0
19961012	0.1	11.93	0.0
19961013	0.0	13.84	0.0
19961014	1.15	14.87	0.0
19961015	0.01	10.27	0.0
19961016	0.0	8.47	0.0
19961017	1.88	9.52	0.0
19961018	6.22	10.3	0.0
19961019	1.9	13.02	0.0
19961020	4.22	12.63	0.0
19961021	0.0	10.57	0.0
19961022	0.0	12.36	0.0
19961023	0.0	12.55	0.0
19961024	0.09	13.72	0.0
19961025	1.02	11.22	0.0
19961026	4.74	11.08	0.0
19961027	2.77	13.92	0.0
19961028	4.37	11.6	0.0
19961029	0.0	5.87	0.01
19961030	0.87	8.74	0.0
19961031	10.72	10.37	0.01
19961101	0.0	12.51	0.0
19961102	0.31	15.48	0.0
19961103	17.59	14.1	0.03
19961104	0.02	11.49	0.02
19961105	4.61	10.38	0.01
19961106	1.41	10.47	0.01
19961107	3.1	5.18	0.01
19961108	0.0	5.77	0.01
19961109	9.45	6.68	0.0
19961110	4.93	2.74	0.13
19961111	5.25	4.5	0.07
19961112	0.91	5.17	0.08
19961113	0.0	2.76	0.05
19961114	0.0	4.13	0.03
19961115	0.0	3.94	0.02
19961116	7.88	4.06	0.01
19961117	3.64	4.5	0.08
19961118	0.0	0.61	0.09
19961119	23.86	3.49	0.77
19961120	0.41	2.72	0.37
19961121	0.0	0.82	0.14
19961122	0.01	1.66	0.07
19961123	0.0	1.32	0.05
19961124	13.98	4.06	0.33
19961125	1.67	5.17	0.4
19961126	1.57	2.38	0.22
19961127	0.02	1.89	0.18
19961128	8.36	3.3	0.16
19961129	1.28	4.91	0.52
19961130	0.62	4.69	0.27
19961201	0.34	7.0	0.19
19961202	8.43	5.63	0.19
19961203	1.25	6.74	0.66
19961204	0.0	3.38	0.32
19961205	0.0	2.07	0.17
19961206	0.0	1.04	0.13
19961207	0.15	3.1	0.1
19961208	0.51	3.64	0.08
19961209	0.0	3.06	0.07
19961210	0.0	3.34	0.07
19961211	0.0	3.14	0.06
19961212	1.22	2.88	0.06
19961213	0.12	0.26	0.06
19961214	0.0	1.84	0.05
19961215	0.0	6.6	0.05
19961216	1.77	4.15	0.05
19961217	0.1	4.45	0.05
19961218	5.0	8.26	0.05
19961219	5.25	6.28	0.26
19961220	0.0	2.7	0.35
19961221	0.0	1.41	0.21
19961222	0.0	2.55	0.15
19961223	0.0	0.69	0.11
19961224	0.15	-0.38	0.08
19961225	0.03	-0.25	0.07
19961226	2.53	-1.42	0.05
19961227	0.21	-0.41	0.05
19961228	0.0	-2.56	0.05
19961229	1.35	0.35	0.05
19961230	3.4	-1.95	0.05
19961231	0.0	-4.14	0.04
19970101	0.0	-5.22	0.03
19970102	0.0	-4.33	0.03
19970103	0.0	-1.64	0.03
19970104	0.0	-0.53	0.03
19970105	0.0	0.29	0.03
19970106	0.0	-1.79	0.03
19970107	0.0	-2.23	0.03
19970108	0.44	-2.31	0.03
19970109	0.78	-1.16	0.03
19970110	0.0	-1.66	0.03
19970111	0.61	1.97	0.03
19970112	0.03	5.17	0.04
