date	precipitation	temperature	discharge_spec
19701001	0.0	14.7	0.18
19701002	0.05	11.27	0.17
19701003	2.37	11.64	0.15
19701004	0.14	15.42	0.16
19701005	3.87	12.62	0.22
19701006	0.42	8.07	0.21
19701007	0.0	7.71	0.17
19701008	0.02	7.82	0.18
19701009	0.02	9.98	0.18
19701010	0.0	13.28	0.18
19701011	0.02	16.26	0.16
19701012	0.0	15.35	0.22
19701013	0.0	15.86	0.21
19701014	0.01	12.95	0.19
19701015	0.0	8.5	0.14
19701016	0.02	8.43	0.16
19701017	0.0	10.35	0.15
19701018	1.26	11.73	0.13
19701019	1.88	7.44	0.22
19701020	0.01	5.89	0.13
19701021	0.03	5.8	0.18
19701022	0.03	7.49	0.17
19701023	0.01	9.61	0.15
19701024	0.01	11.56	0.16
19701025	1.18	11.28	0.14
19701026	0.02	7.16	0.19
19701027	3.83	9.66	0.16
19701028	0.01	12.14	0.19
19701029	0.0	12.75	0.16
19701030	1.82	14.47	0.17
19701031	0.91	12.95	0.17
19701101	12.83	12.21	0.15
19701102	11.78	12.81	0.3
19701103	0.02	10.29	0.33
19701104	2.88	9.7	0.25
19701105	0.02	7.78	0.21
19701106	6.76	7.8	0.21
19701107	2.58	3.92	0.26
19701108	0.4	6.36	0.24
19701109	0.65	7.12	0.21
19701110	0.22	9.29	0.19
19701111	8.97	9.7	0.21
19701112	0.16	4.11	0.24
19701113	15.27	5.94	0.4
19701114	41.62	4.4	1.2
19701115	0.01	1.52	3.42
19701116	6.1	4.09	1.37
19701117	5.53	7.21	1.06
19701118	8.26	9.47	1.45
19701119	0.89	5.22	1.9
19701120	1.92	6.59	1.09
19701121	0.05	4.38	0.81
19701122	6.52	5.64	0.56
19701123	0.33	9.34	0.69
19701124	0.0	8.92	0.91
19701125	0.02	8.36	0.63
19701126	0.15	8.38	0.4
19701127	0.15	8.06	0.41
19701128	9.37	10.11	0.35
19701129	11.34	8.55	1.77
19701130	2.28	7.61	4.14
19701201	0.31	5.39	1.63
19701202	0.86	8.52	0.99
19701203	14.05	8.95	0.81
19701204	0.92	8.05	3.98
19701205	0.28	7.47	2.2
19701206	2.46	5.39	1.24
19701207	0.81	4.9	0.93
19701208	0.0	2.56	0.65
19701209	0.07	2.78	0.58
19701210	0.0	5.77	0.55
19701211	0.0	5.04	0.53
19701212	0.87	4.52	0.48
19701213	0.03	3.08	0.47
19701214	0.0	0.72	0.43
19701215	0.0	1.68	0.39
19701216	0.13	4.04	0.32
19701217	0.08	5.97	0.38
19701218	0.24	8.38	0.37
19701219	0.05	6.54	0.35
19701220	0.04	4.2	0.33
19701221	0.03	1.68	0.36
19701222	0.76	2.19	0.32
19701223	6.69	1.43	0.44
19701224	0.65	-1.0	0.55
19701225	4.18	-1.05	0.51
19701226	1.86	-2.24	0.47
19701227	0.3	-0.97	0.5
19701228	5.31	0.95	0.46
19701229	6.22	0.98	1.02
19701230	0.59	-0.27	1.73
19701231	0.02	-0.84	1.25
19710101	0.0	-1.92	0.86
19710102	0.0	-2.87	0.71
19710103	0.07	-2.12	0.58
19710104	0.03	-2.58	0.53
19710105	0.0	-2.15	0.48
19710106	0.74	3.93	0.41
19710107	4.18	8.67	1.86
19710108	0.34	8.58	2.41
19710109	0.02	7.76	1.57
19710110	0.0	5.42	1.04
19710111	0.0	2.31	0.85
19710112	0.06	3.57	0.7
19710113	0.04	3.69	0.58
19710114	0.12	3.9	0.53
19710115	0.23	5.29	0.52
19710116	1.08	4.89	0.48
19710117	0.08	5.93	0.48
19710118	1.57	6.65	0.46
19710119	4.66	5.39	0.59
19710120	8.01	5.47	0.76
19710121	2.99	6.8	2.47
19710122	5.9	5.04	2.12
19710123	10.83	7.66	3.5
19710124	0.85	7.13	5.65
19710125	6.74	6.57	2.37
19710126	7.4	6.01	3.17
19710127	2.46	5.26	4.85
19710128	1.07	5.14	2.39
19710129	0.69	4.41	1.55
19710130	4.71	3.15	1.51
19710131	2.99	3.36	1.72
19710201	0.06	0.53	1.62
19710202	0.02	2.89	1.06
19710203	0.0	5.52	0.82
19710204	0.0	5.58	0.74
19710205	0.27	5.34	0.61
19710206	0.14	3.53	0.63
19710207	0.06	5.23	0.58
19710208	0.0	5.46	0.59
19710209	0.0	3.71	0.56
19710210	0.01	4.06	0.55
19710211	0.03	4.62	0.49
19710212	1.34	7.02	0.5
19710213	0.07	4.34	0.53
19710214	1.42	5.05	0.49
19710215	0.61	1.12	0.51
19710216	2.82	1.56	0.51
19710217	4.41	3.18	0.49
19710218	0.34	3.84	0.52
19710219	0.71	5.1	0.53
19710220	0.56	6.72	0.51
19710221	0.17	5.42	0.52
19710222	0.0	3.98	0.46
19710223	0.0	4.18	0.46
19710224	0.04	6.53	0.45
19710225	0.0	6.36	0.45
19710226	0.0	2.32	0.45
19710227	0.0	2.18	0.43
19710228	0.02	1.12	0.41
19710301	6.73	2.3	0.42
19710302	0.24	3.74	0.5
19710303	0.1	-0.48	0.5
19710304	0.0	-1.47	0.41
19710305	0.33	-0.76	0.39
19710306	0.02	-2.33	0.39
19710307	0.73	1.58	0.34
19710308	1.29	5.2	0.39
19710309	0.15	5.05	0.37
19710310	0.06	4.83	0.33
19710311	0.13	6.55	0.34
19710312	0.0	8.22	0.33
19710313	0.0	5.58	0.31
19710314	6.0	6.57	0.32
19710315	1.32	3.38	0.45
19710316	1.57	4.81	0.45
19710317	10.35	7.55	0.48
19710318	4.15	8.42	1.8
19710319	2.27	6.03	1.88
19710320	0.57	7.01	1.16
19710321	0.25	6.02	0.75
19710322	0.15	3.15	0.63
19710323	0.83	7.28	0.51
19710324	0.3	9.64	0.5
19710325	0.47	6.19	0.48
19710326	0.29	5.92	0.38
19710327	0.06	4.07	0.37
19710328	0.23	8.25	0.4
19710329	0.0	4.98	0.4
19710330	0.0	6.57	0.41
19710331	0.01	6.3	0.36
19710401	0.04	5.09	0.37
19710402	0.0	6.98	0.36
19710403	0.02	6.12	0.34
19710404	0.05	6.96	0.33
19710405	0.0	6.38	0.35
19710406	0.0	7.25	0.33
19710407	0.0	6.8	0.32
19710408	0.05	6.5	0.3
19710409	0.14	5.91	0.29
19710410	0.0	6.44	0.29
19710411	0.0	6.54	0.29
19710412	0.0	9.25	0.28
19710413	0.0	7.52	0.34
19710414	0.0	5.74	0.27
19710415	0.03	8.24	0.31
19710416	2.46	6.56	0.3
19710417	0.23	7.36	0.27
19710418	0.0	9.17	0.26
19710419	0.01	9.97	0.28
19710420	0.0	10.47	0.25
19710421	0.0	11.62	0.25
19710422	2.58	16.25	0.25
19710423	16.95	10.99	0.44
19710424	13.14	6.91	0.91
19710425	0.07	5.06	2.02
19710426	0.28	3.1	1.12
19710427	0.04	4.48	0.51
19710428	0.0	5.84	0.46
19710429	0.0	5.91	0.4
19710430	0.0	5.48	0.35
19710501	0.0	6.52	0.34
19710502	0.0	6.45	0.32
19710503	0.0	7.76	0.36
19710504	0.0	9.97	0.32
19710505	0.0	12.52	0.29
19710506	8.36	14.78	0.29
19710507	8.44	11.39	0.57
19710508	0.01	13.57	0.66
19710509	0.18	13.84	0.33
19710510	0.0	15.01	0.33
19710511	0.0	15.38	0.32
19710512	0.0	15.12	0.29
19710513	0.0	12.22	0.26
19710514	0.0	11.65	0.25
19710515	7.63	12.52	0.27
19710516	1.83	10.41	0.32
19710517	0.01	8.95	0.34
19710518	0.0	12.27	0.27
19710519	0.0	11.59	0.24
19710520	0.0	10.72	0.25
19710521	0.0	10.52	0.23
19710522	2.68	12.94	0.23
19710523	4.03	11.75	0.26
19710524	5.79	13.04	0.26
19710525	0.36	9.04	0.28
19710526	0.03	11.05	0.22
19710527	6.7	7.63	0.24
19710528	0.21	10.22	0.28
19710529	0.09	12.87	0.22
19710530	1.41	12.79	0.22
19710531	0.0	12.95	0.23
19710601	0.0	13.69	0.22
19710602	0.38	15.68	0.22
19710603	0.0	14.73	0.21
19710604	0.0	11.7	0.22
19710605	0.05	10.17	0.21
19710606	0.01	11.23	0.22
19710607	0.01	12.23	0.28
19710608	0.63	10.65	0.21
19710609	0.46	11.63	0.21
19710610	15.09	11.29	0.35
19710611	0.06	11.08	0.32
19710612	0.03	12.16	0.25
19710613	9.24	13.7	0.22
19710614	19.46	8.99	0.65
19710615	0.04	10.35	0.88
19710616	0.4	11.73	0.45
19710617	0.01	10.64	0.3
19710618	17.47	11.88	0.31
19710619	10.91	13.41	0.84
19710620	0.13	12.08	1.27
19710621	0.18	14.31	0.77
19710622	0.0	12.49	0.34
19710623	0.0	14.22	0.42
19710624	0.0	16.13	0.33
19710625	0.27	16.15	0.22
19710626	0.19	13.79	0.22
19710627	3.61	13.27	0.23
19710628	1.12	11.3	0.23
19710629	0.22	13.91	0.25
19710630	0.0	16.25	0.22
19710701	0.02	18.02	0.22
19710702	0.11	17.6	0.22
19710703	0.0	15.45	0.21
19710704	0.0	17.52	0.21
19710705	0.0	16.44	0.21
19710706	0.0	16.18	0.22
19710707	0.0	17.0	0.2
19710708	0.0	20.4	0.19
19710709	0.0	20.41	0.19
19710710	0.0	17.61	0.18
19710711	3.76	21.13	0.17
19710712	0.03	14.09	0.18
19710713	0.0	14.0	0.18
19710714	0.0	17.63	0.16
19710715	0.0	17.8	0.16
19710716	0.0	12.72	0.15
19710717	0.0	11.72	0.15
19710718	0.0	11.83	0.14
19710719	0.03	15.59	0.16
19710720	0.19	16.88	0.18
19710721	0.09	14.49	0.16
19710722	0.55	17.68	0.16
19710723	0.02	17.47	0.17
19710724	0.78	17.17	0.16
19710725	2.21	16.96	0.18
19710726	1.83	17.26	0.18
19710727	8.39	18.21	0.18
19710728	0.57	14.8	0.19
19710729	0.0	17.32	0.19
19710730	2.99	20.32	0.17
19710731	0.15	16.38	0.18
19710801	1.32	16.92	0.17
19710802	0.89	17.3	0.16
19710803	11.66	17.27	0.23
19710804	27.48	16.47	0.26
19710805	1.96	15.97	0.54
19710806	1.35	16.44	0.38
19710807	3.98	13.36	0.31
19710808	0.01	17.4	0.26
19710809	0.31	18.58	0.24
19710810	0.72	14.9	0.19
19710811	0.08	14.15	0.19
19710812	1.32	15.92	0.18
19710813	1.65	16.97	0.19
19710814	5.64	16.19	0.2
19710815	0.03	11.94	0.21
19710816	0.0	13.67	0.21
19710817	0.0	15.57	0.18
19710818	0.12	18.04	0.16
19710819	0.65	20.39	0.18
19710820	10.26	15.42	0.24
19710821	0.2	16.1	0.27
19710822	1.11	16.64	0.25
19710823	0.0	16.98	0.24
19710824	0.0	14.74	0.21
19710825	0.0	14.78	0.2
19710826	1.23	17.03	0.19
19710827	0.0	16.01	0.19
19710828	0.05	19.36	0.19
19710829	1.62	14.97	0.19
19710830	0.72	13.72	0.19
19710831	0.08	15.43	0.18
19710901	0.03	14.63	0.18
19710902	0.0	16.72	0.18
19710903	0.0	15.17	0.18
19710904	0.0	14.74	0.18
19710905	0.0	14.11	0.18
19710906	0.0	14.8	0.19
19710907	0.0	15.36	0.17
19710908	0.0	17.07	0.19
19710909	0.0	14.34	0.18
19710910	0.01	12.33	0.18
19710911	0.0	12.23	0.17
19710912	0.0	13.05	0.17
19710913	0.0	12.01	0.18
19710914	0.0	12.19	0.17
19710915	0.0	10.24	0.18
