date	precipitation	temperature	discharge_spec
19751001	4.4	11.94	1.36
19751002	1.18	14.41	0.53
19751003	0.0	11.3	0.25
19751004	0.0	13.47	0.18
19751005	0.0	12.9	0.14
19751006	0.0	11.84	0.14
19751007	0.0	11.21	0.13
19751008	0.0	9.54	0.11
19751009	0.02	10.73	0.11
19751010	0.27	9.76	0.12
19751011	2.12	9.31	0.3
19751012	0.0	8.38	0.12
19751013	0.71	7.54	0.12
19751014	2.48	9.17	0.29
19751015	3.51	10.24	0.46
19751016	0.99	9.68	0.23
19751017	0.48	10.24	0.14
19751018	0.0	10.14	0.11
19751019	0.0	10.61	0.11
19751020	0.03	10.87	0.11
19751021	0.32	8.39	0.12
19751022	0.0	9.97	0.11
19751023	0.0	10.87	0.11
19751024	0.12	11.5	0.11
19751025	0.1	9.35	0.1
19751026	0.0	9.21	0.1
19751027	0.06	10.28	0.09
19751028	0.0	6.93	0.09
19751029	0.0	10.09	0.1
19751030	0.02	13.38	0.1
19751031	0.17	11.26	0.11
19751101	2.28	10.44	0.17
19751102	2.58	9.15	0.15
19751103	0.48	6.93	0.35
19751104	0.0	8.56	0.1
19751105	1.21	10.23	0.14
19751106	0.02	7.72	0.15
19751107	1.11	8.35	0.11
19751108	0.01	9.15	0.09
19751109	2.14	6.49	0.09
19751110	0.17	4.96	0.21
19751111	0.0	6.0	0.09
19751112	0.0	5.56	0.09
19751113	0.0	1.88	0.09
19751114	0.74	3.98	0.09
19751115	9.92	10.52	1.41
19751116	3.55	6.8	1.25
19751117	3.53	5.14	0.74
19751118	0.25	4.86	0.29
19751119	3.24	9.59	0.77
19751120	0.07	5.19	0.26
19751121	0.0	3.47	0.2
19751122	0.0	3.68	0.17
19751123	0.0	5.79	0.16
19751124	0.01	5.59	0.14
19751125	2.24	6.96	0.37
19751126	0.13	3.71	0.18
19751127	1.52	7.87	0.37
19751128	16.77	4.74	4.27
19751129	0.12	2.04	0.82
19751130	0.07	0.98	0.43
19751201	8.46	6.61	1.87
19751202	0.06	5.78	0.82
19751203	0.08	2.72	0.41
19751204	0.0	5.92	0.31
19751205	0.07	8.59	0.27
19751206	0.0	6.1	0.25
19751207	0.0	4.96	0.23
19751208	0.0	1.6	0.21
19751209	0.0	1.47	0.18
19751210	0.07	5.32	0.17
19751211	0.0	2.33	0.17
19751212	0.21	2.37	0.17
19751213	0.0	0.59	0.16
19751214	0.0	-0.17	0.14
19751215	0.0	-1.36	0.13
19751216	0.79	0.6	0.17
19751217	0.08	1.68	0.16
