date	precipitation	temperature	discharge_spec
19701001	0.0	14.55	0.1
19701002	0.2	11.13	0.09
19701003	0.68	11.99	0.09
19701004	0.01	15.5	0.08
19701005	3.77	12.11	0.08
19701006	0.52	8.23	0.13
19701007	0.02	7.66	0.09
19701008	0.0	8.03	0.09
19701009	0.0	9.71	0.09
19701010	0.09	12.97	0.09
19701011	0.06	16.3	0.1
19701012	0.0	15.09	0.11
19701013	0.0	15.54	0.08
19701014	0.04	12.9	0.11
19701015	0.0	8.44	0.08
19701016	0.0	8.4	0.09
19701017	0.0	10.58	0.09
19701018	1.63	11.66	0.09
19701019	3.36	7.54	0.1
19701020	0.07	6.16	0.11
19701021	0.02	5.66	0.1
19701022	0.0	7.9	0.12
19701023	0.02	9.42	0.09
19701024	0.04	11.7	0.12
19701025	1.51	11.11	0.1
19701026	0.06	7.13	0.12
19701027	3.52	9.88	0.12
19701028	0.01	12.14	0.11
19701029	0.0	12.71	0.08
19701030	2.71	14.43	0.1
19701031	0.52	12.96	0.14
19701101	15.57	12.19	0.13
19701102	11.19	12.82	0.32
19701103	0.05	10.41	0.35
19701104	2.12	9.57	0.16
19701105	0.0	8.06	0.12
19701106	9.45	7.78	0.14
19701107	1.1	3.77	0.26
19701108	0.31	6.54	0.24
19701109	0.04	7.41	0.17
19701110	0.68	9.52	0.15
19701111	8.54	9.54	0.15
19701112	0.09	4.21	0.27
19701113	9.9	5.82	0.25
19701114	31.86	4.11	0.92
19701115	0.12	1.59	1.7
19701116	5.65	4.16	0.69
19701117	8.26	7.21	0.72
19701118	11.7	9.21	1.04
19701119	1.01	4.95	1.36
19701120	1.73	6.55	0.7
19701121	0.0	4.38	0.46
19701122	7.11	5.49	0.33
19701123	0.61	9.63	0.61
19701124	0.0	9.67	0.6
19701125	0.01	8.81	0.32
19701126	0.08	8.97	0.26
19701127	0.08	8.61	0.29
19701128	9.58	10.15	0.28
19701129	13.31	8.52	1.52
19701130	3.09	7.29	2.27
19701201	0.18	5.24	0.98
19701202	0.59	8.51	0.67
19701203	14.04	8.97	0.49
19701204	0.18	8.0	1.82
19701205	0.25	7.44	1.17
19701206	2.76	5.09	0.68
19701207	0.72	4.63	0.58
19701208	0.02	2.2	0.45
19701209	0.02	2.55	0.39
19701210	0.0	5.41	0.37
19701211	0.01	5.12	0.36
19701212	0.6	4.49	0.35
19701213	0.0	2.83	0.34
19701214	0.02	0.87	0.29
19701215	0.01	1.94	0.3
19701216	0.03	4.53	0.29
19701217	0.1	6.38	0.3
19701218	0.09	8.62	0.3
19701219	0.02	6.86	0.3
19701220	0.04	4.22	0.27
19701221	0.01	1.38	0.28
19701222	1.35	1.93	0.28
19701223	6.45	1.17	0.38
19701224	0.7	-1.58	0.54
19701225	2.1	-1.05	0.38
19701226	0.97	-2.48	0.35
19701227	0.07	-1.37	0.33
19701228	6.31	0.81	0.3
19701229	6.91	0.79	0.67
19701230	0.28	-0.32	1.09
19701231	0.01	-1.02	0.75
19710101	0.01	-1.85	0.46
19710102	0.01	-2.36	0.44
19710103	0.02	-2.4	0.33
19710104	0.01	-2.87	0.34
19710105	0.02	-1.97	0.33
19710106	0.65	4.32	0.32
19710107	3.29	8.99	0.81
19710108	0.15	8.98	0.89
19710109	0.01	8.06	0.63
19710110	0.0	5.85	0.47
19710111	0.0	2.34	0.42
19710112	0.03	3.68	0.4
19710113	0.02	3.98	0.32
19710114	1.55	4.09	0.33
19710115	0.56	4.9	0.35
19710116	1.46	4.93	0.34
19710117	0.04	6.24	0.33
19710118	1.49	6.67	0.35
19710119	3.89	5.23	0.43
19710120	8.0	5.51	0.5
19710121	3.58	6.71	1.28
19710122	6.2	5.43	1.09
19710123	13.62	7.62	2.13
19710124	1.53	7.17	2.7
19710125	7.68	6.55	1.48
19710126	10.47	6.02	2.4
19710127	2.44	5.4	2.64
19710128	0.61	5.03	1.57
19710129	0.75	4.42	0.89
19710130	4.22	2.54	0.96
19710131	4.46	3.24	1.0
19710201	0.01	0.43	1.07
19710202	0.0	3.0	0.77
19710203	0.01	5.47	0.48
19710204	0.01	5.55	0.56
19710205	0.16	5.28	0.49
19710206	0.16	3.85	0.49
19710207	0.0	5.17	0.47
19710208	0.0	5.26	0.46
19710209	0.0	3.59	0.46
19710210	0.0	4.56	0.45
19710211	0.05	5.13	0.44
19710212	1.94	6.92	0.42
19710213	0.01	4.38	0.44
19710214	5.42	5.18	0.41
19710215	0.25	1.27	0.53
19710216	1.28	1.25	0.5
19710217	4.12	3.33	0.48
19710218	0.63	3.86	0.53
19710219	0.89	5.87	0.48
19710220	1.03	7.13	0.45
19710221	0.05	5.48	0.45
19710222	0.0	4.0	0.41
19710223	0.0	4.07	0.36
19710224	0.0	6.07	0.37
19710225	0.0	6.02	0.37
19710226	0.0	2.54	0.36
19710227	0.02	2.47	0.38
19710228	0.0	1.24	0.33
19710301	6.61	2.09	0.36
19710302	0.2	3.8	0.45
19710303	0.02	-0.3	0.42
19710304	0.02	-1.72	0.36
19710305	0.23	-0.87	0.35
19710306	0.09	-2.41	0.35
19710307	1.46	1.46	0.32
19710308	1.19	5.07	0.33
19710309	0.15	4.7	0.35
19710310	0.01	4.7	0.34
19710311	0.0	6.63	0.32
19710312	0.0	8.0	0.32
19710313	0.07	5.37	0.32
19710314	11.71	6.34	0.33
19710315	1.59	3.46	0.77
19710316	2.15	4.65	0.61
19710317	11.58	7.19	0.66
19710318	6.51	7.94	2.22
19710319	2.75	5.98	1.74
19710320	0.99	7.01	1.0
19710321	0.61	5.48	0.77
19710322	0.04	3.19	0.58
19710323	2.11	7.31	0.5
19710324	0.41	9.0	0.51
19710325	1.34	5.85	0.48
19710326	0.04	5.73	0.46
19710327	0.02	4.75	0.43
19710328	0.56	8.21	0.42
19710329	0.09	4.84	0.37
19710330	0.09	6.57	0.4
19710331	0.18	6.11	0.4
19710401	0.36	4.97	0.44
19710402	0.02	6.84	0.37
19710403	0.01	5.9	0.35
19710404	0.13	6.71	0.34
19710405	0.1	6.2	0.31
19710406	0.01	7.15	0.33
19710407	0.0	6.39	0.32
19710408	0.43	6.27	0.3
19710409	0.37	5.59	0.32
19710410	0.01	6.51	0.3
19710411	0.01	6.56	0.3
19710412	0.0	9.63	0.28
19710413	0.0	8.04	0.27
19710414	0.02	5.9	0.3
19710415	0.0	8.31	0.29
19710416	2.74	6.21	0.29
19710417	0.01	7.3	0.33
19710418	0.0	8.55	0.32
19710419	0.01	9.51	0.3
19710420	0.0	10.88	0.3
19710421	0.04	11.81	0.29
19710422	3.49	16.07	0.31
19710423	14.47	10.45	0.51
19710424	9.7	6.58	0.54
19710425	0.9	5.1	0.85
19710426	0.94	2.77	0.65
19710427	0.07	4.44	0.43
19710428	0.0	5.82	0.36
19710429	0.0	6.21	0.32
19710430	0.0	5.47	0.33
19710501	0.0	6.42	0.33
19710502	0.0	6.75	0.3
19710503	0.0	8.28	0.3
19710504	0.0	10.63	0.3
19710505	0.01	12.95	0.29
19710506	9.72	14.82	0.28
19710507	8.47	11.7	0.69
19710508	0.01	13.13	0.47
19710509	0.0	13.75	0.34
19710510	0.0	14.57	0.26
19710511	0.0	15.65	0.29
19710512	0.0	15.16	0.28
19710513	0.0	12.39	0.28
19710514	0.0	12.04	0.29
19710515	6.3	12.23	0.3
19710516	1.83	10.47	0.31
19710517	0.01	9.15	0.3
19710518	0.0	11.76	0.29
19710519	0.0	11.82	0.25
19710520	0.0	11.23	0.23
19710521	0.0	10.88	0.25
19710522	1.83	12.84	0.26
19710523	3.62	11.38	0.31
19710524	7.32	13.11	0.27
19710525	0.51	8.92	0.38
19710526	0.2	10.94	0.29
19710527	5.41	7.41	0.35
19710528	0.79	10.11	0.32
19710529	0.73	12.43	0.32
19710530	0.85	12.86	0.32
19710531	0.0	12.94	0.28
19710601	0.0	14.0	0.25
19710602	0.12	15.97	0.22
19710603	0.0	14.63	0.24
19710604	0.0	11.55	0.25
19710605	0.0	10.18	0.22
19710606	0.01	10.96	0.23
19710607	0.11	11.95	0.22
19710608	3.92	10.68	0.23
19710609	0.85	11.49	0.25
19710610	20.92	10.6	0.49
19710611	0.04	10.72	0.48
19710612	0.06	11.91	0.4
19710613	5.56	13.6	0.26
19710614	16.89	8.91	0.65
19710615	0.07	10.39	0.61
19710616	0.39	11.75	0.37
19710617	0.03	10.76	0.31
19710618	22.75	11.91	0.46
19710619	9.34	13.57	1.01
19710620	0.13	11.97	1.08
19710621	0.32	14.15	0.66
19710622	0.0	12.66	0.34
19710623	0.0	14.5	0.35
19710624	0.0	16.01	0.32
19710625	0.72	15.67	0.27
19710626	1.46	13.65	0.26
19710627	2.8	13.03	0.3
19710628	1.27	11.41	0.3
19710629	0.05	13.77	0.27
19710630	0.0	16.68	0.26
19710701	0.0	18.33	0.27
19710702	0.0	18.14	0.24
19710703	0.0	15.78	0.22
19710704	0.7	17.95	0.24
19710705	0.0	16.37	0.21
19710706	0.01	16.53	0.21
19710707	0.0	17.25	0.2
19710708	0.0	21.17	0.21
19710709	0.0	20.51	0.21
19710710	0.08	18.07	0.19
19710711	0.93	21.72	0.18
19710712	0.02	14.3	0.17
19710713	0.0	14.11	0.17
19710714	0.0	17.46	0.17
19710715	0.0	17.79	0.17
19710716	0.0	13.33	0.16
19710717	0.0	11.9	0.17
19710718	0.0	12.75	0.15
19710719	0.0	15.86	0.15
19710720	0.27	16.76	0.16
19710721	0.33	14.61	0.16
19710722	0.08	17.52	0.18
19710723	0.38	17.58	0.18
19710724	1.8	17.08	0.19
19710725	2.69	17.12	0.18
19710726	0.96	17.63	0.17
19710727	14.56	18.01	0.22
19710728	0.08	15.42	0.28
19710729	0.02	17.55	0.18
19710730	3.31	20.26	0.14
19710731	0.1	16.34	0.15
19710801	3.27	17.11	0.18
19710802	4.47	17.09	0.18
19710803	11.13	17.14	0.39
19710804	13.57	16.61	0.29
19710805	7.77	15.91	0.7
19710806	3.22	16.39	0.39
19710807	2.16	13.67	0.3
19710808	0.01	17.48	0.22
19710809	1.09	18.61	0.19
19710810	2.75	15.0	0.19
19710811	0.2	14.45	0.17
19710812	1.27	15.84	0.21
19710813	2.86	16.9	0.2
19710814	6.49	15.87	0.25
19710815	0.11	11.72	0.24
19710816	0.0	13.84	0.23
19710817	0.02	15.77	0.18
19710818	0.57	18.31	0.18
19710819	0.18	20.46	0.15
19710820	6.29	15.55	0.2
19710821	0.53	15.57	0.22
19710822	0.14	16.51	0.22
19710823	0.08	17.22	0.15
19710824	0.0	14.76	0.18
19710825	0.01	15.14	0.15
19710826	2.15	17.09	0.14
19710827	0.01	16.24	0.17
19710828	0.04	19.26	0.16
19710829	2.84	15.12	0.15
19710830	0.48	13.55	0.14
19710831	0.01	15.34	0.15
19710901	0.17	14.61	0.16
19710902	0.0	16.63	0.15
19710903	0.0	15.19	0.15
19710904	0.0	14.72	0.14
19710905	0.0	14.16	0.15
19710906	0.0	15.21	0.13
19710907	0.0	15.4	0.14
19710908	0.0	17.41	0.14
19710909	0.0	14.37	0.14
19710910	0.0	12.23	0.14
19710911	0.0	12.6	0.14
19710912	0.0	13.05	0.14
19710913	0.0	11.93	0.12
19710914	0.0	12.4	0.15
19710915	0.0	9.96	0.13
19710916	0.0	12.6	0.13
19710917	0.0	11.06	0.13
19710918	0.0	12.02	0.13
19710919	0.0	12.8	0.12
19710920	0.0	14.34	0.1
19710921	0.0	15.59	0.12
19710922	0.0	15.57	0.12
19710923	0.19	16.28	0.12
19710924	0.98	14.09	0.12
19710925	2.33	11.43	0.12
19710926	6.94	13.91	0.15
19710927	4.86	12.05	0.19
19710928	0.24	11.48	0.2
19710929	0.0	15.78	0.13
19710930	0.0	16.0	0.11
19711001	0.0	14.23	0.12
19711002	0.0	15.53	0.12
19711003	0.26	13.95	0.12
19711004	0.12	10.05	0.1
19711005	0.0	8.26	0.1
19711006	0.0	9.68	0.11
19711007	0.0	11.18	0.11
19711008	0.0	11.2	0.12
19711009	0.0	12.77	0.12
19711010	0.04	14.92	0.11
19711011	2.52	16.19	0.1
19711012	19.31	12.22	0.16
19711013	12.44	6.48	0.5
19711014	0.01	5.42	0.33
19711015	2.71	9.02	0.19
19711016	14.27	9.84	0.25
19711017	15.11	12.17	0.55
19711018	1.8	14.35	0.68
19711019	3.48	11.81	0.67
19711020	0.07	10.5	0.31
19711021	0.01	14.13	0.21
19711022	0.0	15.19	0.16
19711023	0.0	12.12	0.15
19711024	0.0	13.74	0.16
19711025	0.0	8.82	0.15
19711026	0.0	8.66	0.14
19711027	0.0	8.54	0.14
19711028	0.0	7.39	0.16
19711029	0.07	9.09	0.16
19711030	0.0	9.52	0.15
19711031	0.02	9.58	0.14
19711101	0.0	11.31	0.12
19711102	0.0	11.42	0.13
19711103	0.01	10.81	0.13
19711104	0.02	10.53	0.14
19711105	11.89	7.66	0.29
19711106	0.06	3.23	0.25
19711107	6.03	6.13	0.18
19711108	0.13	4.86	0.24
19711109	0.01	2.18	0.17
19711110	0.0	2.78	0.17
19711111	0.01	3.88	0.13
19711112	1.02	7.37	0.16
19711113	0.4	5.43	0.16
19711114	0.04	5.03	0.15
19711115	0.0	8.26	0.14
19711116	0.23	8.87	0.15
19711117	1.87	9.28	0.15
19711118	10.47	3.35	0.38
19711119	0.42	-0.53	0.29
19711120	14.6	5.29	0.41
19711121	1.66	5.78	1.26
19711122	0.88	1.44	0.48
19711123	1.37	1.37	0.36
19711124	0.04	2.28	0.28
19711125	3.97	6.58	0.21
19711126	0.98	9.05	0.31
19711127	13.49	8.35	0.34
19711128	0.17	2.48	1.59
19711129	0.06	1.37	0.83
19711130	0.01	2.15	0.45
19711201	0.01	2.35	0.36
19711202	0.04	3.0	0.29
19711203	0.0	2.23	0.23
19711204	0.0	3.66	0.24
19711205	0.0	7.19	0.21
19711206	0.0	4.55	0.21
19711207	0.0	2.44	0.2
19711208	0.01	4.81	0.23
19711209	0.0	6.89	0.27
19711210	0.0	7.45	0.19
19711211	0.0	7.79	0.17
19711212	0.0	7.88	0.17
19711213	0.0	7.09	0.17
19711214	0.05	7.72	0.19
19711215	0.02	10.29	0.15
19711216	0.0	7.47	0.16
19711217	0.01	6.52	0.17
19711218	1.08	8.04	0.16
19711219	9.83	8.54	0.43
19711220	0.1	10.65	0.3
19711221	1.86	10.77	0.22
19711222	4.26	8.39	0.25
19711223	0.01	4.55	0.41
19711224	0.0	6.32	0.34
19711225	0.08	7.15	0.23
19711226	0.11	6.41	0.22
19711227	1.17	5.72	0.19
19711228	0.05	2.31	0.19
19711229	0.24	1.16	0.2
19711230	0.66	2.01	0.21
19711231	0.03	3.27	0.15
19720101	1.2	2.48	0.19
19720102	8.65	1.6	0.26
19720103	2.11	2.57	0.67
19720104	3.73	2.83	0.77
19720105	0.56	1.74	0.92
19720106	0.02	1.18	0.65
19720107	9.69	1.67	0.61
19720108	0.63	4.12	1.52
19720109	0.05	5.83	0.83
19720110	6.27	7.42	0.52
19720111	4.07	5.11	1.22
19720112	0.13	5.8	1.11
19720113	0.68	6.57	0.65
19720114	0.0	6.55	0.46
19720115	2.26	5.6	0.4
19720116	0.73	5.42	0.4
19720117	0.95	1.9	0.4
19720118	2.94	4.18	0.36
19720119	0.02	3.2	0.38
19720120	0.02	1.11	0.38
