date	precipitation	temperature	discharge_spec
19701001	0.01	14.93	0.14
19701002	0.03	11.49	0.13
19701003	0.59	11.93	0.14
19701004	0.0	15.62	0.15
19701005	2.99	12.67	0.19
19701006	0.11	8.58	0.17
19701007	0.0	7.97	0.14
19701008	0.0	8.67	0.14
19701009	0.0	10.57	0.13
19701010	0.01	13.79	0.13
19701011	0.01	16.77	0.13
19701012	0.0	15.3	0.13
19701013	0.0	16.1	0.14
19701014	0.0	13.67	0.14
19701015	0.0	8.16	0.13
19701016	0.0	8.37	0.13
19701017	0.0	10.4	0.15
19701018	1.46	11.84	0.13
19701019	3.7	8.3	0.48
19701020	0.02	7.31	0.15
19701021	0.0	6.15	0.13
19701022	0.0	8.21	0.13
19701023	0.0	10.0	0.13
19701024	0.0	11.59	0.13
19701025	1.71	11.41	0.17
19701026	0.0	7.45	0.17
19701027	2.98	9.99	0.36
19701028	0.0	12.42	0.15
19701029	0.0	12.51	0.14
19701030	1.53	14.55	0.15
19701031	0.24	13.2	0.26
19701101	10.04	12.42	1.01
19701102	13.67	13.15	2.21
19701103	0.0	11.21	0.69
19701104	1.65	10.14	0.34
19701105	0.0	8.32	0.25
19701106	7.93	8.06	0.75
19701107	1.01	3.59	0.65
19701108	0.5	6.74	0.28
19701109	0.0	7.61	0.22
19701110	0.68	9.48	0.22
19701111	7.74	9.84	0.73
19701112	0.05	4.54	0.7
19701113	14.91	6.59	2.22
19701114	35.62	4.46	10.66
19701115	0.07	2.07	2.38
19701116	6.04	4.7	2.27
19701117	6.52	7.7	2.33
19701118	9.2	9.81	3.67
19701119	1.09	5.68	2.24
19701120	1.52	6.65	1.35
19701121	0.0	4.91	0.77
19701122	7.59	6.28	1.27
19701123	0.23	9.52	1.99
19701124	0.0	9.69	1.0
19701125	0.0	8.93	0.49
19701126	0.04	9.48	0.35
19701127	0.06	8.99	0.42
19701128	9.33	10.61	1.2
19701129	11.61	9.06	7.12
19701130	3.43	7.83	0.4
19701201	0.19	5.85	1.41
19701202	0.15	8.87	0.7
19701203	13.18	9.32	2.84
19701204	0.06	8.16	3.72
19701205	0.01	7.88	1.32
19701206	2.44	5.61	1.24
19701207	0.3	5.38	0.55
19701208	0.0	2.63	0.41
19701209	0.0	3.23	0.35
19701210	0.0	4.9	0.32
19701211	0.0	5.33	0.29
19701212	0.25	4.74	0.28
19701213	0.0	3.03	0.23
19701214	0.0	1.0	0.34
19701215	0.0	1.25	0.33
19701216	0.01	4.2	0.33
19701217	0.14	6.94	0.33
19701218	0.08	9.1	0.33
19701219	0.0	8.38	0.32
19701220	0.02	4.46	0.3
19701221	0.0	1.78	0.28
19701222	0.49	2.31	0.29
19701223	5.96	1.42	1.09
19701224	0.58	-1.07	0.56
19701225	2.15	-0.81	0.47
19701226	1.0	-2.2	0.47
19701227	0.11	-1.0	0.41
19701228	4.15	0.83	0.81
19701229	5.0	0.78	2.51
19701230	0.16	-0.22	1.92
19701231	0.0	-0.63	0.82
19710101	0.0	-1.54	0.57
19710102	0.0	-2.42	0.41
19710103	0.0	-2.16	0.35
19710104	0.0	-2.23	0.47
19710105	0.0	-1.29	0.42
19710106	0.31	4.57	0.43
19710107	2.38	9.45	1.41
19710108	0.14	9.0	0.86
19710109	0.0	8.24	0.77
19710110	0.0	6.03	0.62
19710111	0.0	2.49	0.52
19710112	0.0	3.42	0.4
19710113	0.0	4.32	0.4
19710114	0.83	4.67	0.35
19710115	0.67	5.46	0.45
19710116	1.15	5.29	0.53
19710117	0.0	6.46	0.47
19710118	1.52	6.99	0.47
19710119	5.37	5.72	0.93
19710120	6.45	6.13	3.01
19710121	1.35	7.03	2.74
19710122	6.16	5.96	1.81
19710123	10.51	7.69	8.57
19710124	1.11	8.2	2.68
19710125	6.81	6.87	3.47
19710126	11.97	6.54	6.7
19710127	1.38	5.94	3.81
19710128	0.08	5.43	1.71
19710129	1.16	4.93	1.12
19710130	3.52	2.65	2.29
19710131	1.76	3.55	1.52
19710201	0.01	0.76	1.04
19710202	0.0	3.13	0.75
