date	precipitation	temperature	discharge_spec
19960930	7.54	11.53	0.49
19961001	0.01	10.5	0.19
19961002	0.0	12.53	0.16
19961003	1.1	11.66	0.17
19961004	0.66	10.43	0.15
19961005	0.26	9.66	0.16
19961006	0.08	11.27	0.16
19961007	0.0	14.29	0.15
19961008	6.74	13.16	0.37
19961009	0.07	11.38	0.42
19961010	0.0	9.77	0.22
19961011	0.0	12.59	0.17
19961012	0.0	13.11	0.16
19961013	0.0	14.87	0.17
19961014	3.21	14.96	0.43
19961015	0.33	10.81	0.22
19961016	0.0	9.62	0.17
19961017	2.82	10.24	0.17
19961018	3.56	11.62	0.8
19961019	0.08	13.73	0.23
19961020	2.93	13.1	0.29
19961021	0.05	11.71	0.21
19961022	0.0	13.05	0.18
19961023	0.0	14.43	0.17
19961024	0.48	15.3	0.17
19961025	1.6	12.24	0.22
19961026	4.95	12.22	0.22
19961027	3.08	14.39	0.71
19961028	2.17	12.58	0.33
19961029	0.0	7.58	0.24
19961030	1.3	9.64	0.2
19961031	4.15	11.24	0.54
19961101	0.02	13.43	0.25
19961102	1.93	15.57	0.23
19961103	20.01	14.63	1.96
19961104	0.19	11.89	0.96
19961105	1.88	11.7	0.37
19961106	0.82	11.06	0.31
19961107	0.44	5.82	0.26
19961108	0.01	7.01	0.22
19961109	17.52	7.28	1.14
19961110	1.12	3.15	1.67
19961111	1.23	4.41	0.4
19961112	2.04	5.35	0.4
19961113	0.01	3.07	0.29
19961114	0.04	4.62	0.25
19961115	0.0	4.14	0.24
19961116	4.13	5.04	0.23
19961117	6.09	5.29	0.8
19961118	5.77	1.85	0.36
19961119	15.95	3.65	2.95
19961120	0.81	2.61	0.91
19961121	0.04	1.64	0.44
19961122	1.59	2.97	0.42
19961123	0.01	2.59	0.29
19961124	15.96	5.56	2.61
19961125	0.58	6.11	0.95
19961126	0.01	3.28	0.51
19961127	0.25	2.49	0.38
19961128	6.26	4.85	0.76
19961129	1.23	7.15	1.11
19961130	0.88	6.28	0.59
19961201	0.22	8.11	0.45
19961202	9.07	7.01	0.83
19961203	0.7	7.3	1.66
19961204	0.05	4.18	0.66
19961205	0.03	3.77	0.44
19961206	0.01	2.69	0.33
19961207	0.1	4.03	0.29
19961208	0.28	4.1	0.26
19961209	0.08	3.21	0.29
19961210	0.0	3.46	0.27
19961211	0.01	3.49	0.25
19961212	0.41	3.14	0.23
19961213	0.54	0.75	0.23
19961214	0.03	2.89	0.21
19961215	0.02	7.1	0.19
19961216	0.67	5.44	0.21
19961217	0.89	6.54	0.21
19961218	3.45	9.04	0.3
19961219	1.64	7.04	0.48
19961220	0.24	4.68	0.32
19961221	0.0	2.06	0.27
19961222	0.0	2.72	0.24
19961223	0.0	1.31	0.22
19961224	0.05	0.34	0.2
19961225	0.01	0.75	0.2
19961226	0.28	-0.91	0.19
19961227	0.89	0.9	0.22
19961228	0.0	-1.26	0.19
19961229	0.68	0.89	0.2
19961230	0.08	-0.66	0.2
19961231	0.0	-2.76	0.18
19970101	0.0	-3.71	0.17
19970102	0.0	-2.8	0.18
19970103	0.0	-1.31	0.18
19970104	0.04	-0.03	0.19
19970105	0.04	0.84	0.19
19970106	0.0	-0.23	0.19
19970107	0.03	-1.85	0.18
19970108	0.11	-1.37	0.18
19970109	1.51	-0.17	0.22
19970110	0.09	-0.22	0.19
19970111	0.83	3.89	0.22
19970112	0.09	5.73	0.23
19970113	0.01	4.61	0.22
19970114	0.01	2.49	0.2
19970115	0.07	0.18	0.21
19970116	0.11	4.01	0.19
19970117	1.23	5.91	0.22
19970118	2.69	5.67	0.31
19970119	0.43	4.15	0.34
19970120	0.01	4.14	0.23
19970121	3.99	3.23	0.4
19970122	2.41	5.82	0.79
19970123	0.02	4.83	0.45
19970124	0.01	5.39	0.29
19970125	0.01	4.79	0.26
19970126	0.04	3.61	0.26
19970127	0.14	4.12	0.24
19970128	0.02	4.4	0.22
19970129	0.01	4.44	0.23
19970130	0.0	4.07	0.22
19970131	0.0	4.36	0.22
19970201	0.0	4.4	0.22
19970202	0.1	2.25	0.22
19970203	0.06	3.86	0.26
19970204	4.16	5.85	0.51
19970205	0.02	6.38	0.26
19970206	0.06	8.86	0.2
19970207	2.54	4.79	0.39
19970208	0.12	5.41	0.24
19970209	0.26	9.61	0.24
19970210	3.92	7.02	0.56
19970211	5.85	8.97	0.83
19970212	6.17	7.61	2.7
19970213	0.66	4.02	1.98
19970214	0.03	3.64	0.8
19970215	0.0	6.03	0.45
19970216	2.49	6.44	0.56
19970217	11.75	7.96	2.89
19970218	0.38	5.54	2.37
19970219	5.31	7.93	1.83
19970220	0.55	9.58	1.15
19970221	0.64	10.29	0.7
19970222	0.01	9.68	0.48
19970223	4.46	9.14	0.67
19970224	10.15	9.26	1.49
19970225	5.04	8.93	1.68
19970226	0.38	7.02	1.17
19970227	0.0	8.21	0.62
19970228	0.07	8.27	0.44
19970301	0.14	9.65	0.37
19970302	0.35	8.01	0.42
19970303	3.18	7.26	0.45
19970304	2.14	8.28	0.67
19970305	0.95	7.43	0.47
19970306	0.0	8.4	0.38
19970307	0.0	9.51	0.33
19970308	0.09	8.95	0.29
19970309	0.01	8.05	0.29
19970310	0.0	8.28	0.27
19970311	0.0	9.99	0.25
19970312	0.0	10.84	0.24
19970313	0.1	10.61	0.22
19970314	0.09	11.05	0.22
19970315	0.0	12.68	0.2
19970316	0.03	10.42	0.25
19970317	0.0	12.27	0.21
19970318	0.95	10.31	0.21
19970319	0.02	7.05	0.21
19970320	0.03	8.58	0.18
19970321	0.0	6.3	0.17
19970322	0.84	9.23	0.22
19970323	0.38	8.52	0.21
19970324	0.2	6.89	0.19
19970325	0.03	11.32	0.19
19970326	0.0	9.29	0.19
19970327	0.01	10.91	0.17
19970328	0.0	7.48	0.22
19970329	0.01	7.48	0.23
19970330	0.0	8.09	0.22
19970331	0.0	9.22	0.21
19970401	0.0	10.44	0.25
19970402	0.0	11.87	0.27
19970403	0.0	7.63	0.25
19970404	0.0	10.3	0.23
19970405	0.21	11.58	0.2
19970406	0.0	7.44	0.18
19970407	0.0	7.63	0.18
19970408	0.0	9.33	0.23
19970409	0.0	11.89	0.21
19970410	0.0	13.25	0.17
19970411	0.0	7.49	0.17
19970412	0.0	8.86	0.18
19970413	0.0	10.65	0.17
19970414	0.0	9.56	0.18
19970415	0.0	6.43	0.17
19970416	0.01	10.15	0.17
19970417	0.01	7.43	0.16
19970418	0.08	7.82	0.19
19970419	0.0	5.12	0.17
19970420	0.0	3.32	0.17
19970421	0.01	8.23	0.17
19970422	0.02	7.89	0.16
19970423	0.0	9.88	0.15
19970424	0.01	11.41	0.15
19970425	7.11	9.64	0.4
19970426	3.13	10.96	0.57
19970427	0.04	14.26	0.24
19970428	0.35	14.19	0.18
19970429	0.0	10.97	0.16
19970430	0.0	13.3	0.16
19970501	0.0	15.2	0.15
19970502	0.0	17.08	0.16
19970503	0.65	18.25	0.2
19970504	0.43	14.81	0.23
19970505	8.21	10.29	0.82
19970506	0.15	4.47	0.34
19970507	2.93	8.11	0.43
19970508	3.63	8.89	0.84
19970509	2.45	10.16	0.32
19970510	1.36	10.52	0.4
19970511	1.25	11.11	0.32
19970512	3.3	10.45	0.93
19970513	0.01	11.21	0.34
19970514	0.0	12.69	0.29
19970515	0.62	13.36	0.19
19970516	3.95	17.04	0.4
19970517	0.24	19.23	0.22
19970518	0.03	15.48	0.17
19970519	1.03	13.68	0.16
19970520	8.58	13.34	1.57
19970521	0.01	9.91	0.51
19970522	0.65	10.44	0.25
19970523	0.0	9.18	0.19
19970524	0.0	9.6	0.17
19970525	0.0	11.36	0.17
19970526	0.0	15.92	0.16
19970527	0.0	12.27	0.16
19970528	0.0	11.0	0.16
19970529	0.0	14.68	0.15
19970530	0.0	15.49	0.15
19970531	0.0	15.43	0.15
19970601	0.0	15.08	0.14
