date	precipitation	temperature	discharge_spec
19960930	0.09	8.97	0.0
19961001	0.77	9.06	0.0
19961002	0.06	12.49	0.0
19961003	2.17	9.75	0.0
19961004	0.67	9.41	0.0
19961005	0.34	9.64	0.0
19961006	0.22	11.52	0.0
19961007	0.01	12.48	0.0
19961008	6.71	8.34	0.0
19961009	0.05	9.89	0.0
19961010	0.0	9.38	0.0
19961011	0.02	11.48	0.0
19961012	0.0	12.59	0.0
19961013	0.03	13.91	0.0
19961014	2.98	12.1	0.0
19961015	2.31	8.78	0.02
19961016	0.11	7.04	0.03
19961017	8.79	9.12	0.03
19961018	1.51	10.94	0.01
19961019	0.27	12.36	0.0
19961020	6.81	10.99	0.0
19961021	0.62	11.69	0.0
19961022	0.01	12.58	0.0
19961023	0.0	12.85	0.0
19961024	0.65	14.18	0.0
19961025	4.66	10.23	0.0
19961026	10.05	11.18	0.0
19961027	4.18	12.72	0.0
19961028	8.02	10.71	0.0
19961029	0.01	7.26	0.0
19961030	3.5	9.5	0.0
19961031	0.61	10.06	0.0
19961101	0.88	12.58	0.0
19961102	3.95	14.2	0.0
19961103	17.24	12.12	0.0
19961104	2.72	9.92	0.08
19961105	5.0	10.26	0.04
19961106	6.61	9.01	0.04
19961107	0.71	4.54	0.07
19961108	0.06	5.66	0.03
19961109	0.13	4.97	0.01
19961110	0.0	2.54	0.0
19961111	1.34	2.65	0.0
19961112	0.88	2.76	0.0
19961113	0.01	2.75	0.0
19961114	0.48	4.14	0.0
19961115	0.0	4.82	0.0
19961116	9.78	5.48	0.0
19961117	2.58	2.67	0.0
19961118	6.3	1.23	0.01
19961119	14.01	2.09	0.03
19961120	0.19	0.91	0.04
19961121	0.32	0.88	0.02
19961122	0.04	1.02	0.02
19961123	0.0	1.7	0.01
19961124	10.84	4.83	0.05
19961125	0.07	4.72	0.09
19961126	0.0	2.42	0.07
19961127	0.0	0.45	0.07
19961128	7.36	3.63	0.06
19961129	0.23	6.56	0.07
19961130	0.55	5.47	0.04
19961201	0.45	7.32	0.03
19961202	11.88	6.55	0.08
19961203	2.12	5.88	0.19
19961204	3.11	1.94	0.15
19961205	0.31	0.89	0.12
19961206	0.0	2.03	0.09
19961207	0.04	1.84	0.06
19961208	0.05	2.48	0.06
19961209	0.08	1.57	0.06
19961210	0.14	1.49	0.07
19961211	0.0	1.93	0.07
19961212	1.22	2.16	0.08
19961213	0.17	-0.67	0.09
19961214	0.06	1.96	0.1
19961215	0.14	6.07	0.1
19961216	1.64	3.76	0.11
19961217	2.63	6.11	0.1
19961218	13.54	7.04	0.23
19961219	2.44	4.27	0.29
19961220	0.02	2.71	0.21
19961221	0.0	0.53	0.17
19961222	0.0	0.73	0.17
19961223	0.0	-0.31	0.16
19961224	0.0	-0.69	0.15
19961225	0.0	-0.98	0.15
19961226	0.02	-1.72	0.15
19961227	0.47	1.41	0.15
19961228	0.0	-1.54	0.17
19961229	0.12	-0.44	0.17
19961230	0.62	-1.49	0.18
19961231	0.0	-4.68	0.14
19970101	0.03	-5.46	0.14
19970102	0.06	-4.16	0.16
19970103	0.0	-2.79	0.17
19970104	0.0	-0.8	0.17
19970105	0.1	0.18	0.15
19970106	0.01	-1.26	0.15
19970107	0.0	-3.33	0.15
19970108	0.0	-2.55	0.15
19970109	0.0	-1.17	0.15
19970110	0.04	-0.02	0.14
19970111	0.6	4.43	0.16
19970112	0.01	6.37	0.16
19970113	0.0	3.61	0.17
19970114	0.0	2.13	0.14
19970115	0.13	0.41	0.13
19970116	0.12	2.47	0.12
19970117	1.03	5.86	0.13
19970118	1.18	5.16	0.15
19970119	0.23	3.23	0.14
19970120	0.02	3.2	0.12
19970121	2.99	1.85	0.16
19970122	0.9	3.35	0.18
19970123	0.01	4.06	0.16
19970124	0.0	3.28	0.13
19970125	0.03	4.71	0.11
19970126	0.0	4.06	0.1
19970127	0.04	4.27	0.15
19970128	0.0	3.3	0.13
19970129	0.0	2.98	0.13
19970130	0.0	2.36	0.13
19970131	0.0	2.94	0.11
19970201	0.53	3.14	0.09
19970202	0.17	1.81	0.08
19970203	0.98	3.37	0.11
19970204	2.38	5.15	0.13
19970205	0.13	5.91	0.12
19970206	0.7	8.94	0.11
19970207	0.29	3.38	0.09
19970208	0.02	3.9	0.07
19970209	8.29	8.0	0.08
19970210	3.54	6.07	0.15
19970211	10.52	7.92	0.14
19970212	13.26	6.69	0.3
19970213	0.03	2.95	0.31
19970214	0.01	2.06	0.22
19970215	0.37	5.28	0.2
19970216	2.64	6.2	0.21
19970217	13.31	6.98	0.31
19970218	1.76	4.07	0.47
19970219	7.63	6.69	0.46
19970220	0.77	8.17	0.41
19970221	0.22	9.24	0.37
19970222	0.06	8.57	0.36
19970223	11.19	7.07	0.43
19970224	18.99	6.87	0.68
19970225	10.89	6.68	1.03
19970226	0.12	4.82	0.97
19970227	0.03	7.22	0.97
19970228	0.01	7.77	1.06
19970301	1.32	8.33	1.09
19970302	0.0	5.97	1.06
19970303	2.2	5.67	1.05
19970304	0.92	6.69	1.04
19970305	1.9	5.24	0.99
19970306	0.01	7.4	0.93
19970307	2.25	7.45	0.9
19970308	2.42	6.71	0.91
19970309	0.03	7.76	0.87
19970310	0.0	7.61	0.83
19970311	0.0	9.35	0.79
19970312	0.0	9.5	0.77
19970313	0.68	8.97	0.74
19970314	0.0	9.88	0.72
19970315	0.01	11.17	0.69
19970316	0.0	8.78	0.67
19970317	0.19	9.95	0.65
19970318	0.24	8.97	0.67
19970319	0.04	5.18	0.64
19970320	0.0	6.32	0.62
19970321	0.0	5.76	0.57
19970322	0.45	8.77	0.54
19970323	1.57	7.47	0.53
19970324	0.85	6.53	0.55
19970325	0.09	8.85	0.53
19970326	0.02	8.09	0.52
19970327	0.08	8.37	0.49
19970328	0.01	6.15	0.45
19970329	0.0	6.19	0.42
19970330	0.0	6.61	0.41
19970331	0.0	7.42	0.4
19970401	0.0	9.84	0.38
19970402	0.0	9.66	0.37
19970403	0.0	6.26	0.36
19970404	0.0	8.64	0.34
19970405	0.06	9.53	0.32
