date	precipitation	temperature	discharge_spec
19970114	0.0	1.67	0.11
19970115	0.01	-0.03	0.11
19970116	0.06	3.03	0.11
19970117	2.51	5.87	0.15
19970118	1.94	5.16	0.22
19970119	0.05	3.29	0.24
19970120	0.0	3.17	0.24
19970121	3.16	2.32	0.28
19970122	1.54	4.12	0.3
19970123	0.02	4.09	0.26
19970124	0.0	3.08	0.26
19970125	0.0	4.43	0.28
19970126	0.0	3.87	0.3
19970127	0.02	3.53	0.3
19970128	0.0	2.76	0.3
19970129	0.0	3.2	0.3
19970130	0.0	2.62	0.3
19970131	0.0	3.12	0.32
19970201	0.03	3.15	0.32
19970202	0.34	1.37	0.3
19970203	0.09	3.14	0.32
19970204	4.11	5.21	0.32
19970205	0.08	5.78	0.32
19970206	0.17	8.56	0.32
19970207	1.14	3.55	0.32
19970208	0.02	3.89	0.32
19970209	1.56	8.55	0.32
19970210	6.69	6.2	0.37
19970211	5.42	8.23	0.35
19970212	7.08	6.82	0.37
19970213	0.34	3.19	0.24
19970214	0.22	2.08	0.17
19970215	0.01	5.2	0.15
19970216	4.07	5.94	0.13
19970217	15.99	7.25	0.17
19970218	1.55	4.37	0.17
19970219	5.13	7.14	0.22
19970220	0.73	8.64	0.24
19970221	0.72	9.36	0.26
19970222	0.0	8.57	0.26
19970223	9.84	7.65	0.28
19970224	12.97	7.78	0.3
19970225	4.58	7.59	0.39
19970226	0.05	5.69	0.45
19970227	0.0	7.14	0.5
19970228	0.59	7.06	0.54
19970301	0.39	8.78	0.56
19970302	0.76	6.36	0.58
19970303	7.27	5.96	0.58
19970304	0.6	7.42	0.58
19970305	1.02	5.65	0.58
19970306	0.02	7.9	0.58
19970307	0.04	8.31	0.58
19970308	0.2	7.7	0.78
19970309	0.07	7.68	0.82
19970310	0.0	7.36	0.82
19970311	0.0	9.41	0.82
19970312	0.0	9.65	0.82
19970313	0.01	9.43	0.82
19970314	0.0	9.91	0.82
19970315	0.0	11.34	0.82
19970316	0.0	8.49	0.82
19970317	0.17	10.86	0.76
19970318	0.85	9.13	0.74
19970319	0.0	5.36	0.71
19970320	0.0	6.93	0.74
19970321	0.0	5.89	0.74
19970322	0.9	8.5	0.78
19970323	0.25	7.05	0.76
19970324	1.72	6.08	0.71
19970325	0.1	9.31	0.67
19970326	0.27	8.11	0.65
19970327	0.02	9.05	0.65
19970328	0.0	5.89	0.65
19970329	0.0	6.05	0.65
19970330	0.0	6.36	0.63
19970331	0.0	7.24	0.63
19970401	0.0	9.15	0.63
19970402	0.0	10.4	0.63
19970403	0.0	6.35	0.63
