date	precipitation	temperature	discharge_spec
19701001	0.0	13.5	0.19
19701002	0.16	10.39	0.19
19701003	0.22	11.44	0.19
19701004	0.01	15.13	0.19
19701005	6.09	10.49	0.19
19701006	3.49	7.97	0.19
19701007	0.25	6.5	0.19
19701008	0.0	6.81	0.18
19701009	0.0	8.37	0.19
19701010	0.22	11.14	0.19
19701011	0.01	15.23	0.18
19701012	0.0	13.39	0.18
19701013	0.0	13.13	0.18
19701014	0.0	12.33	0.18
19701015	0.0	7.15	0.17
19701016	0.0	7.82	0.17
19701017	0.0	9.93	0.17
19701018	0.55	10.26	0.17
19701019	2.1	6.97	0.17
19701020	0.01	4.84	0.17
19701021	0.0	3.19	0.17
19701022	0.0	7.73	0.16
19701023	0.01	9.05	0.16
19701024	0.0	11.01	0.16
19701025	2.06	10.0	0.17
19701026	0.61	6.33	0.16
19701027	3.85	9.31	0.15
19701028	0.0	11.68	0.15
19701029	0.0	12.41	0.17
19701030	1.89	14.04	0.16
19701031	0.81	12.31	0.16
19701101	15.67	11.66	0.17
19701102	12.13	12.27	0.17
19701103	0.01	9.26	0.17
19701104	0.09	8.79	0.16
19701105	0.0	6.61	0.17
19701106	21.59	7.1	0.18
19701107	1.46	3.74	0.17
19701108	1.13	6.62	0.17
19701109	0.04	7.34	0.17
19701110	1.88	9.22	0.19
19701111	6.8	8.68	0.17
19701112	0.22	3.82	0.17
19701113	6.49	5.32	0.17
19701114	22.34	2.9	0.19
19701115	0.22	0.87	0.18
19701116	5.69	4.18	0.19
19701117	7.1	7.05	0.2
19701118	13.74	8.14	0.16
19701119	0.73	4.93	0.17
19701120	2.4	6.44	0.18
19701121	0.13	4.0	0.17
19701122	13.71	5.48	0.19
19701123	1.35	10.24	0.17
19701124	0.0	10.88	0.17
19701125	0.0	9.22	0.17
19701126	0.0	9.88	0.17
19701127	1.9	8.98	0.17
19701128	9.37	9.86	0.17
19701129	13.65	7.94	0.19
19701130	1.19	6.86	0.17
19701201	0.35	4.6	0.17
19701202	2.45	8.46	0.17
19701203	11.8	8.92	0.17
19701204	0.04	7.22	0.16
19701205	1.58	6.66	0.17
19701206	4.12	3.57	0.17
19701207	0.02	3.27	0.16
19701208	0.0	1.63	0.16
19701209	0.0	1.78	0.16
19701210	0.0	5.18	0.16
19701211	0.24	5.36	0.16
19701212	1.49	4.17	0.17
19701213	0.0	0.88	0.17
19701214	0.0	0.33	0.17
19701215	0.0	2.99	0.17
19701216	0.01	5.64	0.17
19701217	0.13	7.03	0.17
19701218	0.07	9.14	0.16
19701219	0.05	6.53	0.17
19701220	0.36	2.77	0.17
19701221	0.01	-0.13	0.16
19701222	0.01	1.35	0.16
19701223	1.21	1.24	0.15
19701224	0.07	-2.06	0.15
19701225	1.56	-1.96	0.16
19701226	2.56	-3.19	0.16
19701227	0.07	-3.96	0.17
19701228	6.77	-0.56	0.17
19701229	7.57	0.14	0.17
19701230	0.23	-1.85	0.17
19701231	0.0	-2.63	0.18
19710101	0.0	-2.33	0.19
19710102	0.05	-1.56	0.19
19710103	0.0	-3.54	0.19
19710104	0.02	-4.76	0.19
19710105	0.01	-1.7	0.19
19710106	3.62	4.72	0.2
19710107	2.61	8.94	0.19
19710108	0.34	8.95	0.19
19710109	0.01	8.12	0.19
19710110	0.0	5.77	0.2
19710111	0.0	1.96	0.2
19710112	0.0	4.98	0.19
19710113	0.0	3.96	0.19
19710114	1.87	2.92	0.19
19710115	0.09	3.23	0.18
19710116	5.99	4.24	0.19
19710117	0.06	6.3	0.19
19710118	2.84	6.07	0.19
19710119	4.85	5.02	0.2
19710120	14.78	5.19	0.22
19710121	9.92	6.44	0.24
19710122	4.74	5.99	0.23
19710123	15.33	7.16	0.27
19710124	1.31	6.32	0.26
19710125	6.25	6.65	0.27
19710126	4.5	5.75	0.27
19710127	1.29	5.09	0.28
19710128	0.41	4.0	0.3
19710129	1.19	3.32	0.3
19710130	5.41	1.39	0.34
19710131	7.58	2.22	0.35
19710201	0.0	-0.92	0.37
19710202	0.01	1.44	0.37
19710203	0.0	4.43	0.38
19710204	0.0	4.31	0.36
19710205	0.0	4.98	0.36
19710206	0.18	3.63	0.37
19710207	0.13	3.7	0.38
19710208	0.0	4.5	0.39
19710209	0.0	3.27	0.4
19710210	0.0	4.24	0.4
19710211	0.0	4.89	0.4
19710212	0.76	5.6	0.41
19710213	0.01	3.74	0.42
19710214	8.52	4.19	0.43
19710215	0.05	-0.13	0.43
19710216	1.2	-1.17	0.42
19710217	5.62	2.82	0.42
19710218	0.32	3.04	0.43
19710219	1.94	5.89	0.43
19710220	1.97	6.59	0.44
19710221	0.01	4.06	0.44
19710222	0.0	2.55	0.45
19710223	0.0	2.56	0.46
19710224	0.0	3.85	0.46
19710225	0.0	2.22	0.47
19710226	0.0	2.83	0.48
19710227	0.31	1.18	0.48
19710228	0.04	0.15	0.48
19710301	7.87	0.86	0.48
19710302	0.5	3.31	0.48
19710303	0.02	-0.98	0.48
19710304	0.0	-2.73	0.48
19710305	0.02	-1.74	0.49
19710306	0.06	-3.71	0.49
19710307	2.59	0.47	0.49
19710308	1.69	3.84	0.5
19710309	0.06	3.42	0.5
19710310	0.01	3.97	0.49
19710311	0.0	5.62	0.5
19710312	0.0	6.97	0.5
19710313	0.26	3.87	0.5
19710314	8.34	5.97	0.52
19710315	2.82	3.89	0.51
19710316	3.75	4.34	0.51
19710317	17.18	6.44	0.53
19710318	5.85	6.73	0.53
19710319	8.48	5.78	0.53
19710320	1.82	6.68	0.53
19710321	0.43	4.7	0.53
19710322	0.13	3.03	0.53
19710323	0.71	5.85	0.53
19710324	0.72	7.87	0.54
19710325	0.25	5.08	0.53
19710326	0.01	5.04	0.54
19710327	0.0	5.14	0.54
19710328	0.18	7.59	0.55
19710329	1.16	3.89	0.55
19710330	0.0	6.45	0.55
19710331	0.0	5.14	0.55
19710401	0.0	5.51	0.56
19710402	0.0	6.72	0.55
19710403	0.0	5.32	0.55
19710404	0.01	6.02	0.55
19710405	0.2	5.85	0.53
19710406	0.04	7.03	0.53
19710407	0.0	5.98	0.53
19710408	5.11	5.84	0.53
19710409	2.03	4.92	0.53
19710410	0.0	5.88	0.53
19710411	0.0	5.88	0.53
19710412	0.0	9.19	0.53
19710413	0.0	8.13	0.53
19710414	0.0	6.54	0.54
19710415	0.0	8.65	0.54
19710416	1.72	5.24	0.54
19710417	0.0	6.86	0.53
19710418	0.01	7.07	0.54
19710419	0.0	7.41	0.54
19710420	0.0	11.52	0.54
19710421	0.02	12.54	0.53
19710422	4.75	15.41	0.58
19710423	28.32	9.58	0.55
19710424	2.63	6.47	0.54
19710425	4.16	4.31	0.53
19710426	6.81	1.6	0.54
19710427	0.0	3.75	0.54
19710428	0.0	4.98	0.55
19710429	0.0	6.8	0.55
19710430	0.0	5.19	0.55
19710501	0.0	5.28	0.55
19710502	0.0	6.47	0.55
19710503	0.0	8.74	0.55
19710504	0.0	11.37	0.55
19710505	0.0	14.16	0.54
19710506	8.13	14.87	0.54
19710507	0.34	12.13	0.53
19710508	0.01	11.77	0.53
19710509	0.0	12.93	0.53
19710510	0.0	12.79	0.53
19710511	0.0	14.9	0.53
19710512	0.0	15.38	0.53
19710513	0.0	11.99	0.52
19710514	0.0	11.88	0.52
19710515	4.12	11.25	0.53
19710516	0.75	9.9	0.53
19710517	0.01	7.85	0.53
19710518	0.0	10.75	0.52
19710519	0.0	10.96	0.52
19710520	0.0	10.69	0.52
19710521	0.0	10.52	0.52
19710522	2.59	13.11	0.53
19710523	5.75	10.39	0.53
19710524	8.01	12.72	0.52
19710525	2.46	8.36	0.51
19710526	0.53	9.75	0.5
19710527	5.36	7.27	0.5
19710528	0.39	9.34	0.5
19710529	3.17	11.31	0.49
19710530	0.82	12.12	0.49
19710531	0.0	10.95	0.5
19710601	0.0	13.5	0.5
19710602	0.0	15.2	0.5
19710603	0.0	13.08	0.49
19710604	0.0	11.91	0.49
19710605	0.0	9.84	0.48
19710606	0.0	10.23	0.48
19710607	0.0	12.01	0.48
19710608	20.81	11.09	0.48
19710609	6.06	11.4	0.5
