date	precipitation	temperature	discharge_spec
19980816	0.0	17.77	0.35
19980817	0.0	17.08	0.35
19980818	0.0	14.62	0.32
19980819	0.0	17.22	0.32
19980820	0.87	17.44	0.34
19980821	0.06	16.03	0.31
19980822	0.3	13.43	0.31
19980823	5.79	14.55	0.33
19980824	0.26	11.72	0.33
19980825	0.95	17.22	0.31
19980826	0.09	10.88	0.31
19980827	0.0	12.73	0.3
19980828	0.03	13.28	0.3
19980829	0.0	15.51	0.3
19980830	0.0	15.74	0.3
19980831	1.32	17.31	0.3
19980901	0.05	17.71	0.3
19980902	19.32	17.78	0.33
19980903	0.08	15.08	0.4
19980904	17.7	16.1	0.37
19980905	1.62	15.17	0.41
19980906	0.65	16.94	0.36
19980907	3.54	17.87	0.34
19980908	3.43	17.64	0.34
19980909	6.52	16.86	0.35
19980910	0.89	13.95	0.36
19980911	0.17	11.53	0.34
19980912	8.68	9.41	0.35
19980913	0.05	10.72	0.35
19980914	0.41	12.12	0.33
19980915	1.56	12.99	0.32
19980916	0.0	11.93	0.31
19980917	0.08	13.19	0.31
19980918	0.08	17.17	0.31
19980919	0.01	16.64	0.3
19980920	0.0	16.33	0.28
19980921	0.0	15.67	0.3
19980922	0.0	13.67	0.31
19980923	0.03	15.91	0.32
19980924	0.0	15.79	0.31
19980925	0.09	16.92	0.32
19980926	29.7	16.82	0.38
19980927	11.45	14.62	0.52
19980928	0.16	13.87	0.45
19980929	7.29	14.01	0.4
19980930	10.34	14.69	0.46
19981001	0.14	13.19	0.46
19981002	0.12	8.03	0.41
19981003	0.18	8.87	0.4
19981004	1.61	8.87	0.39
19981005	5.17	9.28	0.38
19981006	0.13	9.1	0.39
19981007	0.62	10.11	0.37
19981008	0.04	9.06	0.36
19981009	2.47	11.26	0.37
19981010	2.28	11.03	0.37
19981011	0.06	11.84	0.37
19981012	0.74	10.5	0.35
19981013	1.56	13.48	0.36
19981014	1.0	11.12	0.34
19981015	0.01	9.62	0.34
19981016	17.56	12.08	0.36
19981017	0.18	6.49	0.46
19981018	0.0	6.74	0.38
19981019	0.06	7.56	0.38
19981020	6.18	11.28	0.37
19981021	0.29	15.24	0.4
19981022	16.84	15.15	0.38
19981023	7.69	10.41	0.51
19981024	18.12	10.5	0.61
19981025	1.35	7.77	0.51
19981026	7.55	9.11	0.45
19981027	9.97	12.45	0.5
19981028	3.66	9.09	0.5
19981029	0.37	8.56	0.47
19981030	1.39	7.4	0.42
19981031	24.15	5.53	0.62
19981101	1.69	6.3	0.59
19981102	15.08	6.82	0.63
19981103	2.71	4.31	0.6
19981104	0.11	2.9	0.53
19981105	0.13	7.3	0.5
19981106	0.63	7.39	0.48
19981107	9.76	9.99	0.49
19981108	8.92	12.49	0.59
19981109	1.56	10.56	0.58
19981110	0.0	5.52	0.52
19981111	8.52	6.52	0.52
19981112	0.78	6.76	0.6
19981113	15.34	4.59	0.57
19981114	0.49	4.69	0.62
19981115	0.48	3.19	0.55
19981116	0.01	1.55	0.54
19981117	0.01	1.83	0.53
19981118	0.04	3.29	0.52
19981119	0.0	3.13	0.51
19981120	0.0	2.82	0.51
19981121	0.0	2.95	0.5
19981122	0.0	2.03	0.5
19981123	0.05	2.48	0.5
19981124	8.32	5.23	0.51
19981125	0.07	3.35	0.5
19981126	0.21	6.67	0.49
19981127	0.79	8.24	0.49
19981128	4.06	5.42	0.53
19981129	0.24	4.19	0.51
19981130	0.0	2.85	0.5
19981201	0.0	2.38	0.47
19981202	0.0	1.63	0.47
19981203	0.61	0.78	0.48
19981204	0.0	0.55	0.49
19981205	0.11	-0.11	0.48
19981206	0.1	-0.27	0.48
19981207	0.51	4.44	0.47
19981208	3.21	8.35	0.5
19981209	0.13	7.61	0.51
19981210	5.76	6.41	0.54
19981211	1.17	8.61	0.52
19981212	6.0	9.29	0.57
19981213	0.09	9.84	0.54
19981214	2.23	12.11	0.53
19981215	3.36	7.95	0.56
19981216	0.01	7.44	0.53
19981217	1.1	7.14	0.53
19981218	7.01	6.3	0.57
19981219	0.02	3.84	0.57
19981220	0.0	-0.39	0.54
19981221	1.92	1.01	0.55
19981222	2.03	4.64	0.54
19981223	9.44	3.23	0.61
19981224	5.61	5.34	0.63
19981225	15.74	7.4	0.74
19981226	8.06	8.64	0.81
19981227	1.01	6.44	0.74
19981228	0.03	3.74	0.66
19981229	0.01	7.54	0.66
19981230	3.86	9.0	0.64
19981231	1.75	7.59	0.64
19990101	5.61	7.25	0.62
19990102	10.7	5.23	0.67
19990103	7.58	8.25	0.82
19990104	0.41	10.31	0.76
19990105	0.0	10.77	0.7
19990106	4.84	7.98	0.71
19990107	6.95	4.68	0.77
19990108	7.08	3.03	0.79
19990109	0.01	1.51	0.75
19990110	0.03	0.94	0.72
19990111	1.61	-1.05	0.72
19990112	12.4	2.69	0.87
19990113	1.53	4.98	0.81
19990114	2.54	5.91	0.79
19990115	17.57	7.36	0.8
19990116	0.05	4.23	0.94
19990117	0.0	4.47	0.81
19990118	9.7	7.14	0.86
19990119	8.24	10.83	0.95
19990120	0.4	6.46	0.91
19990121	0.01	2.17	0.86
19990122	0.09	0.65	0.86
19990123	2.04	5.35	0.86
19990124	1.11	8.14	0.87
19990125	1.97	7.11	0.89
19990126	8.04	4.07	0.94
19990127	4.03	5.94	0.91
19990128	0.66	5.08	0.93
19990129	1.17	4.2	0.89
19990130	2.28	3.17	0.9
19990131	0.02	4.67	0.89
19990201	0.0	5.39	0.9
19990202	0.0	5.95	0.9
19990203	0.0	8.15	0.91
19990204	0.0	8.76	0.91
19990205	0.25	6.42	0.9
19990206	1.89	3.78	0.91
19990207	0.0	0.87	0.9
19990208	0.93	-1.07	0.91
19990209	0.07	-0.91	0.9
19990210	0.01	-0.55	0.89
19990211	0.62	1.14	0.89
19990212	0.0	3.69	0.89
19990213	0.0	1.61	0.89
19990214	1.18	2.91	0.9
19990215	1.33	5.25	0.9
19990216	0.09	5.09	0.9
19990217	1.42	6.11	0.89
19990218	2.68	9.16	0.89
19990219	1.2	7.82	0.91
19990220	1.11	6.77	0.89
