date	precipitation	temperature	discharge_spec
19990517	0.0	8.13	2.26
19990518	0.0	8.48	1.16
19990519	0.0	10.85	2.78
19990520	12.12	10.76	1.58
19990521	25.52	4.34	3.33
19990522	6.23	7.39	3.8
19990523	6.44	6.8	5.41
19990524	11.69	6.65	3.98
19990525	10.21	7.99	4.71
19990526	3.86	9.8	5.62
19990527	3.94	12.62	5.2
19990528	27.71	8.1	3.87
19990529	4.4	4.07	9.46
19990530	0.02	7.36	8.47
19990531	0.02	11.3	6.73
19990601	0.01	11.86	4.55
19990602	7.71	11.89	2.15
19990603	3.01	7.62	3.19
19990604	19.52	7.95	3.87
19990605	5.15	7.55	4.93
19990606	1.23	5.63	4.79
19990607	0.92	7.94	5.15
19990608	0.04	5.66	5.37
19990609	0.07	10.01	5.37
19990610	0.02	8.43	3.0
19990611	0.05	8.62	3.45
19990612	3.59	9.66	2.82
19990613	1.52	11.09	2.6
19990614	0.99	11.87	1.2
19990615	7.05	11.83	1.25
19990616	9.15	9.0	1.21
19990617	0.87	11.38	1.86
19990618	1.3	11.29	1.24
19990619	12.42	8.8	1.39
19990620	8.05	8.15	2.16
19990621	2.51	5.25	2.27
19990622	0.02	7.64	2.04
19990623	0.0	10.28	1.06
19990624	0.05	13.82	1.01
19990625	0.0	16.23	1.01
19990626	4.75	15.73	1.02
19990627	14.59	9.98	1.09
19990628	5.62	11.2	1.46
19990629	14.66	9.77	1.9
19990630	5.56	9.65	1.77
19990701	0.05	10.38	2.34
19990702	0.17	14.5	3.03
19990703	13.79	13.19	3.61
19990704	12.7	12.02	4.84
19990705	1.81	12.82	4.39
19990706	2.34	13.06	3.96
19990707	8.91	14.92	3.67
19990708	0.05	16.23	4.02
19990709	4.26	20.1	3.73
19990710	0.18	14.3	3.03
19990711	0.01	15.32	3.24
19990712	0.85	15.48	3.31
19990713	9.99	11.31	3.13
19990714	4.13	9.87	3.61
19990715	3.97	11.39	3.41
19990716	7.8	10.72	3.5
19990717	0.38	12.29	3.78
19990718	0.56	12.71	3.74
19990719	2.79	15.04	3.67
19990720	4.2	13.05	3.49
19990721	1.67	10.36	3.54
19990722	0.79	12.22	3.66
19990723	7.74	14.86	3.44
19990724	0.98	10.98	3.45
19990725	0.06	9.13	3.76
19990726	0.0	11.23	3.79
19990727	0.02	13.25	2.86
19990728	0.0	13.96	3.32
19990729	0.03	14.25	3.23
19990730	0.0	17.0	3.67
19990731	0.0	17.75	3.66
19990801	0.15	20.0	3.38
19990802	0.01	17.99	2.96
19990803	0.0	19.02	2.9
19990804	0.0	17.59	2.93
19990805	0.04	15.81	2.92
19990806	0.0	14.55	2.92
19990807	0.0	11.77	2.92
19990808	0.01	9.08	2.95
19990809	0.0	8.68	2.74
19990810	0.0	7.35	1.44
19990811	0.0	8.27	1.1
19990812	6.46	12.29	1.36
19990813	4.51	12.46	1.49
19990814	13.47	11.65	1.6
19990815	9.76	10.34	1.69
19990816	2.37	11.12	1.87
19990817	2.36	11.79	1.14
19990818	1.68	11.66	1.59
19990819	0.35	9.4	1.49
19990820	0.03	5.91	1.71
19990821	0.0	6.62	1.54
19990822	0.0	9.42	1.5
19990823	0.0	9.38	1.78
19990824	0.0	11.17	2.03
19990825	2.76	12.4	1.59
19990826	1.11	13.84	1.49
19990827	0.34	13.44	1.19
19990828	0.0	14.47	1.1
19990829	9.06	11.74	1.46
19990830	1.26	12.65	1.52
19990831	0.69	14.68	1.36
19990901	0.13	16.26	1.73
19990902	1.69	16.07	1.63
19990903	1.02	10.88	1.62
19990904	0.09	16.78	1.24
19990905	13.66	17.21	1.55
19990906	21.71	8.03	2.16
