date	precipitation	temperature	discharge_spec
19960930	15.47	11.65	0.15
19961001	0.03	9.28	0.3
19961002	0.0	11.22	0.21
19961003	1.75	10.85	0.16
19961004	1.39	10.16	0.15
19961005	0.1	8.69	0.14
19961006	0.17	10.52	0.14
19961007	0.05	13.9	0.15
19961008	7.48	13.15	0.12
19961009	0.25	11.71	0.16
19961010	0.0	9.36	0.17
19961011	0.02	11.49	0.15
19961012	0.01	11.57	0.14
19961013	0.04	14.29	0.14
19961014	5.16	14.2	0.14
19961015	0.55	10.13	0.16
19961016	0.17	8.58	0.15
19961017	1.52	9.58	0.14
19961018	5.13	10.93	0.16
19961019	0.11	13.48	0.19
19961020	1.52	13.34	0.17
19961021	0.06	10.99	0.15
19961022	0.0	12.17	0.16
19961023	0.01	12.78	0.15
19961024	1.53	13.91	0.13
19961025	3.42	11.44	0.13
19961026	3.93	12.14	0.15
19961027	6.3	13.94	0.18
19961028	7.51	12.43	0.24
19961029	0.01	7.07	0.28
19961030	4.06	9.83	0.26
19961031	2.12	11.36	0.22
19961101	0.48	13.15	0.23
19961102	3.05	14.78	0.2
19961103	25.41	14.11	0.2
19961104	1.04	11.12	1.04
19961105	4.51	11.13	0.75
19961106	2.67	11.02	0.4
19961107	1.53	5.32	0.36
19961108	0.01	6.54	0.33
19961109	16.47	7.97	0.27
19961110	0.16	2.19	0.89
19961111	1.78	3.64	0.74
19961112	8.02	5.14	0.34
19961113	0.0	2.57	0.31
19961114	0.0	3.45	0.26
19961115	0.0	2.28	0.27
19961116	0.76	3.21	0.26
19961117	5.58	5.14	0.26
19961118	10.91	0.71	0.31
19961119	22.94	4.27	3.03
19961120	2.2	2.02	4.23
19961121	0.1	0.76	0.52
19961122	3.06	2.66	0.47
19961123	0.02	1.98	0.66
19961124	17.11	5.38	1.22
19961125	0.21	6.27	2.73
19961126	0.0	2.7	0.55
19961127	0.01	1.82	0.4
19961128	7.12	4.32	0.28
19961129	2.0	7.22	0.83
19961130	1.43	5.59	0.56
19961201	0.3	7.96	0.31
19961202	8.38	6.76	0.28
19961203	3.12	6.32	1.31
19961204	0.09	4.17	0.79
19961205	0.01	3.34	0.36
19961206	0.1	3.52	0.29
19961207	0.16	5.14	0.39
19961208	0.3	4.01	0.37
19961209	0.05	3.29	0.42
19961210	0.0	3.2	0.41
19961211	0.05	2.52	0.36
19961212	0.05	2.25	0.31
19961213	0.49	0.37	0.32
19961214	0.01	1.62	0.33
19961215	0.01	6.14	0.31
19961216	1.12	5.28	0.3
19961217	1.33	6.57	0.31
19961218	3.87	8.28	0.35
19961219	1.06	6.59	0.36
19961220	1.09	5.18	0.3
19961221	0.02	3.41	0.28
19961222	0.0	3.7	0.34
19961223	0.0	1.57	0.29
19961224	0.0	0.5	0.28
19961225	0.04	0.24	0.28
19961226	0.01	-1.27	0.25
19961227	1.73	0.21	0.28
19961228	0.0	-1.54	0.27
19961229	0.48	0.98	0.25
19961230	0.64	-0.95	0.29
19961231	0.03	-3.1	0.26
19970101	0.03	-4.3	0.27
19970102	0.05	-3.46	0.27
19970103	0.0	-1.97	0.25
19970104	0.43	-0.58	0.25
19970105	0.05	-0.18	0.24
19970106	0.02	-1.44	0.24
19970107	0.18	-2.68	0.24
19970108	0.02	-2.24	0.23
19970109	2.97	-0.45	0.24
19970110	0.01	-0.77	0.24
19970111	1.67	2.63	0.23
19970112	0.36	4.57	0.31
19970113	0.0	3.0	0.44
19970114	0.0	0.96	0.42
19970115	0.01	0.15	0.34
19970116	0.08	3.23	0.31
19970117	2.35	5.48	0.31
19970118	2.45	5.14	0.38
19970119	0.02	4.88	0.6
19970120	0.02	3.62	0.55
19970121	3.26	3.37	0.43
19970122	3.77	5.54	0.49
19970123	0.05	4.43	0.6
19970124	0.01	4.29	0.31
19970125	0.0	4.11	0.32
19970126	0.01	2.78	0.34
19970127	0.18	3.9	0.31
19970128	0.01	4.4	0.32
19970129	0.0	3.68	0.34
19970130	0.0	3.4	0.33
19970131	0.0	3.77	0.27
19970201	0.14	4.04	0.27
19970202	0.13	1.17	0.27
19970203	0.01	3.31	0.26
19970204	8.32	5.45	0.28
19970205	0.01	5.57	0.34
19970206	0.06	7.81	0.31
19970207	2.18	3.9	0.33
19970208	0.07	4.28	0.33
19970209	0.83	8.72	0.32
19970210	5.06	6.61	0.38
19970211	5.24	8.62	0.35
19970212	7.66	7.01	0.67
19970213	0.36	3.58	1.49
19970214	1.3	2.41	0.53
19970215	0.0	4.96	0.31
19970216	3.7	6.15	0.34
19970217	14.41	7.29	0.84
19970218	1.46	5.22	3.69
19970219	5.4	7.73	1.58
19970220	0.66	9.09	1.44
19970221	0.18	8.89	0.53
19970222	0.01	8.84	0.35
19970223	6.74	8.67	0.36
19970224	15.19	8.96	1.96
19970225	5.98	8.66	4.7
19970226	0.01	6.75	2.44
19970227	0.0	8.29	0.96
19970228	0.17	6.61	1.15
19970301	0.57	8.65	0.88
19970302	0.07	7.38	0.76
19970303	8.56	6.92	0.56
19970304	3.49	8.48	2.03
19970305	0.34	7.73	1.73
19970306	0.01	8.39	1.12
19970307	0.0	8.6	0.85
19970308	0.02	9.0	0.6
19970309	0.03	7.56	0.49
19970310	0.03	7.8	0.43
19970311	0.02	8.77	0.38
19970312	0.01	10.44	0.35
19970313	0.02	9.81	0.33
19970314	0.02	10.44	0.34
19970315	0.02	11.65	0.36
19970316	0.02	9.48	0.35
19970317	0.11	11.47	0.35
19970318	0.88	9.83	0.35
19970319	0.05	6.61	0.33
19970320	0.02	8.62	0.3
19970321	0.02	5.32	0.29
19970322	1.21	7.86	0.28
19970323	0.03	7.86	0.28
