date	precipitation	temperature	discharge_spec
19860101	7.27	0.86	2.67
19860102	9.62	-2.44	3.9
19860103	0.03	-4.28	2.25
19860104	0.63	-2.2	1.41
19860105	0.71	-3.3	1.17
19860106	0.0	-4.62	0.9
19860107	0.01	-2.45	0.77
19860108	0.54	0.32	0.77
19860109	17.54	4.09	10.08
19860110	23.0	1.9	21.39
19860111	25.41	1.56	12.97
19860112	23.82	3.0	19.85
19860113	44.64	2.53	35.55
19860114	21.16	1.21	30.59
19860115	2.81	-1.66	8.65
19860116	6.16	-0.85	4.0
19860117	15.6	1.5	7.17
19860118	8.06	0.34	10.84
19860119	18.78	0.36	5.09
19860120	33.32	2.35	29.23
19860121	8.24	-0.11	9.58
19860122	20.01	-0.38	5.95
19860123	19.59	-1.95	5.56
19860124	2.09	-3.87	3.07
19860125	0.05	-2.47	1.97
19860126	5.06	2.28	2.83
19860127	0.7	-1.23	4.92
19860128	3.44	-3.69	2.59
19860129	4.34	-2.8	1.65
19860130	0.94	-0.85	1.7
19860131	0.23	-1.29	1.47
19860201	0.8	-0.91	1.28
19860202	1.69	-0.81	1.14
19860203	1.22	-1.05	1.06
19860204	2.2	-2.23	0.95
19860205	3.74	-2.36	0.91
19860206	0.25	-5.57	1.04
19860207	0.0	-4.86	0.86
19860208	0.0	-3.49	0.73
19860209	0.07	-2.27	0.68
19860210	0.01	-0.86	0.64
19860211	0.0	-2.32	0.67
19860212	0.0	-2.36	0.73
19860213	0.02	-3.5	0.72
19860214	0.04	-2.14	0.59
19860215	0.01	-1.64	0.48
19860216	0.02	-1.6	0.47
19860217	0.01	-3.84	0.47
19860218	0.01	-2.1	0.46
19860219	0.08	-2.23	0.44
19860220	0.32	-3.27	0.43
19860221	0.09	-5.37	0.46
19860222	0.05	-5.16	0.51
19860223	0.01	-3.48	0.44
19860224	0.1	-2.29	0.42
19860225	0.0	-5.52	0.4
19860226	0.0	-7.24	0.45
19860227	0.0	-6.78	0.39
19860228	0.0	-6.4	0.35
19860301	0.0	-4.94	0.33
19860302	0.0	-1.01	0.34
19860303	15.08	3.27	1.19
19860304	23.01	3.45	34.03
19860305	21.64	0.9	17.01
19860306	6.43	1.88	7.13
19860307	2.88	3.92	6.41
19860308	5.81	4.13	8.38
19860309	3.82	4.28	9.38
19860310	0.75	3.92	7.83
19860311	1.0	5.26	5.18
19860312	0.02	4.99	6.73
19860313	5.18	4.9	3.57
19860314	3.61	7.46	8.18
19860315	4.63	7.07	9.28
19860316	5.63	3.17	6.75
19860317	1.81	2.72	3.48
19860318	1.49	0.58	2.4
19860319	3.17	3.57	1.77
19860320	36.33	0.85	4.91
19860321	29.56	4.02	18.4
19860322	35.09	2.51	57.44
19860323	7.54	-1.14	8.36
19860324	18.4	0.03	4.7
19860325	7.4	1.03	5.59
19860326	11.35	2.13	4.26
19860327	11.55	1.48	8.54
19860328	3.21	2.01	5.81
19860329	1.95	2.18	4.74
19860330	0.03	-0.59	3.21
19860331	0.62	-0.53	2.25
19860401	4.05	1.98	2.2
19860402	2.76	0.96	2.23
19860403	1.14	1.53	1.95
19860404	2.07	0.83	1.84
19860405	0.09	1.4	1.54
19860406	0.41	-0.34	1.26
19860407	0.24	-0.22	1.08
19860408	0.0	1.34	1.0
19860409	0.19	1.65	1.14
19860410	0.21	-0.21	1.04
19860411	8.38	2.0	1.73
19860412	1.76	2.16	2.63
19860413	4.8	1.52	2.01
19860414	1.67	0.32	1.61
19860415	5.37	0.38	1.42
19860416	4.11	-1.41	1.4
19860417	0.19	-1.38	1.53
19860418	0.91	1.48	1.62
19860419	5.7	3.85	2.15
19860420	1.57	2.47	6.05
19860421	0.24	3.64	3.98
19860422	6.27	2.02	2.72
19860423	4.57	2.73	3.64
19860424	2.2	4.75	3.99
19860425	2.96	4.88	2.97
19860426	0.73	4.32	3.1
19860427	0.56	6.2	3.44
19860428	3.55	4.24	3.68
19860429	3.57	3.81	2.9
19860430	6.57	8.4	11.26
