date	precipitation	temperature	discharge_spec
19701001	0.0	15.14	0.09
19701002	1.23	11.66	0.09
19701003	0.28	12.19	0.09
19701004	0.04	15.9	0.12
19701005	6.48	12.56	0.15
19701006	7.77	9.74	0.13
19701007	4.98	9.02	0.11
19701008	0.01	9.95	0.11
19701009	0.14	12.58	0.11
19701010	0.13	13.92	0.11
19701011	0.06	16.28	0.11
19701012	0.0	15.17	0.11
19701013	0.01	15.55	0.11
19701014	0.02	12.81	0.11
19701015	0.0	9.09	0.11
19701016	0.0	10.04	0.11
19701017	0.0	10.84	0.09
19701018	0.34	13.15	0.08
19701019	0.24	8.07	0.08
19701020	0.0	6.29	0.08
19701021	0.0	5.46	0.08
19701022	0.0	7.71	0.08
19701023	0.0	10.06	0.08
19701024	0.0	12.31	0.07
19701025	1.9	12.04	0.07
19701026	0.13	8.69	0.07
19701027	1.37	10.27	0.08
19701028	0.03	12.83	0.08
19701029	0.09	13.24	0.08
19701030	0.74	14.08	0.08
19701031	1.67	12.91	0.08
19701101	13.3	12.61	0.07
19701102	13.01	13.24	0.13
19701103	0.03	11.09	0.32
19701104	1.62	10.57	0.14
19701105	0.0	8.65	0.12
19701106	16.95	8.72	0.14
19701107	1.38	5.29	0.96
19701108	0.03	8.34	0.38
19701109	0.0	8.72	0.2
19701110	2.32	10.5	0.11
19701111	8.26	10.05	0.11
19701112	0.56	5.38	0.82
19701113	19.27	8.03	0.79
19701114	17.91	4.37	7.31
19701115	0.05	2.93	3.63
19701116	12.47	6.67	3.87
19701117	7.42	8.7	3.43
19701118	24.77	10.58	11.86
19701119	3.36	6.93	6.36
19701120	9.48	8.02	5.55
19701121	6.86	6.17	2.95
19701122	14.12	6.7	3.19
19701123	2.65	10.68	9.33
19701124	0.0	11.51	2.82
19701125	0.0	9.89	1.47
19701126	0.02	9.78	1.03
19701127	0.03	9.67	0.89
19701128	15.35	11.34	1.14
19701129	15.72	10.12	10.4
19701130	0.65	8.16	7.13
19701201	0.05	6.45	2.65
19701202	2.77	8.85	1.7
19701203	9.13	10.24	1.56
19701204	2.8	8.94	4.72
19701205	1.16	9.07	2.36
19701206	3.21	5.66	2.18
19701207	0.04	4.8	1.86
19701208	0.0	3.72	1.22
19701209	0.01	4.27	1.11
19701210	0.0	5.75	1.07
19701211	0.2	6.96	1.05
19701212	3.96	6.48	1.03
19701213	0.04	4.86	1.05
19701214	0.0	2.94	0.87
19701215	0.01	5.0	0.72
19701216	0.01	5.19	0.72
19701217	1.88	7.0	0.72
19701218	0.34	10.0	0.72
19701219	0.01	5.43	0.69
19701220	0.26	3.55	0.61
19701221	0.0	1.64	0.53
19701222	0.02	2.03	0.38
19701223	3.17	0.66	0.46
19701224	1.05	-1.9	0.55
19701225	1.55	-1.01	0.53
19701226	2.19	-2.17	0.52
19701227	0.08	-1.33	0.52
19701228	4.04	0.47	0.53
19701229	3.05	-0.45	0.89
19701230	1.32	-0.99	1.17
19701231	0.04	-0.66	1.13
19710101	0.0	-1.37	0.86
19710102	0.0	-1.76	0.67
19710103	0.0	-1.48	0.51
19710104	0.1	-1.68	0.48
19710105	0.03	0.19	1.57
19710106	4.52	4.76	5.33
19710107	10.22	9.32	4.41
19710108	0.67	8.65	2.12
19710109	0.07	7.65	1.45
19710110	0.0	4.17	1.15
19710111	0.0	3.94	0.92
19710112	0.02	6.19	0.9
19710113	0.01	4.15	0.76
19710114	1.49	4.43	0.75
19710115	0.73	5.34	0.73
19710116	5.98	5.84	1.12
19710117	0.03	7.38	1.55
19710118	7.05	6.95	2.29
19710119	6.96	6.59	3.9
19710120	12.41	6.75	5.43
19710121	4.21	7.29	7.91
19710122	14.47	7.18	3.75
19710123	14.42	7.75	21.53
19710124	6.47	7.75	5.16
19710125	9.27	7.42	7.48
19710126	6.56	7.36	6.84
19710127	1.65	7.46	5.11
19710128	0.78	6.56	2.9
19710129	5.29	6.01	2.08
19710130	2.8	4.58	4.21
19710131	0.14	3.53	2.58
19710201	0.07	1.99	1.67
19710202	0.07	3.35	1.38
19710203	0.01	6.58	1.27
19710204	0.0	7.39	1.11
19710205	0.0	5.78	0.91
19710206	1.07	4.16	0.82
19710207	0.0	4.82	0.75
19710208	0.0	5.02	0.71
19710209	0.0	4.5	0.65
19710210	0.0	4.5	0.57
19710211	0.0	5.75	0.54
19710212	5.65	6.83	0.58
19710213	0.5	5.79	1.0
19710214	6.12	5.34	0.69
19710215	1.28	2.08	1.64
19710216	4.19	2.15	1.58
19710217	5.23	4.95	2.04
19710218	0.16	5.05	2.2
19710219	0.7	7.01	1.38
19710220	2.32	7.56	1.1
19710221	0.36	5.49	0.93
19710222	0.01	4.34	0.7
19710223	0.0	4.8	0.63
19710224	0.0	6.42	0.67
19710225	0.0	4.87	0.61
19710226	0.0	4.53	0.44
19710227	0.01	2.33	0.47
19710228	0.03	0.84	0.4
19710301	7.6	3.17	0.36
19710302	0.16	4.25	0.95
19710303	0.3	1.08	0.61
19710304	0.18	-1.22	0.51
19710305	0.4	-0.4	0.54
19710306	0.26	-2.98	0.48
19710307	0.02	0.3	0.44
19710308	0.06	3.57	0.4
19710309	0.02	5.66	0.35
19710310	0.0	5.57	0.39
19710311	0.0	6.31	0.36
19710312	0.01	7.95	0.35
19710313	0.0	5.91	0.36
19710314	6.9	6.18	0.37
19710315	5.01	4.24	1.17
19710316	0.08	6.69	0.99
19710317	21.35	8.36	5.16
19710318	13.75	7.8	11.52
19710319	10.16	6.89	8.18
19710320	0.11	7.67	3.94
19710321	0.01	6.83	2.06
19710322	0.0	4.37	1.35
19710323	0.47	7.56	0.98
19710324	1.26	9.18	0.82
19710325	0.11	7.07	0.73
19710326	0.01	7.09	0.62
19710327	0.0	5.97	0.51
19710328	0.1	7.84	0.49
19710329	0.0	6.13	0.48
19710330	0.0	7.55	0.45
19710331	0.0	7.03	0.43
19710401	0.0	6.74	0.37
19710402	0.0	8.48	0.31
