date	precipitation	temperature	discharge_spec
20001003	0.53	13.77	0.56
20001004	0.16	12.37	0.4
20001005	0.19	9.19	0.32
20001006	2.31	10.87	0.27
20001007	12.34	10.99	1.58
20001008	0.03	9.16	2.16
20001009	33.39	8.65	13.7
20001010	20.93	9.64	9.72
20001011	68.36	10.03	24.41
20001012	15.75	9.47	37.9
20001013	0.09	10.66	3.47
20001014	0.65	9.26	1.84
20001015	3.39	11.45	1.37
20001016	15.91	8.16	10.3
20001017	6.26	11.65	2.63
20001018	3.66	10.95	3.36
20001019	0.01	10.36	2.05
20001020	18.05	12.61	6.23
20001021	0.29	10.72	5.03
20001022	0.12	12.43	2.02
20001023	1.22	12.2	1.54
20001024	1.65	12.16	1.21
20001025	0.02	10.46	1.13
20001026	1.57	11.09	0.92
20001027	9.09	13.08	1.51
20001028	18.56	10.8	6.87
20001029	47.79	10.08	20.15
20001030	14.58	9.0	26.55
20001031	7.73	10.07	9.19
20001101	5.61	8.2	4.73
20001102	25.72	8.16	16.94
20001103	0.94	5.72	8.14
20001104	3.35	6.87	2.89
20001105	42.93	9.1	24.84
20001106	10.06	8.3	20.02
20001107	0.68	7.64	4.97
20001108	0.0	6.67	2.57
20001109	0.0	5.69	1.84
20001110	8.56	8.1	1.87
20001111	16.41	9.68	3.64
20001112	2.63	5.9	9.83
20001113	1.75	5.94	2.76
20001114	3.95	3.9	2.74
20001115	10.31	5.81	2.57
20001116	1.44	5.28	5.78
20001117	0.01	5.39	2.42
20001118	6.29	8.77	2.78
20001119	0.94	5.72	2.93
20001120	4.14	3.54	2.55
20001121	16.27	5.76	6.38
20001122	10.08	7.6	10.36
20001123	2.83	5.05	7.52
20001124	2.96	6.76	3.28
20001125	9.62	8.75	6.59
20001126	0.01	7.24	3.38
20001127	10.39	10.51	4.71
20001128	0.65	11.88	4.3
20001129	6.33	9.49	4.39
20001130	18.54	10.14	3.88
20001201	6.35	10.91	17.32
20001202	0.04	7.72	3.83
20001203	7.7	8.05	2.42
20001204	1.65	11.29	4.67
20001205	1.88	11.26	2.7
20001206	1.91	9.73	2.33
20001207	16.5	11.13	9.04
20001208	11.98	9.53	6.77
20001209	9.99	9.55	8.46
20001210	5.49	10.54	9.4
20001211	16.49	11.86	7.58
20001212	27.77	10.28	19.83
20001213	1.52	8.54	11.88
20001214	0.13	5.71	3.58
20001215	0.01	2.51	2.36
20001216	0.01	1.71	1.91
20001217	0.51	3.97	1.69
20001218	3.66	6.63	1.89
20001219	0.1	8.33	1.77
20001220	0.0	6.92	1.56
20001221	0.01	4.35	1.37
20001222	0.0	3.99	1.27
20001223	0.09	4.03	1.21
20001224	3.37	4.36	1.29
20001225	0.08	2.07	1.28
20001226	0.03	1.61	1.12
20001227	3.21	-0.85	1.0
20001228	0.0	-1.1	1.0
