date	precipitation	temperature	discharge_spec
19701001	0.38	13.31	0.47
19701002	0.19	10.89	0.44
19701003	0.16	10.97	0.44
19701004	0.53	14.03	0.44
19701005	9.05	9.47	0.48
19701006	3.29	7.15	0.47
19701007	0.32	6.05	0.44
19701008	0.8	7.19	0.44
19701009	0.35	8.79	0.44
19701010	1.37	11.18	0.44
19701011	7.04	12.07	0.47
19701012	0.17	11.99	0.44
19701013	0.03	12.43	0.44
19701014	0.0	12.06	0.42
19701015	0.0	9.7	0.42
19701016	0.0	8.19	0.42
19701017	0.0	10.06	0.42
19701018	0.37	10.82	0.42
19701019	4.19	7.33	0.42
19701020	0.75	4.41	0.42
19701021	0.01	4.13	0.42
19701022	0.0	7.95	0.42
19701023	0.0	8.66	0.42
19701024	0.0	10.47	0.42
19701025	2.56	9.65	0.42
19701026	0.84	6.82	0.42
19701027	0.64	10.01	0.42
19701028	0.21	10.36	0.42
19701029	0.43	12.37	0.42
19701030	2.39	12.59	0.42
19701031	1.64	11.27	0.42
19701101	22.75	11.68	0.47
19701102	16.6	11.76	0.59
19701103	0.08	9.58	0.47
19701104	1.99	8.96	0.42
19701105	0.07	7.39	0.42
19701106	18.56	8.08	0.48
19701107	0.43	4.3	0.48
19701108	1.67	6.52	0.44
19701109	0.28	7.84	0.44
19701110	2.69	9.37	0.48
19701111	12.27	8.52	0.5
19701112	0.98	3.99	0.5
19701113	14.62	5.4	0.6
19701114	6.78	2.54	0.65
19701115	2.51	1.82	0.65
19701116	15.41	5.49	0.89
19701117	22.28	7.58	1.23
19701118	34.91	8.18	2.11
19701119	6.2	5.3	2.27
19701120	1.67	5.91	2.49
19701121	2.14	3.89	2.39
19701122	28.42	7.29	2.72
19701123	0.58	10.81	2.63
19701124	0.0	10.8	2.62
19701125	0.01	10.2	2.53
19701126	0.01	10.33	2.39
19701127	15.66	10.16	2.27
19701128	10.8	10.01	2.37
19701129	5.36	7.95	2.13
19701130	0.16	6.34	2.01
19701201	0.01	5.04	1.96
19701202	1.99	8.4	1.91
19701203	5.45	9.05	1.8
19701204	1.02	7.18	1.7
19701205	0.21	7.28	1.54
19701206	2.2	6.15	1.43
19701207	0.01	4.21	1.38
19701208	0.0	2.47	1.31
19701209	0.0	2.36	1.15
19701210	0.0	5.3	1.09
19701211	0.14	6.96	1.07
19701212	3.46	5.27	1.05
19701213	0.01	2.03	1.03
19701214	0.02	1.87	1.01
19701215	0.0	6.28	0.99
19701216	1.87	6.67	0.97
19701217	1.04	7.63	0.95
19701218	0.38	8.7	0.93
19701219	0.14	5.65	1.0
19701220	0.29	2.94	1.0
19701221	0.01	0.16	1.0
19701222	0.0	0.41	1.0
19701223	3.19	0.82	1.0
19701224	0.11	-2.13	1.0
19701225	0.38	-2.6	1.0
19701226	2.39	-3.15	1.0
19701227	0.03	-3.6	1.0
19701228	5.0	-1.1	0.93
19701229	9.64	-0.88	0.86
19701230	0.29	-2.15	0.87
19701231	0.01	-2.32	0.85
19710101	0.01	-0.86	0.85
19710102	0.01	-0.73	0.85
19710103	0.0	-3.79	0.81
19710104	0.0	-3.06	0.81
19710105	0.5	1.97	0.81
19710106	12.13	6.51	0.85
19710107	25.95	8.96	1.33
19710108	0.88	8.93	1.46
19710109	0.29	7.54	1.61
19710110	0.04	6.15	1.76
19710111	0.05	4.35	1.76
19710112	0.91	7.27	1.58
19710113	0.07	4.82	1.4
19710114	1.88	3.47	1.41
19710115	0.78	2.93	1.51
19710116	11.51	4.86	1.51
19710117	1.13	6.3	1.35
19710118	9.77	6.16	1.33
19710119	9.8	4.8	1.62
19710120	28.28	5.26	2.33
19710121	23.92	5.77	2.74
19710122	17.18	6.66	3.81
19710123	17.9	6.41	3.81
19710124	13.09	6.06	4.19
19710125	20.85	6.1	4.3
19710126	7.49	6.69	4.01
19710127	4.05	5.52	4.23
19710128	1.66	3.98	4.16
19710129	5.32	3.4	4.16
19710130	10.82	0.82	4.52
19710131	8.51	0.68	4.52
19710201	0.07	-0.71	4.09
19710202	0.02	2.0	3.97
19710203	0.0	4.07	3.83
19710204	0.0	4.56	3.69
19710205	0.0	4.88	3.51
19710206	0.0	3.55	3.36
19710207	0.0	4.17	3.16
19710208	0.0	4.35	3.1
19710209	0.0	3.79	3.0
19710210	0.01	3.76	2.84
19710211	0.0	5.65	2.77
19710212	3.61	5.8	2.7
19710213	0.23	4.24	2.63
19710214	15.99	4.41	2.63
19710215	0.2	0.45	2.49
19710216	0.99	1.84	2.39
19710217	8.0	5.82	2.29
19710218	0.46	4.99	2.22
19710219	1.01	6.95	2.72
19710220	2.23	6.6	2.01
19710221	0.01	4.45	2.15
19710222	0.0	3.02	2.08
19710223	0.0	3.64	2.22
19710224	0.0	2.19	2.22
19710225	0.0	1.72	2.08
19710226	0.0	2.92	1.94
19710227	2.23	2.75	1.94
19710228	0.04	0.82	1.94
19710301	17.57	2.49	3.77
19710302	0.08	4.22	3.67
19710303	0.0	-0.12	3.59
19710304	0.0	-1.96	3.47
19710305	0.04	-1.68	3.33
19710306	0.01	-3.42	3.2
19710307	1.95	-0.78	3.14
19710308	0.22	3.77	3.04
19710309	0.0	4.95	2.87
19710310	0.0	4.31	2.81
19710311	0.0	4.91	2.77
19710312	0.0	6.03	1.76
19710313	0.07	3.59	1.76
19710314	15.75	3.75	1.8
19710315	5.49	3.87	1.78
19710316	0.56	4.48	1.7
19710317	28.41	6.24	1.99
19710318	2.4	6.73	1.89
19710319	3.32	5.25	1.94
19710320	2.03	5.02	1.99
19710321	0.0	4.61	2.03
19710322	0.0	2.22	1.99
19710323	0.04	5.58	1.96
19710324	1.06	7.94	1.96
19710325	1.26	5.4	1.92
19710326	0.01	4.8	1.89
19710327	0.02	7.0	1.86
19710328	0.02	7.56	1.8
19710329	2.8	5.92	1.8
19710330	0.0	6.3	1.78
19710331	0.0	4.65	1.7
19710401	0.01	5.84	1.68
19710402	0.0	6.72	1.66
19710403	0.0	4.68	1.66
19710404	0.0	5.22	1.66
19710405	0.87	5.54	1.5
19710406	0.01	5.68	1.43
19710407	0.0	5.16	1.42
19710408	8.86	5.28	1.43
19710409	1.8	5.19	1.4
19710410	0.0	6.69	1.33
19710411	0.01	6.5	1.35
19710412	0.01	7.6	1.31
19710413	0.0	7.28	1.28
19710414	0.0	6.88	1.28
19710415	0.0	9.27	1.28
19710416	0.19	5.21	1.21
19710417	0.0	5.94	1.21
19710418	0.0	8.39	1.21
19710419	0.0	7.1	1.18
19710420	0.88	11.14	1.18
19710421	0.41	12.51	1.18
19710422	10.41	13.5	1.18
19710423	23.19	8.3	1.3
19710424	0.26	6.88	1.15
19710425	13.01	5.54	1.19
19710426	0.15	1.21	1.13
19710427	0.0	4.63	1.13
19710428	0.0	4.34	1.09
19710429	0.0	7.6	1.09
19710430	0.0	5.25	1.13
19710501	0.0	6.12	1.09
19710502	0.0	6.81	1.05
19710503	0.0	7.09	1.05
19710504	0.0	10.1	1.05
19710505	3.15	12.26	1.05
19710506	4.5	11.26	1.05
19710507	1.41	10.68	1.05
19710508	0.01	10.8	1.01
19710509	0.08	11.58	1.01
19710510	0.04	11.1	1.01
19710511	0.0	14.43	1.01
19710512	0.0	15.91	1.01
19710513	0.0	13.05	0.99
19710514	0.0	13.43	0.97
19710515	3.41	10.55	0.97
19710516	0.36	8.32	0.97
19710517	0.03	6.58	0.93
19710518	0.0	10.02	0.95
19710519	0.0	12.2	0.93
19710520	0.0	11.84	0.93
19710521	0.0	10.36	0.91
19710522	0.25	12.38	0.93
19710523	0.25	9.37	0.91
19710524	3.05	10.9	0.89
19710525	0.32	8.77	0.89
19710526	1.61	8.88	0.91
19710527	1.54	7.48	0.89
19710528	6.15	9.37	0.89
19710529	6.94	10.74	0.95
19710530	0.59	10.94	0.89
19710531	0.0	9.99	0.89
19710601	0.0	13.75	0.85
19710602	1.27	15.5	1.0
19710603	0.03	13.57	0.86
19710604	0.0	12.95	0.85
19710605	0.0	10.59	0.83
19710606	0.54	10.48	0.81
19710607	0.0	11.54	0.81
19710608	2.13	11.78	0.95
19710609	6.68	10.8	0.99
19710610	53.71	7.86	0.87
19710611	4.01	9.38	0.86
19710612	1.15	8.13	0.86
19710613	7.25	11.31	0.86
19710614	8.58	8.27	0.86
19710615	0.03	9.46	0.85
19710616	0.27	9.78	0.97
19710617	0.17	10.25	0.95
19710618	25.16	11.26	1.0
19710619	5.42	13.63	0.93
19710620	0.26	10.41	0.93
19710621	1.14	11.44	0.93
19710622	0.0	12.15	0.93
19710623	0.0	13.43	0.95
19710624	0.0	13.43	0.99
19710625	8.37	12.25	0.89
19710626	0.43	11.67	0.89
19710627	12.91	10.65	0.89
19710628	0.03	11.66	0.91
19710629	0.25	13.3	0.89
19710630	0.03	16.51	0.85
19710701	0.0	16.97	0.93
19710702	0.0	17.62	0.89
19710703	0.0	17.08	0.82
19710704	0.36	16.15	0.85
19710705	0.0	16.59	0.89
19710706	0.0	17.71	0.85
19710707	0.0	18.46	0.85
19710708	0.0	19.86	0.83
19710709	0.2	21.15	0.85
19710710	0.0	18.73	0.83
19710711	0.0	19.79	0.81
19710712	0.0	15.09	0.83
19710713	0.0	13.84	0.81
19710714	0.0	16.12	0.81
19710715	0.0	16.64	0.81
19710716	0.0	13.04	0.87
19710717	0.0	12.71	0.83
19710718	0.0	12.64	0.81
19710719	0.0	14.52	0.83
19710720	0.09	15.49	0.83
19710721	0.11	13.78	0.81
19710722	0.55	14.94	0.85
19710723	5.61	15.79	0.83
19710724	1.5	15.26	0.81
19710725	3.64	15.66	0.81
19710726	1.57	15.7	0.79
19710727	1.27	14.53	0.79
19710728	0.07	14.58	0.77
19710729	0.01	14.88	0.77
19710730	6.7	17.73	0.79
