date	precipitation	temperature	discharge_spec
19960930	1.26	9.02	0.92
19961001	2.3	9.91	0.69
19961002	0.04	11.97	0.67
19961003	6.23	10.34	0.7
19961004	5.74	9.71	0.77
19961005	0.16	9.69	0.73
19961006	0.17	11.77	0.67
19961007	0.57	12.32	0.67
19961008	4.74	9.2	0.7
19961009	0.47	9.78	0.68
19961010	0.01	9.55	0.63
19961011	0.01	11.33	0.63
19961012	0.01	12.69	0.61
19961013	0.77	13.32	0.61
19961014	14.65	10.13	0.78
19961015	5.86	7.95	0.8
19961016	2.39	7.28	0.93
19961017	8.34	9.41	0.81
19961018	8.19	10.73	1.22
19961019	9.9	11.63	1.44
19961020	14.72	11.64	3.06
19961021	1.25	11.61	3.11
19961022	0.49	12.66	2.85
19961023	1.99	13.56	2.4
19961024	3.04	13.19	2.21
19961025	12.71	9.79	2.22
19961026	31.33	11.05	3.0
19961027	7.66	12.08	9.18
19961028	21.11	9.87	9.76
19961029	0.04	8.04	8.71
19961030	7.22	9.51	6.84
19961031	5.29	11.4	5.96
19961101	2.64	12.4	4.64
19961102	16.37	13.18	5.25
19961103	31.2	11.12	7.54
19961104	3.95	8.88	12.39
19961105	17.17	10.04	10.23
19961106	16.22	8.56	10.64
19961107	1.77	5.29	9.29
19961108	7.48	6.82	8.07
19961109	4.79	4.64	6.49
19961110	0.05	3.59	5.27
19961111	1.37	3.49	4.5
19961112	0.09	2.76	3.81
19961113	0.01	5.08	3.2
19961114	0.66	6.85	2.74
19961115	0.02	4.56	2.38
19961116	6.67	5.89	2.23
19961117	0.05	3.07	2.05
19961118	22.44	2.76	2.46
19961119	16.35	3.48	3.63
19961120	1.35	2.06	4.21
19961121	1.76	1.78	4.48
19961122	5.42	1.97	4.3
19961123	0.53	2.09	3.64
19961124	30.37	5.55	7.01
19961125	6.0	3.98	7.95
19961126	5.74	2.39	7.19
19961127	3.19	1.15	6.2
19961128	24.42	5.44	5.72
19961129	9.87	7.63	10.64
19961130	1.12	7.48	8.88
19961201	3.77	7.48	6.78
19961202	20.48	7.26	5.9
19961203	4.21	5.13	7.19
19961204	6.62	3.16	6.55
19961205	0.12	2.46	5.72
19961206	0.04	0.79	5.0
19961207	0.09	1.8	4.28
19961208	0.1	3.72	3.61
19961209	0.11	2.9	3.04
19961210	0.04	0.5	2.65
19961211	0.0	0.32	2.3
19961212	0.38	1.08	2.05
19961213	0.17	-0.64	1.83
19961214	1.33	1.74	1.64
19961215	1.43	5.69	1.54
19961216	0.95	3.07	1.41
19961217	2.07	7.43	1.36
19961218	7.99	6.68	1.5
19961219	0.27	4.32	1.33
19961220	3.25	2.57	1.29
19961221	0.04	-0.53	1.23
19961222	0.0	0.15	1.18
19961223	0.0	-0.74	1.15
19961224	0.0	-2.04	1.12
19961225	0.0	-1.1	1.11
19961226	0.0	-0.83	1.08
19961227	0.0	1.48	1.11
