date	precipitation	temperature	discharge_spec
20130609	0.0	11.62	0.44
20130610	4.08	12.15	0.45
20130611	2.21	14.18	0.48
20130612	3.23	13.29	0.49
20130613	0.78	11.84	0.53
20130614	3.69	12.31	0.49
20130615	1.63	12.1	0.52
20130616	4.68	11.49	0.51
20130617	4.38	15.72	0.52
20130618	0.02	15.16	0.54
20130619	1.74	17.53	0.45
20130620	1.04	13.66	0.45
20130621	2.4	13.43	0.46
20130622	5.35	12.61	0.49
20130623	0.73	10.64	0.81
20130624	0.0	9.97	0.53
20130625	0.0	12.57	0.42
20130626	0.0	13.96	0.39
20130627	0.99	14.9	0.38
20130628	0.28	14.7	0.38
20130629	0.0	14.47	0.37
20130630	0.06	13.99	0.35
20130701	0.03	13.0	0.33
20130702	1.14	13.17	0.34
20130703	0.1	14.73	0.35
20130704	0.15	14.33	0.33
20130705	0.0	14.38	0.31
20130706	0.0	15.88	0.29
20130707	0.0	20.02	0.28
20130708	0.0	19.98	0.27
20130709	0.0	19.25	0.25
20130710	0.0	17.85	0.24
20130711	0.0	16.0	0.24
20130712	0.0	18.4	0.24
20130713	0.0	21.02	0.23
20130714	0.0	20.79	0.22
20130715	0.0	18.54	0.22
20130716	0.0	17.5	0.21
20130717	0.0	19.52	0.21
20130718	0.0	20.19	0.2
20130719	0.0	20.33	0.19
20130720	0.0	19.45	0.19
20130721	0.04	19.97	0.19
20130722	0.02	20.58	0.19
20130723	0.31	19.04	0.19
20130724	13.73	18.57	0.24
20130725	0.02	16.72	0.31
20130726	0.0	16.56	0.22
20130727	2.5	16.14	0.22
20130728	8.74	16.5	0.25
20130729	6.69	16.56	0.33
20130730	0.88	17.35	0.34
20130731	0.71	17.39	0.28
20130801	1.52	20.36	0.27
20130802	6.17	16.75	0.25
20130803	2.46	17.05	0.27
20130804	18.06	16.42	0.33
20130805	11.89	14.38	1.95
20130806	0.06	14.53	0.67
20130807	0.02	15.76	0.39
20130808	1.14	18.06	0.31
20130809	0.0	14.48	0.27
20130810	0.65	16.44	0.26
20130811	0.04	15.31	0.25
20130812	0.0	13.05	0.23
20130813	1.08	13.95	0.23
20130814	3.2	17.08	0.25
20130815	2.58	18.66	0.25
20130816	0.06	15.98	0.25
20130817	7.7	15.15	0.28
20130818	0.44	14.86	0.39
20130819	0.02	14.31	0.28
20130820	0.01	15.36	0.24
20130821	0.01	17.26	0.22
20130822	0.0	17.58	0.2
20130823	1.26	17.19	0.21
20130824	1.55	13.67	0.21
20130825	0.04	16.12	0.2
20130826	0.0	16.89	0.2
20130827	0.14	16.42	0.19
20130828	0.0	15.83	0.19
20130829	0.13	16.22	0.18
20130830	0.12	15.41	0.18
20130831	0.0	11.6	0.17
20130901	0.0	14.73	0.17
20130902	0.0	15.95	0.17
20130903	0.02	16.41	0.16
20130904	0.0	15.92	0.16
20130905	0.01	14.83	0.16
20130906	3.3	11.59	0.16
20130907	3.65	10.96	0.2
20130908	2.39	12.49	0.2
20130909	0.02	13.54	0.19
20130910	0.03	13.68	0.17
20130911	2.92	13.92	0.17
20130912	1.0	16.83	0.18
20130913	9.72	12.67	0.21
20130914	0.01	10.28	0.27
20130915	6.46	11.24	0.22
20130916	4.46	10.05	0.37
20130917	10.4	13.14	0.67
20130918	0.38	10.99	0.71
20130919	1.16	12.37	0.39
20130920	0.11	12.74	0.36
20130921	0.14	17.16	0.28
20130922	0.52	16.45	0.27
20130923	0.08	14.87	0.26
20130924	0.03	15.62	0.25
20130925	5.32	16.09	0.26
20130926	0.14	14.38	0.27
20130927	9.92	14.49	0.25
20130928	15.2	14.02	0.6
20130929	0.52	13.65	0.76
20130930	2.36	14.47	0.4
20131001	16.94	15.24	0.61
20131002	15.34	16.12	1.6
20131003	29.58	16.13	3.79
20131004	2.92	14.41	2.33
20131005	0.02	11.61	1.06
20131006	0.03	14.32	0.7
20131007	0.21	14.52	0.6
20131008	0.51	14.14	0.55
20131009	0.35	9.34	0.51
20131010	0.01	7.59	0.47
20131011	0.03	11.56	0.43
20131012	6.79	9.16	0.44
20131013	7.48	10.22	0.59
20131014	0.15	8.46	0.67
20131015	13.12	10.23	0.53
20131016	1.18	13.6	1.1
20131017	1.43	14.62	0.69
20131018	12.51	13.72	0.8
20131019	9.17	13.79	1.7
20131020	20.36	12.91	1.62
20131021	28.22	14.5	8.82
20131022	12.9	13.5	6.4
20131023	0.3	10.37	4.39
20131024	28.57	13.23	5.69
20131025	6.31	13.98	6.99
20131026	10.93	11.55	5.17
20131027	38.18	11.69	10.49
20131028	7.0	8.71	13.06
20131029	1.69	7.6	6.44
20131030	3.58	10.46	4.87
20131031	2.24	10.85	4.09
20131101	2.27	10.82	3.58
20131102	9.91	8.94	3.43
20131103	18.66	8.29	6.81
20131104	6.24	7.77	5.06
20131105	4.77	10.84	4.65
20131106	6.79	10.24	5.43
20131107	6.02	7.33	4.13
20131108	6.45	5.99	4.61
20131109	8.59	6.85	4.65
20131110	14.36	9.42	4.87
20131111	1.16	11.01	5.8
20131112	0.03	6.12	4.09
20131113	4.75	6.55	3.61
20131114	2.49	6.41	3.64
20131115	0.02	5.19	3.03
20131116	0.04	6.16	2.72
20131117	0.03	6.61	2.51
20131118	1.93	5.03	2.27
20131119	2.88	3.5	2.25
20131120	6.07	5.8	2.76
20131121	0.04	3.91	2.24
20131122	0.02	2.81	1.9
20131123	0.02	2.57	1.79
20131124	0.04	3.89	1.65
20131125	0.0	1.57	1.48
20131126	0.02	3.87	1.4
20131127	0.07	7.69	1.35
20131128	0.06	7.56	1.22
20131129	0.24	6.07	1.15
20131130	0.01	3.7	1.09
20131201	0.0	5.14	1.03
20131202	0.0	6.1	0.99
20131203	0.21	5.84	0.96
20131204	0.15	3.63	0.93
20131205	1.04	6.11	0.99
20131206	0.6	6.52	0.86
20131207	0.78	6.33	0.85
20131208	0.12	6.95	0.86
20131209	0.05	6.73	0.81
20131210	0.04	6.82	0.76
20131211	0.05	7.42	0.74
20131212	4.69	10.7	0.75
20131213	2.93	7.96	1.04
20131214	10.97	8.17	1.52
20131215	20.73	10.91	4.98
20131216	6.88	7.17	3.83
20131217	4.54	5.67	2.51
20131218	37.58	6.28	15.36
20131219	4.19	4.21	7.55
20131220	19.34	7.84	6.06
20131221	7.02	7.78	9.45
20131222	8.47	6.29	5.58
20131223	64.89	7.62	34.26
20131224	2.99	3.93	14.62
20131225	10.79	3.11	9.26
20131226	13.26	7.09	10.71
20131227	0.94	5.37	8.18
20131228	0.6	3.46	5.24
20131229	38.83	5.88	6.1
20131230	5.63	6.93	17.63
20131231	19.69	6.8	8.41
20140101	30.1	7.83	24.96
20140102	15.97	7.27	12.8
20140103	16.82	5.37	14.84
20140104	0.99	3.38	12.46
20140105	20.67	8.26	12.94
20140106	19.74	7.72	11.87
20140107	1.28	7.96	12.13
20140108	13.34	8.29	9.41
20140109	0.56	4.93	7.7
20140110	1.54	5.43	5.91
20140111	0.2	4.26	5.02
20140112	11.32	6.12	5.73
20140113	6.68	3.61	5.73
20140114	4.44	5.1	4.61
20140115	10.85	7.17	5.43
20140116	9.42	6.41	6.47
20140117	10.91	6.96	5.21
20140118	9.92	3.91	9.0
20140119	0.47	3.89	5.21
20140120	0.2	3.38	4.2
20140121	8.41	5.31	4.61
20140122	1.16	5.9	3.94
20140123	9.18	6.23	3.41
20140124	4.05	8.59	4.5
20140125	6.99	6.84	3.58
20140126	16.47	5.67	6.32
20140127	9.81	5.16	5.99
20140128	4.7	4.94	5.69
20140129	1.95	4.32	4.54
20140130	0.4	2.52	3.83
20140131	22.08	5.07	6.66
20140201	5.42	3.98	5.88
20140202	0.67	6.22	4.58
20140203	16.82	3.82	6.32
20140204	41.96	5.04	12.68
20140205	12.99	6.37	19.27
20140206	15.78	5.16	11.46
20140207	20.48	6.03	13.5
20140208	19.83	4.57	12.31
20140209	3.05	3.52	11.23
20140210	16.32	4.42	8.15
20140211	10.21	4.09	11.16
20140212	22.89	4.64	17.15
20140213	11.31	3.53	9.11
20140214	36.25	7.03	24.66
20140215	3.12	4.5	12.87
20140216	7.33	5.73	8.85
20140217	18.64	6.3	12.35
20140218	0.64	7.06	8.67
20140219	4.79	8.37	7.1
20140220	2.79	5.99	6.96
20140221	3.0	5.05	5.69
20140222	3.11	7.48	4.98
20140223	0.52	8.24	4.58
20140224	13.54	7.09	4.98
20140225	3.38	6.01	5.02
20140226	8.9	7.2	4.24
20140227	13.45	5.59	5.65
20140228	0.54	3.48	5.8
20140301	1.94	6.06	4.35
20140302	16.84	5.19	6.55
20140303	4.08	4.06	5.84
20140304	0.3	4.26	4.39
20140305	0.49	7.43	3.83
20140306	2.34	8.72	3.6
20140307	0.17	8.17	3.33
20140308	0.03	8.98	2.97
20140309	0.02	9.78	2.63
20140310	0.0	7.89	2.3
20140311	0.0	5.11	2.08
20140312	0.01	7.88	2.02
20140313	0.02	8.16	1.9
20140314	0.0	7.0	1.76
20140315	0.0	10.02	1.65
20140316	0.02	9.43	1.54
20140317	0.33	8.6	1.51
20140318	0.44	8.11	1.51
20140319	0.01	8.96	1.38
20140320	6.91	6.82	1.47
20140321	8.58	5.57	1.57
20140322	5.45	5.5	1.71
20140323	0.14	3.53	1.55
20140324	9.65	4.57	1.7
20140325	0.81	7.36	1.73
20140326	3.08	5.4	1.31
20140327	12.54	3.94	1.53
20140328	12.29	5.88	3.71
20140329	0.29	9.83	2.48
20140330	0.03	11.19	1.93
20140331	1.03	7.75	1.73
20140401	5.39	11.24	1.61
20140402	4.31	10.44	1.82
20140403	6.38	9.0	2.42
20140404	0.89	10.71	1.96
20140405	4.9	11.88	1.86
20140406	20.94	11.36	3.19
20140407	3.32	8.37	7.33
20140408	0.05	7.58	2.75
20140409	0.04	7.46	2.33
20140410	0.0	7.84	2.12
20140411	0.0	8.29	2.0
20140412	0.19	7.44	1.84
20140413	0.0	8.05	1.67
20140414	0.0	8.79	1.68
20140415	0.0	8.79	1.47
20140416	0.0	7.17	1.41
