date	precipitation	temperature	discharge_spec
19760519	22.62	6.61	2.48
19760520	0.24	7.89	2.02
19760521	1.73	9.84	1.02
19760522	0.0	10.35	0.96
19760523	0.0	14.21	0.88
19760524	0.77	12.49	0.83
19760525	0.0	9.6	0.81
19760526	0.0	8.96	0.79
19760527	0.0	9.7	0.78
19760528	0.87	11.75	0.77
19760529	0.0	10.83	0.76
19760530	1.26	11.21	0.77
19760531	1.27	10.92	0.78
19760601	0.0	10.49	0.75
19760602	0.0	11.13	0.72
19760603	0.0	11.14	0.71
19760604	0.0	13.14	0.7
19760605	0.34	12.73	0.69
19760606	0.0	14.18	0.7
19760607	0.0	15.59	0.65
19760608	0.0	16.99	0.62
19760609	1.69	11.64	0.63
19760610	0.06	12.32	0.62
19760611	0.69	14.18	0.61
19760612	0.34	13.24	0.62
19760613	0.02	13.26	0.62
19760614	0.06	14.43	0.62
19760615	0.0	15.13	0.62
19760616	1.36	16.18	0.61
19760617	1.1	11.45	0.65
19760618	3.44	13.63	0.63
19760619	13.63	12.52	0.72
19760620	2.74	13.32	0.82
19760621	0.07	14.82	0.69
19760622	0.0	16.52	0.63
19760623	0.0	16.59	0.61
19760624	0.0	17.42	0.59
19760625	0.0	21.06	0.57
19760626	0.0	21.67	0.55
19760627	0.16	23.57	0.54
19760628	0.0	23.89	0.52
19760629	0.0	21.64	0.51
19760630	0.0	21.39	0.5
19760701	0.0	21.73	0.49
19760702	0.0	20.75	0.5
19760703	0.03	22.67	0.48
19760704	0.1	21.21	0.46
19760705	2.08	21.08	0.52
19760706	0.1	20.67	0.49
19760707	0.13	18.03	0.49
19760708	5.56	18.34	0.48
19760709	1.79	13.9	0.56
19760710	0.0	14.26	0.5
19760711	0.02	17.87	0.47
19760712	0.76	16.13	0.49
19760713	10.64	15.05	0.62
19760714	0.94	15.92	0.54
19760715	13.46	14.42	0.63
19760716	0.01	14.54	0.6
19760717	0.03	13.62	0.53
19760718	2.95	15.47	0.52
19760719	3.81	15.14	0.58
19760720	0.03	12.95	0.54
19760721	0.0	12.21	0.49
19760722	0.0	13.55	0.47
19760723	0.0	13.52	0.47
19760724	0.0	13.56	0.46
19760725	0.0	15.27	0.45
19760726	0.0	17.41	0.44
19760727	0.0	16.11	0.44
19760728	0.0	16.16	0.43
19760729	0.0	15.93	0.42
19760730	0.01	13.36	0.44
19760731	0.0	11.54	0.41
19760801	0.0	14.64	0.4
19760802	0.01	14.83	0.39
19760803	0.01	13.41	0.39
19760804	0.0	14.52	0.38
19760805	0.0	14.67	0.36
19760806	0.0	15.42	0.33
19760807	0.0	16.66	0.33
19760808	0.0	16.14	0.34
19760809	0.0	16.71	0.32
19760810	0.0	17.57	0.32
19760811	0.0	17.37	0.32
19760812	0.0	17.94	0.32
19760813	0.0	18.33	0.32
19760814	0.0	18.37	0.32
19760815	0.0	18.42	0.31
19760816	0.0	18.51	0.31
19760817	0.0	19.39	0.31
19760818	0.0	18.39	0.31
19760819	0.0	17.59	0.31
19760820	0.0	17.87	0.31
19760821	0.0	18.06	0.3
19760822	0.0	18.46	0.3
19760823	0.04	17.25	0.3
19760824	0.0	18.11	0.31
19760825	0.01	20.43	0.31
19760826	0.0	19.86	0.29
19760827	0.0	15.81	0.3
19760828	0.48	14.87	0.3
19760829	29.5	14.89	0.7
19760830	7.06	12.88	0.67
19760831	1.08	13.96	0.45
19760901	0.77	12.38	0.42
19760902	0.0	10.01	0.38
19760903	0.0	11.68	0.36
19760904	0.0	11.9	0.36
19760905	0.0	13.0	0.34
19760906	0.0	13.65	0.33
19760907	0.0	13.95	0.32
19760908	2.36	13.83	0.32
19760909	0.09	9.24	0.31
19760910	26.91	9.23	0.6
19760911	4.35	10.55	0.55
19760912	0.14	10.11	0.46
19760913	8.61	10.59	0.41
19760914	8.86	10.16	0.52
19760915	0.03	8.91	0.47
19760916	0.0	8.92	0.37
19760917	9.43	10.92	0.42
19760918	1.2	12.71	0.38
19760919	0.11	13.93	0.37
19760920	1.94	14.03	0.37
19760921	30.14	12.55	1.1
19760922	0.17	11.32	1.06
19760923	7.6	12.95	0.53
19760924	7.19	13.66	0.85
19760925	6.7	13.01	0.94
19760926	13.89	14.82	0.97
19760927	3.0	13.77	1.08
19760928	8.86	12.94	0.87
19760929	15.97	12.91	1.19
19760930	43.85	12.2	5.84
19761001	12.89	12.69	5.19
19761002	17.67	12.55	1.95
19761003	14.0	10.16	6.48
19761004	3.53	8.59	2.27
19761005	48.12	12.15	13.46
19761006	13.23	12.11	6.41
19761007	2.08	10.2	4.71
19761008	16.82	11.22	5.46
19761009	0.83	10.31	4.1
19761010	5.29	11.76	3.76
19761011	6.69	10.06	3.81
19761012	2.48	7.62	3.9
19761013	22.24	9.58	3.6
19761014	44.64	8.87	16.94
19761015	3.32	7.01	8.75
19761016	5.31	8.67	6.61
19761017	19.31	9.71	8.45
19761018	1.11	9.52	6.8
19761019	6.68	8.51	6.32
19761020	9.25	7.89	5.45
19761021	6.85	9.81	6.55
19761022	16.41	9.72	6.25
19761023	5.18	6.74	6.86
19761024	16.95	7.56	7.97
19761025	0.85	7.9	6.59
19761026	6.03	8.17	5.83
19761027	0.06	6.93	5.56
19761028	1.88	8.41	4.97
19761029	1.61	7.23	4.55
19761030	0.31	5.54	4.2
19761031	14.73	7.73	4.5
19761101	5.41	6.47	5.53
19761102	7.24	3.94	4.81
19761103	0.77	3.93	4.3
19761104	10.6	6.18	4.96
19761105	14.37	8.22	4.43
19761106	3.63	6.65	5.77
19761107	8.33	6.6	5.01
19761108	12.51	5.52	6.45
19761109	2.99	5.32	5.63
19761110	0.31	5.16	5.24
19761111	3.45	6.05	4.86
19761112	0.6	3.24	4.48
19761113	0.03	4.86	4.05
19761114	0.26	7.34	3.77
19761115	6.47	8.2	3.62
19761116	0.82	7.04	3.77
19761117	10.45	7.51	3.58
19761118	0.18	6.69	3.78
19761119	0.01	5.48	3.09
19761120	0.0	4.37	2.94
19761121	0.01	5.36	2.87
19761122	0.01	4.42	2.78
19761123	0.2	4.29	2.69
19761124	0.02	6.66	2.54
19761125	0.74	7.24	2.47
19761126	6.88	6.56	2.75
19761127	22.99	7.68	3.03
19761128	15.87	5.76	6.93
19761129	23.69	5.87	6.74
19761130	14.29	4.28	11.82
19761201	17.58	3.49	9.37
19761202	13.31	2.44	7.78
19761203	0.33	-0.37	6.87
19761204	0.35	0.4	6.04
19761205	19.9	3.74	9.14
19761206	5.89	4.3	7.55
19761207	17.98	4.49	8.83
19761208	1.94	3.47	7.58
19761209	0.05	0.41	6.33
19761210	0.3	0.93	5.73
19761211	0.01	1.28	5.31
19761212	0.01	3.22	4.9
19761213	0.14	3.72	4.49
19761214	0.01	3.32	4.11
19761215	0.26	2.66	3.82
19761216	4.76	3.05	3.68
19761217	17.4	3.52	4.74
19761218	6.27	4.14	4.31
19761219	0.49	2.86	3.7
19761220	4.72	2.53	3.56
19761221	3.45	4.21	3.52
19761222	16.04	7.26	5.24
19761223	0.13	4.44	4.09
19761224	0.0	1.49	3.74
19761225	0.0	-0.85	3.56
19761226	0.0	-0.65	3.46
19761227	1.91	0.6	3.24
19761228	0.04	-2.93	3.05
19761229	3.82	-1.29	2.91
19761230	15.4	4.1	4.77
19761231	12.67	3.21	4.6
19770101	1.49	0.65	4.2
19770102	0.0	-0.82	3.2
19770103	0.0	0.61	3.07
19770104	7.8	4.57	3.28
19770105	4.93	5.83	4.1
19770106	0.08	2.07	3.32
19770107	0.02	2.56	2.95
19770108	4.51	4.05	2.93
19770109	11.7	2.37	4.69
19770110	1.81	-1.29	3.4
19770111	0.28	-2.61	2.97
19770112	14.84	-2.59	2.87
19770113	21.9	2.41	5.92
19770114	4.87	1.15	5.39
19770115	2.43	1.2	5.04
19770116	0.1	1.18	4.47
19770117	17.08	1.01	4.69
19770118	2.25	2.16	4.96
19770119	0.48	3.31	5.49
19770120	12.82	5.61	10.21
19770121	7.07	5.63	6.97
19770122	13.06	5.58	6.93
19770123	0.16	6.12	5.53
19770124	20.57	7.68	6.33
19770125	17.22	6.81	10.66
19770126	11.73	5.95	8.92
19770127	8.22	5.52	10.6
19770128	1.08	2.24	7.5
19770129	0.01	-0.73	6.46
19770130	0.03	0.71	5.94
19770131	7.32	1.84	5.82
19770201	12.46	2.45	5.7
19770202	27.71	7.09	11.54
19770203	2.26	4.61	10.96
19770204	8.16	6.16	8.22
19770205	9.9	6.61	8.03
19770206	14.75	7.5	8.77
19770207	0.83	7.18	7.58
19770208	2.12	7.83	6.82
19770209	53.14	7.32	19.72
19770210	3.01	5.46	14.26
19770211	2.28	4.41	9.94
19770212	3.31	4.57	8.46
19770213	2.5	6.08	7.48
19770214	2.27	3.75	6.85
19770215	17.05	2.85	8.22
19770216	11.79	4.5	7.24
19770217	13.62	5.96	8.9
19770218	18.43	4.01	12.71
19770219	13.44	5.37	9.2
19770220	14.21	6.76	9.51
19770221	24.65	5.69	12.01
19770222	12.24	5.31	14.22
19770223	3.33	5.29	9.86
19770224	6.86	6.2	9.22
19770225	4.08	3.87	8.24
19770226	0.05	2.45	7.19
19770227	0.17	2.24	6.29
19770228	16.11	5.73	6.13
19770301	0.44	9.22	6.52
19770302	0.99	11.49	5.33
19770303	1.49	7.73	4.98
19770304	0.0	5.6	4.59
19770305	0.0	6.81	4.3
19770306	0.01	8.56	4.02
19770307	3.89	7.66	3.89
19770308	0.1	8.69	3.61
19770309	0.65	7.58	3.48
19770310	11.76	6.37	3.87
19770311	5.12	4.73	4.04
19770312	10.48	6.58	3.48
19770313	8.95	5.47	4.12
19770314	5.57	4.46	4.49
19770315	29.02	7.04	11.31
19770316	4.62	6.71	6.01
19770317	5.71	6.36	5.84
19770318	10.66	5.2	7.01
19770319	9.79	5.05	7.5
19770320	4.67	5.89	5.78
19770321	2.99	3.44	5.62
19770322	2.04	4.63	5.16
19770323	0.01	5.15	4.76
19770324	0.0	6.09	4.39
19770325	3.46	8.39	4.08
19770326	7.66	7.44	4.26
19770327	5.39	3.34	5.0
19770328	0.0	1.2	3.63
19770329	0.01	1.97	3.44
19770330	9.5	3.47	3.4
19770331	30.43	7.25	8.16
19770401	3.06	4.83	6.7
19770402	0.33	4.03	4.88
19770403	0.02	3.17	4.47
19770404	0.0	3.73	4.14
19770405	0.0	5.21	3.89
19770406	0.41	3.72	3.67
19770407	2.87	1.12	3.53
19770408	2.86	1.91	3.42
19770409	0.45	2.15	3.2
19770410	2.38	4.09	3.05
19770411	3.27	6.6	2.89
19770412	0.6	8.6	2.79
19770413	0.3	6.72	2.66
19770414	0.0	4.52	2.44
19770415	0.0	5.63	2.34
19770416	0.0	6.56	2.17
19770417	0.0	7.37	2.07
19770418	3.73	4.96	2.09
19770419	0.25	6.13	2.01
19770420	0.77	8.12	1.99
19770421	7.39	8.42	1.95
19770422	4.32	8.53	2.11
19770423	6.27	6.24	2.15
19770424	1.96	8.61	1.78
19770425	12.76	9.05	1.92
19770426	8.07	5.6	4.82
19770427	8.06	6.38	2.13
19770428	3.55	5.34	2.85
19770429	3.95	6.04	2.19
19770430	1.11	4.77	2.09
19770501	1.18	5.06	2.07
19770502	28.93	7.14	3.1
19770503	0.91	5.52	5.84
19770504	0.04	7.78	2.79
19770505	5.0	6.76	2.69
19770506	17.23	6.19	4.88
19770507	0.09	8.52	3.14
19770508	3.45	7.63	2.89
19770509	6.97	9.68	3.83
19770510	5.05	9.49	3.09
19770511	11.76	8.57	3.94
19770512	5.43	7.01	4.04
19770513	0.01	4.99	3.18
19770514	0.88	6.43	3.14
19770515	2.91	6.08	3.07
19770516	2.39	6.36	2.97
19770517	0.0	7.8	2.71
19770518	0.0	10.78	2.48
19770519	0.0	12.15	2.34
19770520	0.02	11.09	2.25
19770521	0.0	11.04	2.11
19770522	0.0	12.0	2.01
19770523	0.0	11.82	1.99
19770524	2.89	13.02	1.94
19770525	0.83	14.44	1.91
19770526	0.02	12.91	1.79
19770527	0.0	14.35	1.67
19770528	0.0	14.55	1.61
19770529	0.11	13.63	1.56
19770530	0.0	8.28	1.51
