date	precipitation	temperature	discharge_spec
19960930	2.48	11.54	0.3
19961001	9.05	11.47	0.5
19961002	0.39	12.31	0.32
19961003	4.81	12.47	0.29
19961004	4.52	12.13	0.3
19961005	0.08	12.04	0.25
19961006	0.23	13.25	0.24
19961007	1.16	13.79	0.23
19961008	5.16	11.75	0.28
19961009	0.66	10.96	0.25
19961010	0.01	10.95	0.23
19961011	0.0	13.17	0.23
19961012	1.4	14.14	0.23
19961013	1.03	14.98	0.22
19961014	4.6	12.81	0.23
19961015	7.16	10.74	0.29
19961016	4.67	8.63	0.41
19961017	5.16	10.66	0.36
19961018	9.94	12.45	0.82
19961019	1.75	13.43	0.4
19961020	2.81	13.08	0.4
19961021	2.02	13.44	0.35
19961022	0.14	13.77	0.35
19961023	1.93	14.18	0.32
19961024	1.51	13.14	0.33
19961025	5.21	12.39	0.33
19961026	15.43	12.39	0.52
19961027	2.73	13.63	1.01
19961028	10.53	11.75	0.82
19961029	0.03	10.47	0.7
19961030	3.2	11.39	0.49
19961031	1.75	12.69	0.52
19961101	0.58	13.42	0.48
19961102	14.79	14.25	1.17
19961103	25.92	12.57	3.3
19961104	3.0	11.6	1.93
19961105	4.2	11.75	1.21
19961106	4.63	11.18	1.12
19961107	4.18	8.26	0.99
19961108	3.85	9.72	1.15
19961109	9.81	7.26	1.59
19961110	1.39	5.8	1.24
19961111	0.62	5.47	1.06
19961112	0.48	4.68	0.95
19961113	0.45	7.06	0.89
19961114	0.76	8.42	0.9
19961115	0.0	5.95	0.83
19961116	4.71	6.91	0.85
19961117	2.53	6.35	1.02
19961118	21.18	5.39	2.88
19961119	22.46	5.68	4.38
19961120	3.58	4.66	7.85
19961121	1.25	2.64	3.05
19961122	6.5	4.35	3.32
19961123	0.73	4.56	2.88
19961124	12.92	8.25	3.96
19961125	1.74	7.06	3.01
19961126	4.71	5.97	2.77
19961127	9.0	4.66	3.51
19961128	12.7	7.91	5.55
19961129	6.38	10.01	4.55
19961130	1.78	9.89	3.87
19961201	0.84	9.93	3.64
19961202	17.92	9.01	4.49
19961203	4.47	7.35	4.34
19961204	5.1	5.88	3.89
19961205	0.55	4.32	3.56
19961206	0.01	2.11	3.22
19961207	0.03	3.68	3.01
19961208	0.89	5.76	2.86
19961209	0.7	5.79	2.77
19961210	0.14	3.92	2.56
19961211	0.11	4.37	2.39
19961212	0.0	3.68	2.24
19961213	0.0	1.13	2.1
19961214	0.73	2.28	1.97
19961215	1.38	6.24	1.92
19961216	4.29	6.03	1.78
19961217	9.19	9.97	2.29
19961218	2.34	10.01	2.54
19961219	0.36	7.31	1.93
19961220	1.14	5.94	1.79
19961221	0.49	2.99	1.67
19961222	0.17	2.45	1.61
19961223	0.0	1.19	1.53
19961224	0.0	-0.21	1.46
19961225	0.0	0.08	1.38
19961226	0.0	1.3	1.35
19961227	0.0	1.22	1.33
19961228	0.0	-1.4	1.27
19961229	0.0	-0.35	1.24
19961230	0.09	0.95	1.24
19961231	0.0	-3.04	1.14
19970101	0.0	-4.86	1.08
19970102	0.0	-3.97	1.05
19970103	0.0	-2.89	1.01
19970104	0.0	0.42	1.02
19970105	0.0	0.58	1.0
19970106	0.0	0.02	0.97
19970107	0.0	-0.97	0.95
19970108	0.0	-1.57	0.93
19970109	0.0	-0.19	0.9
19970110	3.81	5.19	0.99
19970111	1.34	8.99	1.0
19970112	0.19	8.08	0.94
19970113	0.03	6.79	0.9
19970114	0.04	5.35	0.85
19970115	0.13	6.2	0.82
19970116	4.73	8.19	0.85
19970117	0.38	8.25	0.92
19970118	4.22	7.58	0.89
19970119	2.33	6.29	0.99
19970120	0.02	3.49	0.84
19970121	5.96	2.69	0.9
19970122	0.57	3.52	0.95
19970123	0.05	6.28	0.84
19970124	0.05	6.59	0.81
19970125	0.01	6.87	0.79
19970126	0.0	6.05	0.76
19970127	0.01	5.15	0.73
19970128	0.0	4.7	0.72
19970129	0.0	5.25	0.7
19970130	0.01	4.35	0.69
19970131	0.15	4.17	0.68
19970201	4.24	7.07	0.68
19970202	0.05	3.72	0.74
19970203	4.96	5.79	0.69
19970204	17.22	7.4	1.42
19970205	0.37	8.33	1.01
19970206	2.77	9.99	0.88
19970207	0.02	5.1	0.87
19970208	0.05	5.48	0.8
19970209	8.27	9.47	0.88
19970210	4.01	7.92	1.33
19970211	15.03	9.54	2.35
19970212	7.92	7.5	2.03
19970213	3.5	6.6	1.69
19970214	6.69	4.91	2.2
19970215	5.66	6.87	1.84
19970216	1.41	7.7	2.07
19970217	15.99	7.86	3.41
19970218	3.56	6.54	2.52
19970219	2.36	8.68	2.54
19970220	0.99	9.39	2.39
19970221	0.88	10.11	2.26
19970222	0.12	9.94	2.18
19970223	7.7	8.03	2.43
19970224	9.33	8.06	2.94
19970225	5.27	8.59	2.46
19970226	1.61	7.58	2.12
19970227	0.38	9.43	2.01
19970228	1.18	9.33	1.98
19970301	1.17	9.3	1.93
19970302	3.73	8.3	1.85
19970303	19.13	7.73	3.43
19970304	1.51	7.57	2.54
19970305	0.91	6.65	2.26
19970306	0.1	9.01	2.16
19970307	1.1	8.4	2.11
19970308	0.14	9.01	2.05
19970309	0.05	7.64	1.98
19970310	0.0	8.79	1.89
19970311	0.0	9.42	1.82
19970312	0.0	9.93	1.74
19970313	0.04	10.9	1.65
19970314	0.87	10.72	1.63
19970315	0.48	9.5	1.56
19970316	0.18	9.16	1.5
19970317	1.09	8.95	1.46
19970318	0.01	9.22	1.4
19970319	0.0	6.88	1.3
19970320	0.0	6.67	1.26
19970321	0.0	7.24	1.2
19970322	0.0	10.07	1.19
19970323	1.65	9.62	1.16
19970324	0.02	8.88	1.15
19970325	1.08	10.38	1.09
19970326	1.02	8.62	1.06
19970327	0.23	9.03	1.03
19970328	0.0	7.35	0.96
19970329	0.0	5.57	0.93
19970330	0.0	6.91	0.91
19970331	0.0	7.95	0.88
19970401	0.0	9.01	0.86
19970402	0.0	9.18	0.85
19970403	0.0	8.18	0.81
19970404	0.0	9.79	0.79
19970405	0.0	9.89	0.79
19970406	0.0	9.1	0.76
19970407	0.0	9.77	0.74
19970408	0.0	8.59	0.69
