date	precipitation	temperature	discharge_spec
19960930	1.61	9.61	0.33
19961001	6.46	10.23	0.23
19961002	0.07	12.62	0.23
19961003	5.42	11.07	0.21
19961004	6.5	10.45	0.26
19961005	0.24	10.25	0.32
19961006	0.11	12.01	0.24
19961007	1.11	12.92	0.21
19961008	4.48	9.93	0.23
19961009	0.71	10.46	0.24
19961010	0.02	10.41	0.23
19961011	0.0	12.22	0.21
19961012	0.06	13.42	0.2
19961013	0.51	14.24	0.19
19961014	10.0	10.93	0.21
19961015	3.85	8.8	0.29
19961016	2.03	7.95	0.32
19961017	6.38	10.09	0.29
19961018	6.73	11.5	0.44
19961019	5.38	12.31	0.66
19961020	6.87	11.99	1.02
19961021	0.48	12.22	1.22
19961022	0.18	13.2	1.03
19961023	2.92	13.78	0.86
19961024	3.13	13.85	0.81
19961025	8.16	10.64	0.8
19961026	17.68	11.61	0.95
19961027	4.87	12.82	3.09
19961028	14.86	10.71	3.19
19961029	0.02	9.02	4.12
19961030	4.24	10.29	2.85
19961031	2.55	12.08	2.54
19961101	1.32	13.07	2.06
19961102	11.38	13.75	2.26
19961103	24.57	11.97	3.96
19961104	5.55	9.68	8.73
19961105	10.57	10.88	5.27
19961106	14.15	9.38	6.17
19961107	4.49	6.01	7.32
19961108	5.92	7.54	5.56
19961109	6.05	5.32	5.0
19961110	0.05	4.17	4.45
19961111	0.97	4.57	3.36
19961112	0.22	3.6	2.61
19961113	0.01	5.83	2.03
19961114	0.43	7.07	1.69
19961115	0.05	5.01	1.44
19961116	7.58	6.48	1.26
19961117	0.1	4.0	1.64
19961118	15.75	3.63	1.32
19961119	5.25	4.36	5.41
19961120	2.25	3.02	2.94
19961121	1.7	2.51	2.35
19961122	11.7	2.86	3.21
19961123	1.85	2.74	4.0
19961124	17.68	6.2	5.82
19961125	3.35	4.88	6.33
19961126	4.49	3.83	4.54
19961127	2.96	2.04	4.65
19961128	23.18	5.99	4.58
19961129	11.36	8.43	14.83
19961130	3.16	7.91	8.12
19961201	1.5	8.26	5.81
19961202	14.31	8.17	4.57
19961203	4.6	5.89	7.36
19961204	4.4	4.26	6.15
19961205	0.03	2.58	4.75
19961206	0.0	1.06	3.73
19961207	0.09	2.45	2.96
19961208	0.03	4.51	2.42
19961209	0.47	3.85	2.03
19961210	0.06	1.71	1.72
19961211	0.03	1.42	1.49
19961212	0.15	1.8	1.33
19961213	0.02	0.03	1.17
19961214	1.71	2.17	1.02
19961215	1.05	6.18	1.01
19961216	1.46	4.1	0.94
19961217	3.06	8.26	0.93
19961218	6.78	8.14	1.52
19961219	0.29	5.43	1.45
19961220	1.34	3.63	1.22
19961221	0.02	0.91	1.18
19961222	0.0	1.04	1.07
19961223	0.0	-0.04	0.99
19961224	0.0	-1.34	0.88
19961225	0.0	-0.31	0.79
19961226	0.0	-0.17	0.73
19961227	0.02	1.49	0.72
19961228	0.02	-1.58	0.68
19961229	0.02	-0.22	0.62
19961230	0.11	-0.18	0.62
19961231	0.0	-3.48	0.54
19970101	0.01	-4.66	0.45
19970102	0.0	-3.92	0.58
19970103	0.0	-2.79	0.52
19970104	0.04	-0.78	0.49
19970105	0.0	-0.36	0.44
19970106	0.0	-1.04	0.41
19970107	0.0	-3.0	0.42
19970108	0.0	-2.91	0.48
19970109	0.0	-1.61	0.38
19970110	1.14	1.64	0.35
19970111	1.63	7.35	0.39
19970112	0.1	6.56	0.43
19970113	0.03	5.84	0.43
19970114	0.08	3.39	0.39
19970115	0.02	3.49	0.37
19970116	2.92	6.36	0.37
19970117	0.74	7.11	0.42
19970118	3.97	6.42	0.42
19970119	2.76	4.54	0.65
19970120	0.02	2.89	0.65
19970121	3.82	1.52	0.48
19970122	1.58	3.08	0.58
19970123	0.02	4.76	0.59
19970124	0.07	4.75	0.51
19970125	0.07	4.61	0.47
19970126	0.0	4.21	0.46
19970127	0.0	4.24	0.44
19970128	0.0	3.92	0.41
19970129	0.0	3.02	0.4
19970130	0.0	1.58	0.39
19970131	0.11	1.93	0.38
19970201	3.33	3.97	0.39
19970202	0.04	2.48	0.41
19970203	3.54	4.15	0.38
19970204	13.18	5.64	1.34
19970205	0.14	6.52	1.48
19970206	2.51	8.9	1.13
19970207	0.09	4.63	1.12
19970208	0.29	5.0	1.0
19970209	11.37	8.59	0.99
19970210	4.41	6.22	2.67
19970211	31.62	8.38	6.11
19970212	13.22	6.74	14.31
19970213	3.5	4.25	9.49
19970214	2.85	2.53	6.8
19970215	1.84	5.47	4.66
19970216	1.93	7.46	3.79
19970217	20.5	6.78	6.4
19970218	4.08	5.01	6.89
19970219	6.96	7.74	6.12
19970220	1.92	8.58	4.85
19970221	0.84	9.4	3.9
19970222	0.36	8.57	3.1
19970223	14.49	6.86	3.63
19970224	14.55	7.46	7.41
19970225	5.37	7.37	7.23
19970226	0.02	5.95	5.13
19970227	0.47	8.35	3.74
19970228	1.35	7.85	3.05
19970301	3.85	8.23	2.46
19970302	0.17	6.66	2.27
19970303	15.44	6.28	3.38
19970304	0.34	7.31	4.13
19970305	1.79	5.92	2.84
19970306	0.13	7.66	2.4
19970307	0.39	7.89	2.06
19970308	3.03	7.47	1.79
19970309	0.05	6.65	1.75
19970310	0.02	8.96	1.5
19970311	0.0	8.66	1.33
19970312	0.0	9.06	1.19
19970313	0.53	9.03	1.09
19970314	0.54	10.47	1.03
19970315	0.96	8.55	0.95
19970316	0.02	8.38	0.9
19970317	1.62	8.1	0.82
19970318	0.14	8.25	0.81
19970319	0.0	5.26	0.72
19970320	0.0	7.16	0.65
19970321	0.0	7.16	0.61
19970322	0.01	9.3	0.57
19970323	2.38	8.02	0.56
19970324	0.64	7.29	0.58
19970325	0.39	9.02	0.53
19970326	1.76	8.23	0.53
19970327	0.21	8.63	0.51
19970328	0.0	6.13	0.46
19970329	0.0	5.51	0.42
19970330	0.0	6.7	0.4
19970331	0.0	8.09	0.39
19970401	0.01	8.07	0.38
19970402	0.0	9.43	0.37
19970403	0.02	6.9	0.36
19970404	0.0	8.6	0.34
19970405	0.04	10.08	0.34
19970406	0.0	8.77	0.33
19970407	0.0	8.07	0.31
19970408	0.05	8.98	0.3
19970409	0.0	11.87	0.29
19970410	0.0	11.22	0.28
19970411	0.0	8.53	0.27
19970412	0.0	7.07	0.26
19970413	0.0	9.05	0.25
19970414	0.0	10.04	0.26
19970415	0.0	7.57	0.25
19970416	0.0	8.63	0.25
19970417	0.0	5.94	0.24
19970418	0.0	7.46	0.24
19970419	0.0	4.65	0.24
19970420	0.0	4.36	0.23
19970421	0.05	6.73	0.22
19970422	3.76	7.08	0.25
19970423	0.01	8.63	0.26
19970424	7.91	10.22	0.23
19970425	10.98	10.3	0.47
19970426	5.7	9.77	0.55
19970427	3.24	13.0	0.41
19970428	0.06	11.16	0.34
19970429	0.01	9.25	0.27
19970430	0.0	11.7	0.25
19970501	0.0	12.93	0.24
19970502	0.0	15.03	0.23
19970503	6.63	15.02	0.22
19970504	5.4	12.43	0.34
19970505	7.22	8.12	0.36
19970506	1.21	3.86	0.38
19970507	5.58	6.47	0.29
19970508	7.19	7.97	0.34
19970509	2.87	8.9	0.45
19970510	6.49	9.48	0.4
19970511	5.23	9.15	0.43
19970512	5.78	9.75	0.5
19970513	2.66	9.16	0.59
19970514	0.02	10.12	0.45
19970515	0.09	12.08	0.38
19970516	6.2	13.58	0.38
19970517	1.96	14.43	0.51
19970518	2.32	12.78	0.45
19970519	16.74	12.6	1.32
19970520	3.44	12.18	1.05
19970521	0.99	12.54	0.86
19970522	6.15	10.22	1.09
