date	precipitation	temperature	discharge_spec
19710601	0.0	13.68	0.59
19710602	0.11	16.14	0.45
19710603	0.19	13.81	0.45
19710604	0.0	13.43	0.44
19710605	0.0	11.46	0.44
19710606	2.13	11.2	0.44
19710607	0.13	11.75	0.44
19710608	8.02	12.03	0.48
19710609	7.59	11.53	0.49
19710610	46.98	8.75	2.2
19710611	12.21	10.15	4.4
19710612	0.01	8.56	2.46
19710613	9.13	12.18	1.91
19710614	11.33	8.18	2.72
19710615	1.43	10.63	2.37
19710616	2.04	10.47	2.14
19710617	0.26	10.91	1.72
19710618	32.95	12.03	6.44
19710619	3.21	13.81	3.53
19710620	0.05	10.91	2.96
19710621	0.05	12.26	2.39
19710622	0.0	12.67	1.88
19710623	0.0	13.84	1.65
19710624	0.05	13.7	1.48
19710625	3.22	13.07	1.38
19710626	0.81	12.03	1.25
19710627	5.95	11.86	1.16
19710628	0.05	12.79	1.07
19710629	0.78	13.94	0.99
19710630	0.0	16.65	0.92
19710701	0.0	16.92	0.85
19710702	0.0	18.74	0.82
19710703	0.0	18.22	0.79
19710704	0.25	16.08	0.77
19710705	0.0	16.27	0.73
19710706	0.0	17.68	0.69
19710707	0.0	18.76	0.66
19710708	0.0	20.97	0.65
19710709	0.02	20.72	0.65
19710710	0.0	18.58	0.63
19710711	0.0	20.49	0.61
19710712	0.0	14.15	0.58
19710713	0.0	14.72	0.55
19710714	0.0	16.47	0.52
19710715	0.0	16.49	0.65
19710716	0.0	12.54	0.68
19710717	0.0	13.11	0.67
19710718	0.0	13.94	0.66
19710719	0.0	15.04	0.64
19710720	0.37	14.48	0.64
19710721	0.01	15.05	0.64
19710722	8.94	15.42	0.69
19710723	0.7	16.05	0.66
19710724	1.88	16.05	0.64
19710725	1.73	15.35	0.63
19710726	7.53	16.18	0.79
19710727	19.9	15.0	1.05
19710728	0.0	14.79	0.71
19710729	0.0	15.42	0.65
19710730	9.42	18.4	0.71
19710731	0.16	14.9	0.64
19710801	18.15	13.97	0.9
19710802	0.65	15.52	0.69
19710803	5.2	15.4	0.74
19710804	8.86	15.45	0.77
19710805	4.97	14.72	0.76
19710806	1.98	15.38	0.65
19710807	0.01	13.61	0.62
19710808	0.01	17.0	0.61
19710809	5.82	17.18	0.61
19710810	2.38	15.0	0.64
19710811	4.74	14.21	0.6
19710812	0.56	15.45	0.63
19710813	19.69	14.92	0.79
19710814	7.01	14.28	0.9
19710815	0.01	11.45	0.71
19710816	0.0	13.33	0.66
19710817	0.02	16.07	0.63
19710818	31.16	15.4	0.86
19710819	0.2	15.48	3.7
19710820	0.86	16.9	1.04
19710821	0.52	15.09	0.88
19710822	1.57	15.38	0.82
19710823	6.06	15.98	0.97
19710824	0.0	16.26	0.79
19710825	0.01	15.92	0.73
19710826	0.99	16.38	0.69
19710827	0.08	14.97	0.65
19710828	0.48	17.08	0.64
19710829	2.18	14.16	0.64
19710830	1.14	14.07	0.63
19710831	0.77	15.11	0.62
19710901	0.99	14.82	0.6
19710902	0.01	14.96	0.6
19710903	0.0	14.83	0.58
19710904	0.0	14.78	0.57
19710905	0.0	14.8	0.55
19710906	0.0	16.11	0.54
19710907	0.0	15.38	0.52
19710908	0.0	16.31	0.51
19710909	0.0	15.38	0.51
19710910	0.19	14.74	0.51
19710911	0.02	11.89	0.52
19710912	0.0	12.43	0.51
19710913	0.0	13.28	0.5
19710914	0.0	15.64	0.5
19710915	0.0	14.98	0.5
19710916	0.0	12.3	0.49
19710917	0.0	10.37	0.48
19710918	0.0	12.01	0.48
19710919	0.0	12.19	0.47
19710920	0.0	14.1	0.47
19710921	0.0	15.46	0.47
19710922	0.0	15.65	0.47
19710923	1.21	14.41	0.47
19710924	0.11	14.34	0.47
19710925	2.86	13.29	0.47
19710926	4.77	12.88	0.46
19710927	0.44	11.34	0.46
19710928	0.0	12.87	0.44
19710929	0.0	14.82	0.44
19710930	0.0	14.38	0.43
19711001	0.0	13.57	0.43
19711002	0.0	14.87	0.43
19711003	14.88	15.92	0.61
