date	precipitation	temperature	discharge_spec
19980417	0.0	5.73	1.2
19980418	0.14	6.33	0.98
19980419	10.21	7.61	1.94
19980420	1.13	8.41	1.51
19980421	1.18	10.2	1.17
19980422	3.83	11.93	1.16
19980423	4.61	9.93	1.74
19980424	10.97	11.73	2.27
19980425	4.16	10.94	3.32
19980426	2.04	8.09	2.59
19980427	1.2	8.99	1.79
19980428	0.83	9.6	1.41
19980429	3.25	11.94	1.17
19980430	0.01	9.73	1.03
19980501	0.08	9.84	0.92
19980502	0.83	11.7	0.81
19980503	0.0	8.01	0.74
19980504	0.01	10.87	0.69
19980505	0.78	11.24	0.66
19980506	0.07	12.37	0.62
19980507	0.02	11.24	0.57
19980508	0.0	15.08	0.54
19980509	0.0	13.03	0.5
19980510	5.83	13.33	0.52
19980511	0.04	13.86	0.53
19980512	0.0	14.54	0.46
19980513	1.17	17.46	0.42
19980514	0.0	18.07	0.4
19980515	0.0	17.08	0.37
19980516	0.0	15.17	0.34
19980517	0.0	14.37	0.32
19980518	0.0	15.26	0.31
19980519	0.0	16.43	0.3
19980520	0.04	17.41	0.29
19980521	0.0	14.1	0.27
19980522	0.0	13.26	0.28
19980523	0.0	13.42	0.28
19980524	0.0	13.3	0.25
19980525	1.57	13.95	0.26
19980526	5.87	11.06	0.4
19980527	1.18	9.45	0.3
19980528	0.82	12.38	0.27
19980529	0.0	11.35	0.24
19980530	2.79	15.69	0.24
19980531	0.01	13.4	0.25
19980601	17.75	14.96	0.27
19980602	7.54	13.46	0.56
19980603	3.27	12.33	0.36
19980604	0.01	12.76	0.27
19980605	1.16	14.96	0.26
19980606	0.11	13.99	0.26
19980607	0.07	14.15	0.24
19980608	11.09	14.92	0.38
19980609	9.39	14.39	0.49
19980610	4.18	11.77	0.39
19980611	0.34	9.35	0.31
19980612	1.39	12.58	0.27
19980613	9.34	12.8	0.53
19980614	4.58	13.43	0.48
19980615	0.02	12.84	0.37
19980616	0.74	13.05	0.29
19980617	4.11	13.82	0.34
19980618	4.97	15.32	0.46
19980619	0.16	18.66	0.35
19980620	0.07	19.97	0.3
19980621	0.11	15.82	0.27
19980622	0.13	15.59	0.25
19980623	3.87	16.26	0.32
19980624	1.39	14.37	0.29
19980625	12.15	14.48	0.35
19980626	12.1	13.58	0.88
19980627	4.62	14.09	1.1
19980628	0.01	15.05	0.57
19980629	11.23	13.69	0.75
19980630	0.0	15.27	0.73
19980701	0.0	14.32	0.5
19980702	0.0	12.35	0.43
19980703	0.0	15.28	0.39
19980704	0.0	14.91	0.37
19980705	0.56	17.33	0.36
19980706	1.28	15.43	0.34
19980707	0.0	14.47	0.33
19980708	0.73	16.77	0.32
19980709	1.45	16.77	0.28
19980710	0.9	15.82	0.27
19980711	12.11	15.17	0.32
19980712	5.97	13.75	0.6
19980713	0.03	13.66	0.32
19980714	0.02	14.83	0.26
19980715	6.26	14.91	0.27
19980716	1.22	16.25	0.3
19980717	3.04	15.36	0.26
19980718	0.1	15.22	0.23
19980719	0.0	17.05	0.22
19980720	1.65	16.92	0.2
19980721	1.84	15.22	0.21
19980722	2.06	16.97	0.19
19980723	0.07	14.19	0.18
19980724	0.0	13.7	0.17
19980725	0.0	14.69	0.17
19980726	0.05	16.11	0.16
19980727	1.28	17.29	0.16
19980728	1.21	16.29	0.18
19980729	0.78	15.87	0.18
19980730	3.45	15.43	0.17
19980731	0.61	15.43	0.17
19980801	10.88	14.64	0.33
19980802	3.2	16.06	0.24
19980803	2.62	14.33	0.25
19980804	0.0	15.61	0.22
19980805	0.0	15.79	0.17
19980806	0.0	16.37	0.16
19980807	0.0	16.92	0.14
19980808	0.0	19.87	0.13
19980809	0.0	20.09	0.14
19980810	0.0	20.81	0.13
19980811	0.0	19.61	0.13
19980812	0.0	15.31	0.11
19980813	0.08	16.82	0.11
19980814	2.85	17.34	0.12
19980815	0.0	14.48	0.12
19980816	0.0	16.82	0.12
19980817	0.05	15.14	0.11
19980818	0.0	14.03	0.12
19980819	0.01	17.34	0.1
19980820	1.72	16.34	0.09
19980821	0.0	15.35	0.1
19980822	1.61	13.75	0.1
19980823	10.29	15.21	0.22
19980824	0.0	13.09	0.15
19980825	0.65	16.6	0.13
19980826	0.02	11.9	0.14
19980827	0.0	13.63	0.12
19980828	0.0	13.48	0.11
19980829	0.0	14.45	0.13
19980830	0.0	17.17	0.11
19980831	2.24	17.67	0.11
19980901	0.01	17.15	0.1
19980902	4.31	16.71	0.12
19980903	0.01	15.45	0.11
19980904	10.3	15.3	0.16
19980905	0.05	15.83	0.2
