date	precipitation	temperature	discharge_spec
19970401	0.0	11.61	0.1
19970402	0.01	11.03	0.1
19970403	0.05	7.19	0.1
19970404	0.04	9.2	0.09
19970405	0.91	10.41	0.09
19970406	0.0	9.34	0.09
19970407	0.0	7.62	0.09
19970408	0.0	9.48	0.08
19970409	0.0	10.87	0.08
19970410	0.0	11.85	0.08
19970411	0.0	6.7	0.08
19970412	0.0	7.88	0.08
19970413	0.0	11.89	0.08
19970414	0.05	11.27	0.08
19970415	0.0	6.91	0.08
19970416	0.0	11.14	0.07
19970417	0.0	6.14	0.07
19970418	0.06	7.43	0.08
19970419	0.0	5.0	0.08
19970420	0.0	3.43	0.08
19970421	0.03	8.61	0.07
19970422	0.0	8.38	0.07
19970423	0.0	10.4	0.07
19970424	6.8	10.81	0.07
19970425	13.75	8.94	0.16
19970426	6.86	10.5	0.35
19970427	0.66	14.23	0.26
19970428	0.9	13.35	0.16
19970429	0.0	9.66	0.12
19970430	0.0	13.13	0.09
19970501	0.0	14.67	0.08
19970502	0.0	15.2	0.08
19970503	4.67	16.98	0.07
19970504	0.82	13.54	0.09
19970505	13.54	9.23	0.12
19970506	0.36	4.65	0.19
19970507	3.91	7.37	0.14
19970508	10.16	7.06	0.11
19970509	2.8	8.9	0.41
19970510	5.89	9.64	0.29
19970511	1.51	9.95	0.37
19970512	2.73	10.83	0.22
19970513	0.38	9.67	0.18
19970514	0.0	11.16	0.13
19970515	0.12	14.11	0.11
19970516	4.19	13.85	0.1
19970517	4.92	15.25	0.13
19970518	0.05	14.47	0.14
19970519	3.59	12.14	0.15
19970520	4.48	13.22	0.2
19970521	0.38	9.98	0.2
19970522	0.59	9.03	0.14
19970523	0.0	7.85	0.11
19970524	0.0	8.1	0.09
19970525	0.0	10.54	0.08
19970526	0.0	16.89	0.08
19970527	0.0	12.29	0.07
19970528	0.0	9.94	0.07
19970529	0.0	14.5	0.06
19970530	0.0	16.22	0.06
19970531	0.0	15.6	0.06
19970601	0.0	14.02	0.06
19970602	0.0	14.15	0.05
19970603	0.0	14.65	0.05
19970604	0.01	15.25	0.05
19970605	2.18	18.65	0.05
19970606	2.46	17.97	0.06
19970607	0.78	17.32	0.06
19970608	1.59	13.81	0.06
19970609	0.0	16.34	0.05
19970610	7.72	19.01	0.05
19970611	15.95	18.48	0.08
19970612	0.24	16.8	0.09
19970613	9.47	15.32	0.14
19970614	6.39	12.15	0.33
19970615	0.35	13.35	0.25
19970616	0.04	13.69	0.18
19970617	0.01	14.38	0.11
19970618	1.21	15.27	0.09
19970619	2.1	11.88	0.08
19970620	12.01	12.59	0.1
19970621	3.54	12.42	0.19
19970622	0.82	14.93	0.22
19970623	0.01	12.78	0.15
19970624	9.65	13.19	0.11
19970625	17.01	12.94	0.12
19970626	11.65	10.19	0.85
19970627	0.23	12.14	1.31
19970628	1.57	13.46	0.46
19970629	0.01	13.38	0.25
19970630	1.94	12.91	0.17
19970701	4.25	12.92	0.19
19970702	3.37	12.83	0.31
19970703	3.7	13.28	0.22
19970704	0.01	14.02	0.2
19970705	0.0	16.23	0.15
19970706	0.0	18.88	0.12
19970707	0.0	18.65	0.1
19970708	0.01	19.78	0.08
19970709	4.37	19.68	0.08
19970710	0.0	16.41	0.09
19970711	0.0	17.53	0.08
19970712	4.94	18.16	0.08
19970713	0.07	17.73	0.07
19970714	1.19	18.09	0.07
19970715	0.01	19.14	0.07
19970716	3.4	17.82	0.06
19970717	0.09	14.39	0.07
19970718	0.0	15.98	0.07
19970719	0.0	17.15	0.07
19970720	0.0	17.81	0.05
19970721	0.0	16.78	0.04
19970722	0.0	18.23	0.05
19970723	1.7	20.46	0.04
19970724	5.44	16.58	0.05
19970725	0.04	16.98	0.07
19970726	0.24	17.5	0.07
19970727	0.0	17.47	0.07
19970728	0.0	17.86	0.05
19970729	2.1	19.25	0.04
19970730	0.1	18.07	0.04
19970731	2.02	16.17	0.04
19970801	0.27	17.1	0.04
19970802	0.08	16.41	0.04
19970803	1.31	15.96	0.05
19970804	2.51	16.96	0.04
19970805	0.04	18.48	0.05
19970806	0.68	21.43	0.04
19970807	0.02	22.19	0.04
19970808	0.0	22.85	0.04
19970809	0.0	21.74	0.03
19970810	0.26	25.13	0.03
19970811	0.11	20.63	0.04
19970812	0.33	22.18	0.03
19970813	5.46	18.24	0.04
19970814	0.0	19.08	0.04
19970815	0.0	19.65	0.05
19970816	0.14	22.67	0.04
19970817	0.09	20.84	0.03
19970818	0.0	21.43	0.03
19970819	2.57	23.51	0.03
19970820	0.14	22.36	0.05
19970821	1.05	19.77	0.04
19970822	6.09	21.32	0.04
19970823	13.39	19.94	0.04
19970824	8.2	16.21	0.11
19970825	0.72	16.75	0.15
19970826	2.12	17.6	0.18
19970827	2.73	15.85	0.14
19970828	5.42	16.94	0.09
19970829	11.61	16.28	0.09
19970830	3.03	16.83	0.15
19970831	17.22	17.32	0.26
19970901	0.0	14.41	0.39
19970902	1.93	17.67	0.25
19970903	1.02	13.36	0.13
19970904	0.0	15.43	0.09
19970905	0.06	14.56	0.08
19970906	0.48	15.45	0.07
19970907	0.03	14.22	0.06
19970908	0.0	15.72	0.05
19970909	0.0	12.83	0.05
19970910	0.0	14.75	0.05
19970911	1.81	15.06	0.05
19970912	0.64	11.39	0.05
19970913	0.4	10.92	0.05
19970914	0.04	13.81	0.05
19970915	0.0	14.43	0.05
19970916	0.01	15.41	0.04
19970917	0.0	14.19	0.04
19970918	12.35	17.18	0.05
19970919	3.48	13.36	0.08
19970920	0.05	12.61	0.09
19970921	0.0	11.73	0.1
19970922	0.0	12.66	0.07
19970923	0.0	12.08	0.06
19970924	0.0	15.07	0.05
19970925	0.0	14.65	0.05
19970926	0.0	12.56	0.04
19970927	0.0	13.18	0.05
19970928	0.01	15.74	0.05
19970929	1.99	16.34	0.05
19970930	0.02	17.16	0.05
19971001	0.01	15.93	0.05
19971002	0.0	12.71	0.05
19971003	0.0	13.61	0.05
19971004	0.0	14.94	0.04
19971005	0.0	14.77	0.04
19971006	2.55	13.66	0.04
19971007	2.18	12.14	0.05
19971008	24.57	14.03	0.07
19971009	3.37	13.95	0.25
19971010	1.71	12.58	0.38
19971011	17.57	8.74	0.25
19971012	0.27	8.42	0.91
19971013	0.01	5.71	0.45
19971014	6.7	8.96	0.2
19971015	1.23	12.8	0.17
19971016	0.53	14.28	0.2
19971017	0.15	12.62	0.17
19971018	0.03	14.37	0.14
19971019	0.01	14.67	0.12
19971020	0.0	9.07	0.1
19971021	0.0	6.26	0.09
19971022	0.0	6.19	0.08
