date	precipitation	temperature	discharge_spec
19960930	0.01	9.51	0.11
19961001	0.26	8.82	0.1
19961002	0.02	12.8	0.1
19961003	2.3	11.21	0.1
19961004	2.4	9.25	0.1
19961005	0.11	10.51	0.09
19961006	0.05	12.68	0.09
19961007	1.68	11.7	0.1
19961008	0.13	8.89	0.11
19961009	0.43	10.45	0.1
19961010	0.02	8.93	0.1
19961011	0.0	11.92	0.1
19961012	0.0	13.1	0.09
19961013	0.15	13.71	0.1
19961014	17.31	11.55	0.16
19961015	6.04	7.98	0.19
19961016	3.14	8.21	0.17
19961017	7.76	10.01	0.14
19961018	4.69	11.18	0.2
19961019	0.84	12.17	0.16
19961020	6.02	11.5	0.19
19961021	0.55	11.64	0.19
19961022	0.03	12.52	0.15
19961023	0.24	13.63	0.14
19961024	0.48	13.97	0.13
19961025	4.7	9.89	0.12
19961026	6.37	10.45	0.12
19961027	2.51	12.57	0.15
19961028	5.54	9.99	0.18
19961029	0.05	7.48	0.19
19961030	1.93	10.01	0.15
19961031	7.11	10.05	0.21
19961101	4.25	13.06	0.24
19961102	1.18	13.96	0.22
19961103	8.27	12.1	0.23
19961104	6.37	9.52	0.45
19961105	4.93	10.52	0.44
19961106	7.67	8.41	0.57
19961107	2.63	4.5	0.72
19961108	0.98	5.78	0.53
19961109	0.06	3.64	0.42
19961110	0.37	2.81	0.36
19961111	2.21	3.45	0.32
19961112	0.25	3.52	0.33
19961113	0.19	4.74	0.29
19961114	0.57	8.08	0.26
19961115	2.16	8.46	0.25
19961116	3.55	8.16	0.26
19961117	0.49	1.73	0.33
19961118	7.08	2.05	0.29
19961119	14.6	1.52	0.54
19961120	2.69	1.48	1.18
19961121	0.36	2.24	0.82
19961122	0.05	1.77	0.72
19961123	0.07	2.23	0.65
19961124	10.19	4.51	1.24
19961125	1.26	4.82	1.75
19961126	0.0	2.65	1.24
19961127	0.0	0.6	0.94
19961128	4.65	4.32	0.76
19961129	3.05	6.4	1.02
19961130	0.14	7.45	0.96
19961201	1.14	8.0	0.78
19961202	9.41	6.78	0.71
19961203	3.89	6.32	1.74
19961204	0.44	3.5	1.36
19961205	0.04	1.85	1.11
19961206	0.0	1.12	0.89
19961207	0.02	0.34	0.75
19961208	0.0	1.74	0.66
19961209	0.14	1.77	0.61
19961210	0.15	1.73	0.55
19961211	0.02	2.48	0.51
19961212	0.26	2.05	0.48
19961213	0.02	-0.02	0.44
19961214	0.18	3.66	0.4
19961215	0.23	6.3	0.38
19961216	0.61	2.81	0.37
19961217	1.38	5.22	0.37
19961218	12.05	7.55	0.94
19961219	14.38	3.45	2.75
19961220	0.31	1.62	3.52
19961221	0.0	0.19	1.92
19961222	0.02	0.63	1.28
19961223	0.09	0.68	1.02
19961224	0.0	-0.25	0.83
19961225	0.0	-1.16	0.69
19961226	0.68	-0.9	0.6
19961227	0.02	1.51	0.58
19961228	0.0	-1.58	0.53
19961229	0.33	-0.64	0.49
