date	precipitation	temperature	discharge_spec
19980130	0.02	2.28	1.5
19980131	0.16	0.26	1.39
19980201	1.26	0.83	1.3
19980202	0.59	1.89	1.29
19980203	0.23	2.53	1.2
19980204	0.03	5.32	1.12
19980205	0.29	6.16	1.1
19980206	9.28	4.39	1.24
19980207	0.38	3.96	1.48
19980208	0.1	7.58	1.15
19980209	0.42	8.23	1.05
19980210	0.76	8.89	1.0
19980211	0.08	10.85	0.95
19980212	0.01	10.95	0.91
19980213	0.01	9.71	0.88
19980214	0.01	10.94	0.84
19980215	0.31	10.91	0.81
19980216	0.14	5.32	0.77
19980217	0.02	6.32	0.74
19980218	0.06	5.7	0.73
19980219	0.01	8.48	0.71
19980220	6.01	9.19	0.7
19980221	5.65	4.62	0.84
19980222	0.31	5.76	0.92
19980223	0.02	7.69	0.79
19980224	0.0	6.77	0.71
19980225	0.14	6.89	0.67
19980226	2.06	6.38	0.67
19980227	6.1	3.77	0.78
19980228	5.69	1.96	0.96
19980301	2.05	4.47	1.01
19980302	24.89	8.25	2.02
19980303	33.68	6.71	11.0
19980304	8.14	4.1	9.57
19980305	19.91	6.31	7.45
19980306	20.32	8.71	13.29
19980307	6.66	6.63	10.32
19980308	0.27	3.1	7.49
19980309	0.01	4.01	5.41
19980310	9.28	6.04	4.94
19980311	0.43	3.23	4.48
19980312	1.14	4.94	3.46
19980313	0.03	6.97	2.97
19980314	0.0	8.06	2.54
19980315	0.0	7.39	2.22
19980316	0.0	7.62	1.98
19980317	0.0	7.51	1.77
19980318	0.0	5.63	1.59
19980319	0.01	6.31	1.44
19980320	0.02	7.19	1.34
19980321	0.0	4.33	1.24
19980322	0.0	6.13	1.15
19980323	2.61	5.53	1.1
19980324	10.35	6.0	1.14
19980325	7.87	8.49	1.32
19980326	1.94	8.75	1.96
19980327	0.05	9.55	1.35
19980328	0.03	10.63	1.15
19980329	6.86	11.09	1.33
19980330	0.04	7.98	1.32
19980331	0.0	10.0	1.12
19980401	5.97	7.09	1.14
19980402	17.23	7.57	3.05
19980403	5.01	7.93	3.55
19980404	13.7	7.47	4.98
19980405	2.51	6.34	6.16
19980406	0.5	5.58	4.48
19980407	1.88	7.2	3.52
19980408	10.38	5.25	3.62
19980409	1.38	2.49	3.27
19980410	19.19	1.14	3.76
19980411	1.41	0.74	4.62
19980412	0.57	1.31	3.8
19980413	3.1	1.65	3.52
19980414	16.36	1.97	3.36
19980415	0.9	2.09	4.73
19980416	2.54	4.1	4.05
19980417	0.38	4.16	4.37
19980418	0.0	5.65	4.16
19980419	10.19	6.29	5.09
19980420	0.44	6.3	4.69
19980421	8.25	8.53	5.66
19980422	4.81	9.22	5.8
19980423	6.7	7.75	5.63
19980424	3.97	9.23	4.59
19980425	11.13	9.17	4.66
19980426	3.99	6.33	5.09
19980427	4.0	6.25	4.41
